
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1  1.5049022909849749e-08   0  0  0  0  1  0  0
    2 -1.9502679506989696e+02   1  1  0  0  0  0  0
    2  1.2944934429924433e+02   0  0  1  1  0  0  0
    2 -2.5092074688310548e+00   0  0  0  0  2  0  0
    3 -1.4627441603914736e+04   1  1  0  0  1  0  0
    3 -5.3882214592687606e+03   0  0  1  1  1  0  0
    3 -6.6942440431106718e+01   0  0  0  0  3  0  0
    4  1.3498291192476142e+07   2  2  0  0  0  0  0
    4  2.6303101146576092e+07   1  1  1  1  0  0  0
    4  4.0755584042549669e+06   0  0  2  2  0  0  0
    4  2.3978536611493150e+05   1  1  0  0  2  0  0
    4 -5.4884713299596413e+04   0  0  1  1  2  0  0
    4  2.0802360516810099e+03   0  0  0  0  4  0  0
    5 -2.0248815961889634e+08   2  2  0  0  1  0  0
    5 -2.0502088373899540e+08   1  1  1  1  1  0  0
    5 -6.6733025658402026e+07   0  0  2  2  1  0  0
    5 -1.3662988364086687e+06   1  1  0  0  3  0  0
    5  1.1933197171101442e+06   0  0  1  1  3  0  0
    5 -6.6985563014295738e+04   0  0  0  0  5  0  0
    6 -1.8213837786700669e-06   5  1  0  0  0  0  0
    6  7.4621605298261230e+10   3  3  0  0  0  0  0
    6 -6.0712792622335566e-07   1  5  0  0  0  0  0
    6  1.2142558524467114e-05   4  0  1  1  0  0  0
    6  9.7140468195736905e-06   3  1  1  1  0  0  0
    6  2.6452039079245276e+11   2  2  1  1  0  0  0
    6  4.8570234097868453e-06   1  3  1  1  0  0  0
    6  2.4285117048934226e-06   0  4  1  1  0  0  0
    6 -3.6427675573401337e-06   2  0  2  2  0  0  0
    6  1.7012720851869638e+11   1  1  2  2  0  0  0
    6 -1.2142558524467113e-06   0  2  2  2  0  0  0
    6  6.3415795509621063e+10   0  0  3  3  0  0  0
    6 -5.0790501072102270e+09   2  2  0  0  2  0  0
    6 -4.1567693279716148e+09   1  1  1  1  2  0  0
    6 -1.4946556939296088e+09   0  0  2  2  2  0  0
    6  7.7241890642624885e+07   1  1  0  0  4  0  0
    6  5.3131281641097099e+07   0  0  1  1  4  0  0
    6  1.1651242367306724e+06   0  0  0  0  6  0  0
  -38  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50241
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1  4.5147068729549247e-10   0  0  0  0  1  0  0
    2 -4.0705681653078456e-03   1  1  0  0  0  0  0
    2  2.2705038754596164e-03   0  0  1  1  0  0  0
    2 -2.2582867219479493e-03   0  0  0  0  2  0  0
    3 -9.1590488545107672e-03   1  1  0  0  1  0  0
    3 -2.8352351503975457e-03   0  0  1  1  1  0  0
    3 -1.8074458916398813e-03   0  0  0  0  3  0  0
    4  5.8803109004388655e-03   2  2  0  0  0  0  0
    4  9.6291975229564029e-03   1  1  1  1  0  0  0
    4  1.2538105109022124e-03   0  0  2  2  0  0  0
    4  4.5042857301627621e-03   1  1  0  0  2  0  0
    4 -8.6639572747419422e-04   0  0  1  1  2  0  0
    4  1.6849912018616180e-03   0  0  0  0  4  0  0
    5 -2.6463201495026691e-03   2  2  0  0  1  0  0
    5 -2.2516583594298150e-03   1  1  1  1  1  0  0
    5 -6.1589525185646481e-04   0  0  2  2  1  0  0
    5 -7.6996362851731938e-04   1  1  0  0  3  0  0
    5  5.6512298721757856e-04   0  0  1  1  3  0  0
    5 -1.6277491812473864e-03   0  0  0  0  5  0  0
    6 -1.6560891351699653e-20   5  1  0  0  0  0  0
    6  6.7849528051483628e-04   3  3  0  0  0  0  0
    6 -5.5202971172332179e-21   1  5  0  0  0  0  0
    6  9.2779941349566691e-20   4  0  1  1  0  0  0
    6  7.4223953079653356e-20   3  1  1  1  0  0  0
    6  2.0211709331304445e-03   2  2  1  1  0  0  0
    6  3.7111976539826678e-20   1  3  1  1  0  0  0
    6  1.8555988269913339e-20   0  4  1  1  0  0  0
    6 -2.3390364686955754e-20   2  0  2  2  0  0  0
    6  1.0923940075198474e-03   1  1  2  2  0  0  0
    6 -7.7967882289852518e-21   0  2  2  2  0  0  0
    6  3.4218787950068830e-04   0  0  3  3  0  0  0
    6 -1.9913449750851228e-03   2  2  0  0  2  0  0
    6 -1.3695616126790484e-03   1  1  1  1  2  0  0
    6 -4.1383617899943382e-04   0  0  2  2  2  0  0
    6  1.3058661430699896e-03   1  1  0  0  4  0  0
    6  7.5484486257618481e-04   0  0  1  1  4  0  0
    6  8.4937556857666012e-04   0  0  0  0  6  0  0
  -38  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1  7.1455137790412949e-10   0  0  0  0  1  0  0
    2  1.2944934429924433e+02   1  1  0  0  0  0  0
    2 -1.5252812570150331e+02   0  0  1  1  0  0  0
    2  7.6202552517523989e-02   0  0  0  0  2  0  0
    3 -5.3882214592687606e+03   1  1  0  0  1  0  0
    3 -3.5231865405073080e+01   0  0  1  1  1  0  0
    3 -1.8399025254087793e+00   0  0  0  0  3  0  0
    4  1.3151550573288046e+07   2  2  0  0  0  0  0
    4  8.1511168085099338e+06   1  1  1  1  0  0  0
    4 -1.8528073920390492e-11   0  0  3  1  0  0  0
    4  5.2280545542689646e+05   0  0  2  2  0  0  0
    4 -9.2640369601952462e-12   0  0  1  3  0  0  0
    4 -5.4884713299596413e+04   1  1  0  0  2  0  0
    4  7.2026003137016218e+04   0  0  1  1  2  0  0
    4 -5.1762722109240849e+02   0  0  0  0  4  0  0
    5 -1.0251044186949770e+08   2  2  0  0  1  0  0
    5 -1.3346605131680405e+08   1  1  1  1  1  0  0
    5 -4.6740420597900547e+07   0  0  2  2  1  0  0
    5  1.1933197171101442e+06   1  1  0  0  3  0  0
    5 -2.3555068500311401e+04   0  0  1  1  3  0  0
    5  1.9621880863095251e+02   0  0  0  0  5  0  0
    6  2.4285117048934226e-06   5  1  0  0  0  0  0
    6  2.4285117048934226e-06   4  2  0  0  0  0  0
    6  8.8173463597484253e+10   3  3  0  0  0  0  0
    6  2.4285117048934226e-06   2  4  0  0  0  0  0
    6  2.4285117048934226e-06   1  5  0  0  0  0  0
    6  6.0712792622335566e-07   4  0  1  1  0  0  0
    6 -2.4285117048934226e-06   3  1  1  1  0  0  0
    6  1.7012720851869638e+11   2  2  1  1  0  0  0
    6 -2.4285117048934226e-06   1  3  1  1  0  0  0
    6  6.0712792622335566e-07   0  4  1  1  0  0  0
    6  1.9024738652886319e+11   1  1  2  2  0  0  0
    6  2.3269128915931660e+10   0  0  3  3  0  0  0
    6 -2.0783846639858074e+09   2  2  0  0  2  0  0
    6 -4.7431869236199662e-08   0  0  4  0  2  0  0
    6  3.7945495388959729e-08   2  0  1  1  2  0  0
    6 -2.9893113878592176e+09   1  1  1  1  2  0  0
    6  3.7945495388959729e-08   0  2  1  1  2  0  0
    6  7.5156006566237092e+08   0  0  2  2  2  0  0
    6 -9.4863738472399322e-09   0  0  0  4  2  0  0
    6  5.3131281641097099e+07   1  1  0  0  4  0  0
    6 -1.7107873380489592e+07   0  0  1  1  4  0  0
    6  1.1952296189648919e+05   0  0  0  0  6  0  0
  -44  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50242
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1  2.1436541337123885e-11   0  0  0  0  1  0  0
    2  2.7018460706162337e-03   1  1  0  0  0  0  0
    2 -2.6752989935683777e-03   0  0  1  1  0  0  0
    2  6.8582297265771584e-05   0  0  0  0  2  0  0
    3 -3.3738629707575169e-03   1  1  0  0  1  0  0
    3 -1.8538700379270358e-05   0  0  1  1  1  0  0
    3 -4.9677368186037037e-05   0  0  0  0  3  0  0
    4  5.7292589921963477e-03   2  2  0  0  0  0  0
    4  2.9840098832623445e-03   1  1  1  1  0  0  0
    4 -5.7000026803457013e-21   0  0  3  1  0  0  0
    4  1.6083660449741228e-04   0  0  2  2  0  0  0
    4 -2.8500013401728506e-21   0  0  1  3  0  0  0
    4 -1.0309904850530085e-03   1  1  0  0  2  0  0
    4  1.1369836450509916e-03   0  0  1  1  2  0  0
    4 -4.1927804908485085e-04   0  0  0  0  4  0  0
    5 -1.3397101754702215e-03   2  2  0  0  1  0  0
    5 -1.4658016523338741e-03   1  1  1  1  1  0  0
    5 -4.3137865894735735e-04   0  0  2  2  1  0  0
    5  6.7248302851702422e-04   1  1  0  0  3  0  0
    5 -1.1155024495235092e-05   0  0  1  1  3  0  0
    5  4.7681170497321461e-06   0  0  0  0  5  0  0
    6  2.2081188468932872e-20   5  1  0  0  0  0  0
    6  2.2081188468932872e-20   4  2  0  0  0  0  0
    6  8.0171524960390768e-04   3  3  0  0  0  0  0
    6  2.2081188468932872e-20   2  4  0  0  0  0  0
    6  2.2081188468932872e-20   1  5  0  0  0  0  0
    6  4.6389970674783347e-21   4  0  1  1  0  0  0
    6 -1.8555988269913339e-20   3  1  1  1  0  0  0
    6  1.2999231089992102e-03   2  2  1  1  0  0  0
    6 -1.8555988269913339e-20   1  3  1  1  0  0  0
    6  4.6389970674783347e-21   0  4  1  1  0  0  0
    6  1.2215865222264140e-03   1  1  2  2  0  0  0
    6  1.2555884251838793e-04   0  0  3  3  0  0  0
    6 -8.1487301159850723e-04   2  2  0  0  2  0  0
    6 -1.3132806175516496e-20   0  0  4  0  2  0  0
    6  1.2502183729345483e-20   2  0  1  1  2  0  0
    6 -9.8491058852045858e-04   1  1  1  1  2  0  0
