# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.21085 1.07399
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2842854751322248e-04  5.0988399571967837e-19  4.1880436192778458e-03  2.1778519425320298e-17  0.0000000000000000e+00  0.0000000000000000e+00
   1 -2.1470945736532830e-04  3.6781118543027260e-04  3.7599653404122683e-03 -1.9457064642439382e-03  0.0000000000000000e+00 -2.3306582811452995e-03
   2 -3.0151414241081709e-04  1.1694406939134132e-03  2.8488440671205605e-03 -3.3747972536089976e-03  0.0000000000000000e+00 -3.0150275685280090e-02
   3  4.7819665214099047e-04  1.2867957668939506e-03  1.6775331858485730e-03 -3.8544717894551713e-03  0.0000000000000000e+00 -5.9591574982324792e-02
   4  9.7638366903656220e-04  2.6070301568062063e-06  7.8091595166361719e-05 -3.7739366133263006e-03  0.0000000000000000e+00 -8.5876616748264592e-02
   5  3.7623084891181120e-04 -1.4133456658352750e-03 -1.5870668277627863e-03 -3.5379194413288641e-03  0.0000000000000000e+00 -9.2636869330461807e-02
   6 -8.1724148711839262e-04 -1.2976917012452521e-03 -2.7262411600066784e-03 -2.8947815648484453e-03  0.0000000000000000e+00 -6.6627784665322293e-02
   7 -1.0926372742777733e-03  2.6079711316347819e-05 -3.4172069279359697e-03 -1.4424995864204782e-03  0.0000000000000000e+00 -3.5212979380572190e-02
   8 -7.4443316572367216e-05  1.1221586956378883e-03 -3.8873167178369744e-03  3.8782998679859142e-04  0.0000000000000000e+00 -1.5764080952756176e-02
   9  7.2549929401323249e-04  1.1302254601255870e-03 -3.8541875166349460e-03  1.9694252676946706e-03  0.0000000000000000e+00 -2.1856889143449174e-02
  10  5.6380922013505002e-04  5.5094588560617537e-04 -3.0026028811760389e-03  3.2568038495507847e-03  0.0000000000000000e+00 -5.6587209347197173e-02
  11 -1.3681657411107082e-05  2.4491839380658088e-04 -1.5615899172202331e-03  4.1658205061082705e-03  0.0000000000000000e+00 -9.8518310991411548e-02
  12 -1.2625583191657770e-04  9.7809821196208539e-05  1.1766125016106271e-04  4.3607208753985568e-03  0.0000000000000000e+00 -1.2468706329129989e-01
  13  1.8666304629819336e-04 -4.3596338231481228e-04  1.8964482708697576e-03  3.7758360602444959e-03  0.0000000000000000e+00 -1.2133900946492444e-01
  14  1.2988995973619986e-04 -1.0751728351265422e-03  3.3027047355790166e-03  2.6231760975062397e-03  0.0000000000000000e+00 -9.0307954848690489e-02
  15 -5.4203657503627042e-04 -7.7187945480010193e-04  3.8033464937035281e-03  9.7157577472144023e-04  0.0000000000000000e+00 -5.1495183747321170e-02
  16 -8.8611052371193565e-04  5.5688041876078770e-04  3.6490927887846132e-03 -9.5811096530101357e-04  0.0000000000000000e+00 -3.8703297617986930e-02
  17  2.0922389054790873e-05  1.7154096407057059e-03  3.3019974175337113e-03 -2.4123460576305415e-03  0.0000000000000000e+00 -4.9038093096794397e-02
  18  1.0668065102519026e-03  1.3720384734123450e-03  2.6045861076245138e-03 -3.1265885122961205e-03  0.0000000000000000e+00 -7.4106276284174280e-02
  19  9.9467374439923036e-04 -1.7037764933934796e-04  1.2556487893056734e-03 -3.6097265889113417e-03  0.0000000000000000e+00 -1.1494179151339069e-01
  20 -1.0030560135095824e-04 -1.0727853472704933e-03 -4.1836533921412117e-04 -4.0007772320877627e-03  0.0000000000000000e+00 -1.3967902942517810e-01
  21 -9.1179707754420586e-04 -6.8688175409999076e-04 -1.9147061226246170e-03 -3.7623142965027396e-03  0.0000000000000000e+00 -1.3404689349481672e-01
  22 -4.5136320471915377e-04 -1.2678105844984527e-05 -3.2377055995981593e-03 -2.5029163434471782e-03  0.0000000000000000e+00 -1.0333901823359785e-01
  23  2.2786960938515251e-04  1.1922789948104255e-04 -4.1083212155765426e-03 -6.5293809643663314e-04  0.0000000000000000e+00 -6.9438830540588373e-02
  24  6.3605280548961936e-05  2.0318584105450053e-04 -4.0192631084252162e-03  1.3193633913736636e-03  0.0000000000000000e+00 -6.1143571293205537e-02
  25 -3.3794910064064272e-04  8.3711281747983056e-04 -3.2010681511635908e-03  3.0039619268390459e-03  0.0000000000000000e+00 -8.3387404013620131e-02
  26  1.0091629055135086e-04  1.3339192245075621e-03 -2.1052194164217458e-03  3.8403838927708982e-03  0.0000000000000000e+00 -1.1532467786054310e-01
  27  8.3781925268089960e-04  5.9504697657028472e-04 -6.3392042954540993e-04  3.8814992064443274e-03  0.0000000000000000e+00 -1.4253385148885103e-01
  28  7.1813681063971093e-04 -9.7537402150699604e-04  1.0992981762551108e-03  3.6500131549123062e-03  0.0000000000000000e+00 -1.5820988513375397e-01
  29 -3.4371902724848101e-04 -1.5547437584404696e-03  2.4617492750608982e-03  3.1620959261369048e-03  0.0000000000000000e+00 -1.4125047742765950e-01
  30 -1.1663836096127613e-03 -5.4945751329892078e-04  3.2317528664733515e-03  1.9800168812094724e-03  0.0000000000000000e+00 -1.0729793308740680e-01
  31 -5.6885642653390614e-04  8.3006690602055303e-04  3.7340188212351107e-03  1.8487148009049587e-04  0.0000000000000000e+00 -8.3615268685395011e-02
  32  5.2322244468514043e-04  1.3284497445963796e-03  3.9128498464798406e-03 -1.4910663977189926e-03  0.0000000000000000e+00 -7.9338978759242604e-02
  33  7.8364900436712025e-04  8.0762149143309692e-04  3.3744740524412052e-03 -2.8273437997549415e-03  0.0000000000000000e+00 -1.0565214498375096e-01
  34  2.4716923292371660e-04  2.4677838935262866e-04  2.0915669474564753e-03 -3.8797516997709190e-03  0.0000000000000000e+00 -1.4826546353149386e-01
