
tpsa, NO = 8, NV = 7, INA = 48094
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.6239559218457811e-01   1  1  0  0  0  0  0
    2 -2.3245650129590897e-01   0  0  1  1  0  0  0
    2  9.5766249606684655e-03   0  0  0  0  2  0  0
    3 -2.4205490574876381e-09   1  1  0  0  1  0  0
    3 -1.7591151128352558e-09   0  0  1  1  1  0  0
    3 -4.3394784174319371e-04   0  0  0  0  3  0  0
    4  1.8853289797854933e+02   2  2  0  0  0  0  0
    4 -3.3983348145818388e+02   1  1  1  1  0  0  0
    4  2.8128587174298502e+02   0  0  2  2  0  0  0
    4  9.4999121455595166e+00   1  1  0  0  2  0  0
    4 -2.1354127399826499e+00   0  0  1  1  2  0  0
    4  2.1664464394852309e-01   0  0  0  0  4  0  0
    5  2.5458602167101657e+04   2  2  0  0  1  0  0
    5 -2.2840170523634051e+03   1  1  1  1  1  0  0
    5  2.0108495512589674e+04   0  0  2  2  1  0  0
    5  2.2279824157801278e+02   1  1  0  0  3  0  0
    5 -8.2400202651090524e+01   0  0  1  1  3  0  0
    5 -1.3685112029927011e+00   0  0  0  0  5  0  0
    6  2.9103830456733704e-11   6  0  0  0  0  0  0
    6 -1.2089771873532208e+07   3  3  0  0  0  0  0
    6  2.9103830456733704e-11   0  6  0  0  0  0  0
    6 -3.3103179930054173e+07   2  2  1  1  0  0  0
    6 -1.1564964763737729e+07   1  1  2  2  0  0  0
    6  5.8207660913467407e-11   0  0  4  2  0  0  0
    6 -2.0448595947076874e+06   0  0  3  3  0  0  0
    6  5.8207660913467407e-11   0  0  2  4  0  0  0
    6 -4.6527249707584438e+05   2  2  0  0  2  0  0
    6  6.6146126359892730e+05   1  1  1  1  2  0  0
    6 -4.2034011540928145e+05   0  0  2  2  2  0  0
    6 -8.7179978770131402e+03   1  1  0  0  4  0  0
    6  4.5898425974471356e+03   0  0  1  1  4  0  0
    6 -8.2093078214316293e+00   0  0  0  0  6  0  0
    7  4.6566128730773926e-10   6  0  0  0  1  0  0
    7  3.7252902984619141e-09   5  1  0  0  1  0  0
    7  1.4792007821968284e+08   3  3  0  0  1  0  0
    7  3.7252902984619141e-09   1  5  0  0  1  0  0
    7  4.6566128730773926e-10   0  6  0  0  1  0  0
    7  2.3181647011909731e+07   2  2  1  1  1  0  0
    7 -7.4505805969238281e-09   2  0  2  2  1  0  0
    7  5.5355293515798593e+08   1  1  2  2  1  0  0
    7 -7.4505805969238281e-09   0  2  2  2  1  0  0
    7  2.0959536855799097e+08   0  0  3  3  1  0  0
    7  7.7537257347607072e+06   2  2  0  0  3  0  0
    7 -1.3759282247812290e+07   1  1  1  1  3  0  0
    7 -1.5919513361594155e+06   0  0  2  2  3  0  0
    7  2.6073956801191805e+05   1  1  0  0  5  0  0
    7 -5.0779278067645791e+04   0  0  1  1  5  0  0
    7  3.8867907795442636e+02   0  0  0  0  7  0  0
    8  4.7683715820312500e-07   6  2  0  0  0  0  0
    8 -9.5367431640625000e-07   5  3  0  0  0  0  0
    8 -3.1874487356465317e+10   4  4  0  0  0  0  0
    8 -9.5367431640625000e-07   3  5  0  0  0  0  0
    8  4.7683715820312500e-07   2  6  0  0  0  0  0
    8  4.7683715820312500e-07   2  0  6  0  0  0  0
    8  9.5367431640625000e-07   1  1  6  0  0  0  0
    8  4.7683715820312500e-07   0  2  6  0  0  0  0
    8  4.7683715820312500e-07   6  0  1  1  0  0  0
    8 -2.3468737424421381e+11   3  3  1  1  0  0  0
    8  4.7683715820312500e-07   0  6  1  1  0  0  0
    8  1.9073486328125000e-06   4  0  2  2  0  0  0
    8 -2.2856278354827774e+11   2  2  2  2  0  0  0
    8  1.9073486328125000e-06   0  4  2  2  0  0  0
    8  9.5367431640625000e-07   0  0  6  2  0  0  0
    8 -6.3687470779267639e+11   1  1  3  3  0  0  0
    8  4.6930282216471344e+10   0  0  4  4  0  0  0
    8  4.7683715820312500e-07   2  0  0  6  0  0  0
    8  9.5367431640625000e-07   1  1  0  6  0  0  0
    8  4.7683715820312500e-07   0  2  0  6  0  0  0
    8  9.5367431640625000e-07   0  0  2  6  0  0  0
    8 -7.4505805969238281e-09   6  0  0  0  2  0  0
    8 -5.9604644775390625e-08   5  1  0  0  2  0  0
    8  2.2800293393793406e+09   3  3  0  0  2  0  0
    8 -5.9604644775390625e-08   1  5  0  0  2  0  0
    8 -7.4505805969238281e-09   0  6  0  0  2  0  0
    8  9.1172094809014435e+09   2  2  1  1  2  0  0
    8  1.2101566145246683e+10   1  1  2  2  2  0  0
    8  5.9604644775390625e-08   0  0  4  2  2  0  0
    8 -2.1340567557269406e+09   0  0  3  3  2  0  0
    8  5.9604644775390625e-08   0  0  2  4  2  0  0
    8 -2.1066769291603827e+08   2  2  0  0  4  0  0
    8 -9.5767328925870597e+07   1  1  1  1  4  0  0
    8  1.2790241108938341e+08   0  0  2  2  4  0  0
    8 -4.5974345830916269e+06   1  1  0  0  6  0  0
    8  1.5730262427134888e+05   0  0  1  1  6  0  0
    8 -7.9001398955667828e+03   0  0  0  0  8  0  0
  -85  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50244
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3825415166261782e-05   1  1  0  0  0  0  0
    2 -4.0772194708693144e-06   0  0  1  1  0  0  0
    2  8.6189624646016180e-06   0  0  0  0  2  0  0
    3 -1.5156394175134454e-15   1  1  0  0  1  0  0
    3 -9.2563103413773206e-16   0  0  1  1  1  0  0
    3 -1.1716591727066230e-08   0  0  0  0  3  0  0
    4  8.2131289010310891e-08   2  2  0  0  0  0  0
    4 -1.2440828553407125e-07   1  1  1  1  0  0  0
    4  8.6535180600391318e-08   0  0  2  2  0  0  0
    4  1.7845258619549705e-07   1  1  0  0  2  0  0
    4 -3.3709066934827822e-08   0  0  1  1  2  0  0
    4  1.7548216159830369e-07   0  0  0  0  4  0  0
    5  3.3271877239525402e-07   2  2  0  0  1  0  0
    5 -2.5084401136332292e-08   1  1  1  1  1  0  0
    5  1.8558617395196302e-07   0  0  2  2  1  0  0
    5  1.2555565293724246e-07   1  1  0  0  3  0  0
    5 -3.9022441347309120e-08   0  0  1  1  3  0  0
    5 -3.3254822232722638e-08   0  0  0  0  5  0  0
    6  2.6462592878925767e-25   6  0  0  0  0  0  0
    6 -1.0992598089931133e-07   3  3  0  0  0  0  0
    6  2.6462592878925767e-25   0  6  0  0  0  0  0
    6 -2.5293772199705056e-07   2  2  1  1  0  0  0
    6 -7.4259128302201614e-08   1  1  2  2  0  0  0
    6  3.1408509344730489e-25   0  0  4  2  0  0  0
    6 -1.1033941354303475e-08   0  0  3  3  0  0  0
    6  3.1408509344730489e-25   0  0  2  4  0  0  0
    6 -1.8241955277858035e-07   2  2  0  0  2  0  0
    6  2.1793654721305578e-07   1  1  1  1  2  0  0
    6 -1.1638262105958321e-07   0  0  2  2  2  0  0
    6 -1.4738813574126972e-07   1  1  0  0  4  0  0
    6  6.5208649174320237e-08   0  0  1  1  4  0  0
    6 -5.9845854018236575e-09   0  0  0  0  6  0  0
    7  1.2702044581884367e-25   6  0  0  0  1  0  0
    7  1.0161635665507494e-24   5  1  0  0  1  0  0
    7  4.0348800282823238e-08   3  3  0  0  1  0  0
    7  1.0161635665507494e-24   1  5  0  0  1  0  0
    7  1.2702044581884367e-25   0  6  0  0  1  0  0
    7  5.3138517203376593e-09   2  2  1  1  1  0  0
    7 -1.4352148020571546e-24   2  0  2  2  1  0  0
    7  1.0663160486968530e-07   1  1  2  2  1  0  0
    7 -1.4352148020571546e-24   0  2  2  2  1  0  0
    7  3.3928926134409089e-08   0  0  3  3  1  0  0
    7  9.1200179881183698e-08   2  2  0  0  3  0  0
    7 -1.3600118239288077e-07   1  1  1  1  3  0  0
    7 -1.3223253906266170e-08   0  0  2  2  3  0  0
    7  1.3224338679155660e-07   1  1  0  0  5  0  0
    7 -2.1642886821522463e-08   0  0  1  1  5  0  0
    7  8.5004114348633042e-09   0  0  0  0  7  0  0
    8 -1.8098520670723966e-25   5  3  0  0  0  0  0
    8 -6.0490364306295858e-09   4  4  0  0  0  0  0
    8 -1.8098520670723966e-25   3  5  0  0  0  0  0
    8  1.0740586876974759e-25   1  1  6  0  0  0  0
    8 -3.7427805344141238e-08   3  3  1  1  0  0  0
    8  2.5562090215584556e-25   4  0  2  2  0  0  0
    8 -3.0631749185627497e-08   2  2  2  2  0  0  0
    8  2.5562090215584556e-25   0  4  2  2  0  0  0
    8 -7.1726877940595077e-08   1  1  3  3  0  0  0
    8  4.4416336653726604e-09   0  0  4  4  0  0  0
    8  1.0740586876974759e-25   1  1  0  6  0  0  0
    8 -4.8775851194435963e-25   5  1  0  0  2  0  0
    8  1.8658004287348935e-08   3  3  0  0  2  0  0
    8 -4.8775851194435963e-25   1  5  0  0  2  0  0
    8  6.2697226724067594e-08   2  2  1  1  2  0  0
    8  6.9934201638874029e-08   1  1  2  2  2  0  0
    8  2.8946082212103614e-25   0  0  4  2  2  0  0
    8 -1.0363719560672830e-08   0  0  3  3  2  0  0
    8  2.8946082212103614e-25   0  0  2  4  2  0  0
    8 -7.4336901302672663e-08   2  2  0  0  4  0  0
    8 -2.8397854773123523e-08   1  1  1  1  4  0  0
    8  3.1871942665134101e-08   0  0  2  2  4  0  0
    8 -6.9952595740230131e-08   1  1  0  0  6  0  0
    8  2.0113418445795834e-09   0  0  1  1  6  0  0
    8 -5.1832817854813652e-09   0  0  0  0  8  0  0
  -73  0.0000000000000000e+00   0  0  0  0  0  0  0
