
tpsa, NO = 8, NV = 7, INA = 48097
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -2.1447589254585151e-07   3  0  0  0  0  0  0
    3 -8.7370906868996928e-07   2  1  0  0  0  0  0
    3  8.7370906868996928e-07   1  2  0  0  0  0  0
    3  2.1447589254585151e-07   0  3  0  0  0  0  0
    3  9.0962664755139848e-07   1  0  2  0  0  0  0
    3 -3.7673202094657958e-07   0  1  2  0  0  0  0
    3 -4.5833580381874018e-07   1  0  1  1  0  0  0
    3  4.5833580381874018e-07   0  1  1  1  0  0  0
    3  3.7673202094657958e-07   1  0  0  2  0  0  0
    3 -9.0962664755139848e-07   0  1  0  2  0  0  0
    3 -4.5780207444580889e-07   2  0  0  0  1  0  0
    3  4.5780207444580889e-07   0  2  0  0  1  0  0
    3  2.3806643101320888e-07   0  0  2  0  1  0  0
    3 -2.3806643101320888e-07   0  0  0  2  1  0  0
    3  1.8003811960307097e-23   1  0  0  0  2  0  0
    3 -1.8003811960307097e-23   0  1  0  0  2  0  0
    4 -1.0286619498346770e-07   4  0  0  0  0  0  0
    4  6.9318681092908511e-08   3  1  0  0  0  0  0
    4 -6.9318681092908511e-08   1  3  0  0  0  0  0
    4  1.0286619498346770e-07   0  4  0  0  0  0  0
    4 -4.5413714752603802e-08   2  0  2  0  0  0  0
    4 -2.1341891589864221e-07   1  1  2  0  0  0  0
    4  1.3754141550204950e-07   0  2  2  0  0  0  0
    4  5.5132008888748304e-08   0  0  4  0  0  0  0
    4 -1.3108651828905615e-07   2  0  1  1  0  0  0
    4  1.3108651828905615e-07   0  2  1  1  0  0  0
    4 -1.5202004303256255e-07   0  0  3  1  0  0  0
    4 -1.3754141550204950e-07   2  0  0  2  0  0  0
    4  2.1341891589864221e-07   1  1  0  2  0  0  0
    4  4.5413714752603802e-08   0  2  0  2  0  0  0
    4  1.5202004303256255e-07   0  0  1  3  0  0  0
    4 -5.5132008888748304e-08   0  0  0  4  0  0  0
    4  2.2551492093084513e-08   3  0  0  0  1  0  0
    4 -2.1514713541014479e-07   2  1  0  0  1  0  0
    4  2.1514713541014479e-07   1  2  0  0  1  0  0
    4 -2.2551492093084513e-08   0  3  0  0  1  0  0
    4 -1.5060329101764199e-08   1  0  2  0  1  0  0
    4  1.9442412982316172e-07   0  1  2  0  1  0  0
    4 -8.4517684346373327e-08   1  0  1  1  1  0  0
    4  8.4517684346373327e-08   0  1  1  1  1  0  0
    4 -1.9442412982316172e-07   1  0  0  2  1  0  0
    4  1.5060329101764199e-08   0  1  0  2  1  0  0
    4 -1.6605433173284716e-07   2  0  0  0  2  0  0
    4  1.6605433173284716e-07   0  2  0  0  2  0  0
    4  2.8928847007680463e-07   0  0  2  0  2  0  0
    4 -2.8928847007680463e-07   0  0  0  2  2  0  0
    4  9.6880095946248879e-23   1  0  0  0  3  0  0
    4 -9.6880095946248879e-23   0  1  0  0  3  0  0
    5  3.7033580508399992e-08   5  0  0  0  0  0  0
    5  3.9225799081356868e-08   4  1  0  0  0  0  0
    5  2.5682935636267309e-08   3  2  0  0  0  0  0
    5 -2.5682935636267309e-08   2  3  0  0  0  0  0
    5 -3.9225799081356868e-08   1  4  0  0  0  0  0
    5 -3.7033580508399992e-08   0  5  0  0  0  0  0
    5  1.0892509252809111e-08   3  0  2  0  0  0  0
    5 -8.9851953169228896e-09   2  1  2  0  0  0  0
    5 -6.0006370833259854e-08   1  2  2  0  0  0  0
    5  3.3984943382149900e-08   0  3  2  0  0  0  0
    5 -1.8229736549280922e-08   1  0  4  0  0  0  0
    5 -1.2969971840707063e-07   0  1  4  0  0  0  0
    5 -2.6467920185226114e-08   3  0  1  1  0  0  0
    5  3.2545901204306550e-07   2  1  1  1  0  0  0
    5 -3.2545901204306550e-07   1  2  1  1  0  0  0
    5  2.6467920185226114e-08   0  3  1  1  0  0  0
    5 -3.3433170057502433e-08   1  0  3  1  0  0  0
    5 -2.9917194097755267e-07   0  1  3  1  0  0  0
    5 -3.3984943382149900e-08   3  0  0  2  0  0  0
    5  6.0006370833259854e-08   2  1  0  2  0  0  0
    5  8.9851953169228896e-09   1  2  0  2  0  0  0
    5 -1.0892509252809111e-08   0  3  0  2  0  0  0
    5 -4.6746887278785253e-08   1  0  2  2  0  0  0
    5  4.6746887278785253e-08   0  1  2  2  0  0  0
    5  2.9917194097755267e-07   1  0  1  3  0  0  0
    5  3.3433170057502433e-08   0  1  1  3  0  0  0
    5  1.2969971840707063e-07   1  0  0  4  0  0  0
    5  1.8229736549280922e-08   0  1  0  4  0  0  0
    5 -3.2251785610513228e-08   4  0  0  0  1  0  0
    5  2.9830228967621735e-08   3  1  0  0  1  0  0
    5 -2.9830228967621735e-08   1  3  0  0  1  0  0
    5  3.2251785610513228e-08   0  4  0  0  1  0  0
    5 -2.2376616094519767e-08   2  0  2  0  1  0  0
    5  1.9027137680230491e-09   1  1  2  0  1  0  0
    5 -3.7532685852450618e-09   0  2  2  0  1  0  0
    5 -3.3252913962470239e-09   0  0  4  0  1  0  0
    5 -7.4906387068089022e-09   2  0  1  1  1  0  0
    5  7.4906387068089022e-09   0  2  1  1  1  0  0
    5 -1.2586326284407004e-07   0  0  3  1  1  0  0
    5  3.7532685852450618e-09   2  0  0  2  1  0  0
    5 -1.9027137680230491e-09   1  1  0  2  1  0  0
    5  2.2376616094519767e-08   0  2  0  2  1  0  0
    5  1.2586326284407004e-07   0  0  1  3  1  0  0
    5  3.3252913962470239e-09   0  0  0  4  1  0  0
    5  9.5239507747387493e-10   3  0  0  0  2  0  0
    5 -4.6328582197248665e-08   2  1  0  0  2  0  0
    5  4.6328582197248665e-08   1  2  0  0  2  0  0
    5 -9.5239507747387493e-10   0  3  0  0  2  0  0
    5 -1.0078345183477779e-08   1  0  2  0  2  0  0
    5  3.9298849729711563e-07   0  1  2  0  2  0  0
    5  5.2241444727847226e-08   1  0  1  1  2  0  0
    5 -5.2241444727847226e-08   0  1  1  1  2  0  0
    5 -3.9298849729711563e-07   1  0  0  2  2  0  0
    5  1.0078345183477779e-08   0  1  0  2  2  0  0
    5  8.4002521268864926e-10   2  0  0  0  3  0  0
    5 -8.4002521268864926e-10   0  2  0  0  3  0  0
    5 -3.2614052349069656e-08   0  0  2  0  3  0  0
    5  3.2614052349069656e-08   0  0  0  2  3  0  0
    5  2.6946853359992659e-22   1  0  0  0  4  0  0
    5 -2.6946853359992659e-22   0  1  0  0  4  0  0
    6 -2.7099031657597131e-09   6  0  0  0  0  0  0
    6  2.1509877598693875e-08   5  1  0  0  0  0  0
    6 -1.4377616438528263e-08   4  2  0  0  0  0  0
    6  1.4377616438528263e-08   2  4  0  0  0  0  0
    6 -2.1509877598693875e-08   1  5  0  0  0  0  0
    6  2.7099031657597131e-09   0  6  0  0  0  0  0
    6 -9.7332302652356822e-08   4  0  2  0  0  0  0
    6  1.9557716206996678e-08   3  1  2  0  0  0  0
    6  6.4925213490860793e-08   2  2  2  0  0  0  0
    6  1.1852519128668531e-08   1  3  2  0  0  0  0
    6 -7.6132733672463737e-10   0  4  2  0  0  0  0
    6  1.4663424972101314e-09   2  0  4  0  0  0  0
    6  2.2528083419140438e-08   1  1  4  0  0  0  0
    6  3.0236520450032324e-08   0  2  4  0  0  0  0
    6 -1.9523819575292697e-09   0  0  6  0  0  0  0
    6 -4.6842573677080515e-08   4  0  1  1  0  0  0
    6  8.2157825694977074e-10   3  1  1  1  0  0  0
    6 -8.2157825694977074e-10   1  3  1  1  0  0  0
    6  4.6842573677080515e-08   0  4  1  1  0  0  0
    6  2.1297489558646660e-09   2  0  3  1  0  0  0
    6  3.2258259370173134e-08   1  1  3  1  0  0  0
    6 -2.9554959894133808e-08   0  2  3  1  0  0  0
    6  5.5753704583200226e-09   0  0  5  1  0  0  0
    6  7.6132733672463737e-10   4  0  0  2  0  0  0
    6 -1.1852519128668531e-08   3  1  0  2  0  0  0
    6 -6.4925213490860793e-08   2  2  0  2  0  0  0
    6 -1.9557716206996678e-08   1  3  0  2  0  0  0
    6  9.7332302652356822e-08   0  4  0  2  0  0  0
    6  1.0426539489093486e-08   2  0  2  2  0  0  0
    6 -1.0426539489093486e-08   0  2  2  2  0  0  0
    6 -2.3721475350251788e-09   0  0  4  2  0  0  0
    6  2.9554959894133808e-08   2  0  1  3  0  0  0
    6 -3.2258259370173134e-08   1  1  1  3  0  0  0
    6 -2.1297489558646660e-09   0  2  1  3  0  0  0
    6 -3.0236520450032324e-08   2  0  0  4  0  0  0
    6 -2.2528083419140438e-08   1  1  0  4  0  0  0
    6 -1.4663424972101314e-09   0  2  0  4  0  0  0
    6  2.3721475350251788e-09   0  0  2  4  0  0  0
    6 -5.5753704583200226e-09   0  0  1  5  0  0  0
    6  1.9523819575292697e-09   0  0  0  6  0  0  0
    6  8.1372401449504961e-08   5  0  0  0  1  0  0
    6 -1.4295199118664026e-08   4  1  0  0  1  0  0
    6 -8.8684321408954894e-09   3  2  0  0  1  0  0
    6  8.8684321408954894e-09   2  3  0  0  1  0  0
    6  1.4295199118664026e-08   1  4  0  0  1  0  0
    6 -8.1372401449504961e-08   0  5  0  0  1  0  0
    6 -2.8862190618328911e-08   3  0  2  0  1  0  0
    6  9.9368916291810428e-09   2  1  2  0  1  0  0
    6 -3.8279567673515837e-07   1  2  2  0  1  0  0
    6 -4.2864302556443911e-10   0  3  2  0  1  0  0
    6 -7.2641746762424546e-09   1  0  4  0  1  0  0
    6  2.8294390424812805e-08   0  1  4  0  1  0  0
    6  4.6381230707549594e-09   3  0  1  1  1  0  0
    6 -1.2979875399711232e-07   2  1  1  1  1  0  0
    6  1.2979875399711232e-07   1  2  1  1  1  0  0
    6 -4.6381230707549594e-09   0  3  1  1  1  0  0
    6  2.4519696853757723e-08   1  0  3  1  1  0  0
    6  7.2312350577945818e-08   0  1  3  1  1  0  0
    6  4.2864302556443911e-10   3  0  0  2  1  0  0
    6  3.8279567673515837e-07   2  1  0  2  1  0  0
