
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1  7.7048469499117195e-10   0  0  0  0  1  0  0
    2 -1.2002377059490452e+02   1  1  0  0  0  0  0
    2  1.0817235680439586e+02   0  0  1  1  0  0  0
    2 -3.0239159538090608e+00   0  0  0  0  2  0  0
    3 -1.6207449516417071e+04   1  1  0  0  1  0  0
    3  7.2702520797963257e+02   0  0  1  1  1  0  0
    3 -7.0918882918645949e+01   0  0  0  0  3  0  0
    4  1.1544881727156093e+07   2  2  0  0  0  0  0
    4  2.1074138871714175e+07   1  1  1  1  0  0  0
    4  3.6812426176649062e+06   0  0  2  2  0  0  0
    4  2.9620167117732024e+05   1  1  0  0  2  0  0
    4 -2.1054965953116093e+05   0  0  1  1  2  0  0
    4  2.7750249119825817e+03   0  0  0  0  4  0  0
    5 -5.9289836545249578e-09   4  0  0  0  1  0  0
    5 -1.4125326978721398e+08   2  2  0  0  1  0  0
    5 -1.1857967309049915e-09   0  4  0  0  1  0  0
    5 -1.4757894843827596e+07   1  1  1  1  1  0  0
    5 -1.7620137178684178e+08   0  0  2  2  1  0  0
    5 -4.9361751122640194e+06   1  1  0  0  3  0  0
    5  4.3797155662717819e+06   0  0  1  1  3  0  0
    5 -8.2995982217484387e+04   0  0  0  0  5  0  0
    6 -9.1069188933503343e-07   5  1  0  0  0  0  0
    6  1.5178198155583892e-06   4  2  0  0  0  0  0
    6  4.0583857770412605e+10   3  3  0  0  0  0  0
    6  9.1069188933503343e-07   2  4  0  0  0  0  0
    6 -3.0356396311167783e-07   1  5  0  0  0  0  0
    6 -3.0356396311167783e-07   0  0  6  0  0  0  0
    6  2.2410993415334515e+11   2  2  1  1  0  0  0
    6  1.4550758723420535e+11   1  1  2  2  0  0  0
    6  2.0272351575082178e+11   0  0  3  3  0  0  0
    6 -3.0356396311167783e-07   0  0  0  6  0  0  0
    6  9.4863738472399325e-08   4  0  0  0  2  0  0
    6 -2.1772676385406241e+09   2  2  0  0  2  0  0
    6  1.8972747694479864e-08   0  4  0  0  2  0  0
    6 -5.8041958243590317e+09   1  1  1  1  2  0  0
    6 -3.8520481423390865e+09   0  0  2  2  2  0  0
    6  1.3411521870941183e+08   1  1  0  0  4  0  0
    6  3.0483687570519514e+07   0  0  1  1  4  0  0
    6  1.4634088788813190e+06   0  0  0  0  6  0  0
  -40  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50241
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1  2.3114540849735157e-11   0  0  0  0  1  0  0
    2 -2.5051169993781119e-03   1  1  0  0  0  0  0
    2  1.8973116988080020e-03   0  0  1  1  0  0  0
    2 -2.7215243584281547e-03   0  0  0  0  2  0  0
    3 -1.0148379049973622e-02   1  1  0  0  1  0  0
    3  3.8255432529469180e-04   0  0  1  1  1  0  0
    3 -1.9148098388034405e-03   0  0  0  0  3  0  0
    4  5.0293398546857162e-03   2  2  0  0  0  0  0
    4  7.7149475528046118e-03   1  1  1  1  0  0  0
    4  1.1325026485672913e-03   0  0  2  2  0  0  0
    4  5.5640466403395188e-03   1  1  0  0  2  0  0
    4 -3.3236818500477707e-03   0  0  1  1  2  0  0
    4  2.2477701787058913e-03   0  0  0  0  4  0  0
    5 -7.7485957403986245e-20   4  0  0  0  1  0  0
    5 -1.8460406510907789e-03   2  2  0  0  1  0  0
    5 -1.5497191480797246e-20   0  4  0  0  1  0  0
    5 -1.6207976810301013e-04   1  1  1  1  1  0  0
    5 -1.6262051238260932e-03   0  0  2  2  1  0  0
    5 -2.7817306135060520e-03   1  1  0  0  3  0  0
    5  2.0741113286628001e-03   0  0  1  1  3  0  0
    5 -2.0168023678848704e-03   0  0  0  0  5  0  0
    6 -8.2804456758498265e-21   5  1  0  0  0  0  0
    6  1.3800742793083047e-20   4  2  0  0  0  0  0
    6  3.6900782088846243e-04   3  3  0  0  0  0  0
    6  8.2804456758498265e-21   2  4  0  0  0  0  0
    6 -2.7601485586166089e-21   1  5  0  0  0  0  0
    6 -1.6380131794491290e-21   0  0  6  0  0  0  0
    6  1.7123991212152820e-03   2  2  1  1  0  0  0
    6  9.3431037708379923e-04   1  1  2  2  0  0  0
    6  1.0938840934223361e-03   0  0  3  3  0  0  0
    6 -1.6380131794491290e-21   0  0  0  6  0  0  0
    6  3.7193259553913398e-20   4  0  0  0  2  0  0
    6 -8.5364209446730404e-04   2  2  0  0  2  0  0
    6  7.4386519107826781e-21   0  4  0  0  2  0  0
    6 -1.9123514360112784e-03   1  1  1  1  2  0  0
    6 -1.0665445500403989e-03   0  0  2  2  2  0  0
    6  2.2673774803539186e-03   1  1  0  0  4  0  0
    6  4.3308676629372976e-04   0  0  1  1  4  0  0
    6  1.0668250727044815e-03   0  0  0  0  6  0  0
  -40  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1  5.5994373135077643e-10   0  0  0  0  1  0  0
    2  1.0817235680439586e+02   1  1  0  0  0  0  0
    2 -1.7907214763923582e+02   0  0  1  1  0  0  0
    2  6.7972298621929395e-01   0  0  0  0  2  0  0
    3  7.2702520797963257e+02   1  1  0  0  1  0  0
    3 -1.2801465835879369e+04   0  0  1  1  1  0  0
    3  2.6228799127389912e+01   0  0  0  0  3  0  0
    4  1.0537069435857087e+07   2  2  0  0  0  0  0
    4  7.3624852353298124e+06   1  1  1  1  0  0  0
    4 -7.4112295681561970e-11   0  0  3  1  0  0  0
    4  1.9526970745597091e+06   0  0  2  2  0  0  0
    4 -3.7056147840780985e-11   0  0  1  3  0  0  0
    4 -2.1054965953116093e+05   1  1  0  0  2  0  0
    4  2.6759682858881966e+05   0  0  1  1  2  0  0
    4 -1.4609922747949120e+03   0  0  0  0  4  0  0
    5 -7.3789474219137980e+06   2  2  0  0  1  0  0
    5  4.7431869236199661e-09   2  0  1  1  1  0  0
    5 -3.5240274357368356e+08   1  1  1  1  1  0  0
    5  4.7431869236199661e-09   0  2  1  1  1  0  0
    5 -2.0014883373103127e+08   0  0  2  2  1  0  0
    5  4.3797155662717819e+06   1  1  0  0  3  0  0
    5  1.0134676972460741e+06   0  0  1  1  3  0  0
    5  1.6163546222207391e+04   0  0  0  0  5  0  0
    6 -1.5178198155583891e-07   6  0  0  0  0  0  0
    6  7.4703311384448395e+10   3  3  0  0  0  0  0
    6 -1.5178198155583891e-07   0  6  0  0  0  0  0
    6 -1.2142558524467113e-06   4  0  1  1  0  0  0
    6  1.4550758723420535e+11   2  2  1  1  0  0  0
    6 -1.2142558524467113e-06   0  4  1  1  0  0  0
    6 -1.8213837786700669e-06   0  0  5  1  0  0  0
    6  6.0817054725246533e+11   1  1  2  2  0  0  0
    6 -5.9753491163592682e+10   0  0  3  3  0  0  0
    6 -6.0712792622335566e-07   0  0  1  5  0  0  0
    6 -2.9020979121795158e+09   2  2  0  0  2  0  0
    6 -7.7040962846781731e+09   1  1  1  1  2  0  0
    6 -7.5890990777919457e-08   0  0  3  1  2  0  0
    6  2.0378740890755763e+09   0  0  2  2  2  0  0
    6 -3.7945495388959729e-08   0  0  1  3  2  0  0
    6  3.0483687570519514e+07   1  1  0  0  4  0  0
    6 -8.1425203832988083e+07   0  0  1  1  4  0  0
    6 -5.0070980428224655e+04   0  0  0  0  6  0  0
  -42  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50242
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1  1.6798311940523291e-11   0  0  0  0  1  0  0
    2  2.2577561807160139e-03   1  1  0  0  0  0  0
    2 -3.1408734235213501e-03   0  0  1  1  0  0  0
    2  6.1175068759736456e-04   0  0  0  0  2  0  0
    3  4.5523062601488684e-04   1  1  0  0  1  0  0
    3 -6.7360197031367253e-03   0  0  1  1  1  0  0
    3  7.0817757643952756e-04   0  0  0  0  3  0  0
    4  4.5903028301010739e-03   2  2  0  0  0  0  0
    4  2.6953028920724577e-03   1  1  1  1  0  0  0
    4 -2.2800010721382805e-20   0  0  3  1  0  0  0
    4  6.0073047024301646e-04   0  0  2  2  0  0  0
    4 -1.1400005360691403e-20   0  0  1  3  0  0  0
    4 -3.9551030251874092e-03   1  1  0  0  2  0  0
    4  4.2242135384663202e-03   0  0  1  1  2  0  0
    4 -1.1834037425838787e-03   0  0  0  0  4  0  0
    5 -9.6435551004479464e-05   2  2  0  0  1  0  0
    5  5.2092432205606184e-20   2  0  1  1  1  0  0
    5 -3.8702914990057795e-03   1  1  1  1  1  0  0
    5  5.2092432205606184e-20   0  2  1  1  1  0  0
    5 -1.8472220485035178e-03   0  0  2  2  1  0  0
    5  2.4681435710977614e-03   1  1  0  0  3  0  0
    5  4.7995007901420456e-04   0  0  1  1  3  0  0
    5  3.9277417319963961e-04   0  0  0  0  5  0  0
    6 -1.3800742793083045e-21   6  0  0  0  0  0  0
    6  6.7923819127969779e-04   3  3  0  0  0  0  0
    6 -1.3800742793083045e-21   0  6  0  0  0  0  0
    6 -9.2779941349566694e-21   4  0  1  1  0  0  0
    6  1.1118073165802590e-03   2  2  1  1  0  0  0
    6 -9.2779941349566694e-21   0  4  1  1  0  0  0
    6 -9.8280790766947733e-21   0  0  5  1  0  0  0
    6  3.9050888282555242e-03   1  1  2  2  0  0  0
    6 -3.2242630199176184e-04   0  0  3  3  0  0  0
    6 -3.2760263588982580e-21   0  0  1  5  0  0  0
    6 -1.1378265566665145e-03   2  2  0  0  2  0  0
