# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.21085 1.07399
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2842854751322248e-04  5.0988399571967837e-19  4.1880436192778458e-03  2.1778519425320298e-17  0.0000000000000000e+00  0.0000000000000000e+00
   1  6.5602445398099099e-05  4.0904343934822750e-04  3.7141010928780989e-03 -1.9273083618760196e-03  0.0000000000000000e+00  5.5801525991063866e-03
   2 -9.0563770614367247e-05  4.3986705415916195e-04  2.4295964995079411e-03 -3.4453630815782805e-03  0.0000000000000000e+00 -3.3702536924915304e-03
   3 -4.1743104958518205e-04 -1.6699742129652615e-04  6.7999910801935879e-04 -4.3132922417803655e-03  0.0000000000000000e+00 -1.2663802162152344e-02
   4 -1.0224182902111381e-03 -6.0817428497198824e-04 -9.5896755073311549e-04 -4.3838854055587035e-03  0.0000000000000000e+00 -7.3887161220794464e-03
   5 -1.1129461113503214e-03 -1.7936040946773597e-04 -2.2214750495208649e-03 -3.4461939478974738e-03  0.0000000000000000e+00  1.0002872579345099e-02
   6 -1.7942612628557756e-04  5.3264706710047472e-04 -3.3854221581148974e-03 -1.7621400615652095e-03  0.0000000000000000e+00  3.2356413507427038e-02
   7  7.8448692962031837e-04  4.7684691495726691e-04 -4.1186530456973269e-03  4.9889532194057347e-05  0.0000000000000000e+00  5.0707997821975943e-02
   8  5.8015382107305408e-04 -1.3358782897969238e-04 -3.6333023734816802e-03  1.7677494527373453e-03  0.0000000000000000e+00  5.1778270186115812e-02
   9 -4.7674465300778053e-04 -2.2580095005559890e-04 -2.2453484672307132e-03  3.3513206788857433e-03  0.0000000000000000e+00  4.2659303923172839e-02
  10 -1.1762980027247222e-03  7.6130613958686751e-05 -8.1819913282717702e-04  4.4318828046395215e-03  0.0000000000000000e+00  3.4697190999669975e-02
  11 -1.0060019598748646e-03  1.3456355161561222e-04  6.0162379198176405e-04  4.5040475808271023e-03  0.0000000000000000e+00  4.0647080265294809e-02
  12 -4.2350580981979761e-04 -8.9663171358896770e-05  2.1900336985598936e-03  3.5794232079497256e-03  0.0000000000000000e+00  5.8222762882172888e-02
  13  6.1222384935248056e-05 -2.0011185318255176e-04  3.5888070817346241e-03  1.9951514916094763e-03  0.0000000000000000e+00  8.2623771163629206e-02
  14  2.1368241539644305e-04  3.4745128956154410e-05  4.1848087794410394e-03  5.9838188566602076e-05  0.0000000000000000e+00  1.0412543240250234e-01
  15  1.1035006823624525e-04  4.2828579494209835e-04  3.7544781694480570e-03 -1.8674261101830297e-03  0.0000000000000000e+00  1.1021965222174467e-01
  16 -4.7715203794593546e-05  4.1967382583945099e-04  2.4815509665342215e-03 -3.3939212404737449e-03  0.0000000000000000e+00  1.0135322674754996e-01
  17 -4.2264630275787475e-04 -1.8324134107312981e-04  7.3384023811522787e-04 -4.2947665500031786e-03  0.0000000000000000e+00  9.1612329712070617e-02
  18 -1.0537919832379009e-03 -5.9273034313049491e-04 -8.9304911542494861e-04 -4.4084327522987323e-03  0.0000000000000000e+00  9.6364619195420373e-02
  19 -1.1333220499370905e-03 -1.6014800729413818e-04 -2.1531388060366881e-03 -3.5066708428251321e-03  0.0000000000000000e+00  1.1328590411002362e-01
  20 -1.8231129421523079e-04  5.2478250889647813e-04 -3.3394404311142003e-03 -1.8453589090772129e-03  0.0000000000000000e+00  1.3553390858228012e-01
  21  7.8354867653881435e-04  4.4623675376678307e-04 -4.1161130568816654e-03 -3.7694753076170341e-05  0.0000000000000000e+00  1.5430117281097802e-01
  22  5.7360123520859313e-04 -1.4723239531692315e-04 -3.6760486321741870e-03  1.6939807361620307e-03  0.0000000000000000e+00  1.5626483235633193e-01
  23 -4.7133481063576003e-04 -1.9940456549420106e-04 -2.3168645953592429e-03  3.3016651808649516e-03  0.0000000000000000e+00  1.4763885654238970e-01
  24 -1.1409872303910309e-03  1.0961689533884797e-04 -8.8977648080474736e-04  4.4103969205582733e-03  0.0000000000000000e+00  1.3937343809836569e-01
  25 -9.7413043186129306e-04  1.2512446697863868e-04  5.5248247278135852e-04  4.5184988157448381e-03  0.0000000000000000e+00  1.4483351325025093e-01
  26 -4.4802668093100242e-04 -1.3154996672864376e-04  2.1512842017013729e-03  3.6294472515703610e-03  0.0000000000000000e+00  1.6211714968623717e-01
  27  2.4810265405843013e-06 -2.0825116675081033e-04  3.5498427341639025e-03  2.0582991788983770e-03  0.0000000000000000e+00  1.8656900120162578e-01
  28  1.9809071408034273e-04  7.1296407829348271e-05  4.1785666384808436e-03  1.2069810863836954e-04  0.0000000000000000e+00  2.0846367661877530e-01
  29  1.5656989265252672e-04  4.4749990214071599e-04  3.7936165260422793e-03 -1.8055019113324927e-03  0.0000000000000000e+00  2.1507796189223005e-01
  30 -4.2644475408403112e-06  3.9709294254951032e-04  2.5337859450662759e-03 -3.3399701971696658e-03  0.0000000000000000e+00  2.0630342747696026e-01
  31 -4.2919574899286426e-04 -1.9985298885254353e-04  7.8902109918321740e-04 -4.2743216001337146e-03  0.0000000000000000e+00  1.9613556744718685e-01
  32 -1.0855108236680617e-03 -5.7481764234674441e-04 -8.2485729872242410e-04 -4.4322384672556394e-03  0.0000000000000000e+00  2.0034788850949972e-01
  33 -1.1519049343902811e-03 -1.3956187752632237e-04 -2.0827108390932261e-03 -3.5678381967227516e-03  0.0000000000000000e+00  2.1678824651652251e-01
  34 -1.8467577195690940e-04  5.1493711492882376e-04 -3.2917323204285313e-03 -1.9305989549081286e-03  0.0000000000000000e+00  2.3892390350411960e-01
  35  7.8027365512346660e-04  4.1328121855223207e-04 -4.1120325175651980e-03 -1.2771590903768546e-04  0.0000000000000000e+00  2.5810068703154582e-01
  36  5.6503011061707366e-04 -1.6020958560176640e-04 -3.7185314842273437e-03  1.6180034059841521e-03  0.0000000000000000e+00  2.6100342443278507e-01
  37 -4.6486939032920025e-04 -1.7118848846427046e-04 -2.3898297328846306e-03  3.2498277199108803e-03  0.0000000000000000e+00  2.5290744801750992e-01
  38 -1.1025450010351268e-03  1.4364983277261490e-04 -9.6298112460463641e-04  4.3861935581364260e-03  0.0000000000000000e+00  2.4436034751185109e-01
  39 -9.4011618237272820e-04  1.1456679414211254e-04  5.0265196594940131e-04  4.5303480623039034e-03  0.0000000000000000e+00  2.4929184977689989e-01
  40 -4.7318040615664821e-04 -1.7440551481378384e-04  2.1117032233642324e-03  3.6782856869728257e-03  0.0000000000000000e+00  2.6625316933230730e-01
  41 -5.8502135736711554e-05 -2.1585946897263299e-04  3.5082896350767988e-03  2.1215606320892622e-03  0.0000000000000000e+00  2.9072475903658612e-01
  42  1.8150577832259004e-04  1.0922660088370286e-04  4.1690521978681319e-03  1.8251105974418749e-04  0.0000000000000000e+00  3.1297604439573828e-01
  43  2.0377817577877760e-04  4.6664946737239786e-04  3.8311345371625531e-03 -1.7416131551514671e-03  0.0000000000000000e+00  3.2011572437134578e-01
  44  3.9630170248099593e-05  3.7240244340779868e-04  2.5861171435521933e-03 -3.2835227243730243e-03  0.0000000000000000e+00  3.1144303998077733e-01
  45 -4.3675237596870224e-04 -2.1673271218772324e-04  8.4535995939697653e-04 -4.2517265676962875e-03  0.0000000000000000e+00  3.0087317568365274e-01
  46 -1.1172051354950106e-03 -5.5465098747012917e-04 -7.5472176926273617e-04 -4.4548907061221967e-03  0.0000000000000000e+00  3.0452826327424148e-01
  47 -1.1685847377992250e-03 -1.1776714899179699e-04 -2.0105097152981481e-03 -3.6291761351176519e-03  0.0000000000000000e+00  3.2047917897320105e-01
  48 -1.8661709219513543e-04  5.0322230856767760e-04 -3.2424348989872906e-03 -2.0172804519311351e-03  0.0000000000000000e+00  3.4249455735281298e-01
  49  7.7461239355072092e-04  3.7829466067475242e-04 -4.1062495436286796e-03 -2.1968596220524526e-04  0.0000000000000000e+00  3.6207088388135561e-01
  50  5.5454753549437851e-04 -1.7243757450066178e-04 -3.7603229145667127e-03  1.5401156325764217e-03  0.0000000000000000e+00  3.6595100150876031e-01
  51 -4.5733222627097165e-04 -1.4146186820469624e-04 -2.4637303478411074e-03  3.1959188061139242e-03  0.0000000000000000e+00  3.5841980163089066e-01
  52 -1.0612743703383733e-03  1.7797084749522773e-04 -1.0374706393999141e-03  4.3592179683033866e-03  0.0000000000000000e+00  3.4961606564307018e-01
  53 -9.0418529845338067e-04  1.0311655111258330e-04  4.5217575873467380e-04  4.5393458546142849e-03  0.0000000000000000e+00  3.5397979262815443e-01
