
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3825415166261782e-05   1  1  0  0  0  0  0
    2 -4.0772194708693144e-06   0  0  1  1  0  0  0
    2  8.6189624646016180e-06   0  0  0  0  2  0  0
    3 -9.1888021687042516e-07   3  0  0  0  0  0  0
    3 -1.1316293920756572e-06   2  1  0  0  0  0  0
    3 -1.1316293920756572e-06   1  2  0  0  0  0  0
    3 -9.1888021687042516e-07   0  3  0  0  0  0  0
    3  2.1161714764857768e-06   1  0  2  0  0  0  0
    3  8.8821921861005554e-08   0  1  2  0  0  0  0
    3 -5.4693128031658542e-07   1  0  1  1  0  0  0
    3 -5.4693128031658542e-07   0  1  1  1  0  0  0
    3  8.8821921861005554e-08   1  0  0  2  0  0  0
    3  2.1161714764857768e-06   0  1  0  2  0  0  0
    3 -1.2129498757741113e-06   2  0  0  0  1  0  0
    3 -2.2442576277052892e-15   1  1  0  0  1  0  0
    3 -1.2129498757741113e-06   0  2  0  0  1  0  0
    3  2.2160364744440965e-07   0  0  2  0  1  0  0
    3 -7.5575384459175955e-16   0  0  1  1  1  0  0
    3  2.2160364744440965e-07   0  0  0  2  1  0  0
    3 -5.0440941060491466e-21   1  0  0  0  2  0  0
    3 -5.0440941060491466e-21   0  1  0  0  2  0  0
    3 -1.1690780103958494e-08   0  0  0  0  3  0  0
    4 -4.7573134544291675e-07   4  0  0  0  0  0  0
    4 -4.3224657991162900e-08   3  1  0  0  0  0  0
    4 -3.8409483566937304e-07   2  2  0  0  0  0  0
    4 -4.3224657991162900e-08   1  3  0  0  0  0  0
    4 -4.7573134544291675e-07   0  4  0  0  0  0  0
    4 -1.9837375472235563e-07   2  0  2  0  0  0  0
    4  2.6840413498686396e-07   1  1  2  0  0  0  0
    4 -6.7417364847403045e-08   0  2  2  0  0  0  0
    4  6.5658242587802930e-08   0  0  4  0  0  0  0
    4 -2.4509450020816486e-07   2  0  1  1  0  0  0
    4 -1.0115356015054413e-06   1  1  1  1  0  0  0
    4 -2.4509450020816486e-07   0  2  1  1  0  0  0
    4 -3.3182886997196771e-08   0  0  3  1  0  0  0
    4 -6.7417364847403045e-08   2  0  0  2  0  0  0
    4  2.6840413498686396e-07   1  1  0  2  0  0  0
    4 -1.9837375472235563e-07   0  2  0  2  0  0  0
    4 -1.8803534801281142e-07   0  0  2  2  0  0  0
    4 -3.3182886997196771e-08   0  0  1  3  0  0  0
    4  6.5658242587802930e-08   0  0  0  4  0  0  0
    4  1.1748360851874386e-07   3  0  0  0  1  0  0
    4 -7.5912230428017899e-07   2  1  0  0  1  0  0
    4 -7.5912230428017899e-07   1  2  0  0  1  0  0
    4  1.1748360851874386e-07   0  3  0  0  1  0  0
    4  1.4517315248216495e-08   1  0  2  0  1  0  0
    4  1.7628331653715478e-07   0  1  2  0  1  0  0
    4 -3.9844951379971854e-07   1  0  1  1  1  0  0
    4 -3.9844951379971854e-07   0  1  1  1  1  0  0
    4  1.7628331653715478e-07   1  0  0  2  1  0  0
    4  1.4517315248216495e-08   0  1  0  2  1  0  0
    4 -4.5132618375790023e-07   2  0  0  0  2  0  0
    4 -6.7776541965841588e-08   1  1  0  0  2  0  0
    4 -4.5132618375790023e-07   0  2  0  0  2  0  0
    4  2.5594267340259239e-07   0  0  2  0  2  0  0
    4 -5.0115479035224751e-08   0  0  1  1  2  0  0
    4  2.5594267340259239e-07   0  0  0  2  2  0  0
    4  1.5928714669837464e-21   1  0  0  0  3  0  0
    4  1.5928714669837464e-21   0  1  0  0  3  0  0
    4  1.6963484109989377e-07   0  0  0  0  4  0  0
    5  3.6927568693598644e-07   5  0  0  0  0  0  0
    5 -2.1462024485694999e-07   4  1  0  0  0  0  0
    5 -7.2401886557537572e-08   3  2  0  0  0  0  0
    5 -7.2401886557537572e-08   2  3  0  0  0  0  0
    5 -2.1462024485694999e-07   1  4  0  0  0  0  0
    5  3.6927568693598644e-07   0  5  0  0  0  0  0
    5  1.7078175609504423e-07   3  0  2  0  0  0  0
    5 -4.7468348600837379e-08   2  1  2  0  0  0  0
    5 -1.5936728588921122e-09   1  2  2  0  0  0  0
    5  8.5514492649677651e-08   0  3  2  0  0  0  0
    5 -4.5879506696067290e-08   1  0  4  0  0  0  0
    5 -1.5707062375058665e-10   0  1  4  0  0  0  0
    5 -1.0796469131147481e-07   3  0  1  1  0  0  0
    5  2.3175485642090915e-07   2  1  1  1  0  0  0
    5  2.3175485642090915e-07   1  2  1  1  0  0  0
    5 -1.0796469131147481e-07   0  3  1  1  0  0  0
    5 -2.1162698596252570e-10   1  0  3  1  0  0  0
    5 -2.7654471791450915e-08   0  1  3  1  0  0  0
    5  8.5514492649677651e-08   3  0  0  2  0  0  0
    5 -1.5936728588921122e-09   2  1  0  2  0  0  0
    5 -4.7468348600837379e-08   1  2  0  2  0  0  0
    5  1.7078175609504423e-07   0  3  0  2  0  0  0
    5  1.1557055099279448e-07   1  0  2  2  0  0  0
    5  1.1557055099279448e-07   0  1  2  2  0  0  0
    5 -2.7654471791450915e-08   1  0  1  3  0  0  0
    5 -2.1162698596252570e-10   0  1  1  3  0  0  0
    5 -1.5707062375058665e-10   1  0  0  4  0  0  0
    5 -4.5879506696067290e-08   0  1  0  4  0  0  0
    5 -2.7172442707068354e-07   4  0  0  0  1  0  0
    5 -1.2574884387379803e-07   3  1  0  0  1  0  0
    5  2.1476119560657934e-07   2  2  0  0  1  0  0
    5 -1.2574884387379803e-07   1  3  0  0  1  0  0
    5 -2.7172442707068354e-07   0  4  0  0  1  0  0
    5  4.3852436234582646e-08   2  0  2  0  1  0  0
    5  3.2582623305090905e-09   1  1  2  0  1  0  0
    5 -1.0496128656259622e-08   0  2  2  0  1  0  0
    5 -1.4079399011987010e-08   0  0  4  0  1  0  0
    5 -3.2386738977045159e-08   2  0  1  1  1  0  0
    5 -1.2355677647414912e-07   1  1  1  1  1  0  0
    5 -3.2386738977045159e-08   0  2  1  1  1  0  0
    5  9.3831074584924192e-09   0  0  3  1  1  0  0
    5 -1.0496128656259622e-08   2  0  0  2  1  0  0
    5  3.2582623305090905e-09   1  1  0  2  1  0  0
    5  4.3852436234582646e-08   0  2  0  2  1  0  0
    5  2.4238127627047101e-08   0  0  2  2  1  0  0
    5  9.3831074584924192e-09   0  0  1  3  1  0  0
    5 -1.4079399011987010e-08   0  0  0  4  1  0  0
    5  7.9611631488725606e-08   3  0  0  0  2  0  0
    5 -3.1952834926101749e-07   2  1  0  0  2  0  0
    5 -3.1952834926101749e-07   1  2  0  0  2  0  0
    5  7.9611631488725606e-08   0  3  0  0  2  0  0
    5  1.3420546769159755e-09   1  0  2  0  2  0  0
    5  3.9837490010860126e-09   0  1  2  0  2  0  0
    5 -1.0901157808761078e-07   1  0  1  1  2  0  0
    5 -1.0901157808761078e-07   0  1  1  1  2  0  0
    5  3.9837490010860126e-09   1  0  0  2  2  0  0
    5  1.3420546769159755e-09   0  1  0  2  2  0  0
    5  1.0373251945745639e-08   2  0  0  0  3  0  0
    5  2.3049874439158185e-10   1  1  0  0  3  0  0
    5  1.0373251945745639e-08   0  2  0  0  3  0  0
    5 -3.8473986563385026e-08   0  0  2  0  3  0  0
    5 -5.9881542524879026e-08   0  0  1  1  3  0  0
    5 -3.8473986563385026e-08   0  0  0  2  3  0  0
    5  1.2534156260581498e-22   1  0  0  0  4  0  0
    5  1.2534156260581498e-22   0  1  0  0  4  0  0
    5 -2.8197646331759719e-08   0  0  0  0  5  0  0
    6 -1.5642367525629325e-07   6  0  0  0  0  0  0
    6  3.3524329313023403e-07   5  1  0  0  0  0  0
    6  8.9402717298368682e-08   4  2  0  0  0  0  0
    6 -2.2615238092980406e-07   3  3  0  0  0  0  0
    6  8.9402717298368682e-08   2  4  0  0  0  0  0
    6  3.3524329313023403e-07   1  5  0  0  0  0  0
    6 -1.5642367525629325e-07   0  6  0  0  0  0  0
    6 -9.7280249450591348e-07   4  0  2  0  0  0  0
    6 -1.6273321161996073e-08   3  1  2  0  0  0  0
    6  3.9385852845306666e-08   2  2  2  0  0  0  0
    6  4.0175424663687508e-08   1  3  2  0  0  0  0
    6 -1.6615114048347740e-07   0  4  2  0  0  0  0
    6  2.2516041263961041e-08   2  0  4  0  0  0  0
    6 -2.1073601519694791e-09   1  1  4  0  0  0  0
    6 -6.4805343134809850e-09   0  2  4  0  0  0  0
    6 -1.9533036250694077e-09   0  0  6  0  0  0  0
    6 -2.4250652986216863e-08   4  0  1  1  0  0  0
    6 -9.6016750084590267e-08   3  1  1  1  0  0  0
    6 -7.7929331154889416e-08   2  2  1  1  0  0  0
    6 -9.6016750084590267e-08   1  3  1  1  0  0  0
    6 -2.4250652986216863e-08   0  4  1  1  0  0  0
    6 -6.6634415985301621e-09   2  0  3  1  0  0  0
    6 -1.2410311674251815e-08   1  1  3  1  0  0  0
    6  2.9149324090332979e-08   0  2  3  1  0  0  0
    6  3.3173782256486575e-10   0  0  5  1  0  0  0
    6 -1.6615114048347740e-07   4  0  0  2  0  0  0
    6  4.0175424663687508e-08   3  1  0  2  0  0  0
    6  3.9385852845306666e-08   2  2  0  2  0  0  0
    6 -1.6273321161996073e-08   1  3  0  2  0  0  0
    6 -9.7280249450591348e-07   0  4  0  2  0  0  0
    6 -5.3005359770056713e-08   2  0  2  2  0  0  0
    6  7.1007288331920661e-09   1  1  2  2  0  0  0
    6 -5.3005359770056713e-08   0  2  2  2  0  0  0
    6  4.6978130644542062e-09   0  0  4  2  0  0  0
    6  2.9149324090332979e-08   2  0  1  3  0  0  0
    6 -1.2410311674251815e-08   1  1  1  3  0  0  0
    6 -6.6634415985301621e-09   0  2  1  3  0  0  0
    6 -1.0128595088232194e-08   0  0  3  3  0  0  0
    6 -6.4805343134809850e-09   2  0  0  4  0  0  0
    6 -2.1073601519694791e-09   1  1  0  4  0  0  0
    6  2.2516041263961041e-08   0  2  0  4  0  0  0
    6  4.6978130644542062e-09   0  0  2  4  0  0  0
