
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  1.0603852872912395e-07   3  0  0  0  0  0  0
    3 -7.8000079511890423e-07   2  1  0  0  0  0  0
    3 -7.8000079511890423e-07   1  2  0  0  0  0  0
    3  1.0603852872912395e-07   0  3  0  0  0  0  0
    3  8.2153974477932501e-07   1  0  2  0  0  0  0
    3  3.6516436877745913e-08   0  1  2  0  0  0  0
    3 -4.5758733097243502e-07   1  0  1  1  0  0  0
    3 -4.5758733097243502e-07   0  1  1  1  0  0  0
    3  3.6516436877745913e-08   1  0  0  2  0  0  0
    3  8.2153974477932501e-07   0  1  0  2  0  0  0
    3 -2.2818688734424120e-07   2  0  0  0  1  0  0
    3 -2.2442579982822036e-15   1  1  0  0  1  0  0
    3 -2.2818688734424120e-07   0  2  0  0  1  0  0
    3  4.4684414836102753e-08   0  0  2  0  1  0  0
    3 -7.5575379826964525e-16   0  0  1  1  1  0  0
    3  4.4684414836102753e-08   0  0  0  2  1  0  0
    3  1.2452182207034704e-06   1  0  0  0  2  0  0
    3  1.2452182207034704e-06   0  1  0  0  2  0  0
    3 -1.1690780103958118e-08   0  0  0  0  3  0  0
    4  3.2493412821920807e-08   4  0  0  0  0  0  0
    4  5.7953200175312607e-08   3  1  0  0  0  0  0
    4 -8.5777067255034387e-08   2  2  0  0  0  0  0
    4  5.7953200175312607e-08   1  3  0  0  0  0  0
    4  3.2493412821920807e-08   0  4  0  0  0  0  0
    4  9.8769012706948302e-09   2  0  2  0  0  0  0
    4  5.7232410956751763e-08   1  1  2  0  0  0  0
    4 -1.9782663574205805e-07   0  2  2  0  0  0  0
    4  3.6787684850952364e-08   0  0  4  0  0  0  0
    4 -5.7743506996435476e-08   2  0  1  1  0  0  0
    4 -3.6971908184538823e-07   1  1  1  1  0  0  0
    4 -5.7743506996435476e-08   0  2  1  1  0  0  0
    4 -4.1014683239700142e-08   0  0  3  1  0  0  0
    4 -1.9782663574205805e-07   2  0  0  2  0  0  0
    4  5.7232410956751763e-08   1  1  0  2  0  0  0
    4  9.8769012706948302e-09   0  2  0  2  0  0  0
    4 -5.6223650603384491e-08   0  0  2  2  0  0  0
    4 -4.1014683239700142e-08   0  0  1  3  0  0  0
    4  3.6787684850952364e-08   0  0  0  4  0  0  0
    4 -1.7623183539780044e-08   3  0  0  0  1  0  0
    4 -2.9327745891460016e-07   2  1  0  0  1  0  0
    4 -2.9327745891460016e-07   1  2  0  0  1  0  0
    4 -1.7623183539780044e-08   0  3  0  0  1  0  0
    4  5.4637849852350267e-08   1  0  2  0  1  0  0
    4  4.9163441585464521e-08   0  1  2  0  1  0  0
    4 -2.5822305648224700e-07   1  0  1  1  1  0  0
    4 -2.5822305648224700e-07   0  1  1  1  1  0  0
    4  4.9163441585464521e-08   1  0  0  2  1  0  0
    4  5.4637849852350267e-08   0  1  0  2  1  0  0
    4 -3.5384866079229767e-08   2  0  0  0  2  0  0
    4  4.9098577491369497e-07   1  1  0  0  2  0  0
    4 -3.5384866079229767e-08   0  2  0  0  2  0  0
    4  8.7818433676315159e-08   0  0  2  0  2  0  0
    4  5.5460771508790985e-08   0  0  1  1  2  0  0
    4  8.7818433676315159e-08   0  0  0  2  2  0  0
    4 -1.1142006254491884e-07   1  0  0  0  3  0  0
    4 -1.1142006254491884e-07   0  1  0  0  3  0  0
    4  3.1639217849655364e-08   0  0  0  0  4  0  0
    5 -8.5991790687695501e-09   5  0  0  0  0  0  0
    5 -9.9952581820492219e-09   4  1  0  0  0  0  0
    5  3.2697574703041564e-08   3  2  0  0  0  0  0
    5  3.2697574703041564e-08   2  3  0  0  0  0  0
    5 -9.9952581820492219e-09   1  4  0  0  0  0  0
    5 -8.5991790687695501e-09   0  5  0  0  0  0  0
    5 -6.8480239462915399e-08   3  0  2  0  0  0  0
    5 -1.1596951935423193e-07   2  1  2  0  0  0  0
    5  3.3529894898485245e-08   1  2  2  0  0  0  0
    5 -1.2547813104247932e-08   0  3  2  0  0  0  0
    5  1.2014627689692464e-09   1  0  4  0  0  0  0
    5 -3.4254544449176402e-08   0  1  4  0  0  0  0
    5 -9.4924894672957139e-08   3  0  1  1  0  0  0
    5  2.8682685721503632e-07   2  1  1  1  0  0  0
    5  2.8682685721503632e-07   1  2  1  1  0  0  0
    5 -9.4924894672957139e-08   0  3  1  1  0  0  0
    5 -7.9858033761314934e-08   1  0  3  1  0  0  0
    5 -1.1564169476552877e-08   0  1  3  1  0  0  0
    5 -1.2547813104247932e-08   3  0  0  2  0  0  0
    5  3.3529894898485245e-08   2  1  0  2  0  0  0
    5 -1.1596951935423193e-07   1  2  0  2  0  0  0
    5 -6.8480239462915399e-08   0  3  0  2  0  0  0
    5  6.4196648550059724e-08   1  0  2  2  0  0  0
    5  6.4196648550059724e-08   0  1  2  2  0  0  0
    5 -1.1564169476552877e-08   1  0  1  3  0  0  0
    5 -7.9858033761314934e-08   0  1  1  3  0  0  0
    5 -3.4254544449176402e-08   1  0  0  4  0  0  0
    5  1.2014627689692464e-09   0  1  0  4  0  0  0
    5  4.6174855587258932e-08   4  0  0  0  1  0  0
    5  7.8618354466240455e-08   3  1  0  0  1  0  0
    5  2.0635572449000258e-07   2  2  0  0  1  0  0
    5  7.8618354466240455e-08   1  3  0  0  1  0  0
    5  4.6174855587258932e-08   0  4  0  0  1  0  0
    5 -1.0122102502336363e-07   2  0  2  0  1  0  0
    5 -1.0219564940103467e-07   1  1  2  0  1  0  0
    5  2.0566529353398954e-09   0  2  2  0  1  0  0
    5  5.4713453584642686e-09   0  0  4  0  1  0  0
    5  3.2744598597047932e-08   2  0  1  1  1  0  0
    5  7.4499554023351847e-08   1  1  1  1  1  0  0
    5  3.2744598597047932e-08   0  2  1  1  1  0  0
    5 -2.8626499011301393e-08   0  0  3  1  1  0  0
    5  2.0566529353398954e-09   2  0  0  2  1  0  0
    5 -1.0219564940103467e-07   1  1  0  2  1  0  0
    5 -1.0122102502336363e-07   0  2  0  2  1  0  0
    5  3.1149771929057746e-08   0  0  2  2  1  0  0
    5 -2.8626499011301393e-08   0  0  1  3  1  0  0
    5  5.4713453584642686e-09   0  0  0  4  1  0  0
    5 -4.0852034983519421e-09   3  0  0  0  2  0  0
    5 -9.9103063589926632e-08   2  1  0  0  2  0  0
    5 -9.9103063589926632e-08   1  2  0  0  2  0  0
    5 -4.0852034983519421e-09   0  3  0  0  2  0  0
    5  5.8130388111137303e-08   1  0  2  0  2  0  0
    5 -3.8474098440373550e-08   0  1  2  0  2  0  0
    5  8.3169431401330031e-08   1  0  1  1  2  0  0
    5  8.3169431401330031e-08   0  1  1  1  2  0  0
    5 -3.8474098440373550e-08   1  0  0  2  2  0  0
    5  5.8130388111137303e-08   0  1  0  2  2  0  0
    5 -9.2052407211714618e-08   2  0  0  0  3  0  0
    5  2.0741566333520194e-07   1  1  0  0  3  0  0
    5 -9.2052407211714618e-08   0  2  0  0  3  0  0
    5 -1.5615035029025519e-09   0  0  2  0  3  0  0
    5 -1.4692120619851867e-09   0  0  1  1  3  0  0
    5 -1.5615035029025519e-09   0  0  0  2  3  0  0
    5  1.2289210877645730e-08   1  0  0  0  4  0  0
    5  1.2289210877645730e-08   0  1  0  0  4  0  0
    5  1.1138778139780835e-08   0  0  0  0  5  0  0
    6 -3.7793646412484803e-09   6  0  0  0  0  0  0
    6 -8.9745232039891674e-09   5  1  0  0  0  0  0
    6 -4.7621151227749112e-10   4  2  0  0  0  0  0
    6 -7.3311169175897487e-08   3  3  0  0  0  0  0
    6 -4.7621151227749112e-10   2  4  0  0  0  0  0
    6 -8.9745232039891674e-09   1  5  0  0  0  0  0
    6 -3.7793646412484803e-09   0  6  0  0  0  0  0
    6  2.2445043316252725e-09   4  0  2  0  0  0  0
    6  7.8074467676539391e-08   3  1  2  0  0  0  0
    6  9.3686979028203180e-08   2  2  2  0  0  0  0
    6 -8.5121867926353450e-09   1  3  2  0  0  0  0
    6 -9.4990428598693822e-09   0  4  2  0  0  0  0
    6 -3.1219881339231629e-08   2  0  4  0  0  0  0
    6  1.6877426003703211e-09   1  1  4  0  0  0  0
    6  3.8523866080060457e-09   0  2  4  0  0  0  0
    6 -1.5155944376059497e-09   0  0  6  0  0  0  0
    6 -1.9077179568283953e-08   4  0  1  1  0  0  0
    6 -3.8477669688970663e-08   3  1  1  1  0  0  0
    6 -2.0334599407551199e-07   2  2  1  1  0  0  0
    6 -3.8477669688970663e-08   1  3  1  1  0  0  0
    6 -1.9077179568283953e-08   0  4  1  1  0  0  0
    6  5.7153777384109479e-08   2  0  3  1  0  0  0
    6  9.1665172828831224e-08   1  1  3  1  0  0  0
    6 -3.0931715013824154e-08   0  2  3  1  0  0  0
    6 -1.9248576115964927e-09   0  0  5  1  0  0  0
    6 -9.4990428598693822e-09   4  0  0  2  0  0  0
    6 -8.5121867926353450e-09   3  1  0  2  0  0  0
    6  9.3686979028203180e-08   2  2  0  2  0  0  0
    6  7.8074467676539391e-08   1  3  0  2  0  0  0
    6  2.2445043316252725e-09   0  4  0  2  0  0  0
    6 -3.4219476370818970e-08   2  0  2  2  0  0  0
    6 -1.2363939303962921e-07   1  1  2  2  0  0  0
    6 -3.4219476370818970e-08   0  2  2  2  0  0  0
    6  9.4817477722133993e-09   0  0  4  2  0  0  0
    6 -3.0931715013824154e-08   2  0  1  3  0  0  0
    6  9.1665172828831224e-08   1  1  1  3  0  0  0
    6  5.7153777384109479e-08   0  2  1  3  0  0  0
    6 -1.8937422422822623e-08   0  0  3  3  0  0  0
    6  3.8523866080060457e-09   2  0  0  4  0  0  0
    6  1.6877426003703211e-09   1  1  0  4  0  0  0
    6 -3.1219881339231629e-08   0  2  0  4  0  0  0
    6  9.4817477722133993e-09   0  0  2  4  0  0  0
    6 -1.9248576115964927e-09   0  0  1  5  0  0  0
    6 -1.5155944376059497e-09   0  0  0  6  0  0  0
    6  1.5110856046877258e-08   5  0  0  0  1  0  0
