
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3825415166261782e-05   1  1  0  0  0  0  0
    2 -4.0772194708693144e-06   0  0  1  1  0  0  0
    2  8.6189624646016180e-06   0  0  0  0  2  0  0
    3 -7.7283872317206257e-07   3  0  0  0  0  0  0
    3 -1.2174603514150559e-06   2  1  0  0  0  0  0
    3 -1.2174603514150559e-06   1  2  0  0  0  0  0
    3 -7.7283872317206257e-07   0  3  0  0  0  0  0
    3  2.1215509890195785e-06   1  0  2  0  0  0  0
    3  1.3342543186648262e-08   0  1  2  0  0  0  0
    3 -2.3939106668251922e-07   1  0  1  1  0  0  0
    3 -2.3939106668251922e-07   0  1  1  1  0  0  0
    3  1.3342543186648262e-08   1  0  0  2  0  0  0
    3  2.1215509890195785e-06   0  1  0  2  0  0  0
    3 -1.2126609291269824e-06   2  0  0  0  1  0  0
    3 -5.4672376855239256e-16   1  1  0  0  1  0  0
    3 -1.2126609291269824e-06   0  2  0  0  1  0  0
    3  2.3170709036426954e-07   0  0  2  0  1  0  0
    3 -2.5407875571547851e-16   0  0  1  1  1  0  0
    3  2.3170709036426954e-07   0  0  0  2  1  0  0
    3 -3.3414554951515180e-21   1  0  0  0  2  0  0
    3 -3.3414554951515180e-21   0  1  0  0  2  0  0
    3 -1.0437425464644010e-08   0  0  0  0  3  0  0
    4 -4.0137598312536214e-07   4  0  0  0  0  0  0
    4 -8.2003797993436533e-08   3  1  0  0  0  0  0
    4 -3.4157893987664139e-07   2  2  0  0  0  0  0
    4 -8.2003797993436533e-08   1  3  0  0  0  0  0
    4 -4.0137598312536214e-07   0  4  0  0  0  0  0
    4 -2.1879061222276883e-07   2  0  2  0  0  0  0
    4  2.6227837620156597e-07   1  1  2  0  0  0  0
    4 -4.6947253940472290e-08   0  2  2  0  0  0  0
    4  8.0749775776131614e-08   0  0  4  0  0  0  0
    4 -3.2200011721663863e-07   2  0  1  1  0  0  0
    4 -1.1351025142500830e-06   1  1  1  1  0  0  0
    4 -3.2200011721663863e-07   0  2  1  1  0  0  0
    4 -7.0509706799139448e-08   0  0  3  1  0  0  0
    4 -4.6947253940472290e-08   2  0  0  2  0  0  0
    4  2.6227837620156597e-07   1  1  0  2  0  0  0
    4 -2.1879061222276883e-07   0  2  0  2  0  0  0
    4 -1.4273351157812620e-07   0  0  2  2  0  0  0
    4 -7.0509706799139448e-08   0  0  1  3  0  0  0
    4  8.0749775776131614e-08   0  0  0  4  0  0  0
    4  1.1084022659067332e-07   3  0  0  0  1  0  0
    4 -7.3313849421620516e-07   2  1  0  0  1  0  0
    4 -7.3313849421620516e-07   1  2  0  0  1  0  0
    4  1.1084022659067332e-07   0  3  0  0  1  0  0
    4 -2.5498383962783461e-08   1  0  2  0  1  0  0
    4  1.4530314116523982e-07   0  1  2  0  1  0  0
    4 -2.9743323395426897e-07   1  0  1  1  1  0  0
    4 -2.9743323395426897e-07   0  1  1  1  1  0  0
    4  1.4530314116523982e-07   1  0  0  2  1  0  0
    4 -2.5498383962783461e-08   0  1  0  2  1  0  0
    4 -4.2406102106335605e-07   2  0  0  0  2  0  0
    4 -1.2760924979440064e-07   1  1  0  0  2  0  0
    4 -4.2406102106335605e-07   0  2  0  0  2  0  0
    4  2.6482887093929178e-07   0  0  2  0  2  0  0
    4 -4.2363035187401184e-08   0  0  1  1  2  0  0
    4  2.6482887093929178e-07   0  0  0  2  2  0  0
    4  4.5857312928402619e-22   1  0  0  0  3  0  0
    4  4.5857312928402619e-22   0  1  0  0  3  0  0
    4  1.6862998640320610e-07   0  0  0  0  4  0  0
    5  3.3688764419661601e-07   5  0  0  0  0  0  0
    5 -1.8434490512223805e-07   4  1  0  0  0  0  0
    5 -2.4340963971015798e-08   3  2  0  0  0  0  0
    5 -2.4340963971015798e-08   2  3  0  0  0  0  0
    5 -1.8434490512223805e-07   1  4  0  0  0  0  0
    5  3.3688764419661601e-07   0  5  0  0  0  0  0
    5  1.3190103078028901e-07   3  0  2  0  0  0  0
    5 -1.1736065504807990e-08   2  1  2  0  0  0  0
    5  2.6275636233410787e-08   1  2  2  0  0  0  0
    5  6.8299396734419284e-08   0  3  2  0  0  0  0
    5 -5.3469212120936944e-08   1  0  4  0  0  0  0
    5  3.1440096478567300e-09   0  1  4  0  0  0  0
    5 -4.4872077340315042e-08   3  0  1  1  0  0  0
    5  1.9288756983188895e-07   2  1  1  1  0  0  0
    5  1.9288756983188895e-07   1  2  1  1  0  0  0
    5 -4.4872077340315042e-08   0  3  1  1  0  0  0
    5  1.4630915951801473e-08   1  0  3  1  0  0  0
    5 -2.3473792491935145e-08   0  1  3  1  0  0  0
    5  6.8299396734419284e-08   3  0  0  2  0  0  0
    5  2.6275636233410787e-08   2  1  0  2  0  0  0
    5 -1.1736065504807990e-08   1  2  0  2  0  0  0
    5  1.3190103078028901e-07   0  3  0  2  0  0  0
    5  1.1566258330977765e-07   1  0  2  2  0  0  0
    5  1.1566258330977765e-07   0  1  2  2  0  0  0
    5 -2.3473792491935145e-08   1  0  1  3  0  0  0
    5  1.4630915951801473e-08   0  1  1  3  0  0  0
    5  3.1440096478567300e-09   1  0  0  4  0  0  0
    5 -5.3469212120936944e-08   0  1  0  4  0  0  0
    5 -2.0921969578703493e-07   4  0  0  0  1  0  0
    5 -9.0474444566978685e-08   3  1  0  0  1  0  0
    5  1.9333785010774984e-07   2  2  0  0  1  0  0
    5 -9.0474444566978685e-08   1  3  0  0  1  0  0
    5 -2.0921969578703493e-07   0  4  0  0  1  0  0
    5  7.9466213072255256e-08   2  0  2  0  1  0  0
    5 -2.7648161073786783e-08   1  1  2  0  1  0  0
    5 -3.1055298387984512e-08   0  2  2  0  1  0  0
    5 -1.3926150936195897e-08   0  0  4  0  1  0  0
    5 -1.8908465700985871e-08   2  0  1  1  1  0  0
    5 -1.9153467079249256e-08   1  1  1  1  1  0  0
    5 -1.8908465700985871e-08   0  2  1  1  1  0  0
    5 -2.6568685109635148e-09   0  0  3  1  1  0  0
    5 -3.1055298387984512e-08   2  0  0  2  1  0  0
    5 -2.7648161073786783e-08   1  1  0  2  1  0  0
    5  7.9466213072255256e-08   0  2  0  2  1  0  0
    5  4.6415887014625265e-08   0  0  2  2  1  0  0
    5 -2.6568685109635148e-09   0  0  1  3  1  0  0
    5 -1.3926150936195897e-08   0  0  0  4  1  0  0
    5  5.4930951918686374e-08   3  0  0  0  2  0  0
    5 -3.0290315038148944e-07   2  1  0  0  2  0  0
    5 -3.0290315038148944e-07   1  2  0  0  2  0  0
    5  5.4930951918686374e-08   0  3  0  0  2  0  0
    5  1.5176088329256349e-09   1  0  2  0  2  0  0
    5  3.7192475103834496e-08   0  1  2  0  2  0  0
    5 -1.8558403985758413e-07   1  0  1  1  2  0  0
    5 -1.8558403985758413e-07   0  1  1  1  2  0  0
    5  3.7192475103834496e-08   1  0  0  2  2  0  0
    5  1.5176088329256349e-09   0  1  0  2  2  0  0
    5  4.5592698830360473e-09   2  0  0  0  3  0  0
    5 -4.0243857666044083e-09   1  1  0  0  3  0  0
    5  4.5592698830360473e-09   0  2  0  0  3  0  0
    5 -5.2207040665663968e-08   0  0  2  0  3  0  0
    5 -3.4295688766059216e-08   0  0  1  1  3  0  0
    5 -5.2207040665663968e-08   0  0  0  2  3  0  0
    5 -2.4646182675690257e-22   1  0  0  0  4  0  0
    5 -2.4646182675690257e-22   0  1  0  0  4  0  0
    5 -2.8994518077808878e-08   0  0  0  0  5  0  0
    6 -1.4151613394005661e-07   6  0  0  0  0  0  0
    6  3.3391605952772822e-07   5  1  0  0  0  0  0
    6  5.5863231659337956e-08   4  2  0  0  0  0  0
    6 -1.7155998700328767e-07   3  3  0  0  0  0  0
    6  5.5863231659337956e-08   2  4  0  0  0  0  0
    6  3.3391605952772822e-07   1  5  0  0  0  0  0
    6 -1.4151613394005661e-07   0  6  0  0  0  0  0
    6 -6.7705694578580881e-07   4  0  2  0  0  0  0
    6 -3.0539912494559211e-08   3  1  2  0  0  0  0
    6  1.4002711486843681e-08   2  2  2  0  0  0  0
    6  2.9151294025579801e-08   1  3  2  0  0  0  0
    6 -1.5662478651173695e-07   0  4  2  0  0  0  0
    6  3.2128351084294407e-08   2  0  4  0  0  0  0
    6 -5.0429043205341087e-09   1  1  4  0  0  0  0
    6 -3.4043701451850767e-09   0  2  4  0  0  0  0
    6 -2.6059619535772118e-09   0  0  6  0  0  0  0
    6 -7.9507612853803290e-08   4  0  1  1  0  0  0
    6 -7.4583887378110215e-08   3  1  1  1  0  0  0
    6 -5.6603931107715310e-08   2  2  1  1  0  0  0
    6 -7.4583887378110215e-08   1  3  1  1  0  0  0
    6 -7.9507612853803290e-08   0  4  1  1  0  0  0
    6 -2.6318291036937699e-08   2  0  3  1  0  0  0
    6  2.2945600131222886e-09   1  1  3  1  0  0  0
    6  1.7443460710364314e-08   0  2  3  1  0  0  0
    6  8.1656042206345036e-10   0  0  5  1  0  0  0
    6 -1.5662478651173695e-07   4  0  0  2  0  0  0
    6  2.9151294025579801e-08   3  1  0  2  0  0  0
    6  1.4002711486843681e-08   2  2  0  2  0  0  0
    6 -3.0539912494559211e-08   1  3  0  2  0  0  0
    6 -6.7705694578580881e-07   0  4  0  2  0  0  0
    6 -3.9428035684124830e-08   2  0  2  2  0  0  0
    6 -3.2001803465114008e-08   1  1  2  2  0  0  0
    6 -3.9428035684124830e-08   0  2  2  2  0  0  0
    6  8.0847908899249009e-09   0  0  4  2  0  0  0
    6  1.7443460710364314e-08   2  0  1  3  0  0  0
    6  2.2945600131222886e-09   1  1  1  3  0  0  0
    6 -2.6318291036937699e-08   0  2  1  3  0  0  0
    6 -1.6513244962171604e-08   0  0  3  3  0  0  0
    6 -3.4043701451850767e-09   2  0  0  4  0  0  0
    6 -5.0429043205341087e-09   1  1  0  4  0  0  0
    6  3.2128351084294407e-08   0  2  0  4  0  0  0
    6  8.0847908899249009e-09   0  0  2  4  0  0  0
