
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  1.3523808112207684e-07   3  0  0  0  0  0  0
    3 -8.8496843585435147e-07   2  1  0  0  0  0  0
    3 -8.8496843585435147e-07   1  2  0  0  0  0  0
    3  1.3523808112207684e-07   0  3  0  0  0  0  0
    3  7.1673368991979369e-07   1  0  2  0  0  0  0
    3  1.5147969471085094e-08   0  1  2  0  0  0  0
    3 -1.5586196658548088e-07   1  0  1  1  0  0  0
    3 -1.5586196658548088e-07   0  1  1  1  0  0  0
    3  1.5147969471085094e-08   1  0  0  2  0  0  0
    3  7.1673368991979369e-07   0  1  0  2  0  0  0
    3 -2.1778420554693726e-07   2  0  0  0  1  0  0
    3 -5.4672390090129057e-16   1  1  0  0  1  0  0
    3 -2.1778420554693726e-07   0  2  0  0  1  0  0
    3  2.1406022817838374e-07   0  0  2  0  1  0  0
    3 -2.5407864983636010e-16   0  0  1  1  1  0  0
    3  2.1406022817838374e-07   0  0  0  2  1  0  0
    3  1.1857218998405303e-06   1  0  0  0  2  0  0
    3  1.1857218998405303e-06   0  1  0  0  2  0  0
    3 -1.0437425464643635e-08   0  0  0  0  3  0  0
    4  2.9447461233962944e-08   4  0  0  0  0  0  0
    4  2.5153921223460645e-08   3  1  0  0  0  0  0
    4 -1.0157326896376744e-07   2  2  0  0  0  0  0
    4  2.5153921223460645e-08   1  3  0  0  0  0  0
    4  2.9447461233962944e-08   0  4  0  0  0  0  0
    4  3.4010186601546981e-08   2  0  2  0  0  0  0
    4  8.5395114617994201e-08   1  1  2  0  0  0  0
    4 -1.1626632050042751e-07   0  2  2  0  0  0  0
    4  4.2129205879282730e-08   0  0  4  0  0  0  0
    4 -5.1592597889683291e-08   2  0  1  1  0  0  0
    4 -5.1496311261339634e-07   1  1  1  1  0  0  0
    4 -5.1592597889683291e-08   0  2  1  1  0  0  0
    4 -7.2994522756167355e-08   0  0  3  1  0  0  0
    4 -1.1626632050042751e-07   2  0  0  2  0  0  0
    4  8.5395114617994201e-08   1  1  0  2  0  0  0
    4  3.4010186601546981e-08   0  2  0  2  0  0  0
    4 -1.6064864958155903e-08   0  0  2  2  0  0  0
    4 -7.2994522756167355e-08   0  0  1  3  0  0  0
    4  4.2129205879282730e-08   0  0  0  4  0  0  0
    4 -2.9872915666311071e-08   3  0  0  0  1  0  0
    4 -2.8664110481119886e-07   2  1  0  0  1  0  0
    4 -2.8664110481119886e-07   1  2  0  0  1  0  0
    4 -2.9872915666311071e-08   0  3  0  0  1  0  0
    4 -1.4135138478783201e-08   1  0  2  0  1  0  0
    4 -1.0342496911817616e-08   0  1  2  0  1  0  0
    4 -1.6093529961220686e-07   1  0  1  1  1  0  0
    4 -1.6093529961220686e-07   0  1  1  1  1  0  0
    4 -1.0342496911817616e-08   1  0  0  2  1  0  0
    4 -1.4135138478783201e-08   0  1  0  2  1  0  0
    4 -2.7644887568903029e-08   2  0  0  0  2  0  0
    4  4.6172039396641078e-07   1  1  0  0  2  0  0
    4 -2.7644887568903029e-08   0  2  0  0  2  0  0
    4  8.5323380310352532e-08   0  0  2  0  2  0  0
    4  2.0481266257820916e-09   0  0  1  1  2  0  0
    4  8.5323380310352532e-08   0  0  0  2  2  0  0
    4 -1.1050069977096343e-07   1  0  0  0  3  0  0
    4 -1.1050069977096343e-07   0  1  0  0  3  0  0
    4  3.1765109177191880e-08   0  0  0  0  4  0  0
    5 -5.2077296321161989e-09   5  0  0  0  0  0  0
    5 -7.3370433801720609e-09   4  1  0  0  0  0  0
    5  6.0989238254282977e-08   3  2  0  0  0  0  0
    5  6.0989238254282977e-08   2  3  0  0  0  0  0
    5 -7.3370433801720609e-09   1  4  0  0  0  0  0
    5 -5.2077296321161989e-09   0  5  0  0  0  0  0
    5 -6.8808633143691102e-08   3  0  2  0  0  0  0
    5 -1.3194790556163349e-07   2  1  2  0  0  0  0
    5  1.3169771774697149e-08   1  2  2  0  0  0  0
    5 -9.7652291860672034e-09   0  3  2  0  0  0  0
    5 -2.8748355929127841e-09   1  0  4  0  0  0  0
    5 -1.9034980335965191e-08   0  1  4  0  0  0  0
    5 -7.0247774800219523e-08   3  0  1  1  0  0  0
    5  2.4974167567007061e-07   2  1  1  1  0  0  0
    5  2.4974167567007061e-07   1  2  1  1  0  0  0
    5 -7.0247774800219523e-08   0  3  1  1  0  0  0
    5 -5.7728522975046307e-08   1  0  3  1  0  0  0
    5  1.9981216415748005e-09   0  1  3  1  0  0  0
    5 -9.7652291860672034e-09   3  0  0  2  0  0  0
    5  1.3169771774697149e-08   2  1  0  2  0  0  0
    5 -1.3194790556163349e-07   1  2  0  2  0  0  0
    5 -6.8808633143691102e-08   0  3  0  2  0  0  0
    5  4.3850159702740812e-08   1  0  2  2  0  0  0
    5  4.3850159702740812e-08   0  1  2  2  0  0  0
    5  1.9981216415748005e-09   1  0  1  3  0  0  0
    5 -5.7728522975046307e-08   0  1  1  3  0  0  0
    5 -1.9034980335965191e-08   1  0  0  4  0  0  0
    5 -2.8748355929127841e-09   0  1  0  4  0  0  0
    5  3.8440203245264082e-08   4  0  0  0  1  0  0
    5  8.4818870189636613e-08   3  1  0  0  1  0  0
    5  2.2651330363534792e-07   2  2  0  0  1  0  0
    5  8.4818870189636613e-08   1  3  0  0  1  0  0
    5  3.8440203245264082e-08   0  4  0  0  1  0  0
    5 -9.0086690961030392e-08   2  0  2  0  1  0  0
    5 -1.0771668578238891e-07   1  1  2  0  1  0  0
    5 -2.7911242724602350e-08   0  2  2  0  1  0  0
    5 -8.9092735598003806e-09   0  0  4  0  1  0  0
    5  5.4212404446174683e-08   2  0  1  1  1  0  0
    5  9.2415953327283287e-08   1  1  1  1  1  0  0
    5  5.4212404446174683e-08   0  2  1  1  1  0  0
    5 -2.2813655277270906e-08   0  0  3  1  1  0  0
    5 -2.7911242724602350e-08   2  0  0  2  1  0  0
    5 -1.0771668578238891e-07   1  1  0  2  1  0  0
    5 -9.0086690961030392e-08   0  2  0  2  1  0  0
    5  4.3133830719448345e-08   0  0  2  2  1  0  0
    5 -2.2813655277270906e-08   0  0  1  3  1  0  0
    5 -8.9092735598003806e-09   0  0  0  4  1  0  0
    5 -7.0930250815656571e-09   3  0  0  0  2  0  0
    5 -9.8110346961635136e-08   2  1  0  0  2  0  0
    5 -9.8110346961635136e-08   1  2  0  0  2  0  0
    5 -7.0930250815656571e-09   0  3  0  0  2  0  0
    5  6.4043563975435271e-08   1  0  2  0  2  0  0
    5  1.8185496161397582e-08   0  1  2  0  2  0  0
    5  3.3890541335504335e-08   1  0  1  1  2  0  0
    5  3.3890541335504335e-08   0  1  1  1  2  0  0
    5  1.8185496161397582e-08   1  0  0  2  2  0  0
    5  6.4043563975435271e-08   0  1  0  2  2  0  0
    5 -8.5337550359253991e-08   2  0  0  0  3  0  0
    5  1.7849527134122088e-07   1  1  0  0  3  0  0
    5 -8.5337550359253991e-08   0  2  0  0  3  0  0
    5 -2.3720117551303342e-08   0  0  2  0  3  0  0
    5  9.0434817463005878e-09   0  0  1  1  3  0  0
    5 -2.3720117551303342e-08   0  0  0  2  3  0  0
    5  1.3699346911930531e-08   1  0  0  0  4  0  0
    5  1.3699346911930531e-08   0  1  0  0  4  0  0
    5  8.7958298780838284e-09   0  0  0  0  5  0  0
    6 -2.4818911296763369e-09   6  0  0  0  0  0  0
    6 -5.7422464844102860e-09   5  1  0  0  0  0  0
    6 -7.5720577596837994e-09   4  2  0  0  0  0  0
    6 -7.8362279298475104e-08   3  3  0  0  0  0  0
    6 -7.5720577596837994e-09   2  4  0  0  0  0  0
    6 -5.7422464844102860e-09   1  5  0  0  0  0  0
    6 -2.4818911296763369e-09   0  6  0  0  0  0  0
    6 -4.3871681755767501e-10   4  0  2  0  0  0  0
    6  6.9661255293175258e-08   3  1  2  0  0  0  0
    6  8.9030504075191206e-08   2  2  2  0  0  0  0
    6 -7.2792261152203014e-09   1  3  2  0  0  0  0
    6 -5.6391421416577891e-09   0  4  2  0  0  0  0
    6 -2.4262973772203289e-08   2  0  4  0  0  0  0
    6  1.8110982465000561e-09   1  1  4  0  0  0  0
    6  2.4130106016117746e-09   0  2  4  0  0  0  0
    6 -1.1801578798966019e-09   0  0  6  0  0  0  0
    6 -1.3844154211262773e-08   4  0  1  1  0  0  0
    6 -3.6138663765769306e-08   3  1  1  1  0  0  0
    6 -1.7775255906769205e-07   2  2  1  1  0  0  0
    6 -3.6138663765769306e-08   1  3  1  1  0  0  0
    6 -1.3844154211262773e-08   0  4  1  1  0  0  0
    6  4.6444467642475710e-08   2  0  3  1  0  0  0
    6  8.0333024727313075e-08   1  1  3  1  0  0  0
    6 -2.2088746328104395e-08   0  2  3  1  0  0  0
    6  1.3439285540330856e-09   0  0  5  1  0  0  0
    6 -5.6391421416577891e-09   4  0  0  2  0  0  0
    6 -7.2792261152203014e-09   3  1  0  2  0  0  0
    6  8.9030504075191206e-08   2  2  0  2  0  0  0
    6  6.9661255293175258e-08   1  3  0  2  0  0  0
    6 -4.3871681755767501e-10   0  4  0  2  0  0  0
    6 -3.0316122872778994e-08   2  0  2  2  0  0  0
    6 -1.2432733009661261e-07   1  1  2  2  0  0  0
    6 -3.0316122872778994e-08   0  2  2  2  0  0  0
    6  1.0007079524170961e-08   0  0  4  2  0  0  0
    6 -2.2088746328104395e-08   2  0  1  3  0  0  0
    6  8.0333024727313075e-08   1  1  1  3  0  0  0
    6  4.6444467642475710e-08   0  2  1  3  0  0  0
    6 -2.0971864141920695e-08   0  0  3  3  0  0  0
    6  2.4130106016117746e-09   2  0  0  4  0  0  0
    6  1.8110982465000561e-09   1  1  0  4  0  0  0
    6 -2.4262973772203289e-08   0  2  0  4  0  0  0
    6  1.0007079524170961e-08   0  0  2  4  0  0  0
    6  1.3439285540330856e-09   0  0  1  5  0  0  0
    6 -1.1801578798966019e-09   0  0  0  6  0  0  0
    6  1.3491233495599520e-08   5  0  0  0  1  0  0
