
tpsa, NO = 8, NV = 7, INA = 48019
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  2.4353132827981347e-01   1  0  0  0  0  0  0
    1  1.8587589915861045e+01   0  1  0  0  0  0  0
    1 -1.9437879664638334e-04   0  0  0  0  1  0  0
    2 -8.4791500493256464e+00   2  0  0  0  0  0  0
    2 -2.4339775401320603e+02   1  1  0  0  0  0  0
    2 -1.7217281878893666e+03   0  2  0  0  0  0  0
    2  7.6524985134253285e+00   0  0  2  0  0  0  0
    2  3.6577725410668484e+02   0  0  1  1  0  0  0
    2 -1.5707309083355835e+02   0  0  0  2  0  0  0
    2 -1.4742891517735890e-02   1  0  0  0  1  0  0
    2 -1.0875340283744517e+02   0  1  0  0  1  0  0
    2  1.9786667067461927e+00   0  0  0  0  2  0  0
    3 -2.9718417028185797e+00   3  0  0  0  0  0  0
    3  2.0013200248969699e+03   2  1  0  0  0  0  0
    3 -6.6285525099295221e+04   1  2  0  0  0  0  0
    3  4.3468084028654330e+05   0  3  0  0  0  0  0
    3 -8.8606156743044494e+01   1  0  2  0  0  0  0
    3 -8.5937594377393762e+03   0  1  2  0  0  0  0
    3 -1.5715275675428484e+03   1  0  1  1  0  0  0
    3 -1.2058271951947617e+05   0  1  1  1  0  0  0
    3 -1.1103790889666017e+04   1  0  0  2  0  0  0
    3  3.0342895281869039e+05   0  1  0  2  0  0  0
    3 -1.5374074501525854e+02   2  0  0  0  1  0  0
    3  1.4316718055676297e+03   1  1  0  0  1  0  0
    3  2.0571624724785077e+04   0  2  0  0  1  0  0
    3 -1.3436969256044011e+02   0  0  2  0  1  0  0
    3 -1.2575794122081509e+03   0  0  1  1  1  0  0
    3  5.9304403312276838e+02   0  0  0  2  1  0  0
    3  5.1610023646573438e+01   1  0  0  0  2  0  0
    3 -3.6661076855155261e+02   0  1  0  0  2  0  0
    3 -1.3253844827750665e+01   0  0  0  0  3  0  0
    4  1.5582163633991056e+03   4  0  0  0  0  0  0
    4  6.1598728939225315e+04   3  1  0  0  0  0  0
    4  3.1946403949725390e+06   2  2  0  0  0  0  0
    4  1.7338860488285515e+07   1  3  0  0  0  0  0
    4 -1.9676382841759694e+08   0  4  0  0  0  0  0
    4  2.7259418965353434e+04   2  0  2  0  0  0  0
    4 -3.3079409892179212e+05   1  1  2  0  0  0  0
    4  4.5830272470933571e+06   0  2  2  0  0  0  0
    4 -1.0487819642400445e+04   0  0  4  0  0  0  0
    4  4.0810837023906504e+04   2  0  1  1  0  0  0
    4  2.8249597536847680e+06   1  1  1  1  0  0  0
    4 -2.1258755322493397e+07   0  2  1  1  0  0  0
    4 -3.5804271036972915e+05   0  0  3  1  0  0  0
    4  3.2792735970111476e+05   2  0  0  2  0  0  0
    4  9.7181425386050697e+06   1  1  0  2  0  0  0
    4 -1.4557349761568645e+08   0  2  0  2  0  0  0
    4  1.1307960521138554e+05   0  0  2  2  0  0  0
    4  6.8165281222691666e+06   0  0  1  3  0  0  0
    4 -5.8500526263093315e+06   0  0  0  4  0  0  0
    4  4.0931182448094623e+03   3  0  0  0  1  0  0
    4  2.2473539469359002e+03   2  1  0  0  1  0  0
    4 -8.8021857300040685e+05   1  2  0  0  1  0  0
    4 -4.2498253539512465e+06   0  3  0  0  1  0  0
    4  4.1617686883467022e+03   1  0  2  0  1  0  0
    4  9.1059880986070682e+04   0  1  2  0  1  0  0
    4 -1.3120920669373249e+04   1  0  1  1  1  0  0
    4  8.8250236183235678e+05   0  1  1  1  1  0  0
    4  5.7625648273559578e+04   1  0  0  2  1  0  0
    4 -9.1424452226726373e+05   0  1  0  2  1  0  0
    4 -2.3724052094827330e+03   2  0  0  0  2  0  0
    4  1.6837450727364208e+04   1  1  0  0  2  0  0
    4  4.2266224986955506e+05   0  2  0  0  2  0  0
    4 -8.7476025495402382e+01   0  0  2  0  2  0  0
    4 -4.3479912452419903e+03   0  0  1  1  2  0  0
    4  5.6707001513597330e+04   0  0  0  2  2  0  0
    4  9.8964852560130453e+02   1  0  0  0  3  0  0
    4 -2.9387469480678137e+03   0  1  0  0  3  0  0
    4 -9.9702662076800436e+01   0  0  0  0  4  0  0
    5 -1.3284242962993664e+05   5  0  0  0  0  0  0
    5 -1.3411615522100048e+06   4  1  0  0  0  0  0
    5 -9.6357686789219618e+07   3  2  0  0  0  0  0
    5  1.4241337506394601e+08   2  3  0  0  0  0  0
    5 -5.2607684507974157e+09   1  4  0  0  0  0  0
    5  1.0119507979327180e+11   0  5  0  0  0  0  0
    5 -2.6678616746890935e+05   3  0  2  0  0  0  0
    5  2.1030558230175853e+07   2  1  2  0  0  0  0
    5 -1.9604875640053004e+08   1  2  2  0  0  0  0
    5 -1.6975448208573997e+09   0  3  2  0  0  0  0
    5 -1.0738222749236445e+06   1  0  4  0  0  0  0
    5  9.5417932635477036e+06   0  1  4  0  0  0  0
    5  1.8481759582320950e+06   3  0  1  1  0  0  0
    5  6.1564269803499714e+07   2  1  1  1  0  0  0
    5  1.2516476262058182e+09   1  2  1  1  0  0  0
    5  3.8336098523956490e+08   0  3  1  1  0  0  0
    5  1.4835749642767178e+07   1  0  3  1  0  0  0
    5  3.3659594837717220e+07   0  1  3  1  0  0  0
    5 -1.1131919160790620e+07   3  0  0  2  0  0  0
    5  1.1478303017474917e+08   2  1  0  2  0  0  0
    5 -2.3576624652481527e+09   1  2  0  2  0  0  0
    5  1.9590774488839378e+10   0  3  0  2  0  0  0
    5  3.5387476966010734e+07   1  0  2  2  0  0  0
    5 -1.2901744502100759e+09   0  1  2  2  0  0  0
    5  1.5607631346996200e+08   1  0  1  3  0  0  0
    5 -4.3432641638416853e+09   0  1  1  3  0  0  0
    5 -4.9834770184284770e+08   1  0  0  4  0  0  0
    5  6.3973618620904789e+09   0  1  0  4  0  0  0
    5  1.8496629236055439e+05   4  0  0  0  1  0  0
    5 -1.3408831820824225e+06   3  1  0  0  1  0  0
    5  1.1423658884349898e+07   2  2  0  0  1  0  0
    5 -1.4099855609050089e+08   1  3  0  0  1  0  0
    5 -2.9180291596977119e+09   0  4  0  0  1  0  0
    5 -2.7012136806994036e+05   2  0  2  0  1  0  0
    5 -6.0055123214920415e+06   1  1  2  0  1  0  0
    5 -9.0612294720224425e+07   0  2  2  0  1  0  0
    5  5.3069963714947313e+04   0  0  4  0  1  0  0
    5 -1.5433397079438489e+05   2  0  1  1  1  0  0
    5 -2.5281744271183070e+07   1  1  1  1  1  0  0
    5  2.9060919804573357e+07   0  2  1  1  1  0  0
    5  2.2215370019672755e+06   0  0  3  1  1  0  0
    5  3.2055449222608758e+06   2  0  0  2  1  0  0
    5 -1.1361568942577037e+08   1  1  0  2  1  0  0
    5 -4.1088278288635504e+08   0  2  0  2  1  0  0
    5 -7.9664088749593683e+05   0  0  2  2  1  0  0
    5 -3.4490712553615935e+07   0  0  1  3  1  0  0
    5 -6.0947220435659505e+07   0  0  0  4  1  0  0
    5 -1.7439011018897899e+05   3  0  0  0  2  0  0
    5 -9.0250103965507180e+04   2  1  0  0  2  0  0
    5 -1.5373731433204543e+06   1  2  0  0  2  0  0
    5 -8.6617337094348967e+07   0  3  0  0  2  0  0
    5  6.5077081077811026e+03   1  0  2  0  2  0  0
    5  2.0264628420871051e+06   0  1  2  0  2  0  0
    5 -1.8703376964019367e+05   1  0  1  1  2  0  0
    5  4.6974447017542822e+06   0  1  1  1  2  0  0
    5 -3.0327229012593525e+06   1  0  0  2  2  0  0
    5 -1.4685682466822781e+07   0  1  0  2  2  0  0
    5  5.7642173295831089e+04   2  0  0  0  3  0  0
    5 -1.3054638285182120e+05   1  1  0  0  3  0  0
    5 -1.9393639380162712e+06   0  2  0  0  3  0  0
    5 -5.6301177716063130e+03   0  0  2  0  3  0  0
    5  1.4710856743980400e+05   0  0  1  1  3  0  0
    5  4.0685357260192867e+05   0  0  0  2  3  0  0
    5 -9.7229095803334330e+03   1  0  0  0  4  0  0
    5  6.0683181126657859e+04   0  1  0  0  4  0  0
    5  6.1971081340899173e+02   0  0  0  0  5  0  0
    6 -2.8938314424843499e+06   6  0  0  0  0  0  0
    6  3.9227601790177844e+07   5  1  0  0  0  0  0
    6 -2.4016165565397787e+08   4  2  0  0  0  0  0
    6  2.0940199414518700e+09   3  3  0  0  0  0  0
    6 -1.2467227167192476e+11   2  4  0  0  0  0  0
    6 -1.3284181912170234e+12   1  5  0  0  0  0  0
    6 -3.0281372038562445e+13   0  6  0  0  0  0  0
    6  8.0500576401817817e+06   4  0  2  0  0  0  0
    6 -4.3654348252496552e+08   3  1  2  0  0  0  0
    6  1.0263159546241720e+10   2  2  2  0  0  0  0
    6  1.3099546696362053e+10   1  3  2  0  0  0  0
    6  1.2394862646091882e+12   0  4  2  0  0  0  0
    6  7.3616274093189597e+07   2  0  4  0  0  0  0
    6 -6.0306837458657837e+08   1  1  4  0  0  0  0
    6 -2.8530932627773824e+09   0  2  4  0  0  0  0
    6  1.1833738164121589e+07   0  0  6  0  0  0  0
    6 -1.0649631506765459e+08   4  0  1  1  0  0  0
    6 -2.8191319647428660e+09   3  1  1  1  0  0  0
    6 -4.4908512819533783e+10   2  2  1  1  0  0  0
    6  1.1580985097273584e+11   1  3  1  1  0  0  0
    6  5.4252083838349043e+12   0  4  1  1  0  0  0
    6 -1.0103262765680683e+08   2  0  3  1  0  0  0
    6 -4.1961709676207805e+09   1  1  3  1  0  0  0
    6 -2.0111495773606331e+10   0  2  3  1  0  0  0
    6 -2.1585146603153929e+07   0  0  5  1  0  0  0
    6 -5.5393694167460454e+08   4  0  0  2  0  0  0
    6  1.8201280164415498e+09   3  1  0  2  0  0  0
    6 -7.9311088619303131e+10   2  2  0  2  0  0  0
    6  3.1415912614518242e+12   1  3  0  2  0  0  0
    6 -9.6818421901549414e+12   0  4  0  2  0  0  0
    6  7.2017656302534783e+08   2  0  2  2  0  0  0
    6  4.8158456972454224e+09   1  1  2  2  0  0  0
    6  8.9731703528843774e+11   0  2  2  2  0  0  0
