
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1  2.7793047966233553e-10   0  0  0  0  1  0  0
    2 -1.6041516330640633e+02   1  1  0  0  0  0  0
    2  1.2208472750946083e+02   0  0  1  1  0  0  0
    2 -1.4424160996437700e+00   0  0  0  0  2  0  0
    3 -1.6102682980761150e+04   1  1  0  0  1  0  0
    3 -4.4815686686589597e+03   0  0  1  1  1  0  0
    3 -8.1766172060422591e+01   0  0  0  0  3  0  0
    4  1.0516586431603072e+07   2  2  0  0  0  0  0
    4  2.0612335761195928e+07   1  1  1  1  0  0  0
    4  4.2797304022798203e+06   0  0  2  2  0  0  0
    4  2.5939284928398189e+05   1  1  0  0  2  0  0
    4 -1.9478556065636385e+04   0  0  1  1  2  0  0
    4  2.6672148146355457e+03   0  0  0  0  4  0  0
    5 -1.1277160902579933e+08   2  2  0  0  1  0  0
    5 -1.6771092159249064e+08   1  1  1  1  1  0  0
    5 -6.4103410263227284e+07   0  0  2  2  1  0  0
    5 -3.3811489979914804e+06   1  1  0  0  3  0  0
    5  3.4430959863468620e+05   0  0  1  1  3  0  0
    5 -7.4215740462316608e+04   0  0  0  0  5  0  0
    6  1.8213837786700669e-06   5  1  0  0  0  0  0
    6  5.2136491059548370e+10   3  3  0  0  0  0  0
    6  6.0712792622335566e-07   1  5  0  0  0  0  0
    6  1.4580359159180692e+11   2  2  1  1  0  0  0
    6  1.0994133964859286e+11   1  1  2  2  0  0  0
    6  3.1549913624274284e+10   0  0  3  3  0  0  0
    6 -9.4863738472399325e-08   4  0  0  0  2  0  0
    6 -2.3023411756445665e+09   2  2  0  0  2  0  0
    6 -1.8972747694479864e-08   0  4  0  0  2  0  0
    6 -1.6929055242539635e+09   1  1  1  1  2  0  0
    6 -6.7449909457959795e+08   0  0  2  2  2  0  0
    6  8.4419581989342093e+07   1  1  0  0  4  0  0
    6  5.0853664642641835e+07   0  0  1  1  4  0  0
    6  1.2111373084388678e+06   0  0  0  0  6  0  0
  -34  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50241
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1  8.3379143898700652e-12   0  0  0  0  1  0  0
    2 -3.3481597067402491e-03   1  1  0  0  0  0  0
    2  2.1413306374413223e-03   0  0  1  1  0  0  0
    2 -1.2981744896793930e-03   0  0  0  0  2  0  0
    3 -1.0082778937228436e-02   1  1  0  0  1  0  0
    3 -2.3581623573479841e-03   0  0  1  1  1  0  0
    3 -2.2076866456314098e-03   0  0  0  0  3  0  0
    4  4.5813797426175447e-03   2  2  0  0  0  0  0
    4  7.5458878916218573e-03   1  1  1  1  0  0  0
    4  1.3166222710988531e-03   0  0  2  2  0  0  0
    4  4.8726055658295832e-03   1  1  0  0  2  0  0
    4 -3.0748339087630821e-04   0  0  1  1  2  0  0
    4  2.1604439998547920e-03   0  0  0  0  4  0  0
    5 -1.4738134902232583e-03   2  2  0  0  1  0  0
    5 -1.8418986967793675e-03   1  1  1  1  1  0  0
    5 -5.9162589466611130e-04   0  0  2  2  1  0  0
    5 -1.9054116725255974e-03   1  1  0  0  3  0  0
    5  1.6305543779945755e-04   0  0  1  1  3  0  0
    5 -1.8034424932342934e-03   0  0  0  0  5  0  0
    6  1.6560891351699653e-20   5  1  0  0  0  0  0
    6  4.7404988119884077e-04   3  3  0  0  0  0  0
    6  5.5202971172332179e-21   1  5  0  0  0  0  0
    6  1.1140690530077305e-03   2  2  1  1  0  0  0
    6  7.0593799578877209e-04   1  1  2  2  0  0  0
    6  1.7024146673177645e-04   0  0  3  3  0  0  0
    6 -3.7193259553913398e-20   4  0  0  0  2  0  0
    6 -9.0267972047427842e-04   2  2  0  0  2  0  0
    6 -7.4386519107826781e-21   0  4  0  0  2  0  0
    6 -5.5777413586765201e-04   1  1  1  1  2  0  0
    6 -1.8675346380645730e-04   0  0  2  2  2  0  0
    6  1.4272135626774536e-03   1  1  0  0  4  0  0
    6  7.2248638303086348e-04   0  0  1  1  4  0  0
    6  8.8291909785193458e-04   0  0  0  0  6  0  0
  -34  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1  1.5370033443130481e-10   0  0  0  0  1  0  0
    2  1.2208472750946083e+02   1  1  0  0  0  0  0
    2 -1.0941874469754859e+02   0  0  1  1  0  0  0
    2  3.1232090223408787e-01   0  0  0  0  2  0  0
    3 -4.4815686686589597e+03   1  1  0  0  1  0  0
    3 -1.0804860560701763e+03   0  0  1  1  1  0  0
    3 -1.7197071572164649e+01   0  0  0  0  3  0  0
    4  1.0306167880597964e+07   2  2  0  0  0  0  0
    4 -1.4822459136312394e-10   2  0  1  1  0  0  0
    4  8.5594608045596406e+06   1  1  1  1  0  0  0
    4 -1.4822459136312394e-10   0  2  1  1  0  0  0
    4  1.2724245859281048e+06   0  0  2  2  0  0  0
    4 -1.9478556065636385e+04   1  1  0  0  2  0  0
    4  5.0323872096109932e+04   0  0  1  1  2  0  0
    4 -1.3060372332203286e+02   0  0  0  0  4  0  0
    5 -8.3855460796245322e+07   2  2  0  0  1  0  0
    5  2.3715934618099830e-09   2  0  1  1  1  0  0
    5 -1.2820682052645457e+08   1  1  1  1  1  0  0
    5  2.3715934618099830e-09   0  2  1  1  1  0  0
    5 -3.4615402766194768e+07   0  0  2  2  1  0  0
    5  3.4430959863468620e+05   1  1  0  0  3  0  0
    5 -2.4934690651211387e+05   0  0  1  1  3  0  0
    5 -3.8306431512703384e+03   0  0  0  0  5  0  0
    6 -1.5178198155583891e-07   6  0  0  0  0  0  0
    6  4.8601197197268974e+10   3  3  0  0  0  0  0
    6 -1.5178198155583891e-07   0  6  0  0  0  0  0
    6  1.0994133964859286e+11   2  2  1  1  0  0  0
    6  9.4649740872822861e+10   1  1  2  2  0  0  0
    6  1.7442697115235664e+10   0  0  3  3  0  0  0
    6 -8.4645276212698174e+08   2  2  0  0  2  0  0
    6 -1.3489981891591959e+09   1  1  1  1  2  0  0
    6  3.9188656324647218e+08   0  0  2  2  2  0  0
    6  5.0853664642641835e+07   1  1  0  0  4  0  0
    6 -6.6911053298864271e+06   0  0  1  1  4  0  0
    6  1.3349515439929708e+05   0  0  0  0  6  0  0
  -36  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50242
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1  4.6110100329391444e-12   0  0  0  0  1  0  0
    2  2.5481329634329860e-03   1  1  0  0  0  0  0
    2 -1.9191729801999520e-03   0  0  1  1  0  0  0
    2  2.8108881201067905e-04   0  0  0  0  2  0  0
    3 -2.8061575969721745e-03   1  1  0  0  1  0  0
    3 -5.6854234163202302e-04   0  0  1  1  1  0  0
    3 -4.6432093244844550e-04   0  0  0  0  3  0  0
    4  4.4897143250112355e-03   2  2  0  0  0  0  0
    4 -5.4262950214173114e-20   2  0  1  1  0  0  0
    4  3.1334989101783890e-03   1  1  1  1  0  0  0
    4 -5.4262950214173114e-20   0  2  1  1  0  0  0
    4  3.9145048651528200e-04   0  0  2  2  0  0  0
    4 -3.6589798431889322e-04   1  1  0  0  2  0  0
    4  7.9439948125497597e-04   0  0  1  1  2  0  0
    4 -1.0578901589084662e-04   0  0  0  0  4  0  0
    5 -1.0959080075032025e-03   2  2  0  0  1  0  0
    5  2.6046216102803092e-20   2  0  1  1  1  0  0
    5 -1.4080417268214239e-03   1  1  1  1  1  0  0
    5  2.6046216102803092e-20   0  2  1  1  1  0  0
    5 -3.1947393355023562e-04   0  0  2  2  1  0  0
    5  1.9403212594028003e-04   1  1  0  0  3  0  0
    5 -1.1808375127064280e-04   0  0  1  1  3  0  0
    5 -9.3084628575869217e-05   0  0  0  0  5  0  0
    6 -1.3800742793083045e-21   6  0  0  0  0  0  0
    6  4.4190530066881659e-04   3  3  0  0  0  0  0
    6 -1.3800742793083045e-21   0  6  0  0  0  0  0
    6  8.4004956813143203e-04   2  2  1  1  0  0  0
    6  6.0774999274390215e-04   1  1  2  2  0  0  0
    6  9.4119761341316500e-05   0  0  3  3  0  0  0
    6 -3.3186903435263151e-04   2  2  0  0  2  0  0
    6 -4.4446443612196525e-04   1  1  1  1  2  0  0
    6  1.0850447938866765e-04   0  0  2  2  2  0  0
    6  8.5974175871887583e-04   1  1  0  0  4  0  0
    6 -9.5061634638117601e-05   0  0  1  1  4  0  0
    6  9.7317967557087568e-05   0  0  0  0  6  0  0
  -36  0.0000000000000000e+00   0  0  0  0  0  0  0
