
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3348125473275462e-05   1  1  0  0  0  0  0
    2 -4.3126491815769120e-06   0  0  1  1  0  0  0
    2  8.6189625269121687e-06   0  0  0  0  2  0  0
    3 -7.5512837374365701e-07   3  0  0  0  0  0  0
    3 -1.1938894500118135e-06   2  1  0  0  0  0  0
    3 -1.1938894500118135e-06   1  2  0  0  0  0  0
    3 -7.5512837374365701e-07   0  3  0  0  0  0  0
    3  2.1962642823222887e-06   1  0  2  0  0  0  0
    3 -1.8033330303950493e-08   0  1  2  0  0  0  0
    3 -2.9094302238247454e-07   1  0  1  1  0  0  0
    3 -2.9094302238247454e-07   0  1  1  1  0  0  0
    3 -1.8033330303950493e-08   1  0  0  2  0  0  0
    3  2.1962642823222887e-06   0  1  0  2  0  0  0
    3 -1.1886497885825153e-06   2  0  0  0  1  0  0
    3 -2.5751392292778840e-07   1  1  0  0  1  0  0
    3 -1.1886497885825153e-06   0  2  0  0  1  0  0
    3  3.1994007813567854e-07   0  0  2  0  1  0  0
    3 -2.1562712445159496e-07   0  0  1  1  1  0  0
    3  3.1994007813567854e-07   0  0  0  2  1  0  0
    3  2.0853748383688603e-21   1  0  0  0  2  0  0
    3  2.0853748383688603e-21   0  1  0  0  2  0  0
    3 -6.5359395261765831e-08   0  0  0  0  3  0  0
    4 -3.6997940391173445e-07   4  0  0  0  0  0  0
    4 -7.6203810296537299e-08   3  1  0  0  0  0  0
    4 -3.7168232220532254e-07   2  2  0  0  0  0  0
    4 -7.6203810296537299e-08   1  3  0  0  0  0  0
    4 -3.6997940391173445e-07   0  4  0  0  0  0  0
    4 -2.0205378971685766e-07   2  0  2  0  0  0  0
    4  2.1626259633519497e-07   1  1  2  0  0  0  0
    4 -5.3309760025658635e-08   0  2  2  0  0  0  0
    4  8.3718920236518847e-08   0  0  4  0  0  0  0
    4 -3.5661558691641961e-07   2  0  1  1  0  0  0
    4 -1.0111317955578851e-06   1  1  1  1  0  0  0
    4 -3.5661558691641961e-07   0  2  1  1  0  0  0
    4 -9.9179107951210597e-08   0  0  3  1  0  0  0
    4 -5.3309760025658635e-08   2  0  0  2  0  0  0
    4  2.1626259633519497e-07   1  1  0  2  0  0  0
    4 -2.0205378971685766e-07   0  2  0  2  0  0  0
    4 -1.0697916491425479e-07   0  0  2  2  0  0  0
    4 -9.9179107951210597e-08   0  0  1  3  0  0  0
    4  8.3718920236518847e-08   0  0  0  4  0  0  0
    4  1.0060960308342630e-07   3  0  0  0  1  0  0
    4 -7.4728019652711419e-07   2  1  0  0  1  0  0
    4 -7.4728019652711419e-07   1  2  0  0  1  0  0
    4  1.0060960308342630e-07   0  3  0  0  1  0  0
    4 -1.2748483490779024e-08   1  0  2  0  1  0  0
    4  1.7396235253181510e-07   0  1  2  0  1  0  0
    4 -3.8032517761673707e-07   1  0  1  1  1  0  0
    4 -3.8032517761673707e-07   0  1  1  1  1  0  0
    4  1.7396235253181510e-07   1  0  0  2  1  0  0
    4 -1.2748483490779024e-08   0  1  0  2  1  0  0
    4 -4.4078630837798133e-07   2  0  0  0  2  0  0
    4 -1.0391734933181448e-07   1  1  0  0  2  0  0
    4 -4.4078630837798133e-07   0  2  0  0  2  0  0
    4  2.6939444125889294e-07   0  0  2  0  2  0  0
    4  7.7930609852791814e-09   0  0  1  1  2  0  0
    4  2.6939444125889294e-07   0  0  0  2  2  0  0
    4  8.1092553391723737e-22   1  0  0  0  3  0  0
    4  8.1092553391723737e-22   0  1  0  0  3  0  0
    4  2.0951061114170292e-07   0  0  0  0  4  0  0
    5  4.2581856599297389e-07   5  0  0  0  0  0  0
    5 -1.6884989808258887e-07   4  1  0  0  0  0  0
    5 -1.0528269510738417e-08   3  2  0  0  0  0  0
    5 -1.0528269510738417e-08   2  3  0  0  0  0  0
    5 -1.6884989808258887e-07   1  4  0  0  0  0  0
    5  4.2581856599297389e-07   0  5  0  0  0  0  0
    5  1.1543606774198107e-07   3  0  2  0  0  0  0
    5  2.2018923166506950e-09   2  1  2  0  0  0  0
    5  2.1853188551013968e-08   1  2  2  0  0  0  0
    5  5.8408340085457497e-08   0  3  2  0  0  0  0
    5 -5.7243378117296017e-08   1  0  4  0  0  0  0
    5  3.0996381049533557e-09   0  1  4  0  0  0  0
    5 -4.4277124148953119e-08   3  0  1  1  0  0  0
    5  2.0088762076036553e-07   2  1  1  1  0  0  0
    5  2.0088762076036553e-07   1  2  1  1  0  0  0
    5 -4.4277124148953119e-08   0  3  1  1  0  0  0
    5  7.0136148797411462e-09   1  0  3  1  0  0  0
    5 -2.3159673069623764e-08   0  1  3  1  0  0  0
    5  5.8408340085457497e-08   3  0  0  2  0  0  0
    5  2.1853188551013968e-08   2  1  0  2  0  0  0
    5  2.2018923166506950e-09   1  2  0  2  0  0  0
    5  1.1543606774198107e-07   0  3  0  2  0  0  0
    5  1.3139430548587709e-07   1  0  2  2  0  0  0
    5  1.3139430548587709e-07   0  1  2  2  0  0  0
    5 -2.3159673069623764e-08   1  0  1  3  0  0  0
    5  7.0136148797411462e-09   0  1  1  3  0  0  0
    5  3.0996381049533557e-09   1  0  0  4  0  0  0
    5 -5.7243378117296017e-08   0  1  0  4  0  0  0
    5 -2.3859904499389433e-07   4  0  0  0  1  0  0
    5 -7.0074393244608973e-08   3  1  0  0  1  0  0
    5  1.8336538208744634e-07   2  2  0  0  1  0  0
    5 -7.0074393244608973e-08   1  3  0  0  1  0  0
    5 -2.3859904499389433e-07   0  4  0  0  1  0  0
    5  6.4189537650421693e-08   2  0  2  0  1  0  0
    5 -1.4948851461242434e-08   1  1  2  0  1  0  0
    5 -1.6849299218143039e-08   0  2  2  0  1  0  0
    5 -2.0095734483860095e-08   0  0  4  0  1  0  0
    5 -2.8874935795813005e-08   2  0  1  1  1  0  0
    5 -6.3110506452973378e-08   1  1  1  1  1  0  0
    5 -2.8874935795813005e-08   0  2  1  1  1  0  0
    5  8.8394109876692046e-09   0  0  3  1  1  0  0
    5 -1.6849299218143039e-08   2  0  0  2  1  0  0
    5 -1.4948851461242434e-08   1  1  0  2  1  0  0
    5  6.4189537650421693e-08   0  2  0  2  1  0  0
    5  3.6604557713413417e-08   0  0  2  2  1  0  0
    5  8.8394109876692046e-09   0  0  1  3  1  0  0
    5 -2.0095734483860095e-08   0  0  0  4  1  0  0
    5  5.9932826115834828e-08   3  0  0  0  2  0  0
    5 -3.1295587144352950e-07   2  1  0  0  2  0  0
    5 -3.1295587144352950e-07   1  2  0  0  2  0  0
    5  5.9932826115834828e-08   0  3  0  0  2  0  0
    5 -1.0792656232158601e-08   1  0  2  0  2  0  0
    5  1.2241598343494615e-08   0  1  2  0  2  0  0
    5 -1.5652929386160770e-07   1  0  1  1  2  0  0
    5 -1.5652929386160770e-07   0  1  1  1  2  0  0
    5  1.2241598343494615e-08   1  0  0  2  2  0  0
    5 -1.0792656232158601e-08   0  1  0  2  2  0  0
    5  8.1727576364201886e-09   2  0  0  0  3  0  0
    5 -1.8985979706544111e-08   1  1  0  0  3  0  0
    5  8.1727576364201886e-09   0  2  0  0  3  0  0
    5 -5.5807522277927120e-08   0  0  2  0  3  0  0
    5 -6.9237640169452798e-08   0  0  1  1  3  0  0
    5 -5.5807522277927120e-08   0  0  0  2  3  0  0
    5  2.2240776777878382e-22   1  0  0  0  4  0  0
    5  2.2240776777878382e-22   0  1  0  0  4  0  0
    5 -4.7693488719908230e-08   0  0  0  0  5  0  0
    6 -1.8626335336407452e-07   6  0  0  0  0  0  0
    6  3.9890921544152204e-07   5  1  0  0  0  0  0
    6  8.9047866166447170e-08   4  2  0  0  0  0  0
    6 -1.6366402259079331e-07   3  3  0  0  0  0  0
    6  8.9047866166447170e-08   2  4  0  0  0  0  0
    6  3.9890921544152204e-07   1  5  0  0  0  0  0
    6 -1.8626335336407452e-07   0  6  0  0  0  0  0
    6 -8.0446816207602111e-07   4  0  2  0  0  0  0
    6 -3.5788020868669050e-08   3  1  2  0  0  0  0
    6  1.5796249792905154e-08   2  2  2  0  0  0  0
    6  3.2383534850248024e-08   1  3  2  0  0  0  0
    6 -2.0839612105937359e-07   0  4  2  0  0  0  0
    6  3.5113040286327177e-08   2  0  4  0  0  0  0
    6 -3.9091619597174647e-09   1  1  4  0  0  0  0
    6 -1.3460394616627465e-09   0  2  4  0  0  0  0
    6 -3.1013992250169707e-09   0  0  6  0  0  0  0
    6 -1.9655097670389395e-08   4  0  1  1  0  0  0
    6 -8.4262201707618171e-08   3  1  1  1  0  0  0
    6 -6.6815923588879427e-08   2  2  1  1  0  0  0
    6 -8.4262201707618171e-08   1  3  1  1  0  0  0
    6 -1.9655097670389395e-08   0  4  1  1  0  0  0
    6 -2.3049397967503973e-08   2  0  3  1  0  0  0
    6  8.6956419644479135e-09   1  1  3  1  0  0  0
    6  1.4252738273136145e-08   0  2  3  1  0  0  0
    6  1.3515912433935013e-09   0  0  5  1  0  0  0
    6 -2.0839612105937359e-07   4  0  0  2  0  0  0
    6  3.2383534850248024e-08   3  1  0  2  0  0  0
    6  1.5796249792905154e-08   2  2  0  2  0  0  0
    6 -3.5788020868669050e-08   1  3  0  2  0  0  0
    6 -8.0446816207602111e-07   0  4  0  2  0  0  0
    6 -3.7147709584507724e-08   2  0  2  2  0  0  0
    6 -5.0714737620935707e-08   1  1  2  2  0  0  0
    6 -3.7147709584507724e-08   0  2  2  2  0  0  0
    6  9.2137647452271241e-09   0  0  4  2  0  0  0
    6  1.4252738273136145e-08   2  0  1  3  0  0  0
    6  8.6956419644479135e-09   1  1  1  3  0  0  0
    6 -2.3049397967503973e-08   0  2  1  3  0  0  0
    6 -1.9543745043445340e-08   0  0  3  3  0  0  0
    6 -1.3460394616627465e-09   2  0  0  4  0  0  0
    6 -3.9091619597174647e-09   1  1  0  4  0  0  0
    6  3.5113040286327177e-08   0  2  0  4  0  0  0
    6  9.2137647452271241e-09   0  0  2  4  0  0  0
