
tpsa, NO = 8, NV = 7, INA = 48094
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.5135623130361164e-01   1  1  0  0  0  0  0
    2 -2.5132734611823609e-01   0  0  1  1  0  0  0
    2  9.5766250299024105e-03   0  0  0  0  2  0  0
    3 -4.1886854870190077e-01   1  1  0  0  1  0  0
    3 -4.1886854736551521e-01   0  0  1  1  1  0  0
    3 -2.4207183430283640e-03   0  0  0  0  3  0  0
    4  1.8775553497509063e+02   2  2  0  0  0  0  0
    4  1.2264252966482519e+02   1  1  1  1  0  0  0
    4  3.6901226489380150e+02   0  0  2  2  0  0  0
    4  5.8445558365511765e+00   1  1  0  0  2  0  0
    4  4.2893508995257577e+00   0  0  1  1  2  0  0
    4  2.5865507548358385e-01   0  0  0  0  4  0  0
    5  2.5679350787139392e+04   2  2  0  0  1  0  0
    5  1.1878972596954940e+04   1  1  1  1  1  0  0
    5 -2.7544406867528501e+03   0  0  2  2  1  0  0
    5  2.4214403455954016e+02   1  1  0  0  3  0  0
    5  9.4582546937249390e+00   0  0  1  1  3  0  0
    5 -1.9626950090497215e+00   0  0  0  0  5  0  0
    6 -1.2690360089290965e+07   3  3  0  0  0  0  0
    6 -3.1662138445664980e+07   2  2  1  1  0  0  0
    6  2.3283064365386963e-10   2  0  2  2  0  0  0
    6 -1.1335433136729125e+07   1  1  2  2  0  0  0
    6  2.3283064365386963e-10   0  2  2  2  0  0  0
    6 -6.5344936874245014e+05   0  0  3  3  0  0  0
    6 -4.1511957856707915e+05   2  2  0  0  2  0  0
    6  5.8902682499448958e+04   1  1  1  1  2  0  0
    6 -5.3624566467995217e+04   0  0  2  2  2  0  0
    6 -8.9006719948272057e+03   1  1  0  0  4  0  0
    6  1.0506644695588145e+03   0  0  1  1  4  0  0
    6 -3.9541555167654150e+00   0  0  0  0  6  0  0
    7  4.6566128730773926e-10   6  0  0  0  1  0  0
    7  3.7252902984619141e-09   5  1  0  0  1  0  0
    7  1.4006872869304350e+08   3  3  0  0  1  0  0
    7  3.7252902984619141e-09   1  5  0  0  1  0  0
    7  4.6566128730773926e-10   0  6  0  0  1  0  0
    7  3.5668530794063437e+08   2  2  1  1  1  0  0
    7 -4.6566128730773926e-10   0  0  5  1  1  0  0
    7  3.7252902984619141e-09   2  0  2  2  1  0  0
    7  2.1250551644681448e+08   1  1  2  2  1  0  0
    7  3.7252902984619141e-09   0  2  2  2  1  0  0
    7 -4.6566128730773926e-10   0  0  4  2  1  0  0
    7  1.7488651413151428e+07   0  0  3  3  1  0  0
    7 -4.6566128730773926e-10   0  0  2  4  1  0  0
    7 -4.6566128730773926e-10   0  0  1  5  1  0  0
    7  5.5357315067312475e+06   2  2  0  0  3  0  0
    7 -2.5142236342071933e+06   1  1  1  1  3  0  0
    7  9.1091443756133597e+05   0  0  2  2  3  0  0
    7  2.7667493810686877e+05   1  1  0  0  5  0  0
    7  3.2905093159006792e+03   0  0  1  1  5  0  0
    7  4.0490125962849748e+02   0  0  0  0  7  0  0
    8  9.5367431640625000e-07   6  2  0  0  0  0  0
    8 -5.3083833395883514e+10   4  4  0  0  0  0  0
    8  9.5367431640625000e-07   2  6  0  0  0  0  0
    8 -1.1920928955078125e-07   2  0  6  0  0  0  0
    8 -2.3841857910156250e-07   1  1  6  0  0  0  0
    8 -1.1920928955078125e-07   0  2  6  0  0  0  0
    8 -4.7683715820312500e-07   6  0  1  1  0  0  0
    8  7.6293945312500000e-06   5  1  1  1  0  0  0
    8 -2.3304372201391663e+11   3  3  1  1  0  0  0
    8  7.6293945312500000e-06   1  5  1  1  0  0  0
    8 -4.7683715820312500e-07   0  6  1  1  0  0  0
    8 -3.5367190334828076e+11   2  2  2  2  0  0  0
    8 -1.9073486328125000e-06   2  0  4  2  0  0  0
    8 -3.8146972656250000e-06   1  1  4  2  0  0  0
    8 -1.9073486328125000e-06   0  2  4  2  0  0  0
    8 -1.5962805128332721e+11   1  1  3  3  0  0  0
    8 -2.3841857910156250e-07   0  0  5  3  0  0  0
    8 -1.9073486328125000e-06   2  0  2  4  0  0  0
    8 -3.8146972656250000e-06   1  1  2  4  0  0  0
    8 -1.9073486328125000e-06   0  2  2  4  0  0  0
    8 -9.3766361916295090e+09   0  0  4  4  0  0  0
    8 -2.3841857910156250e-07   0  0  3  5  0  0  0
    8 -1.1920928955078125e-07   2  0  0  6  0  0  0
    8 -2.3841857910156250e-07   1  1  0  6  0  0  0
    8 -1.1920928955078125e-07   0  2  0  6  0  0  0
    8  2.6901072244034367e+09   3  3  0  0  2  0  0
    8  5.2943800705513325e+09   2  2  1  1  2  0  0
    8  7.4505805969238281e-09   2  0  2  2  2  0  0
    8  6.7315243525267923e+08   1  1  2  2  2  0  0
    8  7.4505805969238281e-09   0  2  2  2  2  0  0
    8 -7.3101952718236828e+08   0  0  3  3  2  0  0
    8 -1.7008667320318055e+08   2  2  0  0  4  0  0
    8 -1.8617075516575700e+08   1  1  1  1  4  0  0
    8  1.2201042994978804e+07   0  0  2  2  4  0  0
    8 -5.0932264093229771e+06   1  1  0  0  6  0  0
    8 -4.3656831581517402e+05   0  0  1  1  6  0  0
    8 -9.2996956986790938e+03   0  0  0  0  8  0  0
  -87  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50244
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3348125473275462e-05   1  1  0  0  0  0  0
    2 -4.3126491815769120e-06   0  0  1  1  0  0  0
    2  8.6189625269121687e-06   0  0  0  0  2  0  0
    3 -2.5751392292778835e-07   1  1  0  0  1  0  0
    3 -2.1562712445159498e-07   0  0  1  1  1  0  0
    3 -6.5359395261765831e-08   0  0  0  0  3  0  0
    4  7.8848995508233336e-08   2  2  0  0  0  0  0
    4  4.3126795944702745e-08   1  1  1  1  0  0  0
    4  1.0865496418510225e-07   0  0  2  2  0  0  0
    4  1.0779428337876295e-07   1  1  0  0  2  0  0
    4  6.6242768002929806e-08   0  0  1  1  2  0  0
    4  2.0951061114170292e-07   0  0  0  0  4  0  0
    5  3.2352564441918518e-07   2  2  0  0  1  0  0
    5  1.2531591494932857e-07   1  1  1  1  1  0  0
    5 -2.4331195678977002e-08   0  0  2  2  1  0  0
    5  1.3397977575926688e-07   1  1  0  0  3  0  0
    5  4.3820684252597412e-09   0  0  1  1  3  0  0
    5 -4.7693488719908230e-08   0  0  0  0  5  0  0
    6 -1.0921419018001557e-07   3  3  0  0  0  0  0
    6 -2.2816448535905207e-07   2  2  1  1  0  0  0
    6  1.4049168419782155e-24   2  0  2  2  0  0  0
    6 -6.8398818450133257e-08   1  1  2  2  0  0  0
    6  1.4049168419782155e-24   0  2  2  2  0  0  0
    6 -3.3016049014272846e-09   0  0  3  3  0  0  0
    6 -1.5689862677626014e-07   2  2  0  0  2  0  0
    6  1.8641621125417221e-08   1  1  1  1  2  0  0
    6 -1.4210687050276345e-08   0  0  2  2  2  0  0
    6 -1.4774388807177230e-07   1  1  0  0  4  0  0
    6  1.4603382167274030e-08   0  0  1  1  4  0  0
    6 -2.8825793717219875e-09   0  0  0  0  6  0  0
    7  1.2022547831660412e-25   6  0  0  0  1  0  0
    7  9.6180382653283299e-25   5  1  0  0  1  0  0
    7  3.6163259354628188e-08   3  3  0  0  1  0  0
    7  9.6180382653283299e-25   1  5  0  0  1  0  0
    7  1.2022547831660412e-25   0  6  0  0  1  0  0
    7  7.7110634704352117e-08   2  2  1  1  1  0  0
    7  6.7436008414954343e-25   2  0  2  2  1  0  0
    7  3.8468206897186883e-08   1  1  2  2  1  0  0
    7  6.7436008414954343e-25   0  2  2  2  1  0  0
    7  2.6508840617353990e-09   0  0  3  3  1  0  0
    7  6.2768564754735702e-08   2  2  0  0  3  0  0
    7 -2.3871173140832017e-08   1  1  1  1  3  0  0
    7  7.2418599464977169e-09   0  0  2  2  3  0  0
    7  1.3777734235689916e-07   1  1  0  0  5  0  0
    7  1.3720621508763166e-09   0  0  1  1  5  0  0
    7  8.8551905480752393e-09   0  0  0  0  7  0  0
    8  1.6819261362172815e-25   6  2  0  0  0  0  0
    8 -9.3620102023495284e-09   4  4  0  0  0  0  0
    8  1.6819261362172815e-25   2  6  0  0  0  0  0
    8  1.1266774031516597e-24   5  1  1  1  0  0  0
    8 -3.4414932202545072e-08   3  3  1  1  0  0  0
    8  1.1266774031516597e-24   1  5  1  1  0  0  0
    8 -4.3733350204588511e-08   2  2  2  2  0  0  0
    8 -1.9748992659388364e-25   2  0  4  2  0  0  0
    8 -3.9497985318776729e-25   1  1  4  2  0  0  0
    8 -1.9748992659388364e-25   0  2  4  2  0  0  0
    8 -1.6528143616714465e-08   1  1  3  3  0  0  0
    8 -1.9748992659388364e-25   2  0  2  4  0  0  0
    8 -3.9497985318776729e-25   1  1  2  4  0  0  0
    8 -1.9748992659388364e-25   0  2  2  4  0  0  0
    8 -8.1295144950192024e-10   0  0  4  4  0  0  0
    8  2.0836137977889426e-08   3  3  0  0  2  0  0
    8  3.4337243378207841e-08   2  2  1  1  2  0  0
    8  3.6556651684559274e-09   1  1  2  2  2  0  0
    8 -3.3241808661721567e-09   0  0  3  3  2  0  0
    8 -5.7857374483695597e-08   2  2  0  0  4  0  0
    8 -5.3027673471726653e-08   1  1  1  1  4  0  0
    8  2.9099849863193321e-09   0  0  2  2  4  0  0
    8 -7.6089059981367796e-08   1  1  0  0  6  0  0
    8 -5.4611502800549946e-09   0  0  1  1  6  0  0
    8 -6.1015303479033526e-09   0  0  0  0  8  0  0
  -71  0.0000000000000000e+00   0  0  0  0  0  0  0
