
tpsa, NO = 8, NV = 7, INA = 48097
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -1.9321950556209923e-07   3  0  0  0  0  0  0
    3 -9.1646428838362893e-07   2  1  0  0  0  0  0
    3  9.1646428838362893e-07   1  2  0  0  0  0  0
    3  1.9321950556209923e-07   0  3  0  0  0  0  0
    3  9.5157863652839263e-07   1  0  2  0  0  0  0
    3  6.0635990780863585e-08   0  1  2  0  0  0  0
    3 -2.2333633148806035e-07   1  0  1  1  0  0  0
    3  2.2333633148806035e-07   0  1  1  1  0  0  0
    3 -6.0635990780863585e-08   1  0  0  2  0  0  0
    3 -9.5157863652839263e-07   0  1  0  2  0  0  0
    3 -4.5622108588858315e-07   2  0  0  0  1  0  0
    3  4.5622108588858315e-07   0  2  0  0  1  0  0
    3  3.1825036459140796e-07   0  0  2  0  1  0  0
    3 -3.1825036459140796e-07   0  0  0  2  1  0  0
    3  1.6007944179755769e-21   1  0  0  0  2  0  0
    3 -1.6007944179755769e-21   0  1  0  0  2  0  0
    4 -8.4017655891156056e-08   4  0  0  0  0  0  0
    4  7.4008919864504572e-08   3  1  0  0  0  0  0
    4 -7.4008919864504572e-08   1  3  0  0  0  0  0
    4  8.4017655891156056e-08   0  4  0  0  0  0  0
    4 -3.3721982732101565e-08   2  0  2  0  0  0  0
    4 -1.7778850125829374e-07   1  1  2  0  0  0  0
    4  1.3617789840012231e-07   0  2  2  0  0  0  0
    4  3.7348659805648882e-08   0  0  4  0  0  0  0
    4 -1.1551073389126231e-07   2  0  1  1  0  0  0
    4  1.1551073389126231e-07   0  2  1  1  0  0  0
    4 -1.3407517539283060e-07   0  0  3  1  0  0  0
    4 -1.3617789840012231e-07   2  0  0  2  0  0  0
    4  1.7778850125829374e-07   1  1  0  2  0  0  0
    4  3.3721982732101565e-08   0  2  0  2  0  0  0
    4  1.3407517539283060e-07   0  0  1  3  0  0  0
    4 -3.7348659805648882e-08   0  0  0  4  0  0  0
    4  1.5865292403388731e-08   3  0  0  0  1  0  0
    4 -1.8203505967593391e-07   2  1  0  0  1  0  0
    4  1.8203505967593391e-07   1  2  0  0  1  0  0
    4 -1.5865292403388731e-08   0  3  0  0  1  0  0
    4 -3.4161044871706889e-08   1  0  2  0  1  0  0
    4  1.8075565732783781e-07   0  1  2  0  1  0  0
    4 -6.9967532079541481e-08   1  0  1  1  1  0  0
    4  6.9967532079541481e-08   0  1  1  1  1  0  0
    4 -1.8075565732783781e-07   1  0  0  2  1  0  0
    4  3.4161044871706889e-08   0  1  0  2  1  0  0
    4 -1.6037871774316669e-07   2  0  0  0  2  0  0
    4  1.6037871774316669e-07   0  2  0  0  2  0  0
    4  2.5205955203725548e-07   0  0  2  0  2  0  0
    4 -2.5205955203725548e-07   0  0  0  2  2  0  0
    4  3.7686914916443016e-22   1  0  0  0  3  0  0
    4 -3.7686914916443016e-22   0  1  0  0  3  0  0
    5  4.1584522037757497e-08   5  0  0  0  0  0  0
    5  3.6909019817004285e-08   4  1  0  0  0  0  0
    5  2.5908978085950974e-08   3  2  0  0  0  0  0
    5 -2.5908978085950974e-08   2  3  0  0  0  0  0
    5 -3.6909019817004285e-08   1  4  0  0  0  0  0
    5 -4.1584522037757497e-08   0  5  0  0  0  0  0
    5  7.9846775348778718e-09   3  0  2  0  0  0  0
    5  2.7164629523603785e-09   2  1  2  0  0  0  0
    5 -1.6988031996339053e-07   1  2  2  0  0  0  0
    5  4.5195504912678772e-08   0  3  2  0  0  0  0
    5 -2.3003685815197546e-08   1  0  4  0  0  0  0
    5 -4.8625620960944677e-08   0  1  4  0  0  0  0
    5 -3.0060586272849840e-08   3  0  1  1  0  0  0
    5  2.1975842390372756e-07   2  1  1  1  0  0  0
    5 -2.1975842390372756e-07   1  2  1  1  0  0  0
    5  3.0060586272849840e-08   0  3  1  1  0  0  0
    5 -7.4376417723936264e-09   1  0  3  1  0  0  0
    5 -1.8510250783899798e-08   0  1  3  1  0  0  0
    5 -4.5195504912678772e-08   3  0  0  2  0  0  0
    5  1.6988031996339053e-07   2  1  0  2  0  0  0
    5 -2.7164629523603785e-09   1  2  0  2  0  0  0
    5 -7.9846775348778718e-09   0  3  0  2  0  0  0
    5  2.4244431189975286e-08   1  0  2  2  0  0  0
    5 -2.4244431189975286e-08   0  1  2  2  0  0  0
    5  1.8510250783899798e-08   1  0  1  3  0  0  0
    5  7.4376417723936264e-09   0  1  1  3  0  0  0
    5  4.8625620960944677e-08   1  0  0  4  0  0  0
    5  2.3003685815197546e-08   0  1  0  4  0  0  0
    5 -3.7705702316057418e-08   4  0  0  0  1  0  0
    5  3.6433943633630499e-08   3  1  0  0  1  0  0
    5 -3.6433943633630499e-08   1  3  0  0  1  0  0
    5  3.7705702316057418e-08   0  4  0  0  1  0  0
    5 -1.0744123526950075e-08   2  0  2  0  1  0  0
    5 -7.6281187001242435e-08   1  1  2  0  1  0  0
    5  1.3247071466794112e-08   0  2  2  0  1  0  0
    5 -1.5047591712042579e-08   0  0  4  0  1  0  0
    5 -1.3492323343527728e-08   2  0  1  1  1  0  0
    5  1.3492323343527728e-08   0  2  1  1  1  0  0
    5  2.2420848773510356e-08   0  0  3  1  1  0  0
    5 -1.3247071466794112e-08   2  0  0  2  1  0  0
    5  7.6281187001242435e-08   1  1  0  2  1  0  0
    5  1.0744123526950075e-08   0  2  0  2  1  0  0
    5 -2.2420848773510356e-08   0  0  1  3  1  0  0
    5  1.5047591712042579e-08   0  0  0  4  1  0  0
    5  4.1787418410782286e-09   3  0  0  0  2  0  0
    5 -4.2785301484590926e-08   2  1  0  0  2  0  0
    5  4.2785301484590926e-08   1  2  0  0  2  0  0
    5 -4.1787418410782286e-09   0  3  0  0  2  0  0
    5  4.6924448669156387e-09   1  0  2  0  2  0  0
    5  3.2603344209996239e-07   0  1  2  0  2  0  0
    5 -1.5747399917941788e-09   1  0  1  1  2  0  0
    5  1.5747399917941788e-09   0  1  1  1  2  0  0
    5 -3.2603344209996239e-07   1  0  0  2  2  0  0
    5 -4.6924448669156387e-09   0  1  0  2  2  0  0
    5  4.9586145502224060e-09   2  0  0  0  3  0  0
    5 -4.9586145502224060e-09   0  2  0  0  3  0  0
    5 -6.4664846839816836e-08   0  0  2  0  3  0  0
    5  6.4664846839816836e-08   0  0  0  2  3  0  0
    5  2.1132156690967101e-23   1  0  0  0  4  0  0
    5 -2.1132156690967101e-23   0  1  0  0  4  0  0
    6 -3.1155962469156858e-09   6  0  0  0  0  0  0
    6  1.4354703176887614e-08   5  1  0  0  0  0  0
    6 -1.4598424762173425e-08   4  2  0  0  0  0  0
    6  1.4598424762173425e-08   2  4  0  0  0  0  0
    6 -1.4354703176887614e-08   1  5  0  0  0  0  0
    6  3.1155962469156858e-09   0  6  0  0  0  0  0
    6 -1.3351069729912050e-07   4  0  2  0  0  0  0
    6  5.4597178676754013e-09   3  1  2  0  0  0  0
    6  6.0445417681673653e-08   2  2  2  0  0  0  0
    6 -2.5084921958173689e-08   1  3  2  0  0  0  0
    6  8.7692620250089172e-09   0  4  2  0  0  0  0
    6  3.1401350246617848e-09   2  0  4  0  0  0  0
    6  1.0742033358496134e-08   1  1  4  0  0  0  0
    6  1.7325401075034794e-08   0  2  4  0  0  0  0
    6 -8.2195671206272008e-10   0  0  6  0  0  0  0
    6 -2.0318515419288137e-08   4  0  1  1  0  0  0
    6 -3.9053308633785128e-09   3  1  1  1  0  0  0
    6  3.9053308633785128e-09   1  3  1  1  0  0  0
    6  2.0318515419288137e-08   0  4  1  1  0  0  0
    6  9.8251732619055213e-09   2  0  3  1  0  0  0
    6  3.0012346333426581e-08   1  1  3  1  0  0  0
    6 -4.4556726227570632e-09   0  2  3  1  0  0  0
    6  2.8148101021101449e-09   0  0  5  1  0  0  0
    6 -8.7692620250089172e-09   4  0  0  2  0  0  0
    6  2.5084921958173689e-08   3  1  0  2  0  0  0
    6 -6.0445417681673653e-08   2  2  0  2  0  0  0
    6 -5.4597178676754013e-09   1  3  0  2  0  0  0
    6  1.3351069729912050e-07   0  4  0  2  0  0  0
    6 -3.1688151982881505e-09   2  0  2  2  0  0  0
    6  3.1688151982881505e-09   0  2  2  2  0  0  0
    6 -3.7768804172351729e-09   0  0  4  2  0  0  0
    6  4.4556726227570632e-09   2  0  1  3  0  0  0
    6 -3.0012346333426581e-08   1  1  1  3  0  0  0
    6 -9.8251732619055213e-09   0  2  1  3  0  0  0
    6 -1.7325401075034794e-08   2  0  0  4  0  0  0
    6 -1.0742033358496134e-08   1  1  0  4  0  0  0
    6 -3.1401350246617848e-09   0  2  0  4  0  0  0
    6  3.7768804172351729e-09   0  0  2  4  0  0  0
    6 -2.8148101021101449e-09   0  0  1  5  0  0  0
    6  8.2195671206272008e-10   0  0  0  6  0  0  0
    6  8.9944013023463549e-08   5  0  0  0  1  0  0
    6 -1.0255340944787975e-08   4  1  0  0  1  0  0
    6 -2.1836965891300541e-08   3  2  0  0  1  0  0
    6  2.1836965891300541e-08   2  3  0  0  1  0  0
    6  1.0255340944787975e-08   1  4  0  0  1  0  0
    6 -8.9944013023463549e-08   0  5  0  0  1  0  0
    6 -5.1389810634462662e-09   3  0  2  0  1  0  0
    6  1.4254020347021957e-08   2  1  2  0  1  0  0
    6 -2.6197061478795739e-07   1  2  2  0  1  0  0
    6  1.3601682287964179e-09   0  3  2  0  1  0  0
    6  1.0293436732586529e-09   1  0  4  0  1  0  0
    6 -2.1939306193142122e-09   0  1  4  0  1  0  0
    6 -2.3285809297972979e-08   3  0  1  1  1  0  0
    6 -6.0197051155818586e-08   2  1  1  1  1  0  0
    6  6.0197051155818586e-08   1  2  1  1  1  0  0
    6  2.3285809297972979e-08   0  3  1  1  1  0  0
    6  6.6897045276780017e-09   1  0  3  1  1  0  0
    6 -7.5208164256494487e-08   0  1  3  1  1  0  0
    6 -1.3601682287964179e-09   3  0  0  2  1  0  0
    6  2.6197061478795739e-07   2  1  0  2  1  0  0
