
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  9.7395594875655478e-08   3  0  0  0  0  0  0
    3 -8.5807404767370435e-07   2  1  0  0  0  0  0
    3 -8.5807404767370435e-07   1  2  0  0  0  0  0
    3  9.7395594875655478e-08   0  3  0  0  0  0  0
    3  7.4539456419111622e-07   1  0  2  0  0  0  0
    3 -3.5965065400905077e-08   0  1  2  0  0  0  0
    3 -2.3579748114104814e-07   1  0  1  1  0  0  0
    3 -2.3579748114104814e-07   0  1  1  1  0  0  0
    3 -3.5965065400905077e-08   1  0  0  2  0  0  0
    3  7.4539456419111622e-07   0  1  0  2  0  0  0
    3 -2.3976928449014634e-07   2  0  0  0  1  0  0
    3 -2.5751392292779004e-07   1  1  0  0  1  0  0
    3 -2.3976928449014634e-07   0  2  0  0  1  0  0
    3  1.9766416933361686e-07   0  0  2  0  1  0  0
    3 -2.1562712445159615e-07   0  0  1  1  1  0  0
    3  1.9766416933361686e-07   0  0  0  2  1  0  0
    3  1.3046679368486924e-06   1  0  0  0  2  0  0
    3  1.3046679368486924e-06   0  1  0  0  2  0  0
    3 -6.5359395261764733e-08   0  0  0  0  3  0  0
    4  2.7382464651423177e-08   4  0  0  0  0  0  0
    4  3.6715145100818234e-08   3  1  0  0  0  0  0
    4 -1.3560073716373258e-07   2  2  0  0  0  0  0
    4  3.6715145100818234e-08   1  3  0  0  0  0  0
    4  2.7382464651423177e-08   0  4  0  0  0  0  0
    4  1.9924159017240596e-08   2  0  2  0  0  0  0
    4  2.7465510163647088e-08   1  1  2  0  0  0  0
    4 -1.5775441329222638e-07   0  2  2  0  0  0  0
    4  3.7649864150366631e-08   0  0  4  0  0  0  0
    4 -8.0488278266874315e-08   2  0  1  1  0  0  0
    4 -3.2232717106636848e-07   1  1  1  1  0  0  0
    4 -8.0488278266874315e-08   0  2  1  1  0  0  0
    4 -9.0958022148448718e-08   0  0  3  1  0  0  0
    4 -1.5775441329222638e-07   2  0  0  2  0  0  0
    4  2.7465510163647088e-08   1  1  0  2  0  0  0
    4  1.9924159017240596e-08   0  2  0  2  0  0  0
    4  3.3400586281525670e-08   0  0  2  2  0  0  0
    4 -9.0958022148448718e-08   0  0  1  3  0  0  0
    4  3.7649864150366631e-08   0  0  0  4  0  0  0
    4 -2.4539581952091882e-08   3  0  0  0  1  0  0
    4 -3.0439190132735309e-07   2  1  0  0  1  0  0
    4 -3.0439190132735309e-07   1  2  0  0  1  0  0
    4 -2.4539581952091882e-08   0  3  0  0  1  0  0
    4  6.6720733186391919e-09   1  0  2  0  1  0  0
    4  2.3697237321178935e-08   0  1  2  0  1  0  0
    4 -2.1170282312131838e-07   1  0  1  1  1  0  0
    4 -2.1170282312131838e-07   0  1  1  1  1  0  0
    4  2.3697237321178935e-08   1  0  0  2  1  0  0
    4  6.6720733186391919e-09   0  1  0  2  1  0  0
    4 -2.7245688483432690e-08   2  0  0  0  2  0  0
    4  5.1912443326043028e-07   1  1  0  0  2  0  0
    4 -2.7245688483432690e-08   0  2  0  0  2  0  0
    4  7.7774764826693526e-08   0  0  2  0  2  0  0
    4  7.2674560669564602e-08   0  0  1  1  2  0  0
    4  7.7774764826693526e-08   0  0  0  2  2  0  0
    4 -1.4026246151495743e-07   1  0  0  0  3  0  0
    4 -1.4026246151495743e-07   0  1  0  0  3  0  0
    4  4.6649600246390187e-08   0  0  0  0  4  0  0
    5 -8.3611240670052471e-09   5  0  0  0  0  0  0
    5 -5.7566454054954134e-09   4  1  0  0  0  0  0
    5  6.8250768036502302e-08   3  2  0  0  0  0  0
    5  6.8250768036502302e-08   2  3  0  0  0  0  0
    5 -5.7566454054954134e-09   1  4  0  0  0  0  0
    5 -8.3611240670052471e-09   0  5  0  0  0  0  0
    5 -7.5899358031500320e-08   3  0  2  0  0  0  0
    5 -1.0026414241937081e-07   2  1  2  0  0  0  0
    5  1.7207043357414248e-08   1  2  2  0  0  0  0
    5 -1.7156505284878902e-08   0  3  2  0  0  0  0
    5 -1.3192639402834694e-08   1  0  4  0  0  0  0
    5 -2.5863017537676858e-08   0  1  4  0  0  0  0
    5 -9.6838826045129017e-08   3  0  1  1  0  0  0
    5  2.4121805855635859e-07   2  1  1  1  0  0  0
    5  2.4121805855635859e-07   1  2  1  1  0  0  0
    5 -9.6838826045129017e-08   0  3  1  1  0  0  0
    5 -2.7811882617156662e-08   1  0  3  1  0  0  0
    5 -8.4246453281982748e-09   0  1  3  1  0  0  0
    5 -1.7156505284878902e-08   3  0  0  2  0  0  0
    5  1.7207043357414248e-08   2  1  0  2  0  0  0
    5 -1.0026414241937081e-07   1  2  0  2  0  0  0
    5 -7.5899358031500320e-08   0  3  0  2  0  0  0
    5  2.6197341503308121e-08   1  0  2  2  0  0  0
    5  2.6197341503308121e-08   0  1  2  2  0  0  0
    5 -8.4246453281982748e-09   1  0  1  3  0  0  0
    5 -2.7811882617156662e-08   0  1  1  3  0  0  0
    5 -2.5863017537676858e-08   1  0  0  4  0  0  0
    5 -1.3192639402834694e-08   0  1  0  4  0  0  0
    5  3.9789534129654676e-08   4  0  0  0  1  0  0
    5  9.8793938105637282e-08   3  1  0  0  1  0  0
    5  2.1562907504395668e-07   2  2  0  0  1  0  0
    5  9.8793938105637282e-08   1  3  0  0  1  0  0
    5  3.9789534129654676e-08   0  4  0  0  1  0  0
    5 -1.0889021559873928e-07   2  0  2  0  1  0  0
    5 -1.2775764290502103e-07   1  1  2  0  1  0  0
    5 -8.3239091350230949e-09   0  2  2  0  1  0  0
    5 -3.5055424858653030e-09   0  0  4  0  1  0  0
    5  2.5702236207249662e-08   2  0  1  1  1  0  0
    5  1.0028524665007158e-07   1  1  1  1  1  0  0
    5  2.5702236207249662e-08   0  2  1  1  1  0  0
    5 -1.7727088171390022e-08   0  0  3  1  1  0  0
    5 -8.3239091350230949e-09   2  0  0  2  1  0  0
    5 -1.2775764290502103e-07   1  1  0  2  1  0  0
    5 -1.0889021559873928e-07   0  2  0  2  1  0  0
    5  2.4269359210278539e-08   0  0  2  2  1  0  0
    5 -1.7727088171390022e-08   0  0  1  3  1  0  0
    5 -3.5055424858653030e-09   0  0  0  4  1  0  0
    5  2.2646078367300698e-09   3  0  0  0  2  0  0
    5 -9.6303269481564338e-08   2  1  0  0  2  0  0
    5 -9.6303269481564338e-08   1  2  0  0  2  0  0
    5  2.2646078367300698e-09   0  3  0  0  2  0  0
    5  6.6831744050666424e-08   1  0  2  0  2  0  0
    5 -1.6073837042677636e-08   0  1  2  0  2  0  0
    5  7.7650553937254693e-08   1  0  1  1  2  0  0
    5  7.7650553937254693e-08   0  1  1  1  2  0  0
    5 -1.6073837042677636e-08   1  0  0  2  2  0  0
    5  6.6831744050666424e-08   0  1  0  2  2  0  0
    5 -1.0405235781116707e-07   2  0  0  0  3  0  0
    5  1.6985985418855222e-07   1  1  0  0  3  0  0
    5 -1.0405235781116707e-07   0  2  0  0  3  0  0
    5 -1.0989957430781506e-08   0  0  2  0  3  0  0
    5 -2.0405951317941061e-09   0  0  1  1  3  0  0
    5 -1.0989957430781506e-08   0  0  0  2  3  0  0
    5  2.2521213205202541e-08   1  0  0  0  4  0  0
    5  2.2521213205202541e-08   0  1  0  0  4  0  0
    5  7.0812694802558247e-09   0  0  0  0  5  0  0
    6 -3.1242756162405644e-09   6  0  0  0  0  0  0
    6 -6.4547252721991212e-09   5  1  0  0  0  0  0
    6 -7.9194091215628592e-09   4  2  0  0  0  0  0
    6 -8.3972350423190688e-08   3  3  0  0  0  0  0
    6 -7.9194091215628592e-09   2  4  0  0  0  0  0
    6 -6.4547252721991212e-09   1  5  0  0  0  0  0
    6 -3.1242756162405644e-09   0  6  0  0  0  0  0
    6 -2.6980733271818578e-09   4  0  2  0  0  0  0
    6  7.8504748512965455e-08   3  1  2  0  0  0  0
    6  9.8029341448029240e-08   2  2  2  0  0  0  0
    6 -7.5470133102230232e-09   1  3  2  0  0  0  0
    6 -8.5738359680447558e-09   0  4  2  0  0  0  0
    6 -2.4232313660626524e-08   2  0  4  0  0  0  0
    6  2.7062437220652260e-09   1  1  4  0  0  0  0
    6  6.4680116633162430e-10   0  2  4  0  0  0  0
    6 -1.3242833920057876e-09   0  0  6  0  0  0  0
    6 -1.7536694833076348e-08   4  0  1  1  0  0  0
    6 -3.9172003948214195e-08   3  1  1  1  0  0  0
    6 -1.6998416637638419e-07   2  2  1  1  0  0  0
    6 -3.9172003948214195e-08   1  3  1  1  0  0  0
    6 -1.7536694833076348e-08   0  4  1  1  0  0  0
    6  4.7442995379731804e-08   2  0  3  1  0  0  0
    6  7.5870924781032478e-08   1  1  3  1  0  0  0
    6 -2.9672541620720977e-08   0  2  3  1  0  0  0
    6  1.0203288023117522e-09   0  0  5  1  0  0  0
    6 -8.5738359680447558e-09   4  0  0  2  0  0  0
    6 -7.5470133102230232e-09   3  1  0  2  0  0  0
    6  9.8029341448029240e-08   2  2  0  2  0  0  0
    6  7.8504748512965455e-08   1  3  0  2  0  0  0
    6 -2.6980733271818578e-09   0  4  0  2  0  0  0
    6 -3.8550429499966477e-08   2  0  2  2  0  0  0
    6 -1.0279413776806132e-07   1  1  2  2  0  0  0
    6 -3.8550429499966477e-08   0  2  2  2  0  0  0
    6  7.4237854058106016e-09   0  0  4  2  0  0  0
    6 -2.9672541620720977e-08   2  0  1  3  0  0  0
    6  7.5870924781032478e-08   1  1  1  3  0  0  0
    6  4.7442995379731804e-08   0  2  1  3  0  0  0
    6 -1.9008865271662804e-08   0  0  3  3  0  0  0
    6  6.4680116633162430e-10   2  0  0  4  0  0  0
    6  2.7062437220652260e-09   1  1  0  4  0  0  0
    6 -2.4232313660626524e-08   0  2  0  4  0  0  0
    6  7.4237854058106016e-09   0  0  2  4  0  0  0
    6  1.0203288023117522e-09   0  0  1  5  0  0  0
    6 -1.3242833920057876e-09   0  0  0  6  0  0  0
    6  1.2605107415262737e-08   5  0  0  0  1  0  0
