
tpsa, NO = 8, NV = 7, INA = 48019
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  2.6488423222721058e-01   1  0  0  0  0  0  0
    1  1.8821816787954535e+01   0  1  0  0  0  0  0
    1 -1.9510589681084216e-04   0  0  0  0  1  0  0
    2 -8.4774833898029520e+00   2  0  0  0  0  0  0
    2 -2.6321027343300483e+02   1  1  0  0  0  0  0
    2 -1.5299831250676571e+03   0  2  0  0  0  0  0
    2  1.5590104335363506e+00   0  0  2  0  0  0  0
    2  3.6613416645046470e+02   0  0  1  1  0  0  0
    2 -1.5918509834131157e+02   0  0  0  2  0  0  0
    2 -8.5759421104865496e-01   1  0  0  0  1  0  0
    2 -1.0747729815285756e+02   0  1  0  0  1  0  0
    2  2.2010497897203898e+00   0  0  0  0  2  0  0
    3 -5.3866222023064321e+00   3  0  0  0  0  0  0
    3  1.8834579363168350e+03   2  1  0  0  0  0  0
    3 -7.8391968763808327e+04   1  2  0  0  0  0  0
    3  5.0848197881683463e+05   0  3  0  0  0  0  0
    3 -9.8487089694782355e+01   1  0  2  0  0  0  0
    3 -7.7273428805584454e+03   0  1  2  0  0  0  0
    3 -2.4154244949023710e+03   1  0  1  1  0  0  0
    3 -1.4617945690216072e+05   0  1  1  1  0  0  0
    3 -4.4160664930748108e+03   1  0  0  2  0  0  0
    3  2.7769012594231486e+05   0  1  0  2  0  0  0
    3 -1.5867361300349998e+02   2  0  0  0  1  0  0
    3  1.5712137497236974e+03   1  1  0  0  1  0  0
    3  1.7054952156891552e+04   0  2  0  0  1  0  0
    3 -1.1360012457331813e+02   0  0  2  0  1  0  0
    3 -9.7943697814747611e+02   0  0  1  1  1  0  0
    3 -9.5450602702405649e+02   0  0  0  2  1  0  0
    3  5.5573990732710264e+01   1  0  0  0  2  0  0
    3 -3.3673750664303981e+02   0  1  0  0  2  0  0
    3 -1.4669346212353549e+01   0  0  0  0  3  0  0
    4  1.9148857020408459e+03   4  0  0  0  0  0  0
    4  6.9233584899989452e+04   3  1  0  0  0  0  0
    4  3.7310347147228499e+06   2  2  0  0  0  0  0
    4  1.4575795960078031e+07   1  3  0  0  0  0  0
    4 -2.4599297255866054e+08   0  4  0  0  0  0  0
    4  2.4563153292262807e+04   2  0  2  0  0  0  0
    4 -4.4987330404454248e+05   1  1  2  0  0  0  0
    4  5.1324076701083258e+06   0  2  2  0  0  0  0
    4 -8.3087937477650739e+03   0  0  4  0  0  0  0
    4  9.7934022436646192e+04   2  0  1  1  0  0  0
    4  2.4371969226081250e+06   1  1  1  1  0  0  0
    4 -2.2765639292798653e+07   0  2  1  1  0  0  0
    4 -4.2016445797780890e+05   0  0  3  1  0  0  0
    4  4.9655264021861524e+05   2  0  0  2  0  0  0
    4  8.5473405978809502e+06   1  1  0  2  0  0  0
    4 -1.8091800158164418e+08   0  2  0  2  0  0  0
    4 -4.2450713861825923e+05   0  0  2  2  0  0  0
    4  8.4609094306369927e+06   0  0  1  3  0  0  0
    4 -6.7068141054215897e+06   0  0  0  4  0  0  0
    4  3.9600357801351220e+03   3  0  0  0  1  0  0
    4  1.0864990228723329e+04   2  1  0  0  1  0  0
    4 -1.0880252477350077e+06   1  2  0  0  1  0  0
    4 -3.6014661552811041e+06   0  3  0  0  1  0  0
    4  5.6032622613653493e+03   1  0  2  0  1  0  0
    4  5.7442185977399684e+04   0  1  2  0  1  0  0
    4 -3.3522881339423519e+04   1  0  1  1  1  0  0
    4  9.7557789572230901e+05   0  1  1  1  1  0  0
    4  1.3731850917154912e+04   1  0  0  2  1  0  0
    4 -5.8228260443345376e+05   0  1  0  2  1  0  0
    4 -2.3046392412205605e+03   2  0  0  0  2  0  0
    4  1.5289135133463724e+04   1  1  0  0  2  0  0
    4  5.1412590876738075e+05   0  2  0  0  2  0  0
    4  3.4481485412542929e+02   0  0  2  0  2  0  0
    4 -6.0195583181105139e+03   0  0  1  1  2  0  0
    4  6.8298013683896308e+04   0  0  0  2  2  0  0
    4  9.6946051875740591e+02   1  0  0  0  3  0  0
    4 -3.9841798413739775e+03   0  1  0  0  3  0  0
    4 -9.3019457169074229e+01   0  0  0  0  4  0  0
    5 -1.3669839504608084e+05   5  0  0  0  0  0  0
    5 -1.7658147217765208e+06   4  1  0  0  0  0  0
    5 -1.0234055765760268e+08   3  2  0  0  0  0  0
    5  2.7062631875561523e+08   2  3  0  0  0  0  0
    5 -4.1133556546510472e+09   1  4  0  0  0  0  0
    5  1.2142055154773679e+11   0  5  0  0  0  0  0
    5 -8.4151459027272678e+04   3  0  2  0  0  0  0
    5  2.3929739754090793e+07   2  1  2  0  0  0  0
    5 -2.4824920652493113e+08   1  2  2  0  0  0  0
    5 -1.8530990394191632e+09   0  3  2  0  0  0  0
    5 -1.4416637524284944e+06   1  0  4  0  0  0  0
    5  1.0585250004728455e+07   0  1  4  0  0  0  0
    5  3.1515591220627078e+06   3  0  1  1  0  0  0
    5  5.5980003659500524e+07   2  1  1  1  0  0  0
    5  1.6501534255941472e+09   1  2  1  1  0  0  0
    5  1.9495286518218594e+09   0  3  1  1  0  0  0
    5  1.5015420440116458e+07   1  0  3  1  0  0  0
    5  5.9931723874107555e+07   0  1  3  1  0  0  0
    5 -1.1812066523746654e+07   3  0  0  2  0  0  0
    5  1.3996293288146180e+08   2  1  0  2  0  0  0
    5 -2.6676368790927620e+09   1  2  0  2  0  0  0
    5  2.0920800162119164e+10   0  3  0  2  0  0  0
    5  3.0006016959278211e+07   1  0  2  2  0  0  0
    5 -1.1743535924199057e+09   0  1  2  2  0  0  0
    5  2.1519787310153645e+08   1  0  1  3  0  0  0
    5 -6.1949169228269806e+09   0  1  1  3  0  0  0
    5 -5.0300856272771996e+08   1  0  0  4  0  0  0
    5  1.1744579328374710e+10   0  1  0  4  0  0  0
    5  1.8578956305048204e+05   4  0  0  0  1  0  0
    5 -1.2997522212628413e+06   3  1  0  0  1  0  0
    5  1.0353238309176663e+07   2  2  0  0  1  0  0
    5 -1.0354673086609089e+08   1  3  0  0  1  0  0
    5 -3.9467104525533247e+09   0  4  0  0  1  0  0
    5 -3.5956424076277885e+05   2  0  2  0  1  0  0
    5 -5.5199230570182111e+06   1  1  2  0  1  0  0
    5 -1.0136816007021937e+08   0  2  2  0  1  0  0
    5 -5.1556510736904907e+04   0  0  4  0  1  0  0
    5 -1.6032943442226399e+05   2  0  1  1  1  0  0
    5 -2.2601127210184857e+07   1  1  1  1  1  0  0
    5  3.9406280222276986e+07   0  2  1  1  1  0  0
    5  2.8589406972450111e+06   0  0  3  1  1  0  0
    5  1.1727086783456984e+06   2  0  0  2  1  0  0
    5 -7.0636311054725766e+07   1  1  0  2  1  0  0
    5 -5.6144820975205994e+08   0  2  0  2  1  0  0
    5  7.5922211598289758e+05   0  0  2  2  1  0  0
    5 -2.4120892998352684e+07   0  0  1  3  1  0  0
    5 -8.8250498727987796e+07   0  0  0  4  1  0  0
    5 -1.8403765708101122e+05   3  0  0  0  2  0  0
    5  8.6784312006860913e+04   2  1  0  0  2  0  0
    5 -2.2175409389483836e+06   1  2  0  0  2  0  0
    5 -9.8258447528020561e+07   0  3  0  0  2  0  0
    5  4.3375311738697164e+03   1  0  2  0  2  0  0
    5  2.4263785688894847e+06   0  1  2  0  2  0  0
    5 -1.6710355847455043e+05   1  0  1  1  2  0  0
    5  6.4102734404856926e+06   0  1  1  1  2  0  0
    5 -2.4924346586513640e+06   1  0  0  2  2  0  0
    5 -2.9395117701011069e+07   0  1  0  2  2  0  0
    5  6.2398967549695037e+04   2  0  0  0  3  0  0
    5 -2.2091013799486824e+05   1  1  0  0  3  0  0
    5 -2.0748706450198125e+06   0  2  0  0  3  0  0
    5 -1.1601156829576854e+04   0  0  2  0  3  0  0
    5  1.6865826308607217e+05   0  0  1  1  3  0  0
    5  3.9483609683092881e+05   0  0  0  2  3  0  0
    5 -1.0409770753281893e+04   1  0  0  0  4  0  0
    5  8.2727853214679082e+04   0  1  0  0  4  0  0
    5  6.0191145070513824e+02   0  0  0  0  5  0  0
    6 -2.9409909194425158e+06   6  0  0  0  0  0  0
    6  4.0200820394284174e+07   5  1  0  0  0  0  0
    6 -4.6646092059515429e+08   4  2  0  0  0  0  0
    6 -1.1422638367317619e+09   3  3  0  0  0  0  0
    6 -1.4461554495278662e+11   2  4  0  0  0  0  0
    6 -1.9183132907964648e+12   1  5  0  0  0  0  0
    6 -3.1706517571612512e+13   0  6  0  0  0  0  0
    6  8.4531555087744072e+06   4  0  2  0  0  0  0
    6 -5.0866843643071640e+08   3  1  2  0  0  0  0
    6  1.3388139499660187e+10   2  2  2  0  0  0  0
    6  2.5849474228416939e+10   1  3  2  0  0  0  0
    6  1.5492371843129690e+12   0  4  2  0  0  0  0
    6  8.6074372439510539e+07   2  0  4  0  0  0  0
    6 -7.0318825959745145e+08   1  1  4  0  0  0  0
    6 -2.1849095214198012e+09   0  2  4  0  0  0  0
    6  1.7197255706467569e+07   0  0  6  0  0  0  0
    6 -1.0616799279822482e+08   4  0  1  1  0  0  0
    6 -3.1603590401861796e+09   3  1  1  1  0  0  0
    6 -6.4774200756615646e+10   2  2  1  1  0  0  0
    6  2.3981565818587903e+11   1  3  1  1  0  0  0
    6  4.3184667999848975e+12   0  4  1  1  0  0  0
    6 -1.9908170696554664e+08   2  0  3  1  0  0  0
    6 -2.7438737727620163e+09   1  1  3  1  0  0  0
    6 -2.7903918831179996e+10   0  2  3  1  0  0  0
    6 -3.5544431532107636e+07   0  0  5  1  0  0  0
    6 -5.4829611112185872e+08   4  0  0  2  0  0  0
    6  1.6362241803708069e+09   3  1  0  2  0  0  0
    6 -2.3496918315290482e+10   2  2  0  2  0  0  0
    6  3.4409699481139985e+12   1  3  0  2  0  0  0
    6 -2.1962185751571562e+12   0  4  0  2  0  0  0
    6  1.6095355328483131e+09   2  0  2  2  0  0  0
    6 -2.3162582187230835e+09   1  1  2  2  0  0  0
    6  1.1614555383091147e+12   0  2  2  2  0  0  0
