
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.0733312785135546e-01   0  0  0  0  0  0  0
    1  1.3333000006327161e-01   0  0  0  0  1  0  0
    2 -1.1952888593659566e+02   1  1  0  0  0  0  0
    2 -3.9038329658902683e+01   0  0  1  1  0  0  0
    2 -1.8603799031274146e+00   0  0  0  0  2  0  0
    3 -1.6347982452655951e+04   1  1  0  0  1  0  0
    3 -3.7811944153170953e+03   0  0  1  1  1  0  0
    3 -7.7076840080731102e+01   0  0  0  0  3  0  0
    4  1.2118401226960583e+07   2  2  0  0  0  0  0
    4  2.0156743369950086e+07   1  1  1  1  0  0  0
    4  3.6081804315962172e+06   0  0  2  2  0  0  0
    4  2.6427333161270025e+05   1  1  0  0  2  0  0
    4 -1.8749306162319557e+04   0  0  1  1  2  0  0
    4  2.8331718896327011e+03   0  0  0  0  4  0  0
    5 -5.9289836545249578e-09   4  0  0  0  1  0  0
    5 -1.3375578326457281e+08   2  2  0  0  1  0  0
    5 -1.1857967309049915e-09   0  4  0  0  1  0  0
    5 -2.2707291954802731e+08   1  1  1  1  1  0  0
    5 -6.7642606753613174e+07   0  0  2  2  1  0  0
    5 -3.5241561317032953e+06   1  1  0  0  3  0  0
    5  8.0030223884508829e+05   0  0  1  1  3  0  0
    5 -8.8068368058704727e+04   0  0  0  0  5  0  0
    6 -1.8213837786700669e-06   5  1  0  0  0  0  0
    6  6.7588435865771957e+10   3  3  0  0  0  0  0
    6 -6.0712792622335566e-07   1  5  0  0  0  0  0
    6  7.5890990777919457e-08   0  0  6  0  0  0  0
    6 -1.2142558524467114e-05   4  0  1  1  0  0  0
    6  2.2254036189029028e+11   2  2  1  1  0  0  0
    6 -2.4285117048934226e-06   0  4  1  1  0  0  0
    6  2.2515452660239175e+11   1  1  2  2  0  0  0
    6  1.2142558524467113e-06   0  0  4  2  0  0  0
    6  5.0811186835736191e+10   0  0  3  3  0  0  0
    6  1.2142558524467113e-06   0  0  2  4  0  0  0
    6  7.5890990777919457e-08   0  0  0  6  0  0  0
    6 -2.5688631732661529e+09   2  2  0  0  2  0  0
    6 -3.3705070353418489e+09   1  1  1  1  2  0  0
    6 -2.1427107504962185e+08   0  0  2  2  2  0  0
    6  1.0828053917736800e+08   1  1  0  0  4  0  0
    6  5.9259991887562476e+07   0  0  1  1  4  0  0
    6  1.6212243186598737e+06   0  0  0  0  6  0  0
  -40  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50241
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.0733312785135546e-01   0  0  0  0  0  0  0
    1  3.9999000018981481e-03   0  0  0  0  1  0  0
    2 -2.4494838469102135e-03   1  1  0  0  0  0  0
    2 -6.6987784279706915e-04   0  0  1  1  0  0  0
    2 -1.6743419128146732e-03   0  0  0  0  2  0  0
    3 -1.0050487453366005e-02   1  1  0  0  1  0  0
    3 -1.9465010774747417e-03   0  0  1  1  1  0  0
    3 -2.0810746821797398e-03   0  0  0  0  3  0  0
    4  5.0891909207275987e-03   2  2  0  0  0  0  0
    4  7.0880449106954279e-03   1  1  1  1  0  0  0
    4  1.0624219107766009e-03   0  0  2  2  0  0  0
    4  4.8741350401948135e-03   1  1  0  0  2  0  0
    4 -2.8955568509532670e-04   0  0  1  1  2  0  0
    4  2.2948692306024878e-03   0  0  0  0  4  0  0
    5 -7.4697303428000032e-20   4  0  0  0  1  0  0
    5 -1.6851448595474529e-03   2  2  0  0  1  0  0
    5 -1.4939460685600005e-20   0  4  0  0  1  0  0
    5 -2.3954807910467526e-03   1  1  1  1  1  0  0
    5 -5.9751713263373298e-04   0  0  2  2  1  0  0
    5 -1.9499371484625748e-03   1  1  0  0  3  0  0
    5  3.7078502166308121e-04   0  0  1  1  3  0  0
    5 -2.1400613438265249e-03   0  0  0  0  5  0  0
    6 -1.5674965327605781e-20   5  1  0  0  0  0  0
    6  5.8167114539510510e-04   3  3  0  0  0  0  0
    6 -5.2249884425352610e-21   1  5  0  0  0  0  0
    6  3.8344526617074139e-22   0  0  6  0  0  0  0
    6 -8.7502005634636233e-20   4  0  1  1  0  0  0
    6  1.6036758612956938e-03   2  2  1  1  0  0  0
    6 -1.7500401126927247e-20   0  4  1  1  0  0  0
    6  1.3585985998543413e-03   1  1  2  2  0  0  0
    6  6.1351242587318623e-21   0  0  4  2  0  0  0
    6  2.5672756227012938e-04   0  0  3  3  0  0  0
    6  6.1351242587318623e-21   0  0  2  4  0  0  0
    6  3.8344526617074139e-22   0  0  0  6  0  0  0
    6 -9.7092771594350707e-04   2  2  0  0  2  0  0
    6 -1.0667037983199453e-03   1  1  1  1  2  0  0
    6 -5.6782541883555645e-05   0  0  2  2  2  0  0
    6  1.7973685436189124e-03   1  1  0  0  4  0  0
    6  8.2366572187124866e-04   0  0  1  1  4  0  0
    6  1.1818725283030478e-03   0  0  0  0  6  0  0
  -40  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.9999978937769903e-02   0  0  0  0  0  0  0
    1  1.3332999963788689e-01   0  0  0  0  1  0  0
    2 -3.9038329658902683e+01   1  1  0  0  0  0  0
    2 -2.3492050407753754e+02   0  0  1  1  0  0  0
    2 -1.3653427966303842e+00   0  0  0  0  2  0  0
    3 -3.7811944153170953e+03   1  1  0  0  1  0  0
    3  1.7535314030006039e+03   0  0  1  1  1  0  0
    3 -3.0106559750568893e+00   0  0  0  0  3  0  0
    4  1.0078371684975043e+07   2  2  0  0  0  0  0
    4 -1.4822459136312394e-10   2  0  1  1  0  0  0
    4  7.2163608631924344e+06   1  1  1  1  0  0  0
    4 -1.4822459136312394e-10   0  2  1  1  0  0  0
    4  6.2399818257383758e+05   0  0  2  2  0  0  0
    4 -1.8749306162319557e+04   1  1  0  0  2  0  0
    4  3.4138459298165355e+04   0  0  1  1  2  0  0
    4 -3.3443688772261908e+02   0  0  0  0  4  0  0
    5 -1.1353645977401365e+08   2  2  0  0  1  0  0
    5  7.4112295681561973e-10   0  0  4  0  1  0  0
    5 -2.3715934618099830e-09   2  0  1  1  1  0  0
    5 -1.3528521350722635e+08   1  1  1  1  1  0  0
    5 -2.3715934618099830e-09   0  2  1  1  1  0  0
    5  5.9289836545249576e-10   0  0  3  1  1  0  0
    5 -1.6700431922484664e+07   0  0  2  2  1  0  0
    5  2.9644918272624788e-10   0  0  1  3  1  0  0
    5  1.4822459136312394e-10   0  0  0  4  1  0  0
    5  8.0030223884508829e+05   1  1  0  0  3  0  0
    5 -5.7990614188664115e+05   0  0  1  1  3  0  0
    5 -1.0474016458310482e+03   0  0  0  0  5  0  0
    6  1.5178198155583891e-07   6  0  0  0  0  0  0
    6 -2.4285117048934226e-06   5  1  0  0  0  0  0
    6  7.4180120630096756e+10   3  3  0  0  0  0  0
    6 -2.4285117048934226e-06   1  5  0  0  0  0  0
    6  1.5178198155583891e-07   0  6  0  0  0  0  0
    6  2.2515452660239175e+11   2  2  1  1  0  0  0
    6  2.4285117048934226e-06   2  0  3  1  0  0  0
    6  4.8570234097868453e-06   1  1  3  1  0  0  0
    6  2.4285117048934226e-06   0  2  3  1  0  0  0
    6  1.5243356050720856e+11   1  1  2  2  0  0  0
    6  3.7945495388959730e-07   0  0  4  2  0  0  0
    6  1.2142558524467113e-06   2  0  1  3  0  0  0
    6  2.4285117048934226e-06   1  1  1  3  0  0  0
    6  1.2142558524467113e-06   0  2  1  3  0  0  0
    6  1.1938703995777607e+10   0  0  3  3  0  0  0
    6  2.2767297233375836e-07   0  0  2  4  0  0  0
    6 -1.6852535176709244e+09   2  2  0  0  2  0  0
    6 -4.7431869236199661e-09   2  0  1  1  2  0  0
    6 -4.2854215009924370e+08   1  1  1  1  2  0  0
    6 -4.7431869236199661e-09   0  2  1  1  2  0  0
    6  6.9807222748664439e+08   0  0  2  2  2  0  0
    6  5.9259991887562476e+07   1  1  0  0  4  0  0
    6 -7.7674252141104797e+06   0  0  1  1  4  0  0
    6  1.3896401091857723e+05   0  0  0  0  6  0  0
  -52  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50242
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.9999978937769903e-02   0  0  0  0  0  0  0
    1  3.9998999891366063e-03   0  0  0  0  1  0  0
    2 -8.0000543099315632e-04   1  1  0  0  0  0  0
    2 -4.0311161331763896e-03   0  0  1  1  0  0  0
    2 -1.2288085169673457e-03   0  0  0  0  2  0  0
    3 -2.3246200037184404e-03   1  1  0  0  1  0  0
    3  9.0269115798433011e-04   0  0  1  1  1  0  0
    3 -8.1287711326536013e-05   0  0  0  0  3  0  0
    4  4.2324690125611015e-03   2  2  0  0  0  0  0
    4 -5.2122634156149494e-20   2  0  1  1  0  0  0
    4  2.5376068421026619e-03   1  1  1  1  0  0  0
    4 -5.2122634156149494e-20   0  2  1  1  0  0  0
    4  1.8373508587483294e-04   0  0  2  2  0  0  0
    4 -3.4580352692958031e-04   1  1  0  0  2  0  0
    4  5.2721870796717954e-04   0  0  1  1  2  0  0
    4 -2.7089387905532145e-04   0  0  0  0  4  0  0
    5 -1.4304082925591945e-03   2  2  0  0  1  0  0
    5  6.5466676306328010e-21   0  0  4  0  1  0  0
    5 -2.5018864394951757e-20   2  0  1  1  1  0  0
    5 -1.4271764810804574e-03   1  1  1  1  1  0  0
    5 -2.5018864394951757e-20   0  2  1  1  1  0  0
    5  5.2373341045062404e-21   0  0  3  1  1  0  0
    5 -1.4752231877188668e-04   0  0  2  2  1  0  0
    5  2.6186670522531202e-21   0  0  1  3  1  0  0
    5  1.3093335261265601e-21   0  0  0  4  1  0  0
