
n = 1:
      sl1(1) =  -0.3337838 3
      sl1(2) =  -0.3337838 3
      sl2(1) =  -0.2938376 3
      sl2(2) =  -0.2938376 3
      sl3(1) =   1.0500000 3
      sl3(2) =   1.0500000 3
      sh1(1) =   1.0500000 3
      sh1(2) =   1.0500000 3
      sh3(1) =  -0.6963970 3
      sh3(2) =  -0.6963970 3
      sh4(1) =  -0.4807001 3
      sh4(2) =  -0.4807001 3
     sm1a(1) =  -2.6157544 3
     sm1a(2) =  -2.6157544 3
     sm1b(1) =  -2.1518804 3
     sm1b(2) =  -2.1518804 3
      sm2(1) =   3.4187688 3
      sm2(2) =   3.4187688 3
      sm3(1) =   0.0473345 3
      sm3(2) =   0.0473345 3
      sm3(3) =   0.0473345 3
      sm3(4) =   0.0473345 3
      sm3(1) =  -5.3632121 4
      sm3(2) =  -5.3632121 4
      sm3(3) =  -5.3632121 4
      sm3(4) =  -5.3632121 4
      sm3(1) =   3.7493333 5
      sm3(2) =   3.7493333 5
      sm3(3) =   3.7493333 5
      sm3(4) =   3.7493333 5

n = 2:
      sl1(1) =  -0.5274503 3
      sl1(2) =  -0.5274503 3
      sl2(1) =   0.8443137 3
      sl2(2) =   0.8443137 3
      sl3(1) =   0.2982359 3
      sl3(2) =   0.2982359 3
      sh1(1) =   1.1887874 3
      sh1(2) =   1.1887874 3
      sh3(1) =  -0.7149100 3
      sh3(2) =  -0.7149100 3
      sh4(1) =  -0.7021458 3
      sh4(2) =  -0.7021458 3
     sm1a(1) =  -2.8810281 3
     sm1a(2) =  -2.8810281 3
     sm1b(1) =  -2.0247492 3
     sm1b(2) =  -2.0247492 3
      sm2(1) =   3.4431382 3
      sm2(2) =   3.4431382 3
      sm3(1) =   0.1220732 3
      sm3(2) =   0.1220732 3
      sm3(3) =   0.1220732 3
      sm3(4) =   0.1220732 3
      sm3(1) =  -9.6029400 4
      sm3(2) =  -9.6029400 4
      sm3(3) =  -9.6029400 4
      sm3(4) =  -9.6029400 4
      sm3(1) =   3.7382657 5
      sm3(2) =   3.7382657 5
      sm3(3) =   3.7382657 5
      sm3(4) =   3.7382657 5

n = 3:
      sl1(1) =   0.0524443 3
      sl1(2) =   0.0524443 3
      sl2(1) =   1.5526132 3
      sl2(2) =   1.5526132 3
      sl3(1) =  -0.8412349 3
      sl3(2) =  -0.8412349 3
      sh1(1) =   0.6069320 3
      sh1(2) =   0.6069320 3
      sh3(1) =   0.4487320 3
      sh3(2) =   0.4487320 3
      sh4(1) =  -1.5415021 3
      sh4(2) =  -1.5415021 3
     sm1a(1) =  -3.0667197 3
     sm1a(2) =  -3.0667197 3
     sm1b(1) =  -1.9356949 3
     sm1b(2) =  -1.9356949 3
      sm2(1) =   3.4601967 3
      sm2(2) =   3.4601967 3
      sm3(1) =   0.1744005 3
      sm3(2) =   0.1744005 3
