# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.20667 1.07867
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2600057483350758e-04  4.8193905205813681e-19  4.1534726035352756e-03 -9.7203305558201539e-19  0.0000000000000000e+00  0.0000000000000000e+00
   1  7.5917701672560873e-05  5.0946265394599579e-04  3.6333261598780063e-03 -2.0163421248112884e-03  0.0000000000000000e+00  6.0023121414855387e-03
   2 -9.8792773300956552e-05  6.0795016708295251e-04  2.3182423801921159e-03 -3.5627584049751763e-03  0.0000000000000000e+00 -8.2520696684406716e-03
   3 -2.6722406269467339e-04  7.5028023311746455e-05  6.1401841469550962e-04 -4.3546168905568344e-03  0.0000000000000000e+00 -3.8779135267989845e-02
   4 -4.9586845985848517e-04 -5.3631307081895439e-04 -1.1162739493062888e-03 -4.2886251454328297e-03  0.0000000000000000e+00 -6.7584345891811684e-02
   5 -4.8206969398143439e-04 -5.4446715926457720e-04 -2.6329283854730507e-03 -3.2322321132206714e-03  0.0000000000000000e+00 -7.7044904056369143e-02
   6 -3.9382609923855342e-05  3.7000701046797481e-06 -3.7829272949068413e-03 -1.3864832579779025e-03  0.0000000000000000e+00 -6.6523599643719039e-02
   7  4.0263136331623449e-04  4.7524303641338335e-04 -4.1317712691993566e-03  6.6465667128311960e-04  0.0000000000000000e+00 -5.2587932513488526e-02
   8  3.4204319697944203e-04  4.6984946618026978e-04 -3.3365279454553413e-03  2.4767259035679682e-03  0.0000000000000000e+00 -5.3780065211560382e-02
   9 -1.9043203717166937e-04  1.3931101447880469e-04 -1.7627537250203618e-03  3.8543126832994083e-03  0.0000000000000000e+00 -7.4719138554482700e-02
  10 -7.1077069501367628e-04 -1.8212797331506019e-04 -8.1652813911250975e-05  4.5265374309382276e-03  0.0000000000000000e+00 -1.0619776588288371e-01
  11 -6.9385933673576049e-04 -2.8473129436793870e-04  1.4988824620738878e-03  4.1143645307829850e-03  0.0000000000000000e+00 -1.3027515654912517e-01
  12 -1.1969155705739247e-04 -1.8537766421630413e-04  3.0303787217017004e-03  2.7099743601382165e-03  0.0000000000000000e+00 -1.3329449522727913e-01
  13  4.0484361541274328e-04 -4.1755127301110269e-05  4.0763105522357507e-03  8.1330784165351640e-04  0.0000000000000000e+00 -1.2036628546262595e-01
  14  3.2965012337443140e-04  1.5767979679745176e-04  3.9864496035061561e-03 -1.2001415514547641e-03  0.0000000000000000e+00 -1.0972781095228827e-01
