
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -2.0726159030801482e-05   1  1  0  0  0  0  0
    2 -7.5795034271856034e-06   0  0  1  1  0  0  0
    2  1.1731365679229615e-05   0  0  0  0  2  0  0
    3 -1.2243742225036216e-06   3  0  0  0  0  0  0
    3 -1.9691248727923929e-06   2  1  0  0  0  0  0
    3 -1.9691248727923929e-06   1  2  0  0  0  0  0
    3 -1.2243742225036216e-06   0  3  0  0  0  0  0
    3  4.1110910416565119e-06   1  0  2  0  0  0  0
    3 -1.1026981593586840e-09   0  1  2  0  0  0  0
    3 -1.0857434919738394e-06   1  0  1  1  0  0  0
    3 -1.0857434919738394e-06   0  1  1  1  0  0  0
    3 -1.1026981593586840e-09   1  0  0  2  0  0  0
    3  4.1110910416565119e-06   0  1  0  2  0  0  0
    3 -2.1597576058821856e-06   2  0  0  0  1  0  0
    3 -4.6799897345000107e-07   1  1  0  0  1  0  0
    3 -2.1597576058821856e-06   0  2  0  0  1  0  0
    3  6.5833788031063567e-07   0  0  2  0  1  0  0
    3 -4.4962036063578108e-07   0  0  1  1  1  0  0
    3  6.5833788031063567e-07   0  0  0  2  1  0  0
    3  4.2450637003596182e-21   1  0  0  0  2  0  0
    3  4.2450637003596182e-21   0  1  0  0  2  0  0
    3 -1.0059690000605411e-07   0  0  0  0  3  0  0
    4 -7.4865872425691400e-07   4  0  0  0  0  0  0
    4 -5.3429634890268439e-08   3  1  0  0  0  0  0
    4 -5.0517033454813165e-07   2  2  0  0  0  0  0
    4 -5.3429634890268439e-08   1  3  0  0  0  0  0
    4 -7.4865872425691400e-07   0  4  0  0  0  0  0
    4 -3.8838834477562233e-07   2  0  2  0  0  0  0
    4  5.7110364567161445e-07   1  1  2  0  0  0  0
    4 -3.4907907896907112e-07   0  2  2  0  0  0  0
    4  1.5595370473476657e-07   0  0  4  0  0  0  0
    4 -3.9027080894513999e-07   2  0  1  1  0  0  0
    4 -2.1429330895890762e-06   1  1  1  1  0  0  0
    4 -3.9027080894513999e-07   0  2  1  1  0  0  0
    4 -1.7898641947514940e-07   0  0  3  1  0  0  0
    4 -3.4907907896907112e-07   2  0  0  2  0  0  0
    4  5.7110364567161445e-07   1  1  0  2  0  0  0
    4 -3.8838834477562233e-07   0  2  0  2  0  0  0
    4 -3.2066366168848665e-07   0  0  2  2  0  0  0
    4 -1.7898641947514940e-07   0  0  1  3  0  0  0
    4  1.5595370473476657e-07   0  0  0  4  0  0  0
    4  2.9525915827627401e-07   3  0  0  0  1  0  0
    4 -1.6155275380296912e-06   2  1  0  0  1  0  0
    4 -1.6155275380296912e-06   1  2  0  0  1  0  0
    4  2.9525915827627401e-07   0  3  0  0  1  0  0
    4  5.8046057422582975e-08   1  0  2  0  1  0  0
    4  3.9383254393086077e-07   0  1  2  0  1  0  0
    4 -1.0082116078265701e-06   1  0  1  1  1  0  0
    4 -1.0082116078265701e-06   0  1  1  1  1  0  0
    4  3.9383254393086077e-07   1  0  0  2  1  0  0
    4  5.8046057422582975e-08   0  1  0  2  1  0  0
    4 -7.8365783749850436e-07   2  0  0  0  2  0  0
    4 -1.4293377333815244e-07   1  1  0  0  2  0  0
    4 -7.8365783749850436e-07   0  2  0  0  2  0  0
    4  5.7693857847210748e-07   0  0  2  0  2  0  0
    4 -1.0730161939949140e-07   0  0  1  1  2  0  0
    4  5.7693857847210748e-07   0  0  0  2  2  0  0
    4  3.1905909190321518e-22   1  0  0  0  3  0  0
    4  3.1905909190321518e-22   0  1  0  0  3  0  0
    4  3.7777962940178919e-07   0  0  0  0  4  0  0
    5  5.6504609945878452e-07   5  0  0  0  0  0  0
    5 -3.6420210064261027e-07   4  1  0  0  0  0  0
    5 -5.4120172169129715e-08   3  2  0  0  0  0  0
    5 -5.4120172169129715e-08   2  3  0  0  0  0  0
    5 -3.6420210064261027e-07   1  4  0  0  0  0  0
    5  5.6504609945878452e-07   0  5  0  0  0  0  0
    5  4.6333608164630455e-07   3  0  2  0  0  0  0
    5 -1.7166130765829711e-07   2  1  2  0  0  0  0
    5  4.5888000400039996e-08   1  2  2  0  0  0  0
    5  1.0839053252832410e-07   0  3  2  0  0  0  0
    5 -1.2479250597079259e-07   1  0  4  0  0  0  0
    5 -4.5788232665846420e-09   0  1  4  0  0  0  0
    5 -2.7625965356523342e-07   3  0  1  1  0  0  0
    5  6.6488632829261572e-07   2  1  1  1  0  0  0
    5  6.6488632829261572e-07   1  2  1  1  0  0  0
    5 -2.7625965356523342e-07   0  3  1  1  0  0  0
    5 -2.6968016512498217e-08   1  0  3  1  0  0  0
    5 -8.0538165535682356e-08   0  1  3  1  0  0  0
    5  1.0839053252832410e-07   3  0  0  2  0  0  0
    5  4.5888000400039996e-08   2  1  0  2  0  0  0
    5 -1.7166130765829711e-07   1  2  0  2  0  0  0
    5  4.6333608164630455e-07   0  3  0  2  0  0  0
    5  3.5057259447882585e-07   1  0  2  2  0  0  0
    5  3.5057259447882585e-07   0  1  2  2  0  0  0
    5 -8.0538165535682356e-08   1  0  1  3  0  0  0
    5 -2.6968016512498217e-08   0  1  1  3  0  0  0
    5 -4.5788232665846420e-09   1  0  0  4  0  0  0
    5 -1.2479250597079259e-07   0  1  0  4  0  0  0
    5 -6.8749591245676133e-07   4  0  0  0  1  0  0
    5 -1.8735842756782605e-07   3  1  0  0  1  0  0
    5  6.9031304188590282e-07   2  2  0  0  1  0  0
    5 -1.8735842756782605e-07   1  3  0  0  1  0  0
    5 -6.8749591245676133e-07   0  4  0  0  1  0  0
    5  5.6089972191661909e-08   2  0  2  0  1  0  0
    5 -4.8465318563904647e-08   1  1  2  0  1  0  0
    5 -3.9005279720221121e-08   0  2  2  0  1  0  0
    5 -4.9008939782322630e-08   0  0  4  0  1  0  0
    5 -6.0229625119976811e-08   2  0  1  1  1  0  0
    5 -2.8107304629045702e-07   1  1  1  1  1  0  0
    5 -6.0229625119976811e-08   0  2  1  1  1  0  0
    5  2.6923537281713085e-08   0  0  3  1  1  0  0
    5 -3.9005279720221121e-08   2  0  0  2  1  0  0
    5 -4.8465318563904647e-08   1  1  0  2  1  0  0
    5  5.6089972191661909e-08   0  2  0  2  1  0  0
    5  9.2159318318225752e-08   0  0  2  2  1  0  0
    5  2.6923537281713085e-08   0  0  1  3  1  0  0
    5 -4.9008939782322630e-08   0  0  0  4  1  0  0
    5  2.7630952036573667e-07   3  0  0  0  2  0  0
    5 -7.4476260004395393e-07   2  1  0  0  2  0  0
    5 -7.4476260004395393e-07   1  2  0  0  2  0  0
    5  2.7630952036573667e-07   0  3  0  0  2  0  0
    5  1.6792206471901992e-08   1  0  2  0  2  0  0
    5 -3.5140346963500044e-08   0  1  2  0  2  0  0
    5 -2.4179552132228604e-07   1  0  1  1  2  0  0
    5 -2.4179552132228604e-07   0  1  1  1  2  0  0
    5 -3.5140346963500044e-08   1  0  0  2  2  0  0
    5  1.6792206471901992e-08   0  1  0  2  2  0  0
    5  1.6186783337671076e-08   2  0  0  0  3  0  0
    5  2.0963704105350682e-08   1  1  0  0  3  0  0
    5  1.6186783337671076e-08   0  2  0  0  3  0  0
    5 -1.2075931883626927e-07   0  0  2  0  3  0  0
    5 -1.6318145450875355e-07   0  0  1  1  3  0  0
    5 -1.2075931883626927e-07   0  0  0  2  3  0  0
    5 -4.0189466988184765e-22   1  0  0  0  4  0  0
    5 -4.0189466988184765e-22   0  1  0  0  4  0  0
    5 -8.8755173104367080e-08   0  0  0  0  5  0  0
    6 -3.0622469920336721e-07   6  0  0  0  0  0  0
    6  6.3628310077996292e-07   5  1  0  0  0  0  0
    6  1.2840089898979885e-07   4  2  0  0  0  0  0
    6 -5.1211356113695898e-07   3  3  0  0  0  0  0
    6  1.2840089898979885e-07   2  4  0  0  0  0  0
    6  6.3628310077996292e-07   1  5  0  0  0  0  0
    6 -3.0622469920336721e-07   0  6  0  0  0  0  0
    6 -1.4404909380309719e-06   4  0  2  0  0  0  0
    6 -7.7563841951578701e-09   3  1  2  0  0  0  0
    6  1.1799674609879864e-07   2  2  2  0  0  0  0
    6  9.0022807369766727e-08   1  3  2  0  0  0  0
    6 -3.2231106910880005e-07   0  4  2  0  0  0  0
    6  7.6057209624018405e-08   2  0  4  0  0  0  0
    6 -8.1660367118449785e-09   1  1  4  0  0  0  0
    6 -2.2404030700925434e-09   0  2  4  0  0  0  0
    6 -8.8939338358098817e-09   0  0  6  0  0  0  0
    6 -4.9199061133680413e-08   4  0  1  1  0  0  0
    6 -2.5120944201758612e-07   3  1  1  1  0  0  0
    6 -2.8382537483716276e-07   2  2  1  1  0  0  0
    6 -2.5120944201758612e-07   1  3  1  1  0  0  0
    6 -4.9199061133680413e-08   0  4  1  1  0  0  0
    6 -1.5075442625162205e-08   2  0  3  1  0  0  0
    6 -1.7816284177405446e-08   1  1  3  1  0  0  0
    6  9.3835558762543560e-08   0  2  3  1  0  0  0
    6  4.9915338161162961e-09   0  0  5  1  0  0  0
    6 -3.2231106910880005e-07   4  0  0  2  0  0  0
    6  9.0022807369766727e-08   3  1  0  2  0  0  0
    6  1.1799674609879864e-07   2  2  0  2  0  0  0
    6 -7.7563841951578701e-09   1  3  0  2  0  0  0
    6 -1.4404909380309719e-06   0  4  0  2  0  0  0
    6 -1.8878637603148638e-07   2  0  2  2  0  0  0
    6 -6.1399928295964546e-09   1  1  2  2  0  0  0
    6 -1.8878637603148638e-07   0  2  2  2  0  0  0
    6  1.7549462854197495e-08   0  0  4  2  0  0  0
    6  9.3835558762543560e-08   2  0  1  3  0  0  0
    6 -1.7816284177405446e-08   1  1  1  3  0  0  0
    6 -1.5075442625162205e-08   0  2  1  3  0  0  0
    6 -4.6201420065933501e-08   0  0  3  3  0  0  0
    6 -2.2404030700925434e-09   2  0  0  4  0  0  0
    6 -8.1660367118449785e-09   1  1  0  4  0  0  0
    6  7.6057209624018405e-08   0  2  0  4  0  0  0
    6  1.7549462854197495e-08   0  0  2  4  0  0  0
