
tpsa, NO = 8, NV = 7, INA = 48094
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.4926160534960620e-01   1  1  0  0  0  0  0
    2 -2.4713859882515687e-01   0  0  1  1  0  0  0
    2  9.5766250442690729e-03   0  0  0  0  2  0  0
    3 -4.1886854792335959e-01   1  1  0  0  1  0  0
    3 -4.1886854838475795e-01   0  0  1  1  1  0  0
    3 -2.3462833820654012e-03   0  0  0  0  3  0  0
    4  2.8241845769733857e+02   2  2  0  0  0  0  0
    4 -6.6170624463126359e+01   1  1  1  1  0  0  0
    4  2.8431610544222633e+02   0  0  2  2  0  0  0
    4  7.8573658051595618e+00   1  1  0  0  2  0  0
    4  3.5584225112461692e+00   0  0  1  1  2  0  0
    4  2.5174819118819763e-01   0  0  0  0  4  0  0
    5  2.7881663509612990e+04   2  2  0  0  1  0  0
    5  1.4208793840179478e+04   1  1  1  1  1  0  0
    5 -3.2520181121546448e+03   0  0  2  2  1  0  0
    5  2.4682433644180227e+02   1  1  0  0  3  0  0
    5 -2.1603546609250049e+01   0  0  1  1  3  0  0
    5 -1.6898706130420333e+00   0  0  0  0  5  0  0
    6 -9.1937252531538866e+06   3  3  0  0  0  0  0
    6 -2.5427859751905285e+07   2  2  1  1  0  0  0
    6  1.1641532182693481e-10   2  0  2  2  0  0  0
    6 -9.4724256685042772e+06   1  1  2  2  0  0  0
    6  1.1641532182693481e-10   0  2  2  2  0  0  0
    6 -7.0052959625170473e+05   0  0  3  3  0  0  0
    6 -5.2613881031693018e+05   2  2  0  0  2  0  0
    6 -1.2478071967385164e+05   1  1  1  1  2  0  0
    6 -2.8292205222481844e+04   0  0  2  2  2  0  0
    6 -1.0637122497853843e+04   1  1  0  0  4  0  0
    6  1.7728428436226384e+03   0  0  1  1  4  0  0
    6 -8.9378640594566132e+00   0  0  0  0  6  0  0
    7 -1.1641532182693481e-10   6  0  0  0  1  0  0
    7  5.8714213297356941e+07   3  3  0  0  1  0  0
    7 -1.1641532182693481e-10   0  6  0  0  1  0  0
    7  5.8207660913467407e-11   0  0  6  0  1  0  0
    7  3.4914350343599731e+08   2  2  1  1  1  0  0
    7  1.8995660334344923e+08   1  1  2  2  1  0  0
    7  2.1063942639568519e+07   0  0  3  3  1  0  0
    7  5.8207660913467407e-11   0  0  0  6  1  0  0
    7  1.1603068540026762e+07   2  2  0  0  3  0  0
    7  1.3935790390012648e+06   1  1  1  1  3  0  0
    7  6.1277169581240247e+04   0  0  2  2  3  0  0
    7  3.1383158551842463e+05   1  1  0  0  5  0  0
    7 -3.3922236117199645e+03   0  0  1  1  5  0  0
    7  4.9436972864789885e+02   0  0  0  0  7  0  0
    8  4.4703483581542969e-08   8  0  0  0  0  0  0
    8 -2.3841857910156250e-07   6  2  0  0  0  0  0
    8 -1.3863268639720827e+10   4  4  0  0  0  0  0
    8 -2.3841857910156250e-07   2  6  0  0  0  0  0
    8  4.4703483581542969e-08   0  8  0  0  0  0  0
    8  1.1175870895385742e-08   0  0  8  0  0  0  0
    8  7.6293945312500000e-06   4  2  1  1  0  0  0
    8 -2.7267123246025262e+11   3  3  1  1  0  0  0
    8  7.6293945312500000e-06   2  4  1  1  0  0  0
    8 -9.5367431640625000e-07   4  0  2  2  0  0  0
    8  3.8146972656250000e-06   3  1  2  2  0  0  0
    8 -2.8548098543189807e+11   2  2  2  2  0  0  0
    8  3.8146972656250000e-06   1  3  2  2  0  0  0
    8 -9.5367431640625000e-07   0  4  2  2  0  0  0
    8 -5.9604644775390625e-08   0  0  6  2  0  0  0
    8 -7.3889519004257996e+10   1  1  3  3  0  0  0
    8 -1.1920928955078125e-07   0  0  5  3  0  0  0
    8 -4.5607818568250771e+09   0  0  4  4  0  0  0
    8 -1.1920928955078125e-07   0  0  3  5  0  0  0
    8 -5.9604644775390625e-08   0  0  2  6  0  0  0
    8  1.1175870895385742e-08   0  0  0  8  0  0  0
    8  5.1739318525639951e+07   3  3  0  0  2  0  0
    8  3.3436245898868561e+09   2  2  1  1  2  0  0
    8 -2.1906053163246365e+09   1  1  2  2  2  0  0
    8 -8.4222891824292183e+08   0  0  3  3  2  0  0
    8 -2.4811651308679771e+08   2  2  0  0  4  0  0
    8 -2.4452769148146236e+08   1  1  1  1  4  0  0
    8  2.0824972600177899e+07   0  0  2  2  4  0  0
    8 -5.8552801660831943e+06   1  1  0  0  6  0  0
    8 -4.7936122507269995e+05   0  0  1  1  6  0  0
    8 -1.0782740365397844e+04   0  0  0  0  8  0  0
  -75  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50244
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -2.0726159030801482e-05   1  1  0  0  0  0  0
    2 -7.5795034271856034e-06   0  0  1  1  0  0  0
    2  1.1731365679229615e-05   0  0  0  0  2  0  0
    3 -4.6799897345000117e-07   1  1  0  0  1  0  0
    3 -4.4962036063578098e-07   0  0  1  1  1  0  0
    3 -1.0059690000605411e-07   0  0  0  0  3  0  0
    4  2.8780032948246414e-07   2  2  0  0  0  0  0
    4 -6.4783515531421583e-08   1  1  1  1  0  0  0
    4  2.6742487946335610e-07   0  0  2  2  0  0  0
    4  3.0726434395070045e-07   1  1  0  0  2  0  0
    4  1.3368841528917268e-07   0  0  1  1  2  0  0
    4  3.7777962940178919e-07   0  0  0  0  4  0  0
    5  9.9445454220802602e-07   2  2  0  0  1  0  0
    5  4.8688291574056950e-07   1  1  1  1  1  0  0
    5 -1.0705854760004585e-07   0  0  2  2  1  0  0
    5  3.3782455712218212e-07   1  1  0  0  3  0  0
    5 -2.8407260958782108e-08   0  0  1  1  3  0  0
    5 -8.8755173104367080e-08   0  0  0  0  5  0  0
    6 -2.9908100806406423e-07   3  3  0  0  0  0  0
    6 -7.9470910871392680e-07   2  2  1  1  0  0  0
    6  3.4955023237291672e-24   2  0  2  2  0  0  0
    6 -2.8442034447004985e-07   1  1  2  2  0  0  0
    6  3.4955023237291672e-24   0  2  2  2  0  0  0
    6 -2.0208171038927834e-08   0  0  3  3  0  0  0
    6 -6.5680225769140741e-07   2  2  0  0  2  0  0
    6 -1.4965211303104840e-07   1  1  1  1  2  0  0
    6 -3.2598921754776988e-08   0  0  2  2  2  0  0
    6 -5.0956013375476393e-07   1  1  0  0  4  0  0
    6  8.1591062676009682e-08   0  0  1  1  4  0  0
    6 -1.6430168261422058e-08   0  0  0  0  6  0  0
    7 -1.3254870900079712e-25   6  0  0  0  1  0  0
    7  6.6851107314994995e-08   3  3  0  0  1  0  0
    7 -1.3254870900079712e-25   0  6  0  0  1  0  0
    7  3.8191823377046553e-07   2  2  1  1  1  0  0
    7  1.9962820038726619e-07   1  1  2  2  1  0  0
    7  2.1267097816031127e-08   0  0  3  3  1  0  0
    7  5.0696175844288839e-07   2  2  0  0  3  0  0
    7  5.8497191667589847e-08   1  1  1  1  3  0  0
    7  2.4711731527770865e-09   0  0  2  2  3  0  0
    7  5.2618198816386692e-07   1  1  0  0  5  0  0
    7 -5.4641783736601167e-09   0  0  1  1  5  0  0
    7  3.1807400737490375e-08   0  0  0  0  7  0  0
    8 -2.4759194698617012e-25   6  2  0  0  0  0  0
    8 -1.4396670289015656e-08   4  4  0  0  0  0  0
    8 -2.4759194698617012e-25   2  6  0  0  0  0  0
    8  7.6118033884502686e-24   4  2  1  1  0  0  0
    8 -2.7204253269018041e-07   3  3  1  1  0  0  0
    8  7.6118033884502686e-24   2  4  1  1  0  0  0
    8 -9.1411038671845130e-25   4  0  2  2  0  0  0
    8  3.6564415468738052e-24   3  1  2  2  0  0  0
    8 -2.7363758203880541e-07   2  2  2  2  0  0  0
    8  3.6564415468738052e-24   1  3  2  2  0  0  0
    8 -9.1411038671845130e-25   0  4  2  2  0  0  0
    8 -6.8042845178873509e-08   1  1  3  3  0  0  0
    8 -1.0546559183339868e-25   0  0  5  3  0  0  0
    8 -4.0349670698119803e-09   0  0  4  4  0  0  0
    8 -1.0546559183339868e-25   0  0  3  5  0  0  0
    8  2.0618359496290624e-09   3  3  0  0  2  0  0
    8  1.2801238310834307e-07   2  2  1  1  2  0  0
    8 -8.0574881986649888e-08   1  1  2  2  2  0  0
    8 -2.9762318398742210e-08   0  0  3  3  2  0  0
    8 -3.7942509922050995e-07   2  2  0  0  4  0  0
    8 -3.5925225571751655e-07   1  1  1  1  4  0  0
    8  2.9393883141138983e-08   0  0  2  2  4  0  0
    8 -3.4360150011185919e-07   1  1  0  0  6  0  0
    8 -2.7025350880683453e-08   0  0  1  1  6  0  0
    8 -2.4281387672338240e-08   0  0  0  0  8  0  0
  -67  0.0000000000000000e+00   0  0  0  0  0  0  0
