
tpsa, NO = 8, NV = 7, INA = 48097
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -3.1429914958145316e-07   3  0  0  0  0  0  0
    3 -1.5164340972635241e-06   2  1  0  0  0  0  0
    3  1.5164340972635241e-06   1  2  0  0  0  0  0
    3  3.1429914958145316e-07   0  3  0  0  0  0  0
    3  1.7975301891250300e-06   1  0  2  0  0  0  0
    3  3.5574486999312439e-09   0  1  2  0  0  0  0
    3 -8.3613714643514305e-07   1  0  1  1  0  0  0
    3  8.3613714643514305e-07   0  1  1  1  0  0  0
    3 -3.5574486999312439e-09   1  0  0  2  0  0  0
    3 -1.7975301891250300e-06   0  1  0  2  0  0  0
    3 -8.3162071655200786e-07   2  0  0  0  1  0  0
    3  8.3162071655200786e-07   0  2  0  0  1  0  0
    3  6.6596019747646725e-07   0  0  2  0  1  0  0
    3 -6.6596019747646725e-07   0  0  0  2  1  0  0
    3  3.2691473401340199e-21   1  0  0  0  2  0  0
    3 -3.2691473401340199e-21   0  1  0  0  2  0  0
    4 -1.6693007593415985e-07   4  0  0  0  0  0  0
    4  1.5540518216676213e-07   3  1  0  0  0  0  0
    4 -1.5540518216676213e-07   1  3  0  0  0  0  0
    4  1.6693007593415985e-07   0  4  0  0  0  0  0
    4 -4.3557045504135298e-08   2  0  2  0  0  0  0
    4 -4.5395704119533865e-07   1  1  2  0  0  0  0
    4  4.0760120769992191e-07   0  2  2  0  0  0  0
    4  6.9377921967529358e-08   0  0  4  0  0  0  0
    4 -1.2018391652898092e-07   2  0  1  1  0  0  0
    4  1.2018391652898092e-07   0  2  1  1  0  0  0
    4 -3.3806767258494119e-07   0  0  3  1  0  0  0
    4 -4.0760120769992191e-07   2  0  0  2  0  0  0
    4  4.5395704119533865e-07   1  1  0  2  0  0  0
    4  4.3557045504135298e-08   0  2  0  2  0  0  0
    4  3.3806767258494119e-07   0  0  1  3  0  0  0
    4 -6.9377921967529358e-08   0  0  0  4  0  0  0
    4  5.6525758415066706e-08   3  0  0  0  1  0  0
    4 -4.8992608012552077e-07   2  1  0  0  1  0  0
    4  4.8992608012552077e-07   1  2  0  0  1  0  0
    4 -5.6525758415066706e-08   0  3  0  0  1  0  0
    4 -4.7868219682222043e-08   1  0  2  0  1  0  0
    4  4.1606329803004376e-07   0  1  2  0  1  0  0
    4 -1.7468337084075000e-07   1  0  1  1  1  0  0
    4  1.7468337084075000e-07   0  1  1  1  1  0  0
    4 -4.1606329803004376e-07   1  0  0  2  1  0  0
    4  4.7868219682222043e-08   0  1  0  2  1  0  0
    4 -2.8297155752328566e-07   2  0  0  0  2  0  0
    4  2.8297155752328566e-07   0  2  0  0  2  0  0
    4  5.4411331501962906e-07   0  0  2  0  2  0  0
    4 -5.4411331501962906e-07   0  0  0  2  2  0  0
    4 -3.3106561683506662e-22   1  0  0  0  3  0  0
    4  3.3106561683506662e-22   0  1  0  0  3  0  0
    5  3.5515164047690539e-08   5  0  0  0  0  0  0
    5  7.0576880870004877e-08   4  1  0  0  0  0  0
    5 -1.2899011246826948e-08   3  2  0  0  0  0  0
    5  1.2899011246826948e-08   2  3  0  0  0  0  0
    5 -7.0576880870004877e-08   1  4  0  0  0  0  0
    5 -3.5515164047690539e-08   0  5  0  0  0  0  0
    5  8.7195412186230060e-08   3  0  2  0  0  0  0
    5 -1.7007158016317721e-08   2  1  2  0  0  0  0
    5 -8.2558962302974095e-07   1  2  2  0  0  0  0
    5  1.5200683230093412e-07   0  3  2  0  0  0  0
    5 -4.5663910970042495e-08   1  0  4  0  0  0  0
    5 -2.0705339638565903e-07   0  1  4  0  0  0  0
    5 -7.9970092120399762e-08   3  0  1  1  0  0  0
    5  5.1081064521894903e-07   2  1  1  1  0  0  0
    5 -5.1081064521894903e-07   1  2  1  1  0  0  0
    5  7.9970092120399762e-08   0  3  1  1  0  0  0
    5 -1.5065796956638281e-07   1  0  3  1  0  0  0
    5 -3.0695354671526917e-07   0  1  3  1  0  0  0
    5 -1.5200683230093412e-07   3  0  0  2  0  0  0
    5  8.2558962302974095e-07   2  1  0  2  0  0  0
    5  1.7007158016317721e-08   1  2  0  2  0  0  0
    5 -8.7195412186230060e-08   0  3  0  2  0  0  0
    5  1.0459128279039546e-07   1  0  2  2  0  0  0
    5 -1.0459128279039546e-07   0  1  2  2  0  0  0
    5  3.0695354671526917e-07   1  0  1  3  0  0  0
    5  1.5065796956638281e-07   0  1  1  3  0  0  0
    5  2.0705339638565903e-07   1  0  0  4  0  0  0
    5  4.5663910970042495e-08   0  1  0  4  0  0  0
    5 -1.0900596115781130e-07   4  0  0  0  1  0  0
    5  4.8301726037637992e-08   3  1  0  0  1  0  0
    5 -4.8301726037637992e-08   1  3  0  0  1  0  0
    5  1.0900596115781130e-07   0  4  0  0  1  0  0
    5 -4.8179589827256081e-08   2  0  2  0  1  0  0
    5 -2.1093199493589812e-07   1  1  2  0  1  0  0
    5  2.9679395705243960e-08   0  2  2  0  1  0  0
    5 -3.4861798151207643e-08   0  0  4  0  1  0  0
    5 -4.6179961108975505e-08   2  0  1  1  1  0  0
    5  4.6179961108975505e-08   0  2  1  1  1  0  0
    5 -1.9124160460868173e-08   0  0  3  1  1  0  0
    5 -2.9679395705243960e-08   2  0  0  2  1  0  0
    5  2.1093199493589812e-07   1  1  0  2  1  0  0
    5  4.8179589827256081e-08   0  2  0  2  1  0  0
    5  1.9124160460868173e-08   0  0  1  3  1  0  0
    5  3.4861798151207643e-08   0  0  0  4  1  0  0
    5  5.5934427967995860e-08   3  0  0  0  2  0  0
    5 -1.8535536806830632e-07   2  1  0  0  2  0  0
    5  1.8535536806830632e-07   1  2  0  0  2  0  0
    5 -5.5934427967995860e-08   0  3  0  0  2  0  0
    5  3.8875220173236700e-08   1  0  2  0  2  0  0
    5  1.0860049245243500e-06   0  1  2  0  2  0  0
    5  9.9869607422936955e-08   1  0  1  1  2  0  0
    5 -9.9869607422936955e-08   0  1  1  1  2  0  0
    5 -1.0860049245243500e-06   1  0  0  2  2  0  0
    5 -3.8875220173236700e-08   0  1  0  2  2  0  0
    5  6.3148379899047671e-09   2  0  0  0  3  0  0
    5 -6.3148379899047671e-09   0  2  0  0  3  0  0
    5 -1.4974634418809650e-07   0  0  2  0  3  0  0
    5  1.4974634418809650e-07   0  0  0  2  3  0  0
    5 -4.8243267816732575e-22   1  0  0  0  4  0  0
    5  4.8243267816732575e-22   0  1  0  0  4  0  0
    6 -1.2571723326514647e-08   6  0  0  0  0  0  0
    6  4.4562622437835928e-08   5  1  0  0  0  0  0
    6 -1.5752339182996684e-08   4  2  0  0  0  0  0
    6  1.5752339182996684e-08   2  4  0  0  0  0  0
    6 -4.4562622437835928e-08   1  5  0  0  0  0  0
    6  1.2571723326514647e-08   0  6  0  0  0  0  0
    6 -2.3672212859401707e-07   4  0  2  0  0  0  0
    6 -1.0555604644823834e-08   3  1  2  0  0  0  0
    6  2.4919356174592667e-07   2  2  2  0  0  0  0
    6 -9.5445887890871303e-09   1  3  2  0  0  0  0
    6  9.8452488813149211e-09   0  4  2  0  0  0  0
    6 -2.2812470237468806e-09   2  0  4  0  0  0  0
    6  4.5250186850883815e-08   1  1  4  0  0  0  0
    6  3.4077208335998933e-08   0  2  4  0  0  0  0
    6 -3.7123170275613364e-09   0  0  6  0  0  0  0
    6 -6.2387620475190632e-08   4  0  1  1  0  0  0
    6  2.6941908195549389e-08   3  1  1  1  0  0  0
    6 -2.6941908195549389e-08   1  3  1  1  0  0  0
    6  6.2387620475190632e-08   0  4  1  1  0  0  0
    6  4.3398712560892662e-08   2  0  3  1  0  0  0
    6 -3.0547195136631822e-09   1  1  3  1  0  0  0
    6 -6.7279331273324654e-08   0  2  3  1  0  0  0
    6  1.0522348081343393e-08   0  0  5  1  0  0  0
    6 -9.8452488813149211e-09   4  0  0  2  0  0  0
    6  9.5445887890871303e-09   3  1  0  2  0  0  0
    6 -2.4919356174592667e-07   2  2  0  2  0  0  0
    6  1.0555604644823834e-08   1  3  0  2  0  0  0
    6  2.3672212859401707e-07   0  4  0  2  0  0  0
    6  9.4984299073920034e-09   2  0  2  2  0  0  0
    6 -9.4984299073920034e-09   0  2  2  2  0  0  0
    6  2.2596106879730236e-08   0  0  4  2  0  0  0
    6  6.7279331273324654e-08   2  0  1  3  0  0  0
    6  3.0547195136631822e-09   1  1  1  3  0  0  0
    6 -4.3398712560892662e-08   0  2  1  3  0  0  0
    6 -3.4077208335998933e-08   2  0  0  4  0  0  0
    6 -4.5250186850883815e-08   1  1  0  4  0  0  0
    6  2.2812470237468806e-09   0  2  0  4  0  0  0
    6 -2.2596106879730236e-08   0  0  2  4  0  0  0
    6 -1.0522348081343393e-08   0  0  1  5  0  0  0
    6  3.7123170275613364e-09   0  0  0  6  0  0  0
    6  4.6036631573085429e-07   5  0  0  0  1  0  0
    6 -5.6507989675273120e-08   4  1  0  0  1  0  0
    6  7.3090509543607662e-08   3  2  0  0  1  0  0
    6 -7.3090509543607662e-08   2  3  0  0  1  0  0
    6  5.6507989675273120e-08   1  4  0  0  1  0  0
    6 -4.6036631573085429e-07   0  5  0  0  1  0  0
    6 -3.3959807124013944e-09   3  0  2  0  1  0  0
    6  6.1645921440163913e-08   2  1  2  0  1  0  0
    6 -7.0996691335032628e-07   1  2  2  0  1  0  0
    6  9.3929247393736823e-09   0  3  2  0  1  0  0
    6 -1.2800270573342967e-08   1  0  4  0  1  0  0
    6  1.0977014008425292e-08   0  1  4  0  1  0  0
    6 -7.3946429778006234e-08   3  0  1  1  1  0  0
    6 -1.5724862219105031e-07   2  1  1  1  1  0  0
    6  1.5724862219105031e-07   1  2  1  1  1  0  0
    6  7.3946429778006234e-08   0  3  1  1  1  0  0
    6  2.6723564052656533e-08   1  0  3  1  1  0  0
    6 -3.9587546343288109e-07   0  1  3  1  1  0  0
    6 -9.3929247393736823e-09   3  0  0  2  1  0  0
    6  7.0996691335032628e-07   2  1  0  2  1  0  0
