
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  9.0834481403091574e-08   3  0  0  0  0  0  0
    3 -1.3744279414976873e-06   2  1  0  0  0  0  0
    3 -1.3744279414976873e-06   1  2  0  0  0  0  0
    3  9.0834481403091574e-08   0  3  0  0  0  0  0
    3  1.5613965539221837e-06   1  0  2  0  0  0  0
    3 -8.7296360037341737e-08   0  1  2  0  0  0  0
    3 -9.3274146259749348e-07   1  0  1  1  0  0  0
    3 -9.3274146259749348e-07   0  1  1  1  0  0  0
    3 -8.7296360037341737e-08   1  0  0  2  0  0  0
    3  1.5613965539221837e-06   0  1  0  2  0  0  0
    3 -4.5206916373603471e-07   2  0  0  0  1  0  0
    3 -4.6799897345000466e-07   1  1  0  0  1  0  0
    3 -4.5206916373603471e-07   0  2  0  0  1  0  0
    3  2.4081901422777863e-07   0  0  2  0  1  0  0
    3 -4.4962036063578140e-07   0  0  1  1  1  0  0
    3  2.4081901422777863e-07   0  0  0  2  1  0  0
    3  2.2653846661648508e-06   1  0  0  0  2  0  0
    3  2.2653846661648508e-06   0  1  0  0  2  0  0
    3 -1.0059690000605215e-07   0  0  0  0  3  0  0
    4  5.9288205893371040e-08   4  0  0  0  0  0  0
    4  8.9601401784335497e-08   3  1  0  0  0  0  0
    4 -9.0880660037495861e-08   2  2  0  0  0  0  0
    4  8.9601401784335497e-08   1  3  0  0  0  0  0
    4  5.9288205893371040e-08   0  4  0  0  0  0  0
    4  2.3902119603698811e-08   2  0  2  0  0  0  0
    4  1.0138069672404860e-07   1  1  2  0  0  0  0
    4 -5.5478787981750616e-07   0  2  2  0  0  0  0
    4  7.3709850999725910e-08   0  0  4  0  0  0  0
    4 -1.4086050781915465e-07   2  0  1  1  0  0  0
    4 -7.4423647789767692e-07   1  1  1  1  0  0  0
    4 -1.4086050781915465e-07   0  2  1  1  0  0  0
    4 -1.6639132042790778e-07   0  0  3  1  0  0  0
    4 -5.5478787981750616e-07   2  0  0  2  0  0  0
    4  1.0138069672404860e-07   1  1  0  2  0  0  0
    4  2.3902119603698811e-08   0  2  0  2  0  0  0
    4  7.4515570548338828e-09   0  0  2  2  0  0  0
    4 -1.6639132042790778e-07   0  0  1  3  0  0  0
    4  7.3709850999725910e-08   0  0  0  4  0  0  0
    4 -4.2416692866911735e-08   3  0  0  0  1  0  0
    4 -7.0981731564413011e-07   2  1  0  0  1  0  0
    4 -7.0981731564413011e-07   1  2  0  0  1  0  0
    4 -4.2416692866911735e-08   0  3  0  0  1  0  0
    4  9.4188418235609854e-08   1  0  2  0  1  0  0
    4  9.6037282375464419e-08   0  1  2  0  1  0  0
    4 -6.3117343756218094e-07   1  0  1  1  1  0  0
    4 -6.3117343756218094e-07   0  1  1  1  1  0  0
    4  9.6037282375464419e-08   1  0  0  2  1  0  0
    4  9.4188418235609854e-08   0  1  0  2  1  0  0
    4 -6.0302768427449088e-08   2  0  0  0  2  0  0
    4  1.0325158293765648e-06   1  1  0  0  2  0  0
    4 -6.0302768427449088e-08   0  2  0  0  2  0  0
    4  2.0085179671035717e-07   0  0  2  0  2  0  0
    4  1.5910154434518658e-07   0  0  1  1  2  0  0
    4  2.0085179671035717e-07   0  0  0  2  2  0  0
    4 -2.5412719838440199e-07   1  0  0  0  3  0  0
    4 -2.5412719838440199e-07   0  1  0  0  3  0  0
    4  7.4084246500789154e-08   0  0  0  0  4  0  0
    5 -3.6871662751997616e-08   5  0  0  0  0  0  0
    5 -3.0742306190644025e-08   4  1  0  0  0  0  0
    5  8.8476051438787701e-08   3  2  0  0  0  0  0
    5  8.8476051438787701e-08   2  3  0  0  0  0  0
    5 -3.0742306190644025e-08   1  4  0  0  0  0  0
    5 -3.6871662751997616e-08   0  5  0  0  0  0  0
    5 -1.8092546695852370e-07   3  0  2  0  0  0  0
    5 -2.6074672348231896e-07   2  1  2  0  0  0  0
    5  1.3890988578052606e-07   1  2  2  0  0  0  0
    5 -6.2180567899862588e-08   0  3  2  0  0  0  0
    5 -1.7516733827232687e-08   1  0  4  0  0  0  0
    5 -1.3350571687383459e-07   0  1  4  0  0  0  0
    5 -2.8583346131979599e-07   3  0  1  1  0  0  0
    5  7.3634373682170930e-07   2  1  1  1  0  0  0
    5  7.3634373682170930e-07   1  2  1  1  0  0  0
    5 -2.8583346131979599e-07   0  3  1  1  0  0  0
    5 -1.6318682301577865e-07   1  0  3  1  0  0  0
    5 -4.6336249385573033e-08   0  1  3  1  0  0  0
    5 -6.2180567899862588e-08   3  0  0  2  0  0  0
    5  1.3890988578052606e-07   2  1  0  2  0  0  0
    5 -2.6074672348231896e-07   1  2  0  2  0  0  0
    5 -1.8092546695852370e-07   0  3  0  2  0  0  0
    5  1.5329823900743443e-07   1  0  2  2  0  0  0
    5  1.5329823900743443e-07   0  1  2  2  0  0  0
    5 -4.6336249385573033e-08   1  0  1  3  0  0  0
    5 -1.6318682301577865e-07   0  1  1  3  0  0  0
    5 -1.3350571687383459e-07   1  0  0  4  0  0  0
    5 -1.7516733827232687e-08   0  1  0  4  0  0  0
    5  1.2166339681547406e-07   4  0  0  0  1  0  0
    5  1.8119138028470749e-07   3  1  0  0  1  0  0
    5  7.0120995318764168e-07   2  2  0  0  1  0  0
    5  1.8119138028470749e-07   1  3  0  0  1  0  0
    5  1.2166339681547406e-07   0  4  0  0  1  0  0
    5 -3.0160031557689781e-07   2  0  2  0  1  0  0
    5 -3.2751525254855743e-07   1  1  2  0  1  0  0
    5  1.0838796214166163e-08   0  2  2  0  1  0  0
    5  7.8475961543372749e-09   0  0  4  0  1  0  0
    5  5.8785553177318355e-08   2  0  1  1  1  0  0
    5  1.9879778692724421e-07   1  1  1  1  1  0  0
    5  5.8785553177318355e-08   0  2  1  1  1  0  0
    5 -8.4969179022766008e-08   0  0  3  1  1  0  0
    5  1.0838796214166163e-08   2  0  0  2  1  0  0
    5 -3.2751525254855743e-07   1  1  0  2  1  0  0
    5 -3.0160031557689781e-07   0  2  0  2  1  0  0
    5  8.0529769148614210e-08   0  0  2  2  1  0  0
    5 -8.4969179022766008e-08   0  0  1  3  1  0  0
    5  7.8475961543372749e-09   0  0  0  4  1  0  0
    5  1.5956383354149042e-08   3  0  0  0  2  0  0
    5 -2.6823237188143671e-07   2  1  0  0  2  0  0
    5 -2.6823237188143671e-07   1  2  0  0  2  0  0
    5  1.5956383354149042e-08   0  3  0  0  2  0  0
    5  1.4812255197555428e-07   1  0  2  0  2  0  0
    5 -1.1075614475067039e-07   0  1  2  0  2  0  0
    5  2.2612140127141769e-07   1  0  1  1  2  0  0
    5  2.2612140127141769e-07   0  1  1  1  2  0  0
    5 -1.1075614475067039e-07   1  0  0  2  2  0  0
    5  1.4812255197555428e-07   0  1  0  2  2  0  0
    5 -2.5687060150975555e-07   2  0  0  0  3  0  0
    5  5.2487806343334882e-07   1  1  0  0  3  0  0
    5 -2.5687060150975555e-07   0  2  0  0  3  0  0
    5 -8.5856097071806767e-09   0  0  2  0  3  0  0
    5  1.3607922104973521e-08   0  0  1  1  3  0  0
    5 -8.5856097071806767e-09   0  0  0  2  3  0  0
    5  2.0402925151878877e-08   1  0  0  0  4  0  0
    5  2.0402925151878877e-08   0  1  0  0  4  0  0
    5  2.4526296520832813e-08   0  0  0  0  5  0  0
    6 -1.2423921585906269e-08   6  0  0  0  0  0  0
    6 -2.5326938867909718e-08   5  1  0  0  0  0  0
    6  1.4611076654800708e-09   4  2  0  0  0  0  0
    6 -2.6811950705813235e-07   3  3  0  0  0  0  0
    6  1.4611076654800708e-09   2  4  0  0  0  0  0
    6 -2.5326938867909718e-08   1  5  0  0  0  0  0
    6 -1.2423921585906269e-08   0  6  0  0  0  0  0
    6  6.1810611055859694e-09   4  0  2  0  0  0  0
    6  2.3147927919707999e-07   3  1  2  0  0  0  0
    6  2.9272014868854329e-07   2  2  2  0  0  0  0
    6 -3.0123662185045482e-08   1  3  2  0  0  0  0
    6 -4.4125649541588543e-08   0  4  2  0  0  0  0
    6 -9.8189082886018684e-08   2  0  4  0  0  0  0
    6  1.7459132135902211e-08   1  1  4  0  0  0  0
    6  2.4088067758199389e-09   0  2  4  0  0  0  0
    6 -8.0555450826948092e-09   0  0  6  0  0  0  0
    6 -7.1607513471826305e-08   4  0  1  1  0  0  0
    6 -6.9169288938612377e-08   3  1  1  1  0  0  0
    6 -6.4659879279086454e-07   2  2  1  1  0  0  0
    6 -6.9169288938612377e-08   1  3  1  1  0  0  0
    6 -7.1607513471826305e-08   0  4  1  1  0  0  0
    6  1.8378832812274858e-07   2  0  3  1  0  0  0
    6  2.8447350110639803e-07   1  1  3  1  0  0  0
    6 -1.2407286800593278e-07   0  2  3  1  0  0  0
    6 -5.5697295392036074e-09   0  0  5  1  0  0  0
    6 -4.4125649541588543e-08   4  0  0  2  0  0  0
    6 -3.0123662185045482e-08   3  1  0  2  0  0  0
    6  2.9272014868854329e-07   2  2  0  2  0  0  0
    6  2.3147927919707999e-07   1  3  0  2  0  0  0
    6  6.1810611055859694e-09   0  4  0  2  0  0  0
    6 -1.0684514530264646e-07   2  0  2  2  0  0  0
    6 -3.5471155750850322e-07   1  1  2  2  0  0  0
    6 -1.0684514530264646e-07   0  2  2  2  0  0  0
    6  2.6985293787448266e-08   0  0  4  2  0  0  0
    6 -1.2407286800593278e-07   2  0  1  3  0  0  0
    6  2.8447350110639803e-07   1  1  1  3  0  0  0
    6  1.8378832812274858e-07   0  2  1  3  0  0  0
    6 -6.6089163151915411e-08   0  0  3  3  0  0  0
    6  2.4088067758199389e-09   2  0  0  4  0  0  0
    6  1.7459132135902211e-08   1  1  0  4  0  0  0
    6 -9.8189082886018684e-08   0  2  0  4  0  0  0
    6  2.6985293787448266e-08   0  0  2  4  0  0  0
    6 -5.5697295392036074e-09   0  0  1  5  0  0  0
    6 -8.0555450826948092e-09   0  0  0  6  0  0  0
    6  5.4866383995409352e-08   5  0  0  0  1  0  0
