
tpsa, NO = 8, NV = 7, INA = 48019
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  2.6892150883133903e-01   1  0  0  0  0  0  0
    1  1.8857334087035206e+01   0  1  0  0  0  0  0
    1 -1.9524390978910511e-04   0  0  0  0  1  0  0
    2 -7.2729621211345350e+00   2  0  0  0  0  0  0
    2 -2.4008651730719049e+02   1  1  0  0  0  0  0
    2 -1.0359477329615231e+03   0  2  0  0  0  0  0
    2 -4.4371204356991267e+00   0  0  2  0  0  0  0
    2  2.7475602185547814e+02   0  0  1  1  0  0  0
    2 -2.1231120167456780e+02   0  0  0  2  0  0  0
    2 -8.8980226194287504e-01   1  0  0  0  1  0  0
    2 -1.0794007985750568e+02   0  1  0  0  1  0  0
    2  2.2764901195854241e+00   0  0  0  0  2  0  0
    3  4.1300789026547420e+01   3  0  0  0  0  0  0
    3  1.3698264280770841e+03   2  1  0  0  0  0  0
    3 -6.0464935352366774e+04   1  2  0  0  0  0  0
    3  3.9683305845661793e+05   0  3  0  0  0  0  0
    3 -4.1620079912829124e+02   1  0  2  0  0  0  0
    3 -3.5261410232035782e+03   0  1  2  0  0  0  0
    3 -6.6018276595392638e+02   1  0  1  1  0  0  0
    3 -1.5130878546311471e+05   0  1  1  1  0  0  0
    3 -1.7421469415541978e+03   1  0  0  2  0  0  0
    3  3.2063932170618221e+05   0  1  0  2  0  0  0
    3 -1.5842895241589306e+02   2  0  0  0  1  0  0
    3  1.5784398045914722e+03   1  1  0  0  1  0  0
    3  1.2985104850066229e+04   0  2  0  0  1  0  0
    3 -8.7837462617171639e+01   0  0  2  0  1  0  0
    3  1.1409520555287582e+01   0  0  1  1  1  0  0
    3 -2.9206113211645088e+03   0  0  0  2  1  0  0
    3  4.9201858480433216e+01   1  0  0  0  2  0  0
    3 -2.0559515878879350e+02   0  1  0  0  2  0  0
    3 -1.4198557486418419e+01   0  0  0  0  3  0  0
    4  7.5226507066409590e+02   4  0  0  0  0  0  0
    4  2.4603208003646567e+04   3  1  0  0  0  0  0
    4  3.1560174170954973e+06   2  2  0  0  0  0  0
    4  9.5711913973477036e+06   1  3  0  0  0  0  0
    4 -2.0758181111241111e+08   0  4  0  0  0  0  0
    4  2.2494872553579695e+04   2  0  2  0  0  0  0
    4 -5.3020660780668445e+05   1  1  2  0  0  0  0
    4  4.2980015191118503e+06   0  2  2  0  0  0  0
    4 -1.2630257546902012e+03   0  0  4  0  0  0  0
    4  5.8621294905218536e+04   2  0  1  1  0  0  0
    4  3.4686489512982960e+06   1  1  1  1  0  0  0
    4 -2.7732505613387242e+07   0  2  1  1  0  0  0
    4 -3.8892768107348680e+05   0  0  3  1  0  0  0
    4  5.3956323747120460e+05   2  0  0  2  0  0  0
    4  2.7513262624750156e+06   1  1  0  2  0  0  0
    4 -2.1009882896815130e+08   0  2  0  2  0  0  0
    4  7.3347249514779804e+04   0  0  2  2  0  0  0
    4  5.8895324330412913e+06   0  0  1  3  0  0  0
    4 -3.4862509513522564e+06   0  0  0  4  0  0  0
    4  4.7711557252424800e+03   3  0  0  0  1  0  0
    4 -2.2663768402233658e+04   2  1  0  0  1  0  0
    4 -8.8846850743962592e+05   1  2  0  0  1  0  0
    4 -7.2817452476910604e+06   0  3  0  0  1  0  0
    4  7.1006154534913821e+03   1  0  2  0  1  0  0
    4  7.8912620463046696e+03   0  1  2  0  1  0  0
    4 -5.6674065468988076e+04   1  0  1  1  1  0  0
    4  9.3215011639819085e+05   0  1  1  1  1  0  0
    4 -3.8554397339308955e+04   1  0  0  2  1  0  0
    4  1.0072124251473059e+06   0  1  0  2  1  0  0
    4 -2.9023522228343754e+03   2  0  0  0  2  0  0
    4  2.1063527062675421e+04   1  1  0  0  2  0  0
    4  4.9615358763803157e+05   0  2  0  0  2  0  0
    4  1.3520084912452210e+03   0  0  2  0  2  0  0
    4 -1.0323180406650390e+04   0  0  1  1  2  0  0
    4  7.2055683593283582e+04   0  0  0  2  2  0  0
    4  1.0600324289120069e+03   1  0  0  0  3  0  0
    4 -5.0310563227652410e+03   0  1  0  0  3  0  0
    4 -9.3720695810534622e+01   0  0  0  0  4  0  0
    5 -1.3657127473595142e+05   5  0  0  0  0  0  0
    5 -6.3992251387118746e+05   4  1  0  0  0  0  0
    5 -8.9093853693815976e+07   3  2  0  0  0  0  0
    5  4.4332827628280151e+08   2  3  0  0  0  0  0
    5 -3.8972814493081913e+09   1  4  0  0  0  0  0
    5  1.3813386910033737e+11   0  5  0  0  0  0  0
    5 -7.4367741740165613e+04   3  0  2  0  0  0  0
    5  2.3058422732622661e+07   2  1  2  0  0  0  0
    5 -2.1990799386860672e+08   1  2  2  0  0  0  0
    5 -8.2464769274567330e+08   0  3  2  0  0  0  0
    5 -1.4058293359585535e+06   1  0  4  0  0  0  0
    5  9.0536927472808920e+06   0  1  4  0  0  0  0
    5  3.0319986622625645e+06   3  0  1  1  0  0  0
    5 -3.8370022096936055e+07   2  1  1  1  0  0  0
    5  1.1360002971079788e+09   1  2  1  1  0  0  0
    5  8.0634464034311752e+09   0  3  1  1  0  0  0
    5  1.3158795674813615e+07   1  0  3  1  0  0  0
    5 -1.2878431338020325e+07   0  1  3  1  0  0  0
    5 -1.1682472301443430e+07   3  0  0  2  0  0  0
    5  2.0885527835029155e+08   2  1  0  2  0  0  0
    5 -2.9481634487814951e+08   1  2  0  2  0  0  0
    5  1.7229628330482090e+10   0  3  0  2  0  0  0
    5 -9.1008153087995425e+06   1  0  2  2  0  0  0
    5 -7.2794669311475444e+08   0  1  2  2  0  0  0
    5  1.9191957313430560e+08   1  0  1  3  0  0  0
    5 -3.5759987686137571e+09   0  1  1  3  0  0  0
    5 -8.8913566669921473e+07   1  0  0  4  0  0  0
    5  5.7622356383618965e+09   0  1  0  4  0  0  0
    5  2.4638930679470336e+05   4  0  0  0  1  0  0
    5 -1.0319534535802176e+06   3  1  0  0  1  0  0
    5  1.4879045477424592e+07   2  2  0  0  1  0  0
    5  6.8966853347324342e+07   1  3  0  0  1  0  0
    5 -2.5137974973294439e+09   0  4  0  0  1  0  0
    5 -3.8637725736266153e+05   2  0  2  0  1  0  0
    5 -2.5319908459533397e+06   1  1  2  0  1  0  0
    5 -1.0894362939817280e+08   0  2  2  0  1  0  0
    5 -1.5738687133131709e+05   0  0  4  0  1  0  0
    5  3.2646954472093849e+05   2  0  1  1  1  0  0
    5 -7.8567410955024436e+06   1  1  1  1  1  0  0
    5 -8.6538306552272737e+06   0  2  1  1  1  0  0
    5  2.8978954484288651e+06   0  0  3  1  1  0  0
    5  3.4843559008279359e+06   2  0  0  2  1  0  0
    5 -6.4721684106389612e+07   1  1  0  2  1  0  0
    5 -4.0826063625871885e+08   0  2  0  2  1  0  0
    5 -2.4027999772453234e+06   0  0  2  2  1  0  0
    5  1.5047140167707015e+07   0  0  1  3  1  0  0
    5 -1.1363122816258964e+08   0  0  0  4  1  0  0
    5 -2.0369051295605052e+05   3  0  0  0  2  0  0
    5 -3.8404580205282080e+04   2  1  0  0  2  0  0
    5  7.2611286508153565e+05   1  2  0  0  2  0  0
    5 -8.4304711849473119e+07   0  3  0  0  2  0  0
    5 -1.8910401016731048e+04   1  0  2  0  2  0  0
    5  2.3250550812147339e+06   0  1  2  0  2  0  0
    5 -2.3099019003578849e+05   1  0  1  1  2  0  0
    5  2.1229635939061008e+06   0  1  1  1  2  0  0
    5 -3.8296336841664519e+06   1  0  0  2  2  0  0
    5 -3.3473727016854022e+07   0  1  0  2  2  0  0
    5  6.8517543593481867e+04   2  0  0  0  3  0  0
    5 -1.6801149307260217e+05   1  1  0  0  3  0  0
    5 -3.1128611858094912e+06   0  2  0  0  3  0  0
    5 -1.7295814652245746e+04   0  0  2  0  3  0  0
    5  2.1175929767567909e+05   0  0  1  1  3  0  0
    5  6.1295505809686368e+05   0  0  0  2  3  0  0
    5 -1.1835509303751634e+04   1  0  0  0  4  0  0
    5  8.0520291279611731e+04   0  1  0  0  4  0  0
    5  6.8925253397389918e+02   0  0  0  0  5  0  0
    6 -3.6833874622993465e+06   6  0  0  0  0  0  0
    6  3.4663804658653013e+07   5  1  0  0  0  0  0
    6  4.9670674799803853e+07   4  2  0  0  0  0  0
    6 -1.1088176127118807e+10   3  3  0  0  0  0  0
    6 -1.1550952614151611e+11   2  4  0  0  0  0  0
    6 -3.6020179308134800e+12   1  5  0  0  0  0  0
    6 -5.0457669265635164e+13   0  6  0  0  0  0  0
    6  6.8726788392517613e+06   4  0  2  0  0  0  0
    6 -5.2854630226149821e+08   3  1  2  0  0  0  0
    6  9.2110680439628048e+09   2  2  2  0  0  0  0
    6  1.6551936632975140e+09   1  3  2  0  0  0  0
    6  1.2782280746419580e+12   0  4  2  0  0  0  0
    6  6.2491173363969401e+07   2  0  4  0  0  0  0
    6 -7.2585532231239784e+08   1  1  4  0  0  0  0
    6  1.0685350466261885e+09   0  2  4  0  0  0  0
    6  1.4762961910220983e+07   0  0  6  0  0  0  0
    6 -1.0120225904310337e+08   4  0  1  1  0  0  0
    6 -7.7913008067602396e+07   3  1  1  1  0  0  0
    6 -5.8729653632087379e+10   2  2  1  1  0  0  0
    6  2.8584879616085138e+11   1  3  1  1  0  0  0
    6  1.7598026800382505e+12   0  4  1  1  0  0  0
    6 -2.6521168249684814e+08   2  0  3  1  0  0  0
    6  1.8664570644020762e+09   1  1  3  1  0  0  0
    6  4.3879908025290394e+09   0  2  3  1  0  0  0
    6 -7.4613170381379440e+07   0  0  5  1  0  0  0
    6 -5.7255997010029507e+08   4  0  0  2  0  0  0
    6 -2.7249315712144518e+08   3  1  0  2  0  0  0
    6  7.5538099515947342e+09   2  2  0  2  0  0  0
    6  2.6101677980437842e+12   1  3  0  2  0  0  0
    6  6.0129515752986523e+11   0  4  0  2  0  0  0
    6  1.6097458455003600e+09   2  0  2  2  0  0  0
    6 -1.3158413754130360e+10   1  1  2  2  0  0  0
    6  8.7081969663372559e+11   0  2  2  2  0  0  0
