
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.0666638770233839e-01   0  0  0  0  0  0  0
    1  1.3332999981545426e-01   0  0  0  0  1  0  0
    2 -1.7979317425168310e+02   1  1  0  0  0  0  0
    2  2.1062763941568107e+01   0  0  1  1  0  0  0
    2 -2.5010772151447491e+00   0  0  0  0  2  0  0
    3 -1.7750018276719322e+04   1  1  0  0  1  0  0
    3 -4.5227995500764755e+03   0  0  1  1  1  0  0
    3 -7.8566626440179746e+01   0  0  0  0  3  0  0
    4  8.7793609168093670e+06   2  2  0  0  0  0  0
    4  1.6187878287052726e+07   1  1  1  1  0  0  0
    4  3.0151667364260140e+06   0  0  2  2  0  0  0
    4  3.3495036965771415e+05   1  1  0  0  2  0  0
    4  3.9718936677315207e+04   0  0  1  1  2  0  0
    4  3.3859012516148960e+03   0  0  0  0  4  0  0
    5 -5.6067943656157494e+07   2  2  0  0  1  0  0
    5 -2.2227165768104446e+08   1  1  1  1  1  0  0
    5 -6.0465064790112801e+07   0  0  2  2  1  0  0
    5 -7.3867428527172823e+06   1  1  0  0  3  0  0
    5 -4.4358998529260902e+05   0  0  1  1  3  0  0
    5 -9.9895696267248321e+04   0  0  0  0  5  0  0
    6  4.5534594466751672e-07   5  1  0  0  0  0  0
    6  1.7651261851379406e+10   3  3  0  0  0  0  0
    6  1.5178198155583891e-07   1  5  0  0  0  0  0
    6 -9.7140468195736905e-06   3  1  1  1  0  0  0
    6  2.6038184691005081e+11   2  2  1  1  0  0  0
    6 -4.8570234097868453e-06   1  3  1  1  0  0  0
    6 -3.6427675573401337e-06   2  0  2  2  0  0  0
    6  1.8174283996092776e+11   1  1  2  2  0  0  0
    6 -1.2142558524467113e-06   0  2  2  2  0  0  0
    6  2.3519764384420403e+10   0  0  3  3  0  0  0
    6 -4.9407409773370035e+07   2  2  0  0  2  0  0
    6 -2.1286175252964180e+09   1  1  1  1  2  0  0
    6  6.9729132891290188e+08   0  0  2  2  2  0  0
    6  1.5795587808195519e+08   1  1  0  0  4  0  0
    6  7.7835581644249365e+07   0  0  1  1  4  0  0
    6  1.8637935632401486e+06   0  0  0  0  6  0  0
  -36  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50241
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.0666638770233839e-01   0  0  0  0  0  0  0
    1  4.6665499935408996e-03   0  0  0  0  1  0  0
    2 -5.7394768017838193e-03   1  1  0  0  0  0  0
    2  6.4597473741469680e-04   0  0  1  1  0  0  0
    2 -3.0638195885523182e-03   0  0  0  0  2  0  0
    3 -1.9831974430659167e-02   1  1  0  0  1  0  0
    3 -4.8548471176231445e-03   0  0  1  1  1  0  0
    3 -3.3685441086227074e-03   0  0  0  0  3  0  0
    4  8.9466637028767226e-03   2  2  0  0  0  0  0
    4  1.5848538123052411e-02   1  1  1  1  0  0  0
    4  2.8360356153460881e-03   0  0  2  2  0  0  0
    4  1.3098321771062323e-02   1  1  0  0  2  0  0
    4  1.4922235020095197e-03   0  0  1  1  2  0  0
    4  5.0809680657046049e-03   0  0  0  0  4  0  0
    5 -1.9997738378094154e-03   2  2  0  0  1  0  0
    5 -7.6164292335787519e-03   1  1  1  1  1  0  0
    5 -1.9905491893718948e-03   0  0  2  2  1  0  0
    5 -1.0110117862640525e-02   1  1  0  0  3  0  0
    5 -5.8329202601918985e-04   0  0  1  1  3  0  0
    5 -5.2467092723863847e-03   0  0  0  0  5  0  0
    6  1.4812855550836308e-20   5  1  0  0  0  0  0
    6  5.7421306845147567e-04   3  3  0  0  0  0  0
    6  4.9376185169454363e-21   1  5  0  0  0  0  0
    6 -3.0359776895538063e-19   3  1  1  1  0  0  0
    6  8.1378388705194791e-03   2  2  1  1  0  0  0
    6 -1.5179888447769031e-19   1  3  1  1  0  0  0
    6 -1.0937823528433161e-19   2  0  2  2  0  0  0
    6  5.4570352891261508e-03   1  1  2  2  0  0  0
    6 -3.6459411761443870e-20   0  2  2  2  0  0  0
    6  6.7847443422629564e-04   0  0  3  3  0  0  0
    6 -6.1677446425756929e-05   2  2  0  0  2  0  0
    6 -2.5528952816440929e-03   1  1  1  1  2  0  0
    6  8.0343491406083311e-04   0  0  2  2  2  0  0
    6  7.5667097355541042e-03   1  1  0  0  4  0  0
    6  3.5822057455372537e-03   0  0  1  1  4  0  0
    6  3.4261476394006306e-03   0  0  0  0  6  0  0
  -36  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.8666659263657193e-02   0  0  0  0  0  0  0
    1  1.3332999996232192e-01   0  0  0  0  1  0  0
    2  2.1062763941568107e+01   1  1  0  0  0  0  0
    2 -1.8100125432706739e+02   0  0  1  1  0  0  0
    2 -1.1326810645486067e+00   0  0  0  0  2  0  0
    3 -4.5227995500764755e+03   1  1  0  0  1  0  0
    3  2.0702990302951416e+03   0  0  1  1  1  0  0
    3  6.8766224623566004e+00   0  0  0  0  3  0  0
    4  8.0939391435263632e+06   2  2  0  0  0  0  0
    4 -7.4112295681561970e-11   2  0  1  1  0  0  0
    4  6.0303334728520280e+06   1  1  1  1  0  0  0
    4 -7.4112295681561970e-11   0  2  1  1  0  0  0
    4  6.6895648815377092e+05   0  0  2  2  0  0  0
    4  3.9718936677315207e+04   1  1  0  0  2  0  0
    4  1.8011377248513287e+04   0  0  1  1  2  0  0
    4 -5.6431340377526988e+02   0  0  0  0  4  0  0
    5 -1.1113582884052223e+08   2  2  0  0  1  0  0
    5 -1.2093012958022560e+08   1  1  1  1  1  0  0
    5 -2.0114583552548852e+07   0  0  2  2  1  0  0
    5 -4.4358998529260902e+05   1  1  0  0  3  0  0
    5 -3.9010257750138851e+04   0  0  1  1  3  0  0
    5  1.0797783117565493e+03   0  0  0  0  5  0  0
    6 -2.4285117048934226e-06   4  2  0  0  0  0  0
    6  8.6793948970016953e+10   3  3  0  0  0  0  0
    6 -2.4285117048934226e-06   2  4  0  0  0  0  0
    6  6.0712792622335566e-07   4  0  1  1  0  0  0
    6 -2.4285117048934226e-06   3  1  1  1  0  0  0
    6  1.8174283996092776e+11   2  2  1  1  0  0  0
    6 -2.4285117048934226e-06   1  3  1  1  0  0  0
    6  6.0712792622335566e-07   0  4  1  1  0  0  0
    6  1.1383648616687918e-07   0  0  5  1  0  0  0
    6  7.0559293153261200e+10   1  1  2  2  0  0  0
    6  1.8972747694479865e-07   0  0  4  2  0  0  0
    6  5.8069678150203514e+09   0  0  3  3  0  0  0
    6  1.1383648616687918e-07   0  0  2  4  0  0  0
    6  3.7945495388959729e-08   0  0  1  5  0  0  0
    6 -1.0643087626482090e+09   2  2  0  0  2  0  0
    6  1.3945826578258038e+09   1  1  1  1  2  0  0
    6  8.0426937331980479e+08   0  0  2  2  2  0  0
    6  7.7835581644249365e+07   1  1  0  0  4  0  0
    6 -1.3257589316286374e+07   0  0  1  1  4  0  0
    6  1.5258541699381359e+05   0  0  0  0  6  0  0
  -42  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50242
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.8666659263657193e-02   0  0  0  0  0  0  0
    1  4.6665499986812678e-03   0  0  0  0  1  0  0
    2  6.7237950232110764e-04   1  1  0  0  0  0  0
    2 -5.5511346022782872e-03   0  0  1  1  0  0  0
    2 -1.3875343040720435e-03   0  0  0  0  2  0  0
    3 -5.0532931084221779e-03   1  1  0  0  1  0  0
    3  2.2222928892960572e-03   0  0  1  1  1  0  0
    3  2.9483518807353935e-04   0  0  0  0  3  0  0
    4  8.2481802758596848e-03   2  2  0  0  0  0  0
    4 -7.2558708600842706e-20   2  0  1  1  0  0  0
    4  5.9039219497748572e-03   1  1  1  1  0  0  0
    4 -7.2558708600842706e-20   0  2  1  1  0  0  0
    4  6.2921376871175592e-04   0  0  2  2  0  0  0
    4  1.5532194024313771e-03   1  1  0  0  2  0  0
    4  6.7667975736977434e-04   0  0  1  1  2  0  0
    4 -8.4682280154026472e-04   0  0  0  0  4  0  0
    5 -3.9638786170131616e-03   2  2  0  0  1  0  0
    5 -4.1438291492700971e-03   1  1  1  1  1  0  0
    5 -6.6218514978961076e-04   0  0  2  2  1  0  0
    5 -6.0713458196876295e-04   1  1  0  0  3  0  0
    5 -5.1295955799361962e-05   0  0  1  1  3  0  0
    5  5.6711981517788540e-05   0  0  0  0  5  0  0
    6 -7.9001896271126981e-20   4  2  0  0  0  0  0
    6  2.8234933106042774e-03   3  3  0  0  0  0  0
    6 -7.9001896271126981e-20   2  4  0  0  0  0  0
    6  1.8974860559711289e-20   4  0  1  1  0  0  0
    6 -7.5899442238845157e-20   3  1  1  1  0  0  0
    6  5.6800962318373860e-03   2  2  1  1  0  0  0
    6 -7.5899442238845157e-20   1  3  1  1  0  0  0
    6  1.8974860559711289e-20   0  4  1  1  0  0  0
    6  3.2838401050285943e-21   0  0  5  1  0  0  0
    6  2.1186229553578173e-03   1  1  2  2  0  0  0
    6  5.4730668417143238e-21   0  0  4  2  0  0  0
    6  1.6751354896548347e-04   0  0  3  3  0  0  0
    6  3.2838401050285943e-21   0  0  2  4  0  0  0
    6  1.0946133683428648e-21   0  0  1  5  0  0  0
    6 -1.3286235200307900e-03   2  2  0  0  2  0  0
    6  1.6725519942951698e-03   1  1  1  1  2  0  0
    6  9.2669744774019852e-04   0  0  2  2  2  0  0
    6  3.7286314415882474e-03   1  1  0  0  4  0  0
    6 -6.1015041729675461e-04   0  0  1  1  4  0  0
    6  2.8049252693601850e-04   0  0  0  0  6  0  0
  -42  0.0000000000000000e+00   0  0  0  0  0  0  0
