# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.20667 1.07867
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2600057483350758e-04  4.8193905205813681e-19  4.1534726035352756e-03 -9.7203305558201539e-19  0.0000000000000000e+00  0.0000000000000000e+00
   1  7.3949604553860728e-05  4.8290873831632793e-04  3.6349614229881830e-03 -2.0108510757121515e-03  0.0000000000000000e+00  5.8506518905404445e-03
   2 -9.0670025286874399e-05  5.7978923362482168e-04  2.3170110600905327e-03 -3.5515838623828857e-03  0.0000000000000000e+00 -8.6066208859103665e-03
   3 -2.4427731797967752e-04  5.9316572864768500e-05  5.9724516038206336e-04 -4.3310152986221892e-03  0.0000000000000000e+00 -3.8743531701505907e-02
   4 -4.8025564376222377e-04 -5.2906629780078947e-04 -1.1549918973209970e-03 -4.2459395539058663e-03  0.0000000000000000e+00 -6.6232869430129834e-02
   5 -4.8305197918074519e-04 -5.0652943266252205e-04 -2.6774060136660898e-03 -3.1709113086446127e-03  0.0000000000000000e+00 -7.4022510383410345e-02
   6 -3.9591403305618063e-05  4.7897472988533979e-05 -3.8057356142764081e-03 -1.3160971941910977e-03  0.0000000000000000e+00 -6.2504052513786545e-02
   7  4.0663750817395626e-04  4.9164026844503725e-04 -4.1194737331543786e-03  7.2792244761289747e-04  0.0000000000000000e+00 -4.8694577313034136e-02
   8  3.4700230324289570e-04  4.4543946506538849e-04 -3.2965063817770889e-03  2.5207420906492471e-03  0.0000000000000000e+00 -5.0896107748317362e-02
   9 -1.8750485696251388e-04  9.2960245725872339e-05 -1.7061926988447753e-03  3.8692742978681349e-03  0.0000000000000000e+00 -7.2554167004836648e-02
  10 -7.1271992988798259e-04 -2.0759054055085504e-04 -8.0507976426193071e-06  4.4969946737975610e-03  0.0000000000000000e+00 -1.0315914049782259e-01
  11 -6.8777332794854324e-04 -2.6097507282169490e-04  1.5873859846857379e-03  4.0358457348059085e-03  0.0000000000000000e+00 -1.2493297889432629e-01
  12 -9.5124958178515284e-05 -1.3011017328504700e-04  3.1089122557067081e-03  2.5966126421974860e-03  0.0000000000000000e+00 -1.2571806602091640e-01
  13  4.2483977149180581e-04 -3.6796322521726401e-06  4.1022895015041761e-03  6.8732999548970519e-04  0.0000000000000000e+00 -1.1202273835332605e-01
  14  3.2119686793005822e-04  1.5441074503092487e-04  3.9432965836892339e-03 -1.3152705317186748e-03  0.0000000000000000e+00 -1.0223238915640456e-01
  15 -1.6615181472343318e-04  3.8153356370558447e-04  2.7780786972849219e-03 -3.1000081734020987e-03  0.0000000000000000e+00 -1.0950597850662475e-01
  16 -4.4964990115906826e-04  3.3639378868543222e-04  1.1969349523087288e-03 -4.2345933887693648e-03  0.0000000000000000e+00 -1.3514971150460184e-01
  17 -4.2169458302813279e-04 -1.2122520918227139e-04 -5.2510175292942349e-04 -4.4055427465605678e-03  0.0000000000000000e+00 -1.6545430115792606e-01
  18 -2.8584825763395150e-04 -5.2865857641715423e-04 -2.2205760205885636e-03 -3.6173268720206368e-03  0.0000000000000000e+00 -1.8148987551582041e-01
