
tpsa, NO = 8, NV = 7, INA = 48097
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -2.3270844275910440e-07   3  0  0  0  0  0  0
    3 -8.8089955599711213e-07   2  1  0  0  0  0  0
    3  8.8089955599711213e-07   1  2  0  0  0  0  0
    3  2.3270844275910440e-07   0  3  0  0  0  0  0
    3  1.0441810606702800e-06   1  0  2  0  0  0  0
    3  9.8196059432196302e-08   0  1  2  0  0  0  0
    3 -3.7699509654747244e-07   1  0  1  1  0  0  0
    3  3.7699509654747244e-07   0  1  1  1  0  0  0
    3 -9.8196059432196302e-08   1  0  0  2  0  0  0
    3 -1.0441810606702800e-06   0  1  0  2  0  0  0
    3 -4.6099113496963788e-07   2  0  0  0  1  0  0
    3  4.6099113496963788e-07   0  2  0  0  1  0  0
    3  3.4654220134045385e-07   0  0  2  0  1  0  0
    3 -3.4654220134045385e-07   0  0  0  2  1  0  0
    3 -2.1835791871695164e-21   1  0  0  0  2  0  0
    3  2.1835791871695164e-21   0  1  0  0  2  0  0
    4 -1.0477115553624831e-07   4  0  0  0  0  0  0
    4  1.0407082232024354e-07   3  1  0  0  0  0  0
    4 -1.0407082232024354e-07   1  3  0  0  0  0  0
    4  1.0477115553624831e-07   0  4  0  0  0  0  0
    4 -2.9163156772613937e-08   2  0  2  0  0  0  0
    4 -2.1278064201752644e-07   1  1  2  0  0  0  0
    4  1.1385561180038422e-07   0  2  2  0  0  0  0
    4  3.5546239655361104e-08   0  0  4  0  0  0  0
    4 -1.1280834153831748e-07   2  0  1  1  0  0  0
    4  1.1280834153831748e-07   0  2  1  1  0  0  0
    4 -1.2586883803168609e-07   0  0  3  1  0  0  0
    4 -1.1385561180038422e-07   2  0  0  2  0  0  0
    4  2.1278064201752644e-07   1  1  0  2  0  0  0
    4  2.9163156772613937e-08   0  2  0  2  0  0  0
    4  1.2586883803168609e-07   0  0  1  3  0  0  0
    4 -3.5546239655361104e-08   0  0  0  4  0  0  0
    4  1.7054148572562498e-08   3  0  0  0  1  0  0
    4 -1.8579776146417677e-07   2  1  0  0  1  0  0
    4  1.8579776146417677e-07   1  2  0  0  1  0  0
    4 -1.7054148572562498e-08   0  3  0  0  1  0  0
    4 -4.7337484852462314e-08   1  0  2  0  1  0  0
    4  2.7236605931594805e-07   0  1  2  0  1  0  0
    4  2.0347185563980212e-08   1  0  1  1  1  0  0
    4 -2.0347185563980212e-08   0  1  1  1  1  0  0
    4 -2.7236605931594805e-07   1  0  0  2  1  0  0
    4  4.7337484852462314e-08   0  1  0  2  1  0  0
    4 -1.7103970747421526e-07   2  0  0  0  2  0  0
    4  1.7103970747421526e-07   0  2  0  0  2  0  0
    4  3.0917172954911889e-07   0  0  2  0  2  0  0
    4 -3.0917172954911889e-07   0  0  0  2  2  0  0
    4 -6.1077040318483671e-22   1  0  0  0  3  0  0
    4  6.1077040318483671e-22   0  1  0  0  3  0  0
    5  2.6588273421111149e-08   5  0  0  0  0  0  0
    5  3.8601942070181502e-08   4  1  0  0  0  0  0
    5 -1.5387795274236068e-08   3  2  0  0  0  0  0
    5  1.5387795274236068e-08   2  3  0  0  0  0  0
    5 -3.8601942070181502e-08   1  4  0  0  0  0  0
    5 -2.6588273421111149e-08   0  5  0  0  0  0  0
    5  8.2548849511519126e-09   3  0  2  0  0  0  0
    5  5.4864958581895186e-09   2  1  2  0  0  0  0
    5 -1.1405458560725683e-07   1  2  2  0  0  0  0
    5  5.2017726792300565e-08   0  3  2  0  0  0  0
    5 -1.9958458965256790e-08   1  0  4  0  0  0  0
    5 -6.1259951393587612e-08   0  1  4  0  0  0  0
    5 -1.8714666357061500e-08   3  0  1  1  0  0  0
    5  1.8904581421518549e-07   2  1  1  1  0  0  0
    5 -1.8904581421518549e-07   1  2  1  1  0  0  0
    5  1.8714666357061500e-08   0  3  1  1  0  0  0
    5 -4.0655046248933828e-08   1  0  3  1  0  0  0
    5 -3.1487396057310491e-08   0  1  3  1  0  0  0
    5 -5.2017726792300565e-08   3  0  0  2  0  0  0
    5  1.1405458560725683e-07   2  1  0  2  0  0  0
    5 -5.4864958581895186e-09   1  2  0  2  0  0  0
    5 -8.2548849511519126e-09   0  3  0  2  0  0  0
    5  3.7094396282378088e-08   1  0  2  2  0  0  0
    5 -3.7094396282378088e-08   0  1  2  2  0  0  0
    5  3.1487396057310491e-08   1  0  1  3  0  0  0
    5  4.0655046248933828e-08   0  1  1  3  0  0  0
    5  6.1259951393587612e-08   1  0  0  4  0  0  0
    5  1.9958458965256790e-08   0  1  0  4  0  0  0
    5 -5.6595226400679649e-08   4  0  0  0  1  0  0
    5  3.5250239460953478e-08   3  1  0  0  1  0  0
    5 -3.5250239460953478e-08   1  3  0  0  1  0  0
    5  5.6595226400679649e-08   0  4  0  0  1  0  0
    5 -2.4575111155434393e-09   2  0  2  0  1  0  0
    5 -5.6735599115196296e-08   1  1  2  0  1  0  0
    5  4.0460910539542721e-08   0  2  2  0  1  0  0
    5 -1.6959989152398996e-08   0  0  4  0  1  0  0
    5 -2.8936867806166199e-08   2  0  1  1  1  0  0
    5  2.8936867806166199e-08   0  2  1  1  1  0  0
    5 -3.8216656525618176e-09   0  0  3  1  1  0  0
    5 -4.0460910539542721e-08   2  0  0  2  1  0  0
    5  5.6735599115196296e-08   1  1  0  2  1  0  0
    5  2.4575111155434393e-09   0  2  0  2  1  0  0
    5  3.8216656525618176e-09   0  0  1  3  1  0  0
    5  1.6959989152398996e-08   0  0  0  4  1  0  0
    5  1.3531550837078891e-08   3  0  0  0  2  0  0
    5 -4.2542386395758816e-08   2  1  0  0  2  0  0
    5  4.2542386395758816e-08   1  2  0  0  2  0  0
    5 -1.3531550837078891e-08   0  3  0  0  2  0  0
    5  2.3641554695530217e-08   1  0  2  0  2  0  0
    5  2.3147616410481926e-07   0  1  2  0  2  0  0
    5 -6.9518429007391350e-09   1  0  1  1  2  0  0
    5  6.9518429007391350e-09   0  1  1  1  2  0  0
    5 -2.3147616410481926e-07   1  0  0  2  2  0  0
    5 -2.3641554695530217e-08   0  1  0  2  2  0  0
    5  4.7264155377385559e-09   2  0  0  0  3  0  0
    5 -4.7264155377385559e-09   0  2  0  0  3  0  0
    5 -8.8004667212229752e-08   0  0  2  0  3  0  0
    5  8.8004667212229752e-08   0  0  0  2  3  0  0
    5  2.1805241740292319e-22   1  0  0  0  4  0  0
    5 -2.1805241740292319e-22   0  1  0  0  4  0  0
    6 -4.8677869650613030e-09   6  0  0  0  0  0  0
    6  1.9090252684613898e-08   5  1  0  0  0  0  0
    6 -8.8960481248808975e-09   4  2  0  0  0  0  0
    6  8.8960481248808975e-09   2  4  0  0  0  0  0
    6 -1.9090252684613898e-08   1  5  0  0  0  0  0
    6  4.8677869650613030e-09   0  6  0  0  0  0  0
    6 -1.7316475839783592e-07   4  0  2  0  0  0  0
    6  2.3441158837754246e-09   3  1  2  0  0  0  0
    6  7.1011554700031886e-08   2  2  2  0  0  0  0
    6 -1.8385048730746352e-08   1  3  2  0  0  0  0
    6  5.4125658622864594e-09   0  4  2  0  0  0  0
    6  1.9714579601149204e-09   2  0  4  0  0  0  0
    6  1.0449860466803744e-08   1  1  4  0  0  0  0
    6  9.6402429006964434e-09   0  2  4  0  0  0  0
    6 -5.0145512085002798e-10   0  0  6  0  0  0  0
    6 -1.1561401169730631e-08   4  0  1  1  0  0  0
    6 -1.5398764606945940e-08   3  1  1  1  0  0  0
    6  1.5398764606945940e-08   1  3  1  1  0  0  0
    6  1.1561401169730631e-08   0  4  1  1  0  0  0
    6  1.2187324584804860e-08   2  0  3  1  0  0  0
    6  8.5694506784157197e-09   1  1  3  1  0  0  0
    6 -2.1115187076137314e-08   0  2  3  1  0  0  0
    6  1.9288291604518733e-09   0  0  5  1  0  0  0
    6 -5.4125658622864594e-09   4  0  0  2  0  0  0
    6  1.8385048730746352e-08   3  1  0  2  0  0  0
    6 -7.1011554700031886e-08   2  2  0  2  0  0  0
    6 -2.3441158837754246e-09   1  3  0  2  0  0  0
    6  1.7316475839783592e-07   0  4  0  2  0  0  0
    6 -2.4981514173314279e-09   2  0  2  2  0  0  0
    6  2.4981514173314279e-09   0  2  2  2  0  0  0
    6  1.0262529676623301e-08   0  0  4  2  0  0  0
    6  2.1115187076137314e-08   2  0  1  3  0  0  0
    6 -8.5694506784157197e-09   1  1  1  3  0  0  0
    6 -1.2187324584804860e-08   0  2  1  3  0  0  0
    6 -9.6402429006964434e-09   2  0  0  4  0  0  0
    6 -1.0449860466803744e-08   1  1  0  4  0  0  0
    6 -1.9714579601149204e-09   0  2  0  4  0  0  0
    6 -1.0262529676623301e-08   0  0  2  4  0  0  0
    6 -1.9288291604518733e-09   0  0  1  5  0  0  0
    6  5.0145512085002798e-10   0  0  0  6  0  0  0
    6  8.6064771975764181e-08   5  0  0  0  1  0  0
    6 -1.1199256629553892e-08   4  1  0  0  1  0  0
    6  1.5033275957100714e-09   3  2  0  0  1  0  0
    6 -1.5033275957100714e-09   2  3  0  0  1  0  0
    6  1.1199256629553892e-08   1  4  0  0  1  0  0
    6 -8.6064771975764181e-08   0  5  0  0  1  0  0
    6 -5.3164407911527791e-09   3  0  2  0  1  0  0
    6  1.2472437721878765e-08   2  1  2  0  1  0  0
    6 -2.0708299049658433e-07   1  2  2  0  1  0  0
    6  2.4734486565178192e-09   0  3  2  0  1  0  0
    6 -3.4176199996725573e-09   1  0  4  0  1  0  0
    6  3.2814912612745148e-09   0  1  4  0  1  0  0
    6 -3.6412266752300955e-08   3  0  1  1  1  0  0
    6 -6.0067938658554106e-08   2  1  1  1  1  0  0
    6  6.0067938658554106e-08   1  2  1  1  1  0  0
    6  3.6412266752300955e-08   0  3  1  1  1  0  0
    6  9.7124171872878042e-09   1  0  3  1  1  0  0
    6 -7.1082480791000098e-08   0  1  3  1  1  0  0
    6 -2.4734486565178192e-09   3  0  0  2  1  0  0
    6  2.0708299049658433e-07   2  1  0  2  1  0  0
