# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.21085 1.07399
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2842854751322248e-04  5.0988399571967837e-19  4.1880436192778458e-03  2.1778519425320298e-17  0.0000000000000000e+00  0.0000000000000000e+00
   1  6.4251381458489150e-05  4.9646966768841924e-04  3.7254945140095318e-03 -1.9243811191019884e-03  0.0000000000000000e+00  2.6392163743349218e-03
   2 -5.7383305454306030e-05  6.8333215713933045e-04  2.5335012632414023e-03 -3.4300028426930370e-03  0.0000000000000000e+00 -1.8867238839540938e-02
   3 -1.4034343307797349e-04  1.9291132420883264e-04  9.0143228363037166e-04 -4.2427730189069429e-03  0.0000000000000000e+00 -5.8953398403051159e-02
   4 -4.0452985332247755e-04 -5.1343373633189996e-04 -8.4662704577818612e-04 -4.3178233423313110e-03  0.0000000000000000e+00 -9.7601017431934681e-02
   5 -5.8006343365316093e-04 -6.3742351794048035e-04 -2.3710981108639420e-03 -3.5108255153188245e-03  0.0000000000000000e+00 -1.1373171052917169e-01
   6 -2.5360963671203484e-04 -1.0140583083395794e-04 -3.5573609035293740e-03 -1.8665930208105134e-03  0.0000000000000000e+00 -1.0522661113643020e-01
   7  3.0938314181892378e-04  4.4707979301303205e-04 -4.1649634521257481e-03  8.8888312205823226e-05  0.0000000000000000e+00 -8.9376913230835173e-02
   8  4.6888080805564385e-04  5.2152178694981656e-04 -3.7817979399140515e-03  1.8895794998225629e-03  0.0000000000000000e+00 -8.8932161434544771e-02
   9  4.4426763174221225e-05  2.6903851152916579e-04 -2.4775401297699308e-03  3.3697153104504571e-03  0.0000000000000000e+00 -1.1217972044622915e-01
  10 -5.3244544932953320e-04 -8.3428312804667143e-06 -8.3840531298780686e-04  4.3392675343987639e-03  0.0000000000000000e+00 -1.5144889875028847e-01
  11 -7.1470100951710345e-04 -2.0601408683134905e-04  7.7310087475485707e-04  4.4168510398898504e-03  0.0000000000000000e+00 -1.8855411717440484e-01
  12 -3.5913101183082565e-04 -2.9175818187886406e-04  2.3523544853292799e-03  3.4784738451899945e-03  0.0000000000000000e+00 -2.0454765889338744e-01
  13  1.4113338140600364e-04 -2.4409820271227019e-04  3.6801496936857731e-03  1.8634685628565629e-03  0.0000000000000000e+00 -1.9647584735502169e-01
  14  2.8625347084310424e-04  2.7738015104558081e-06  4.2002594915357084e-03 -5.6919445769191310e-05  0.0000000000000000e+00 -1.8097435386649138e-01
  15  6.1844969312443475e-05  4.4319982144941773e-04  3.6943551510734609e-03 -1.9710015633948520e-03  0.0000000000000000e+00 -1.7907895385848294e-01
  16 -1.2303706021354533e-04  6.5707875091427278e-04  2.4758709994284383e-03 -3.4807476576747013e-03  0.0000000000000000e+00 -2.0119207582117452e-01
  17 -1.8157743555165018e-04  2.2429838611472065e-04  8.5245097524613129e-04 -4.2742475698224515e-03  0.0000000000000000e+00 -2.4131571663553814e-01
  18 -3.6766147696569836e-04 -4.8633662543652541e-04 -8.9753855033831900e-04 -4.2998315009679178e-03  0.0000000000000000e+00 -2.7958745886341951e-01
  19 -5.2022123757868846e-04 -6.6367717677140729e-04 -2.4348422296169513e-03 -3.4624424559194754e-03  0.0000000000000000e+00 -2.9498689184730392e-01
  20 -2.5041134360040190e-04 -1.4373037492649974e-04 -3.5983698722935453e-03 -1.8091583929064892e-03  0.0000000000000000e+00 -2.8581989114051948e-01
  21  2.6252422419731315e-04  4.5909825699022203e-04 -4.1583142520464399e-03  1.5903768336939487e-04  0.0000000000000000e+00 -2.7002805849589134e-01
  22  4.5145925583012767e-04  5.8392485292801054e-04 -3.7514572390391332e-03  1.9554036869994535e-03  0.0000000000000000e+00 -2.7010307886765339e-01
  23  8.5018897432864924e-05  2.8737762664102180e-04 -2.4365622003349597e-03  3.4003486680505737e-03  0.0000000000000000e+00 -2.9433848235701215e-01
  24 -5.0358481079615749e-04 -6.6742580465332206e-05 -7.7723448960050447e-04  4.3391276075479138e-03  0.0000000000000000e+00 -3.3409176540053043e-01
  25 -7.5054158224498950e-04 -2.5981573223026350e-04  8.3099340480308616e-04  4.4054748322198776e-03  0.0000000000000000e+00 -3.7072037152286569e-01
  26 -4.0333867658277060e-04 -2.6521481544390196e-04  2.3838648609297744e-03  3.4401414606695922e-03  0.0000000000000000e+00 -3.8573854205098701e-01
  27  1.6020049162575846e-04 -1.7209051753925187e-04  3.7009868360724186e-03  1.7987962651982354e-03  0.0000000000000000e+00 -3.7701889844956848e-01
  28  3.4365986992909427e-04  2.1606470032726411e-05  4.2100184971657975e-03 -1.1602849626410352e-04  0.0000000000000000e+00 -3.6191748692248482e-01
  29  7.3277911515198644e-05  3.9352194590623943e-04  3.6645208351371757e-03 -2.0156950898880172e-03  0.0000000000000000e+00 -3.6084692558185877e-01
  30 -1.8201651806663168e-04  6.1734801764130680e-04  2.4173464887337075e-03 -3.5277002047323295e-03  0.0000000000000000e+00 -3.8360115191110844e-01
  31 -2.3488742067756638e-04  2.4589391235464855e-04  8.0232785076305455e-04 -4.3073065471408165e-03  0.0000000000000000e+00 -4.2375179561249571e-01
  32 -3.4365737554550044e-04 -4.4949241730803379e-04 -9.4494666252073240e-04 -4.2849587048613353e-03  0.0000000000000000e+00 -4.6154489010649330e-01
  33 -4.5522604270617050e-04 -6.7592510314082495e-04 -2.4961047770640779e-03 -3.4137923740677999e-03  0.0000000000000000e+00 -4.7623708097518841e-01
  34 -2.3299194829418232e-04 -1.8831786708342228e-04 -3.6415515937704211e-03 -1.7526628324354733e-03  0.0000000000000000e+00 -4.6644198088370808e-01
  35  2.1713046784850189e-04  4.5499966992288202e-04 -4.1522788696340407e-03  2.2658586096077022e-04  0.0000000000000000e+00 -4.5074206255711446e-01
  36  4.1997374617802093e-04  6.3968721983930909e-04 -3.7180556741939711e-03  2.0223267138384997e-03  0.0000000000000000e+00 -4.5130277701935295e-01
  37  1.1732230853513495e-04  3.1795025766614721e-04 -2.3953801561239713e-03  3.4336369513573426e-03  0.0000000000000000e+00 -4.7642458607278632e-01
  38 -4.6404656916132513e-04 -1.1479478794421220e-04 -7.1735445908441731e-04  4.3364507507984455e-03  0.0000000000000000e+00 -5.1668282202616811e-01
  39 -7.7180475336270215e-04 -3.2039087975298177e-04  8.9193451055106067e-04  4.3889299526885094e-03  0.0000000000000000e+00 -5.5283188770500336e-01
  40 -4.5000306275424259e-04 -2.5284223250518056e-04  2.4180332319002572e-03  3.4001749820392136e-03  0.0000000000000000e+00 -5.6689806371930596e-01
  41  1.6486416541477367e-04 -9.9630992289225173e-05  3.7184099429700213e-03  1.7328557790209009e-03  0.0000000000000000e+00 -5.5751834930126343e-01
  42  3.9701914772216504e-04  5.6149857854043736e-05  4.2168480152068978e-03 -1.7758353788345575e-04  0.0000000000000000e+00 -5.4281324273911524e-01
  43  9.7328730414751239e-05  3.5117325463818470e-04  3.6360285765793705e-03 -2.0591572866038919e-03  0.0000000000000000e+00 -5.4265304289907557e-01
