
tpsa, NO = 8, NV = 7, INA = 48094
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.6239559218457811e-01   1  1  0  0  0  0  0
    2 -2.3245650129590897e-01   0  0  1  1  0  0  0
    2  9.5766249606684655e-03   0  0  0  0  2  0  0
    3 -4.1886854291949188e-01   1  1  0  0  1  0  0
    3 -4.1886854038770810e-01   0  0  1  1  1  0  0
    3 -2.6663503592068761e-03   0  0  0  0  3  0  0
    4  3.9556618101539163e+02   2  2  0  0  0  0  0
    4 -7.8573280091149400e+01   1  1  1  1  0  0  0
    4  3.3963069125577994e+02   0  0  2  2  0  0  0
    4  8.4091786832918594e+00   1  1  0  0  2  0  0
    4  4.0095742728023964e-01   0  0  1  1  2  0  0
    4  2.5545384543630645e-01   0  0  0  0  4  0  0
    5  2.0925102511612924e+04   2  2  0  0  1  0  0
    5  1.1632342124342569e+04   1  1  1  1  1  0  0
    5 -1.7521014724523004e+03   0  0  2  2  1  0  0
    5  2.6362612126301178e+02   1  1  0  0  3  0  0
    5  3.4811449884965910e+01   0  0  1  1  3  0  0
    5 -1.8913484919994166e+00   0  0  0  0  5  0  0
    6 -7.5670157613585964e+06   3  3  0  0  0  0  0
    6 -9.0949470177292824e-13   0  0  6  0  0  0  0
    6 -3.4980280939771600e+07   2  2  1  1  0  0  0
    6  1.1641532182693481e-10   2  0  2  2  0  0  0
    6 -1.0843362612919796e+07   1  1  2  2  0  0  0
    6  1.1641532182693481e-10   0  2  2  2  0  0  0
    6 -1.4551915228366852e-11   0  0  4  2  0  0  0
    6  4.2966944116935116e+05   0  0  3  3  0  0  0
    6 -1.4551915228366852e-11   0  0  2  4  0  0  0
    6 -9.0949470177292824e-13   0  0  0  6  0  0  0
    6 -5.6617612275511678e+05   2  2  0  0  2  0  0
    6  3.6059967212735399e+04   1  1  1  1  2  0  0
    6 -1.3650744372809038e+05   0  0  2  2  2  0  0
    6 -8.5593787583767516e+03   1  1  0  0  4  0  0
    6  1.5624677786568454e+03   0  0  1  1  4  0  0
    6 -4.8623541034739173e+00   0  0  0  0  6  0  0
    7 -3.7252902984619141e-09   5  1  0  0  1  0  0
    7  9.6913271265256613e+07   3  3  0  0  1  0  0
    7 -3.7252902984619141e-09   1  5  0  0  1  0  0
    7 -5.8207660913467407e-11   0  0  6  0  1  0  0
    7  4.1393815172675347e+08   2  2  1  1  1  0  0
    7  3.7252902984619141e-09   2  0  2  2  1  0  0
    7  2.7405676955760163e+08   1  1  2  2  1  0  0
    7  3.7252902984619141e-09   0  2  2  2  1  0  0
    7 -9.3132257461547852e-10   0  0  4  2  1  0  0
    7  2.9926762850463379e+07   0  0  3  3  1  0  0
    7 -9.3132257461547852e-10   0  0  2  4  1  0  0
    7 -5.8207660913467407e-11   0  0  0  6  1  0  0
    7  8.0657801018435396e+06   2  2  0  0  3  0  0
    7 -1.8444213889452233e+06   1  1  1  1  3  0  0
    7  1.2770009929980235e+06   0  0  2  2  3  0  0
    7  2.6057245893489255e+05   1  1  0  0  5  0  0
    7 -7.7153440699725488e+03   0  0  1  1  5  0  0
    7  4.1931708033116985e+02   0  0  0  0  7  0  0
    8  2.3841857910156250e-07   6  2  0  0  0  0  0
    8  4.7683715820312500e-07   5  3  0  0  0  0  0
    8 -1.9292030769079002e+10   4  4  0  0  0  0  0
    8  4.7683715820312500e-07   3  5  0  0  0  0  0
    8  2.3841857910156250e-07   2  6  0  0  0  0  0
    8  5.9604644775390625e-08   2  0  6  0  0  0  0
    8  1.1920928955078125e-07   1  1  6  0  0  0  0
    8  5.9604644775390625e-08   0  2  6  0  0  0  0
    8 -3.8695899164687506e+11   3  3  1  1  0  0  0
    8 -9.5367431640625000e-07   4  0  2  2  0  0  0
    8  3.8146972656250000e-06   3  1  2  2  0  0  0
    8 -3.4393292939406018e+11   2  2  2  2  0  0  0
    8  3.8146972656250000e-06   1  3  2  2  0  0  0
    8 -9.5367431640625000e-07   0  4  2  2  0  0  0
    8 -9.5367431640625000e-07   2  0  4  2  0  0  0
    8 -1.9073486328125000e-06   1  1  4  2  0  0  0
    8 -9.5367431640625000e-07   0  2  4  2  0  0  0
    8 -1.9073486328125000e-06   2  0  3  3  0  0  0
    8 -1.2498223523763310e+11   1  1  3  3  0  0  0
    8 -1.9073486328125000e-06   0  2  3  3  0  0  0
    8 -9.5367431640625000e-07   2  0  2  4  0  0  0
    8 -1.9073486328125000e-06   1  1  2  4  0  0  0
    8 -9.5367431640625000e-07   0  2  2  4  0  0  0
    8 -2.5122762206609077e+09   0  0  4  4  0  0  0
    8  5.9604644775390625e-08   2  0  0  6  0  0  0
    8  1.1920928955078125e-07   1  1  0  6  0  0  0
    8  5.9604644775390625e-08   0  2  0  6  0  0  0
    8  5.9604644775390625e-08   4  2  0  0  2  0  0
    8  1.9676366530061903e+09   3  3  0  0  2  0  0
    8  5.9604644775390625e-08   2  4  0  0  2  0  0
    8  7.4505805969238281e-09   0  0  6  0  2  0  0
    8  4.1261706744928460e+09   2  2  1  1  2  0  0
    8  5.8496337525681067e+08   1  1  2  2  2  0  0
    8  5.9604644775390625e-08   0  0  4  2  2  0  0
    8 -2.1576109827715116e+09   0  0  3  3  2  0  0
    8  5.9604644775390625e-08   0  0  2  4  2  0  0
    8  7.4505805969238281e-09   0  0  0  6  2  0  0
    8 -1.6428935418767005e+08   2  2  0  0  4  0  0
    8 -1.8737730072515953e+08   1  1  1  1  4  0  0
    8  3.2132484100802053e+07   0  0  2  2  4  0  0
    8 -4.9913364122637846e+06   1  1  0  0  6  0  0
    8 -3.7608870986802992e+05   0  0  1  1  6  0  0
    8 -9.3571046279750481e+03   0  0  0  0  8  0  0
  -95  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50244
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3825415166261782e-05   1  1  0  0  0  0  0
    2 -4.0772194708693144e-06   0  0  1  1  0  0  0
    2  8.6189624646016180e-06   0  0  0  0  2  0  0
    3 -2.6227672289531627e-07   1  1  0  0  1  0  0
    3 -2.2040497371541088e-07   0  0  1  1  1  0  0
    3 -7.1991459698585655e-08   0  0  0  0  3  0  0
    4  1.7232196971467817e-07   2  2  0  0  0  0  0
    4 -2.8764579119703640e-08   1  1  1  1  0  0  0
    4  1.0448446281052016e-07   0  0  2  2  0  0  0
    4  1.5796353280118612e-07   1  1  0  0  2  0  0
    4  6.3294090651139295e-09   0  0  1  1  2  0  0
    4  2.0691761480340821e-07   0  0  0  0  4  0  0
    5  2.7347041185573895e-07   2  2  0  0  1  0  0
    5  1.2775313376059620e-07   1  1  1  1  1  0  0
    5 -1.6170568725265447e-08   0  0  2  2  1  0  0
    5  1.4856378377160679e-07   1  1  0  0  3  0  0
    5  1.6485733258483619e-08   0  0  1  1  3  0  0
    5 -4.5959768355585822e-08   0  0  0  0  5  0  0
    6 -6.8802921903675803e-08   3  3  0  0  0  0  0
    6 -2.6728044237495693e-07   2  2  1  1  0  0  0
    6  7.4750770940476807e-25   2  0  2  2  0  0  0
    6 -6.9625690345801391e-08   1  1  2  2  0  0  0
    6  7.4750770940476807e-25   0  2  2  2  0  0  0
    6  2.3184708758826477e-09   0  0  3  3  0  0  0
    6 -2.2198087304967655e-07   2  2  0  0  2  0  0
    6  1.1880944780047882e-08   1  1  1  1  2  0  0
    6 -3.7795807520654077e-08   0  0  2  2  2  0  0
    6 -1.4470649065273590e-07   1  1  0  0  4  0  0
    6  2.2198236880995170e-08   0  0  1  1  4  0  0
    6 -3.5446561414324855e-09   0  0  0  0  6  0  0
    7 -1.0161635665507494e-24   5  1  0  0  1  0  0
    7  2.6435452672148374e-08   3  3  0  0  1  0  0
    7 -1.0161635665507494e-24   1  5  0  0  1  0  0
    7  9.4885663582770343e-08   2  2  1  1  1  0  0
    7  7.1760740102857730e-25   2  0  2  2  1  0  0
    7  5.2791903551172028e-08   1  1  2  2  1  0  0
    7  7.1760740102857730e-25   0  2  2  2  1  0  0
    7 -1.5076084485470634e-25   0  0  4  2  1  0  0
    7  4.8444912365246915e-09   0  0  3  3  1  0  0
    7 -1.5076084485470634e-25   0  0  2  4  1  0  0
    7  9.4870597869155195e-08   2  2  0  0  3  0  0
    7 -1.8230855738652620e-08   1  1  1  1  3  0  0
    7  1.0607176227952198e-08   0  0  2  2  3  0  0
    7  1.3215863145320132e-07   1  1  0  0  5  0  0
    7 -3.2883948896058403e-09   0  0  1  1  5  0  0
    7  9.1704645468426834e-09   0  0  0  0  7  0  0
    8 -3.6611787865920016e-09   4  4  0  0  0  0  0
    8 -6.1711993933058770e-08   3  3  1  1  0  0  0
    8 -1.2781045107792278e-25   4  0  2  2  0  0  0
    8  5.1124180431169113e-25   3  1  2  2  0  0  0
    8 -4.6093537479393229e-08   2  2  2  2  0  0  0
    8  5.1124180431169113e-25   1  3  2  2  0  0  0
    8 -1.2781045107792278e-25   0  4  2  2  0  0  0
    8 -1.0740586876974759e-25   2  0  4  2  0  0  0
    8 -2.1481173753949518e-25   1  1  4  2  0  0  0
    8 -1.0740586876974759e-25   0  2  4  2  0  0  0
    8 -2.1481173753949518e-25   2  0  3  3  0  0  0
    8 -1.4075901306714660e-08   1  1  3  3  0  0  0
    8 -2.1481173753949518e-25   0  2  3  3  0  0  0
    8 -1.0740586876974759e-25   2  0  2  4  0  0  0
    8 -2.1481173753949518e-25   1  1  2  4  0  0  0
    8 -1.0740586876974759e-25   0  2  2  4  0  0  0
    8 -2.3776994536134052e-10   0  0  4  4  0  0  0
    8  4.8775851194435963e-25   4  2  0  0  2  0  0
    8  1.6101623112327153e-08   3  3  0  0  2  0  0
    8  4.8775851194435963e-25   2  4  0  0  2  0  0
    8  2.8374850750418268e-08   2  2  1  1  2  0  0
    8  3.3804671350438858e-09   1  1  2  2  2  0  0
    8  2.8946082212103614e-25   0  0  4  2  2  0  0
    8 -1.0478107054305912e-08   0  0  3  3  2  0  0
