
tpsa, NO = 8, NV = 7, INA = 48097
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -2.4303948240890787e-07   3  0  0  0  0  0  0
    3 -9.0304742103472342e-07   2  1  0  0  0  0  0
    3  9.0304742103472342e-07   1  2  0  0  0  0  0
    3  2.4303948240890787e-07   0  3  0  0  0  0  0
    3  9.1188638031932585e-07   1  0  2  0  0  0  0
    3 -2.1664487652265545e-07   0  1  2  0  0  0  0
    3 -4.7688785689712799e-07   1  0  1  1  0  0  0
    3  4.7688785689712799e-07   0  1  1  1  0  0  0
    3  2.1664487652265545e-07   1  0  0  2  0  0  0
    3 -9.1188638031932585e-07   0  1  0  2  0  0  0
    3 -4.6108626560955224e-07   2  0  0  0  1  0  0
    3  4.6108626560955224e-07   0  2  0  0  1  0  0
    3  3.3892303389754524e-07   0  0  2  0  1  0  0
    3 -3.3892303389754524e-07   0  0  0  2  1  0  0
    3 -6.3565447416740776e-22   1  0  0  0  2  0  0
    3  6.3565447416740776e-22   0  1  0  0  2  0  0
    4 -1.1199466619794686e-07   4  0  0  0  0  0  0
    4  1.1103371678669574e-07   3  1  0  0  0  0  0
    4 -1.1103371678669574e-07   1  3  0  0  0  0  0
    4  1.1199466619794686e-07   0  4  0  0  0  0  0
    4 -3.4666722104765144e-08   2  0  2  0  0  0  0
    4 -1.8758115539650284e-07   1  1  2  0  0  0  0
    4  1.7064408890867720e-07   0  2  2  0  0  0  0
    4  4.7226800592142925e-08   0  0  4  0  0  0  0
    4 -7.7472283729385141e-08   2  0  1  1  0  0  0
    4  7.7472283729385141e-08   0  2  1  1  0  0  0
    4 -1.6307937265059166e-07   0  0  3  1  0  0  0
    4 -1.7064408890867720e-07   2  0  0  2  0  0  0
    4  1.8758115539650284e-07   1  1  0  2  0  0  0
    4  3.4666722104765144e-08   0  2  0  2  0  0  0
    4  1.6307937265059166e-07   0  0  1  3  0  0  0
    4 -4.7226800592142925e-08   0  0  0  4  0  0  0
    4  2.1982761932307058e-08   3  0  0  0  1  0  0
    4 -1.8375230617137085e-07   2  1  0  0  1  0  0
    4  1.8375230617137085e-07   1  2  0  0  1  0  0
    4 -2.1982761932307058e-08   0  3  0  0  1  0  0
    4 -3.6536320085237448e-08   1  0  2  0  1  0  0
    4  1.5283645583850707e-07   0  1  2  0  1  0  0
    4 -6.8720714493493775e-08   1  0  1  1  1  0  0
    4  6.8720714493493775e-08   0  1  1  1  1  0  0
    4 -1.5283645583850707e-07   1  0  0  2  1  0  0
    4  3.6536320085237448e-08   0  1  0  2  1  0  0
    4 -1.7711607198626767e-07   2  0  0  0  2  0  0
    4  1.7711607198626767e-07   0  2  0  0  2  0  0
    4  2.6803469345854761e-07   0  0  2  0  2  0  0
    4 -2.6803469345854761e-07   0  0  0  2  2  0  0
    4  3.7852543180717448e-22   1  0  0  0  3  0  0
    4 -3.7852543180717448e-22   0  1  0  0  3  0  0
    5  3.3496141397092023e-08   5  0  0  0  0  0  0
    5  4.0546594996337879e-08   4  1  0  0  0  0  0
    5 -3.2620443500743441e-08   3  2  0  0  0  0  0
    5  3.2620443500743441e-08   2  3  0  0  0  0  0
    5 -4.0546594996337879e-08   1  4  0  0  0  0  0
    5 -3.3496141397092023e-08   0  5  0  0  0  0  0
    5  1.5821634363856191e-08   3  0  2  0  0  0  0
    5 -7.8670044365446889e-09   2  1  2  0  0  0  0
    5 -2.8590333678455343e-07   1  2  2  0  0  0  0
    5  4.2055644609974943e-08   0  3  2  0  0  0  0
    5 -1.7564553220810291e-08   1  0  4  0  0  0  0
    5 -9.7387259560429884e-08   0  1  4  0  0  0  0
    5 -2.7627196955736553e-08   3  0  1  1  0  0  0
    5  2.1565690301620882e-07   2  1  1  1  0  0  0
    5 -2.1565690301620882e-07   1  2  1  1  0  0  0
    5  2.7627196955736553e-08   0  3  1  1  0  0  0
    5 -2.8281591935074458e-08   1  0  3  1  0  0  0
    5 -8.4689778094576789e-08   0  1  3  1  0  0  0
    5 -4.2055644609974943e-08   3  0  0  2  0  0  0
    5  2.8590333678455343e-07   2  1  0  2  0  0  0
    5  7.8670044365446889e-09   1  2  0  2  0  0  0
    5 -1.5821634363856191e-08   0  3  0  2  0  0  0
    5  3.1835301940226477e-08   1  0  2  2  0  0  0
    5 -3.1835301940226477e-08   0  1  2  2  0  0  0
    5  8.4689778094576789e-08   1  0  1  3  0  0  0
    5  2.8281591935074458e-08   0  1  1  3  0  0  0
    5  9.7387259560429884e-08   1  0  0  4  0  0  0
    5  1.7564553220810291e-08   0  1  0  4  0  0  0
    5 -4.9303695974279380e-08   4  0  0  0  1  0  0
    5  2.6089930402093549e-08   3  1  0  0  1  0  0
    5 -2.6089930402093549e-08   1  3  0  0  1  0  0
    5  4.9303695974279380e-08   0  4  0  0  1  0  0
    5 -1.9468965047949423e-08   2  0  2  0  1  0  0
    5 -7.9143715000655771e-08   1  1  2  0  1  0  0
    5  8.0917920083495368e-09   0  2  2  0  1  0  0
    5 -1.5772860591549560e-08   0  0  4  0  1  0  0
    5 -1.0149680416329224e-08   2  0  1  1  1  0  0
    5  1.0149680416329224e-08   0  2  1  1  1  0  0
    5  1.1421494626605459e-08   0  0  3  1  1  0  0
    5 -8.0917920083495368e-09   2  0  0  2  1  0  0
    5  7.9143715000655771e-08   1  1  0  2  1  0  0
    5  1.9468965047949423e-08   0  2  0  2  1  0  0
    5 -1.1421494626605459e-08   0  0  1  3  1  0  0
    5  1.5772860591549560e-08   0  0  0  4  1  0  0
    5  8.5200836217099637e-09   3  0  0  0  2  0  0
    5 -9.6946519400487534e-09   2  1  0  0  2  0  0
    5  9.6946519400487534e-09   1  2  0  0  2  0  0
    5 -8.5200836217099637e-09   0  3  0  0  2  0  0
    5  6.0573395955868210e-09   1  0  2  0  2  0  0
    5  3.1954306880847979e-07   0  1  2  0  2  0  0
    5  1.1975208122400033e-08   1  0  1  1  2  0  0
    5 -1.1975208122400033e-08   0  1  1  1  2  0  0
    5 -3.1954306880847979e-07   1  0  0  2  2  0  0
    5 -6.0573395955868210e-09   0  1  0  2  2  0  0
    5  7.4451892773341914e-09   2  0  0  0  3  0  0
    5 -7.4451892773341914e-09   0  2  0  0  3  0  0
    5 -7.0421210170383059e-08   0  0  2  0  3  0  0
    5  7.0421210170383059e-08   0  0  0  2  3  0  0
    5 -3.7378475237434444e-22   1  0  0  0  4  0  0
    5  3.7378475237434444e-22   0  1  0  0  4  0  0
    6 -5.1368464540696854e-09   6  0  0  0  0  0  0
    6  2.5351017792185121e-08   5  1  0  0  0  0  0
    6 -7.5895894651599718e-09   4  2  0  0  0  0  0
    6  7.5895894651599718e-09   2  4  0  0  0  0  0
    6 -2.5351017792185121e-08   1  5  0  0  0  0  0
    6  5.1368464540696854e-09   0  6  0  0  0  0  0
    6 -1.4161852371895866e-07   4  0  2  0  0  0  0
    6  2.7530738082432438e-09   3  1  2  0  0  0  0
    6  4.3862538015589779e-08   2  2  2  0  0  0  0
    6 -1.4646627952594927e-09   1  3  2  0  0  0  0
    6  4.0015374186266266e-09   0  4  2  0  0  0  0
    6 -1.2010987733191332e-09   2  0  4  0  0  0  0
    6  1.5289731946289162e-08   1  1  4  0  0  0  0
    6  1.1662872338453123e-08   0  2  4  0  0  0  0
    6 -1.2534533403723546e-09   0  0  6  0  0  0  0
    6 -2.9056752897050409e-08   4  0  1  1  0  0  0
    6  1.1619924333064396e-08   3  1  1  1  0  0  0
    6 -1.1619924333064396e-08   1  3  1  1  0  0  0
    6  2.9056752897050409e-08   0  4  1  1  0  0  0
    6  1.3461368271249040e-08   2  0  3  1  0  0  0
    6  3.7360995577997106e-08   1  1  3  1  0  0  0
    6 -9.8123902301580629e-09   0  2  3  1  0  0  0
    6  3.9515818767500783e-09   0  0  5  1  0  0  0
    6 -4.0015374186266266e-09   4  0  0  2  0  0  0
    6  1.4646627952594927e-09   3  1  0  2  0  0  0
    6 -4.3862538015589779e-08   2  2  0  2  0  0  0
    6 -2.7530738082432438e-09   1  3  0  2  0  0  0
    6  1.4161852371895866e-07   0  4  0  2  0  0  0
    6 -1.7544002708467908e-09   2  0  2  2  0  0  0
    6  1.7544002708467908e-09   0  2  2  2  0  0  0
    6 -7.4351571868809500e-09   0  0  4  2  0  0  0
    6  9.8123902301580629e-09   2  0  1  3  0  0  0
    6 -3.7360995577997106e-08   1  1  1  3  0  0  0
    6 -1.3461368271249040e-08   0  2  1  3  0  0  0
    6 -1.1662872338453123e-08   2  0  0  4  0  0  0
    6 -1.5289731946289162e-08   1  1  0  4  0  0  0
    6  1.2010987733191332e-09   0  2  0  4  0  0  0
    6  7.4351571868809500e-09   0  0  2  4  0  0  0
    6 -3.9515818767500783e-09   0  0  1  5  0  0  0
    6  1.2534533403723546e-09   0  0  0  6  0  0  0
    6  8.0541824742111549e-08   5  0  0  0  1  0  0
    6 -1.1352978825878586e-08   4  1  0  0  1  0  0
    6  2.5177174302305421e-09   3  2  0  0  1  0  0
    6 -2.5177174302305421e-09   2  3  0  0  1  0  0
    6  1.1352978825878586e-08   1  4  0  0  1  0  0
    6 -8.0541824742111549e-08   0  5  0  0  1  0  0
    6 -4.1793742507095910e-09   3  0  2  0  1  0  0
    6  1.5450979650158794e-08   2  1  2  0  1  0  0
    6 -2.0717548266856875e-07   1  2  2  0  1  0  0
    6  3.9118009702437450e-09   0  3  2  0  1  0  0
    6 -2.4437927157108427e-09   1  0  4  0  1  0  0
    6  5.2354013680764474e-09   0  1  4  0  1  0  0
    6 -1.7358311866106388e-08   3  0  1  1  1  0  0
    6 -6.2802258261603854e-08   2  1  1  1  1  0  0
    6  6.2802258261603854e-08   1  2  1  1  1  0  0
    6  1.7358311866106388e-08   0  3  1  1  1  0  0
    6  9.5080678604080885e-09   1  0  3  1  1  0  0
    6 -7.1731092631484726e-08   0  1  3  1  1  0  0
    6 -3.9118009702437450e-09   3  0  0  2  1  0  0
    6  2.0717548266856875e-07   2  1  0  2  1  0  0
