
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  1.3007264269269420e-07   3  0  0  0  0  0  0
    3 -8.3880561041710681e-07   2  1  0  0  0  0  0
    3 -8.3880561041710681e-07   1  2  0  0  0  0  0
    3  1.3007264269269420e-07   0  3  0  0  0  0  0
    3  7.7132513353607629e-07   1  0  2  0  0  0  0
    3  4.7585841382826300e-08   0  1  2  0  0  0  0
    3 -4.9800839440040465e-07   1  0  1  1  0  0  0
    3 -4.9800839440040465e-07   0  1  1  1  0  0  0
    3  4.7585841382826300e-08   1  0  0  2  0  0  0
    3  7.7132513353607629e-07   0  1  0  2  0  0  0
    3 -2.2693951087907807e-07   2  0  0  0  1  0  0
    3 -2.6227672289531474e-07   1  1  0  0  1  0  0
    3 -2.2693951087907807e-07   0  2  0  0  1  0  0
    3  1.6954103596732535e-07   0  0  2  0  1  0  0
    3 -2.2040497371540946e-07   0  0  1  1  1  0  0
    3  1.6954103596732535e-07   0  0  0  2  1  0  0
    3  1.3177444944602916e-06   1  0  0  0  2  0  0
    3  1.3177444944602916e-06   0  1  0  0  2  0  0
    3 -7.1991459698585245e-08   0  0  0  0  3  0  0
    4  3.5047005426946521e-08   4  0  0  0  0  0  0
    4  5.8053954681801876e-08   3  1  0  0  0  0  0
    4 -1.7468106363155740e-08   2  2  0  0  0  0  0
    4  5.8053954681801876e-08   1  3  0  0  0  0  0
    4  3.5047005426946521e-08   0  4  0  0  0  0  0
    4  1.8978361761429785e-08   2  0  2  0  0  0  0
    4  8.1873963984748177e-08   1  1  2  0  0  0  0
    4 -2.0573809260361453e-07   0  2  2  0  0  0  0
    4  3.6237538820727990e-08   0  0  4  0  0  0  0
    4 -4.4172768565544430e-08   2  0  1  1  0  0  0
    4 -4.3642679253415471e-07   1  1  1  1  0  0  0
    4 -4.4172768565544430e-08   0  2  1  1  0  0  0
    4 -7.8874344760099718e-08   0  0  3  1  0  0  0
    4 -2.0573809260361453e-07   2  0  0  2  0  0  0
    4  8.1873963984748177e-08   1  1  0  2  0  0  0
    4  1.8978361761429785e-08   0  2  0  2  0  0  0
    4  1.1571645035100412e-08   0  0  2  2  0  0  0
    4 -7.8874344760099718e-08   0  0  1  3  0  0  0
    4  3.6237538820727990e-08   0  0  0  4  0  0  0
    4 -3.0398167407962390e-08   3  0  0  0  1  0  0
    4 -3.0032530195286637e-07   2  1  0  0  1  0  0
    4 -3.0032530195286637e-07   1  2  0  0  1  0  0
    4 -3.0398167407962390e-08   0  3  0  0  1  0  0
    4  2.5462284986974190e-08   1  0  2  0  1  0  0
    4  3.5006321285951152e-08   0  1  2  0  1  0  0
    4 -2.3640610804309624e-07   1  0  1  1  1  0  0
    4 -2.3640610804309624e-07   0  1  1  1  1  0  0
    4  3.5006321285951152e-08   1  0  0  2  1  0  0
    4  2.5462284986974190e-08   0  1  0  2  1  0  0
    4 -2.8889543401350812e-08   2  0  0  0  2  0  0
    4  5.5676097456542277e-07   1  1  0  0  2  0  0
    4 -2.8889543401350812e-08   0  2  0  0  2  0  0
    4  8.5514783710622462e-08   0  0  2  0  2  0  0
    4  5.7126048026605676e-08   0  0  1  1  2  0  0
    4  8.5514783710622462e-08   0  0  0  2  2  0  0
    4 -1.4247785536915132e-07   1  0  0  0  3  0  0
    4 -1.4247785536915132e-07   0  1  0  0  3  0  0
    4  4.7919547712379742e-08   0  0  0  0  4  0  0
    5 -7.0722145989093071e-09   5  0  0  0  0  0  0
    5 -1.4449994375243525e-08   4  1  0  0  0  0  0
    5  2.3733934171519558e-08   3  2  0  0  0  0  0
    5  2.3733934171519558e-08   2  3  0  0  0  0  0
    5 -1.4449994375243525e-08   1  4  0  0  0  0  0
    5 -7.0722145989093071e-09   0  5  0  0  0  0  0
    5 -6.2561994957431323e-08   3  0  2  0  0  0  0
    5 -1.1355218018120459e-07   2  1  2  0  0  0  0
    5  4.6008555212521525e-08   1  2  2  0  0  0  0
    5 -1.2194607282022010e-08   0  3  2  0  0  0  0
    5 -1.8392758295465269e-09   1  0  4  0  0  0  0
    5 -3.7876003379560353e-08   0  1  4  0  0  0  0
    5 -9.4625726080562735e-08   3  0  1  1  0  0  0
    5  2.8803582347418923e-07   2  1  1  1  0  0  0
    5  2.8803582347418923e-07   1  2  1  1  0  0  0
    5 -9.4625726080562735e-08   0  3  1  1  0  0  0
    5 -5.7833525490942769e-08   1  0  3  1  0  0  0
    5 -5.6037602249350036e-09   0  1  3  1  0  0  0
    5 -1.2194607282022010e-08   3  0  0  2  0  0  0
    5  4.6008555212521525e-08   2  1  0  2  0  0  0
    5 -1.1355218018120459e-07   1  2  0  2  0  0  0
    5 -6.2561994957431323e-08   0  3  0  2  0  0  0
    5  4.5275682021068753e-08   1  0  2  2  0  0  0
    5  4.5275682021068753e-08   0  1  2  2  0  0  0
    5 -5.6037602249350036e-09   1  0  1  3  0  0  0
    5 -5.7833525490942769e-08   0  1  1  3  0  0  0
    5 -3.7876003379560353e-08   1  0  0  4  0  0  0
    5 -1.8392758295465269e-09   0  1  0  4  0  0  0
    5  4.2673658417498608e-08   4  0  0  0  1  0  0
    5  8.2788831724275940e-08   3  1  0  0  1  0  0
    5  1.7399638671326497e-07   2  2  0  0  1  0  0
    5  8.2788831724275940e-08   1  3  0  0  1  0  0
    5  4.2673658417498608e-08   0  4  0  0  1  0  0
    5 -1.0520599958628986e-07   2  0  2  0  1  0  0
    5 -1.1124110905803463e-07   1  1  2  0  1  0  0
    5 -1.1235866398903763e-08   0  2  2  0  1  0  0
    5 -9.3716937533386683e-10   0  0  4  0  1  0  0
    5  4.9962683507794912e-08   2  0  1  1  1  0  0
    5  7.8002301423074355e-08   1  1  1  1  1  0  0
    5  4.9962683507794912e-08   0  2  1  1  1  0  0
    5 -2.7655902436266991e-08   0  0  3  1  1  0  0
    5 -1.1235866398903763e-08   2  0  0  2  1  0  0
    5 -1.1124110905803463e-07   1  1  0  2  1  0  0
    5 -1.0520599958628986e-07   0  2  0  2  1  0  0
    5  3.9855244320728046e-08   0  0  2  2  1  0  0
    5 -2.7655902436266991e-08   0  0  1  3  1  0  0
    5 -9.3716937533386683e-10   0  0  0  4  1  0  0
    5 -2.0955952884715567e-09   3  0  0  0  2  0  0
    5 -8.6066177125015715e-08   2  1  0  0  2  0  0
    5 -8.6066177125015715e-08   1  2  0  0  2  0  0
    5 -2.0955952884715567e-09   0  3  0  0  2  0  0
    5  7.1712790876872258e-08   1  0  2  0  2  0  0
    5 -2.8924358694711641e-08   0  1  2  0  2  0  0
    5  6.1447332659969487e-08   1  0  1  1  2  0  0
    5  6.1447332659969487e-08   0  1  1  1  2  0  0
    5 -2.8924358694711641e-08   1  0  0  2  2  0  0
    5  7.1712790876872258e-08   0  1  0  2  2  0  0
    5 -1.0980766880023839e-07   2  0  0  0  3  0  0
    5  1.8373499934901838e-07   1  1  0  0  3  0  0
    5 -1.0980766880023839e-07   0  2  0  0  3  0  0
    5 -8.4753585903201736e-09   0  0  2  0  3  0  0
    5  5.3680044279522562e-10   0  0  1  1  3  0  0
    5 -8.4753585903201736e-09   0  0  0  2  3  0  0
    5  2.5453623162699974e-08   1  0  0  0  4  0  0
    5  2.5453623162699974e-08   0  1  0  0  4  0  0
    5  7.7589671999692385e-09   0  0  0  0  5  0  0
    6 -4.3777261113282798e-09   6  0  0  0  0  0  0
    6 -8.9017415520964748e-09   5  1  0  0  0  0  0
    6 -8.6202968952451780e-10   4  2  0  0  0  0  0
    6 -6.6581206579023132e-08   3  3  0  0  0  0  0
    6 -8.6202968952451780e-10   2  4  0  0  0  0  0
    6 -8.9017415520964748e-09   1  5  0  0  0  0  0
    6 -4.3777261113282798e-09   0  6  0  0  0  0  0
    6  2.2877388586152241e-09   4  0  2  0  0  0  0
    6  6.9770422827678844e-08   3  1  2  0  0  0  0
    6  9.0594915334098588e-08   2  2  2  0  0  0  0
    6 -7.0871541852266175e-09   1  3  2  0  0  0  0
    6 -8.5542864871046666e-09   0  4  2  0  0  0  0
    6 -2.6673379120380880e-08   2  0  4  0  0  0  0
    6  3.4592102908956178e-09   1  1  4  0  0  0  0
    6  3.0146664540848970e-09   0  2  4  0  0  0  0
    6 -1.9317479733144279e-09   0  0  6  0  0  0  0
    6 -2.2647881340804551e-08   4  0  1  1  0  0  0
    6 -3.2148601267454823e-08   3  1  1  1  0  0  0
    6 -1.9810399926519634e-07   2  2  1  1  0  0  0
    6 -3.2148601267454823e-08   1  3  1  1  0  0  0
    6 -2.2647881340804551e-08   0  4  1  1  0  0  0
    6  5.0869780584452099e-08   2  0  3  1  0  0  0
    6  8.3220128792815164e-08   1  1  3  1  0  0  0
    6 -3.0428617102195300e-08   0  2  3  1  0  0  0
    6 -2.2373709785739397e-10   0  0  5  1  0  0  0
    6 -8.5542864871046666e-09   4  0  0  2  0  0  0
    6 -7.0871541852266175e-09   3  1  0  2  0  0  0
    6  9.0594915334098588e-08   2  2  0  2  0  0  0
    6  6.9770422827678844e-08   1  3  0  2  0  0  0
    6  2.2877388586152241e-09   0  4  0  2  0  0  0
    6 -2.8102997174217994e-08   2  0  2  2  0  0  0
    6 -1.0975114304706370e-07   1  1  2  2  0  0  0
    6 -2.8102997174217994e-08   0  2  2  2  0  0  0
    6  8.5913208049382984e-09   0  0  4  2  0  0  0
    6 -3.0428617102195300e-08   2  0  1  3  0  0  0
    6  8.3220128792815164e-08   1  1  1  3  0  0  0
    6  5.0869780584452099e-08   0  2  1  3  0  0  0
    6 -1.9961455343788887e-08   0  0  3  3  0  0  0
    6  3.0146664540848970e-09   2  0  0  4  0  0  0
    6  3.4592102908956178e-09   1  1  0  4  0  0  0
    6 -2.6673379120380880e-08   0  2  0  4  0  0  0
    6  8.5913208049382984e-09   0  0  2  4  0  0  0
    6 -2.2373709785739397e-10   0  0  1  5  0  0  0
    6 -1.9317479733144279e-09   0  0  0  6  0  0  0
    6  1.6498374049176473e-08   5  0  0  0  1  0  0
