
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3825415166261782e-05   1  1  0  0  0  0  0
    2 -4.0772194708693144e-06   0  0  1  1  0  0  0
    2  8.6189624646016180e-06   0  0  0  0  2  0  0
    3 -5.4196162619123843e-07   3  0  0  0  0  0  0
    3 -1.2189995557589719e-06   2  1  0  0  0  0  0
    3 -1.2189995557589719e-06   1  2  0  0  0  0  0
    3 -5.4196162619123843e-07   0  3  0  0  0  0  0
    3  2.1432184784289785e-06   1  0  2  0  0  0  0
    3 -7.9173141741803396e-09   0  1  2  0  0  0  0
    3 -6.1113046060296657e-07   1  0  1  1  0  0  0
    3 -6.1113046060296657e-07   0  1  1  1  0  0  0
    3 -7.9173141741803396e-09   1  0  0  2  0  0  0
    3  2.1432184784289785e-06   0  1  0  2  0  0  0
    3 -1.2312063693816742e-06   2  0  0  0  1  0  0
    3 -5.2455345252617575e-07   1  1  0  0  1  0  0
    3 -1.2312063693816742e-06   0  2  0  0  1  0  0
    3  3.9789046658902896e-07   0  0  2  0  1  0  0
    3 -4.4080995295903561e-07   0  0  1  1  1  0  0
    3  3.9789046658902896e-07   0  0  0  2  1  0  0
    3  3.4133566044842459e-23   1  0  0  0  2  0  0
    3  3.4133566044842459e-23   0  1  0  0  2  0  0
    3 -1.3365660693304511e-07   0  0  0  0  3  0  0
    4 -3.3355842199203876e-07   4  0  0  0  0  0  0
    4 -2.2690240965705622e-07   3  1  0  0  0  0  0
    4 -3.0945958967458139e-07   2  2  0  0  0  0  0
    4 -2.2690240965705622e-07   1  3  0  0  0  0  0
    4 -3.3355842199203876e-07   0  4  0  0  0  0  0
    4 -1.5793393654580042e-07   2  0  2  0  0  0  0
    4  1.6586502741155761e-07   1  1  2  0  0  0  0
    4 -7.5501969322570121e-08   0  2  2  0  0  0  0
    4  5.5894280210713376e-08   0  0  4  0  0  0  0
    4 -4.3670009499040482e-07   2  0  1  1  0  0  0
    4 -9.2750899885095126e-07   1  1  1  1  0  0  0
    4 -4.3670009499040482e-07   0  2  1  1  0  0  0
    4 -5.0645708699866877e-08   0  0  3  1  0  0  0
    4 -7.5501969322570121e-08   2  0  0  2  0  0  0
    4  1.6586502741155761e-07   1  1  0  2  0  0  0
    4 -1.5793393654580042e-07   0  2  0  2  0  0  0
    4 -1.7250157321362608e-07   0  0  2  2  0  0  0
    4 -5.0645708699866877e-08   0  0  1  3  0  0  0
    4  5.5894280210713376e-08   0  0  0  4  0  0  0
    4  1.7139078418727879e-07   3  0  0  0  1  0  0
    4 -7.3900374664618076e-07   2  1  0  0  1  0  0
    4 -7.3900374664618076e-07   1  2  0  0  1  0  0
    4  1.7139078418727879e-07   0  3  0  0  1  0  0
    4  3.6780420966342373e-08   1  0  2  0  1  0  0
    4  2.0557078016305885e-07   0  1  2  0  1  0  0
    4 -4.9245374250271645e-07   1  0  1  1  1  0  0
    4 -4.9245374250271645e-07   0  1  1  1  1  0  0
    4  2.0557078016305885e-07   1  0  0  2  1  0  0
    4  3.6780420966342373e-08   0  1  0  2  1  0  0
    4 -4.0149767568010268e-07   2  0  0  0  2  0  0
    4 -1.0349047279914350e-07   1  1  0  0  2  0  0
    4 -4.0149767568010268e-07   0  2  0  0  2  0  0
    4  2.5825189319083039e-07   0  0  2  0  2  0  0
    4 -3.3399145635054843e-09   0  0  1  1  2  0  0
    4  2.5825189319083039e-07   0  0  0  2  2  0  0
    4  1.6990027539428578e-22   1  0  0  0  3  0  0
    4  1.6990027539428578e-22   0  1  0  0  3  0  0
    4  2.4442696269969476e-07   0  0  0  0  4  0  0
    5  2.5399713685381266e-07   5  0  0  0  0  0  0
    5 -8.6253892275715436e-08   4  1  0  0  0  0  0
    5  3.0919336735880825e-09   3  2  0  0  0  0  0
    5  3.0919336735880825e-09   2  3  0  0  0  0  0
    5 -8.6253892275715436e-08   1  4  0  0  0  0  0
    5  2.5399713685381266e-07   0  5  0  0  0  0  0
    5  9.8301906451323816e-08   3  0  2  0  0  0  0
    5  1.8355781101324128e-08   2  1  2  0  0  0  0
    5  1.8620531822254088e-08   1  2  2  0  0  0  0
    5  1.3802481490879597e-08   0  3  2  0  0  0  0
    5 -6.3144623242178588e-08   1  0  4  0  0  0  0
    5 -1.2202933174664912e-08   0  1  4  0  0  0  0
    5 -4.7377184291506621e-08   3  0  1  1  0  0  0
    5  2.3768965611811168e-07   2  1  1  1  0  0  0
    5  2.3768965611811168e-07   1  2  1  1  0  0  0
    5 -4.7377184291506621e-08   0  3  1  1  0  0  0
    5 -1.0409611101413464e-09   1  0  3  1  0  0  0
    5 -8.8744871749170619e-09   0  1  3  1  0  0  0
    5  1.3802481490879597e-08   3  0  0  2  0  0  0
    5  1.8620531822254088e-08   2  1  0  2  0  0  0
    5  1.8355781101324128e-08   1  2  0  2  0  0  0
    5  9.8301906451323816e-08   0  3  0  2  0  0  0
    5  1.2565917029630330e-07   1  0  2  2  0  0  0
    5  1.2565917029630330e-07   0  1  2  2  0  0  0
    5 -8.8744871749170619e-09   1  0  1  3  0  0  0
    5 -1.0409611101413464e-09   0  1  1  3  0  0  0
    5 -1.2202933174664912e-08   1  0  0  4  0  0  0
    5 -6.3144623242178588e-08   0  1  0  4  0  0  0
    5 -2.2322895169898930e-07   4  0  0  0  1  0  0
    5 -6.3852331114815122e-08   3  1  0  0  1  0  0
    5  2.7836374901324797e-07   2  2  0  0  1  0  0
    5 -6.3852331114815122e-08   1  3  0  0  1  0  0
    5 -2.2322895169898930e-07   0  4  0  0  1  0  0
    5  3.6376822086012230e-09   2  0  2  0  1  0  0
    5 -1.9811593028156541e-09   1  1  2  0  1  0  0
    5 -2.8693369194062921e-08   0  2  2  0  1  0  0
    5 -2.1944276488505722e-08   0  0  4  0  1  0  0
    5 -8.6715333587733017e-09   2  0  1  1  1  0  0
    5 -1.5885431507390760e-07   1  1  1  1  1  0  0
    5 -8.6715333587733017e-09   0  2  1  1  1  0  0
    5  1.5776402730858601e-08   0  0  3  1  1  0  0
    5 -2.8693369194062921e-08   2  0  0  2  1  0  0
    5 -1.9811593028156541e-09   1  1  0  2  1  0  0
    5  3.6376822086012230e-09   0  2  0  2  1  0  0
    5  3.1493058843083618e-08   0  0  2  2  1  0  0
    5  1.5776402730858601e-08   0  0  1  3  1  0  0
    5 -2.1944276488505722e-08   0  0  0  4  1  0  0
    5  7.2330272251591834e-08   3  0  0  0  2  0  0
    5 -3.8464378745049750e-07   2  1  0  0  2  0  0
    5 -3.8464378745049750e-07   1  2  0  0  2  0  0
    5  7.2330272251591834e-08   0  3  0  0  2  0  0
    5 -1.7598099401064219e-08   1  0  2  0  2  0  0
    5 -1.9455291271465868e-08   0  1  2  0  2  0  0
    5 -1.1996068307883451e-07   1  0  1  1  2  0  0
    5 -1.1996068307883451e-07   0  1  1  1  2  0  0
    5 -1.9455291271465868e-08   1  0  0  2  2  0  0
    5 -1.7598099401064219e-08   0  1  0  2  2  0  0
    5  8.5427440303408693e-09   2  0  0  0  3  0  0
    5  3.1215870774266476e-08   1  1  0  0  3  0  0
    5  8.5427440303408693e-09   0  2  0  0  3  0  0
    5 -4.7346398286630643e-08   0  0  2  0  3  0  0
    5 -9.1415857185668338e-08   0  0  1  1  3  0  0
    5 -4.7346398286630643e-08   0  0  0  2  3  0  0
    5 -6.3534216881981548e-22   1  0  0  0  4  0  0
    5 -6.3534216881981548e-22   0  1  0  0  4  0  0
    5 -6.1634563510922821e-08   0  0  0  0  5  0  0
    6 -9.3582635193981078e-08   6  0  0  0  0  0  0
    6  2.5820687950392212e-07   5  1  0  0  0  0  0
    6  2.5663045814333916e-08   4  2  0  0  0  0  0
    6 -1.5090146828200738e-07   3  3  0  0  0  0  0
    6  2.5663045814333916e-08   2  4  0  0  0  0  0
    6  2.5820687950392212e-07   1  5  0  0  0  0  0
    6 -9.3582635193981078e-08   0  6  0  0  0  0  0
    6 -8.9603298747528437e-07   4  0  2  0  0  0  0
    6 -2.1288469313121431e-08   3  1  2  0  0  0  0
    6  1.7513787419737835e-08   2  2  2  0  0  0  0
    6  1.7410623233622915e-08   1  3  2  0  0  0  0
    6 -1.5691224587160906e-07   0  4  2  0  0  0  0
    6  2.7127773328410172e-08   2  0  4  0  0  0  0
    6 -1.7880970603370842e-09   1  1  4  0  0  0  0
    6 -1.6148194641722300e-09   0  2  4  0  0  0  0
    6 -2.4902886792221487e-09   0  0  6  0  0  0  0
    6  1.3248136762425491e-08   4  0  1  1  0  0  0
    6 -9.5033025554624243e-08   3  1  1  1  0  0  0
    6 -1.1499072356596039e-07   2  2  1  1  0  0  0
    6 -9.5033025554624243e-08   1  3  1  1  0  0  0
    6  1.3248136762425491e-08   0  4  1  1  0  0  0
    6 -1.1604560748580130e-08   2  0  3  1  0  0  0
    6  3.2580968531924494e-09   1  1  3  1  0  0  0
    6  1.5498528734555264e-08   0  2  3  1  0  0  0
    6  1.7057664335455149e-09   0  0  5  1  0  0  0
    6 -1.5691224587160906e-07   4  0  0  2  0  0  0
    6  1.7410623233622915e-08   3  1  0  2  0  0  0
    6  1.7513787419737835e-08   2  2  0  2  0  0  0
    6 -2.1288469313121431e-08   1  3  0  2  0  0  0
    6 -8.9603298747528437e-07   0  4  0  2  0  0  0
    6 -4.0357317509774465e-08   2  0  2  2  0  0  0
    6 -4.8919434988694697e-08   1  1  2  2  0  0  0
    6 -4.0357317509774465e-08   0  2  2  2  0  0  0
    6  3.3045591549411573e-09   0  0  4  2  0  0  0
    6  1.5498528734555264e-08   2  0  1  3  0  0  0
    6  3.2580968531924494e-09   1  1  1  3  0  0  0
    6 -1.1604560748580130e-08   0  2  1  3  0  0  0
    6 -1.1622693846558604e-08   0  0  3  3  0  0  0
    6 -1.6148194641722300e-09   2  0  0  4  0  0  0
    6 -1.7880970603370842e-09   1  1  0  4  0  0  0
    6  2.7127773328410172e-08   0  2  0  4  0  0  0
    6  3.3045591549411573e-09   0  0  2  4  0  0  0
