
tpsa, NO = 8, NV = 7, INA = 48094
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.6239559218457811e-01   1  1  0  0  0  0  0
    2 -2.3245650129590897e-01   0  0  1  1  0  0  0
    2  9.5766249606684655e-03   0  0  0  0  2  0  0
    3 -8.3773709659597051e-01   1  1  0  0  1  0  0
    3 -8.3773709128150786e-01   0  0  1  1  1  0  0
    3 -4.9502447012238927e-03   0  0  0  0  3  0  0
    4  2.0186387385767887e+02   2  2  0  0  0  0  0
    4  2.2045773596510406e+02   1  1  1  1  0  0  0
    4  2.6534008823385557e+02   0  0  2  2  0  0  0
    4  6.1680561969176333e+00   1  1  0  0  2  0  0
    4  1.1312557445823899e+01   0  0  1  1  2  0  0
    4  3.0176168234530215e-01   0  0  0  0  4  0  0
    5  3.9618315360966299e+04   2  2  0  0  1  0  0
    5  1.6918575491143685e+04   1  1  1  1  1  0  0
    5 -7.0133177598742550e+03   0  0  2  2  1  0  0
    5  2.9480733100788149e+02   1  1  0  0  3  0  0
    5 -1.0254622272673247e+02   0  0  1  1  3  0  0
    5 -2.5364017905729557e+00   0  0  0  0  5  0  0
    6 -5.8207660913467407e-11   6  0  0  0  0  0  0
    6 -1.8338837426234078e+07   3  3  0  0  0  0  0
    6 -5.8207660913467407e-11   0  6  0  0  0  0  0
    6 -2.6334877113256428e+07   2  2  1  1  0  0  0
    6 -1.6824422683747545e+07   1  1  2  2  0  0  0
    6  2.9103830456733704e-11   0  0  4  2  0  0  0
    6 -9.9810826309422706e+05   0  0  3  3  0  0  0
    6  2.9103830456733704e-11   0  0  2  4  0  0  0
    6 -3.0924583721504378e+05   2  2  0  0  2  0  0
    6 -1.0024316046108489e+05   1  1  1  1  2  0  0
    6  2.5340062391370411e+04   0  0  2  2  2  0  0
    6 -1.2984001365998396e+04   1  1  0  0  4  0  0
    6  3.3829366882208906e+03   0  0  1  1  4  0  0
    6 -1.0973372731473465e+00   0  0  0  0  6  0  0
    7 -3.7252902984619141e-09   5  1  0  0  1  0  0
    7  1.0647537734099695e+08   3  3  0  0  1  0  0
    7 -3.7252902984619141e-09   1  5  0  0  1  0  0
    7 -5.8207660913467407e-11   0  0  6  0  1  0  0
    7  4.4995646243698728e+08   2  2  1  1  1  0  0
    7 -7.4505805969238281e-09   2  0  2  2  1  0  0
    7  3.8838328638398039e+08   1  1  2  2  1  0  0
    7 -7.4505805969238281e-09   0  2  2  2  1  0  0
    7 -9.3132257461547852e-10   0  0  4  2  1  0  0
    7  2.9111873273608793e+07   0  0  3  3  1  0  0
    7 -9.3132257461547852e-10   0  0  2  4  1  0  0
    7 -5.8207660913467407e-11   0  0  0  6  1  0  0
    7  7.8509875418015905e+06   2  2  0  0  3  0  0
    7  4.5713794528490480e+05   1  1  1  1  3  0  0
    7 -1.3782935000315229e+06   0  0  2  2  3  0  0
    7  3.9708178368507465e+05   1  1  0  0  5  0  0
    7 -2.9341986237841560e+04   0  0  1  1  5  0  0
    7  5.1056298204143104e+02   0  0  0  0  7  0  0
    8 -7.4505805969238281e-09   8  0  0  0  0  0  0
    8  2.3841857910156250e-07   6  2  0  0  0  0  0
    8  1.5551929520327797e+10   4  4  0  0  0  0  0
    8  2.3841857910156250e-07   2  6  0  0  0  0  0
    8 -7.4505805969238281e-09   0  8  0  0  0  0  0
    8 -1.4901161193847656e-08   0  0  8  0  0  0  0
    8  9.5367431640625000e-07   6  0  1  1  0  0  0
    8 -2.8385861011166217e+11   3  3  1  1  0  0  0
    8  9.5367431640625000e-07   0  6  1  1  0  0  0
    8  1.9073486328125000e-06   4  0  2  2  0  0  0
    8 -7.6293945312500000e-06   3  1  2  2  0  0  0
    8 -5.8088671698854370e+11   2  2  2  2  0  0  0
    8 -7.6293945312500000e-06   1  3  2  2  0  0  0
    8  1.9073486328125000e-06   0  4  2  2  0  0  0
    8 -1.6972177717719098e+11   1  1  3  3  0  0  0
    8 -1.8295493078383518e+10   0  0  4  4  0  0  0
    8 -1.4901161193847656e-08   0  0  0  8  0  0  0
    8  3.7252902984619141e-09   6  0  0  0  2  0  0
    8  1.7277154492001338e+09   3  3  0  0  2  0  0
    8  3.7252902984619141e-09   0  6  0  0  2  0  0
    8  1.0490535672842760e+09   2  2  1  1  2  0  0
    8 -7.4505805969238281e-09   0  0  5  1  2  0  0
    8 -3.1843715011759729e+09   1  1  2  2  2  0  0
    8  1.9172432066103929e+08   0  0  3  3  2  0  0
    8 -7.4505805969238281e-09   0  0  1  5  2  0  0
    8 -2.4967921518243569e+08   2  2  0  0  4  0  0
    8 -3.0237139375692165e+08   1  1  1  1  4  0  0
    8  4.1933716764015689e+07   0  0  2  2  4  0  0
    8 -7.5080877437052103e+06   1  1  0  0  6  0  0
    8 -2.0243295224586062e+05   0  0  1  1  6  0  0
    8 -1.3664105421317472e+04   0  0  0  0  8  0  0
  -81  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50244
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3825415166261782e-05   1  1  0  0  0  0  0
    2 -4.0772194708693144e-06   0  0  1  1  0  0  0
    2  8.6189624646016180e-06   0  0  0  0  2  0  0
    3 -5.2455345252617586e-07   1  1  0  0  1  0  0
    3 -4.4080995295903561e-07   0  0  1  1  1  0  0
    3 -1.3365660693304511e-07   0  0  0  0  3  0  0
    4  8.7938711717210803e-08   2  2  0  0  0  0  0
    4  8.0706494387947430e-08   1  1  1  1  0  0  0
    4  8.1629597368546435e-08   0  0  2  2  0  0  0
    4  1.1586481677660668e-07   1  1  0  0  2  0  0
    4  1.7857707271544190e-07   0  0  1  1  2  0  0
    4  2.4442696269969476e-07   0  0  0  0  4  0  0
    5  5.1777223135615004e-07   2  2  0  0  1  0  0
    5  1.8580961724257923e-07   1  1  1  1  1  0  0
    5 -6.4727607739202357e-08   0  0  2  2  1  0  0
    5  1.6613563317742624e-07   1  1  0  0  3  0  0
    5 -4.8563035441625288e-08   0  0  1  1  3  0  0
    5 -6.1634563510922821e-08   0  0  0  0  5  0  0
    6 -5.2925185757851535e-25   6  0  0  0  0  0  0
    6 -1.6674546994928558e-07   3  3  0  0  0  0  0
    6 -5.2925185757851535e-25   0  6  0  0  0  0  0
    6 -2.0122187174084104e-07   2  2  1  1  0  0  0
    6 -1.0803033024366017e-07   1  1  2  2  0  0  0
    6  1.5704254672365244e-25   0  0  4  2  0  0  0
    6 -5.3857331176822060e-09   0  0  3  3  0  0  0
    6  1.5704254672365244e-25   0  0  2  4  0  0  0
    6 -1.2124612496536649e-07   2  2  0  0  2  0  0
    6 -3.3027857374063441e-08   1  1  1  1  2  0  0
    6  7.0160871418363306e-09   0  0  2  2  2  0  0
    6 -2.1951000479622148e-07   1  1  0  0  4  0  0
    6  4.8061938290395496e-08   0  0  1  1  4  0  0
    6 -7.9995887212441553e-10   0  0  0  0  6  0  0
    7 -1.0161635665507494e-24   5  1  0  0  1  0  0
    7  2.9043749753767133e-08   3  3  0  0  1  0  0
    7 -1.0161635665507494e-24   1  5  0  0  1  0  0
    7  1.0314202096035017e-07   2  2  1  1  1  0  0
    7 -1.4352148020571546e-24   2  0  2  2  1  0  0
    7  7.4814765673434186e-08   1  1  2  2  1  0  0
    7 -1.4352148020571546e-24   0  2  2  2  1  0  0
    7 -1.5076084485470634e-25   0  0  4  2  1  0  0
    7  4.7125783586256295e-09   0  0  3  3  1  0  0
    7 -1.5076084485470634e-25   0  0  2  4  1  0  0
    7  9.2344184015600152e-08   2  2  0  0  3  0  0
    7  4.5184988544939727e-09   1  1  1  1  3  0  0
    7 -1.1448543993965422e-08   0  0  2  2  3  0  0
    7  2.0139421227140453e-07   1  1  0  0  5  0  0
    7 -1.2505992826804209e-08   0  0  1  1  5  0  0
    7  1.1166012417246097e-08   0  0  0  0  7  0  0
    8  2.9513945489687960e-09   4  4  0  0  0  0  0
    8  1.5209142286034212e-25   6  0  1  1  0  0  0
    8 -4.5269605315291958e-08   3  3  1  1  0  0  0
    8  1.5209142286034212e-25   0  6  1  1  0  0  0
    8  2.5562090215584556e-25   4  0  2  2  0  0  0
    8 -1.0224836086233823e-24   3  1  2  2  0  0  0
    8 -7.7849840397560778e-08   2  2  2  2  0  0  0
    8 -1.0224836086233823e-24   1  3  2  2  0  0  0
    8  2.5562090215584556e-25   0  4  2  2  0  0  0
    8 -1.9114612413548949e-08   1  1  3  3  0  0  0
    8 -1.7315446262758645e-09   0  0  4  4  0  0  0
    8  1.4138292741123300e-08   3  3  0  0  2  0  0
    8  7.2141316366036841e-09   2  2  1  1  2  0  0
    8 -1.8402285785447398e-08   1  1  2  2  2  0  0
    8  9.3107977890432598e-10   0  0  3  3  2  0  0
    8 -8.8102636524067035e-08   2  2  0  0  4  0  0
    8 -8.9662090649960668e-08   1  1  1  1  4  0  0
    8  1.0449443486289510e-08   0  0  2  2  4  0  0
    8 -1.1423984772925255e-07   1  1  0  0  6  0  0
    8 -2.5883984419199581e-09   0  0  1  1  6  0  0
    8 -8.9650195669263917e-09   0  0  0  0  8  0  0
  -69  0.0000000000000000e+00   0  0  0  0  0  0  0
