
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  1.7003902502041616e-08   3  0  0  0  0  0  0
    3 -8.2988451026384146e-07   2  1  0  0  0  0  0
    3 -8.2988451026384146e-07   1  2  0  0  0  0  0
    3  1.7003902502041616e-08   0  3  0  0  0  0  0
    3  8.6568359883934436e-07   1  0  2  0  0  0  0
    3 -7.5194452739095463e-08   0  1  2  0  0  0  0
    3 -5.2847719560609386e-07   1  0  1  1  0  0  0
    3 -5.2847719560609386e-07   0  1  1  1  0  0  0
    3 -7.5194452739095463e-08   1  0  0  2  0  0  0
    3  8.6568359883934436e-07   0  1  0  2  0  0  0
    3 -2.3490539359321798e-07   2  0  0  0  1  0  0
    3 -5.2455345252617300e-07   1  1  0  0  1  0  0
    3 -2.3490539359321798e-07   0  2  0  0  1  0  0
    3  1.4365334406646014e-07   0  0  2  0  1  0  0
    3 -4.4080995295903312e-07   0  0  1  1  1  0  0
    3  1.4365334406646014e-07   0  0  0  2  1  0  0
    3  1.4428115080871425e-06   1  0  0  0  2  0  0
    3  1.4428115080871425e-06   0  1  0  0  2  0  0
    3 -1.3365660693304469e-07   0  0  0  0  3  0  0
    4  1.9545457460396352e-08   4  0  0  0  0  0  0
    4  1.1499567468044018e-08   3  1  0  0  0  0  0
    4 -1.3656223456775745e-07   2  2  0  0  0  0  0
    4  1.1499567468044018e-08   1  3  0  0  0  0  0
    4  1.9545457460396352e-08   0  4  0  0  0  0  0
    4  6.6237337072385614e-09   2  0  2  0  0  0  0
    4 -5.2017876557142125e-08   1  1  2  0  0  0  0
    4 -1.8601789073599012e-07   0  2  2  0  0  0  0
    4  2.6508534674253519e-08   0  0  4  0  0  0  0
    4 -1.3914524004524717e-07   2  0  1  1  0  0  0
    4 -2.6058546750190164e-07   1  1  1  1  0  0  0
    4 -1.3914524004524717e-07   0  2  1  1  0  0  0
    4 -4.8361044981575746e-08   0  0  3  1  0  0  0
    4 -1.8601789073599012e-07   2  0  0  2  0  0  0
    4 -5.2017876557142125e-08   1  1  0  2  0  0  0
    4  6.6237337072385614e-09   0  2  0  2  0  0  0
    4 -3.5137784665978527e-08   0  0  2  2  0  0  0
    4 -4.8361044981575746e-08   0  0  1  3  0  0  0
    4  2.6508534674253519e-08   0  0  0  4  0  0  0
    4 -3.2940645422186539e-08   3  0  0  0  1  0  0
    4 -3.1109519491865415e-07   2  1  0  0  1  0  0
    4 -3.1109519491865415e-07   1  2  0  0  1  0  0
    4 -3.2940645422186539e-08   0  3  0  0  1  0  0
    4  4.0116488060748631e-08   1  0  2  0  1  0  0
    4  8.2610561069028414e-08   0  1  2  0  1  0  0
    4 -2.9912418628722028e-07   1  0  1  1  1  0  0
    4 -2.9912418628722028e-07   0  1  1  1  1  0  0
    4  8.2610561069028414e-08   1  0  0  2  1  0  0
    4  4.0116488060748631e-08   0  1  0  2  1  0  0
    4 -2.0694643476732870e-08   2  0  0  0  2  0  0
    4  5.5188626923249616e-07   1  1  0  0  2  0  0
    4 -2.0694643476732870e-08   0  2  0  0  2  0  0
    4  8.1647526800215126e-08   0  0  2  0  2  0  0
    4  1.4399514258804646e-07   0  0  1  1  2  0  0
    4  8.1647526800215126e-08   0  0  0  2  2  0  0
    4 -1.7000911948253874e-07   1  0  0  0  3  0  0
    4 -1.7000911948253874e-07   0  1  0  0  3  0  0
    4  6.1284651039311620e-08   0  0  0  0  4  0  0
    5 -1.2619299287050084e-08   5  0  0  0  0  0  0
    5 -2.2396230558121607e-08   4  1  0  0  0  0  0
    5  8.9460133405903589e-08   3  2  0  0  0  0  0
    5  8.9460133405903589e-08   2  3  0  0  0  0  0
    5 -2.2396230558121607e-08   1  4  0  0  0  0  0
    5 -1.2619299287050084e-08   0  5  0  0  0  0  0
    5 -1.0683716400727385e-07   3  0  2  0  0  0  0
    5 -8.2671111999132224e-08   2  1  2  0  0  0  0
    5 -1.0088073524265005e-08   1  2  2  0  0  0  0
    5 -2.5393230532315561e-08   0  3  2  0  0  0  0
    5 -1.4190852988897331e-08   1  0  4  0  0  0  0
    5 -4.5303718117247951e-08   0  1  4  0  0  0  0
    5 -1.1254362283319865e-07   3  0  1  1  0  0  0
    5  2.4851332640896708e-07   2  1  1  1  0  0  0
    5  2.4851332640896708e-07   1  2  1  1  0  0  0
    5 -1.1254362283319865e-07   0  3  1  1  0  0  0
    5 -6.7145361154588644e-08   1  0  3  1  0  0  0
    5 -2.7102409187263720e-08   0  1  3  1  0  0  0
    5 -2.5393230532315561e-08   3  0  0  2  0  0  0
    5 -1.0088073524265005e-08   2  1  0  2  0  0  0
    5 -8.2671111999132224e-08   1  2  0  2  0  0  0
    5 -1.0683716400727385e-07   0  3  0  2  0  0  0
    5  5.4347952459353123e-08   1  0  2  2  0  0  0
    5  5.4347952459353123e-08   0  1  2  2  0  0  0
    5 -2.7102409187263720e-08   1  0  1  3  0  0  0
    5 -6.7145361154588644e-08   0  1  1  3  0  0  0
    5 -4.5303718117247951e-08   1  0  0  4  0  0  0
    5 -1.4190852988897331e-08   0  1  0  4  0  0  0
    5  3.9257463914590486e-08   4  0  0  0  1  0  0
    5  7.0423514564131043e-08   3  1  0  0  1  0  0
    5  3.7912292572233503e-07   2  2  0  0  1  0  0
    5  7.0423514564131043e-08   1  3  0  0  1  0  0
    5  3.9257463914590486e-08   0  4  0  0  1  0  0
    5 -1.2616879279310308e-07   2  0  2  0  1  0  0
    5 -1.3929490349797487e-07   1  1  2  0  1  0  0
    5  1.0769592820598040e-08   0  2  2  0  1  0  0
    5  7.7911894580276572e-09   0  0  4  0  1  0  0
    5  3.8750251946434709e-09   2  0  1  1  1  0  0
    5  1.0792460003056459e-07   1  1  1  1  1  0  0
    5  3.8750251946434709e-09   0  2  1  1  1  0  0
    5 -3.6916637054503373e-08   0  0  3  1  1  0  0
    5  1.0769592820598040e-08   2  0  0  2  1  0  0
    5 -1.3929490349797487e-07   1  1  0  2  1  0  0
    5 -1.2616879279310308e-07   0  2  0  2  1  0  0
    5  3.2439838218301652e-08   0  0  2  2  1  0  0
    5 -3.6916637054503373e-08   0  0  1  3  1  0  0
    5  7.7911894580276572e-09   0  0  0  4  1  0  0
    5  5.5790965136214934e-09   3  0  0  0  2  0  0
    5 -1.0105341620341208e-07   2  1  0  0  2  0  0
    5 -1.0105341620341208e-07   1  2  0  0  2  0  0
    5  5.5790965136214934e-09   0  3  0  0  2  0  0
    5  5.3657445964674887e-08   1  0  2  0  2  0  0
    5 -6.7803554863251484e-08   0  1  2  0  2  0  0
    5  1.3450236674929802e-07   1  0  1  1  2  0  0
    5  1.3450236674929802e-07   0  1  1  1  2  0  0
    5 -6.7803554863251484e-08   1  0  0  2  2  0  0
    5  5.3657445964674887e-08   0  1  0  2  2  0  0
    5 -1.3323151581858823e-07   2  0  0  0  3  0  0
    5  2.1692246771272694e-07   1  1  0  0  3  0  0
    5 -1.3323151581858823e-07   0  2  0  0  3  0  0
    5  9.8202707812818522e-09   0  0  2  0  3  0  0
    5 -1.4675540407418938e-08   0  0  1  1  3  0  0
    5  9.8202707812818522e-09   0  0  0  2  3  0  0
    5  2.3307381901932065e-08   1  0  0  0  4  0  0
    5  2.3307381901932065e-08   0  1  0  0  4  0  0
    5  8.7885303281008434e-09   0  0  0  0  5  0  0
    6 -2.4938269130601166e-09   6  0  0  0  0  0  0
    6 -8.0129145998377829e-09   5  1  0  0  0  0  0
    6 -1.6688163082326020e-09   4  2  0  0  0  0  0
    6 -1.0277487836962046e-07   3  3  0  0  0  0  0
    6 -1.6688163082326020e-09   2  4  0  0  0  0  0
    6 -8.0129145998377829e-09   1  5  0  0  0  0  0
    6 -2.4938269130601166e-09   0  6  0  0  0  0  0
    6 -6.3703280966935156e-09   4  0  2  0  0  0  0
    6  9.7914798523504367e-08   3  1  2  0  0  0  0
    6  1.1838290528122874e-07   2  2  2  0  0  0  0
    6 -1.2482566049985000e-08   1  3  2  0  0  0  0
    6 -1.2055819388792380e-08   0  4  2  0  0  0  0
    6 -3.4040151467043747e-08   2  0  4  0  0  0  0
    6  3.4031307354487865e-10   1  1  4  0  0  0  0
    6 -5.2282427030989968e-09   0  2  4  0  0  0  0
    6 -2.6049457525282243e-09   0  0  6  0  0  0  0
    6 -1.8586685625128793e-08   4  0  1  1  0  0  0
    6 -4.6555222224342903e-08   3  1  1  1  0  0  0
    6 -1.7549102826656896e-07   2  2  1  1  0  0  0
    6 -4.6555222224342903e-08   1  3  1  1  0  0  0
    6 -1.8586685625128793e-08   0  4  1  1  0  0  0
    6  5.5202137817562164e-08   2  0  3  1  0  0  0
    6  8.0544500054681202e-08   1  1  3  1  0  0  0
    6 -4.1904821714291485e-08   0  2  3  1  0  0  0
    6 -1.5210203040636926e-09   0  0  5  1  0  0  0
    6 -1.2055819388792380e-08   4  0  0  2  0  0  0
    6 -1.2482566049985000e-08   3  1  0  2  0  0  0
    6  1.1838290528122874e-07   2  2  0  2  0  0  0
    6  9.7914798523504367e-08   1  3  0  2  0  0  0
    6 -6.3703280966935156e-09   0  4  0  2  0  0  0
    6 -4.5828837196280878e-08   2  0  2  2  0  0  0
    6 -1.1491330378255530e-07   1  1  2  2  0  0  0
    6 -4.5828837196280878e-08   0  2  2  2  0  0  0
    6  4.5744737433647374e-09   0  0  4  2  0  0  0
    6 -4.1904821714291485e-08   2  0  1  3  0  0  0
    6  8.0544500054681202e-08   1  1  1  3  0  0  0
    6  5.5202137817562164e-08   0  2  1  3  0  0  0
    6 -1.7425122594998689e-08   0  0  3  3  0  0  0
    6 -5.2282427030989968e-09   2  0  0  4  0  0  0
    6  3.4031307354487865e-10   1  1  0  4  0  0  0
    6 -3.4040151467043747e-08   0  2  0  4  0  0  0
    6  4.5744737433647374e-09   0  0  2  4  0  0  0
    6 -1.5210203040636926e-09   0  0  1  5  0  0  0
    6 -2.6049457525282243e-09   0  0  0  6  0  0  0
    6  1.3991228225989660e-08   5  0  0  0  1  0  0
