
tpsa, NO = 8, NV = 7, INA = 48019
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  2.4353132827981347e-01   1  0  0  0  0  0  0
    1  1.8587589915861045e+01   0  1  0  0  0  0  0
    1 -1.9437879664638334e-04   0  0  0  0  1  0  0
    2 -9.4980450458865988e+00   2  0  0  0  0  0  0
    2 -2.4057660988897214e+02   1  1  0  0  0  0  0
    2 -8.4641075923797177e+02   0  2  0  0  0  0  0
    2 -4.4566594461702245e+00   0  0  2  0  0  0  0
    2  2.9470934957002663e+02   0  0  1  1  0  0  0
    2 -2.7156134385006550e+02   0  0  0  2  0  0  0
    2 -1.7312875902814941e+00   1  0  0  0  1  0  0
    2 -1.0259517549853335e+02   0  1  0  0  1  0  0
    2  2.4875036101434786e+00   0  0  0  0  2  0  0
    3 -1.7432878101083794e+01   3  0  0  0  0  0  0
    3 -3.0662705147456149e+03   2  1  0  0  0  0  0
    3 -6.5217980537088515e+04   1  2  0  0  0  0  0
    3 -1.7519202055975693e+05   0  3  0  0  0  0  0
    3 -6.3278655671352317e+02   1  0  2  0  0  0  0
    3 -9.4341213986915664e+03   0  1  2  0  0  0  0
    3 -3.9307949295840208e+03   1  0  1  1  0  0  0
    3 -1.5571603976586359e+05   0  1  1  1  0  0  0
    3 -1.0899034215421434e+03   1  0  0  2  0  0  0
    3  1.7181469084702531e+05   0  1  0  2  0  0  0
    3 -1.7156694641862956e+02   2  0  0  0  1  0  0
    3  1.5997059032596330e+03   1  1  0  0  1  0  0
    3  1.0493132985525097e+04   0  2  0  0  1  0  0
    3 -7.0004299922733750e+01   0  0  2  0  1  0  0
    3  9.7139030805743459e+01   0  0  1  1  1  0  0
    3 -4.2116479942909154e+03   0  0  0  2  1  0  0
    3  5.9651365043326159e+01   1  0  0  0  2  0  0
    3 -1.6651251547134359e+02   0  1  0  0  2  0  0
    3 -1.5949548650224393e+01   0  0  0  0  3  0  0
    4  4.1751615861148030e+03   4  0  0  0  0  0  0
    4  1.3177610675085336e+05   3  1  0  0  0  0  0
    4  3.7168002806358533e+06   2  2  0  0  0  0  0
    4  2.8642949790383369e+07   1  3  0  0  0  0  0
    4  1.1272098396629095e+04   0  4  0  0  0  0  0
    4  1.3275933356279711e+04   2  0  2  0  0  0  0
    4 -3.9203494929340784e+05   1  1  2  0  0  0  0
    4  2.3934579103316050e+06   0  2  2  0  0  0  0
    4 -7.4929459538080955e+03   0  0  4  0  0  0  0
    4  1.5735647376290060e+05   2  0  1  1  0  0  0
    4 -6.2834229594179441e+05   1  1  1  1  0  0  0
    4 -4.5858389877723686e+07   0  2  1  1  0  0  0
    4 -5.6459370037570817e+05   0  0  3  1  0  0  0
    4  7.2587130209371843e+05   2  0  0  2  0  0  0
    4  7.0487433117040023e+06   1  1  0  2  0  0  0
    4 -1.4683768146684700e+08   0  2  0  2  0  0  0
    4 -7.1169017618942889e+04   0  0  2  2  0  0  0
    4  6.7352860620488403e+06   0  0  1  3  0  0  0
    4  1.5245482703352575e+06   0  0  0  4  0  0  0
    4  6.0515000888336272e+03   3  0  0  0  1  0  0
    4 -2.7994809347368435e+04   2  1  0  0  1  0  0
    4  5.7801848868730245e+04   1  2  0  0  1  0  0
    4 -6.2675747282121982e+06   0  3  0  0  1  0  0
    4  1.0273116373302933e+04   1  0  2  0  1  0  0
    4  6.0696531604693308e+04   0  1  2  0  1  0  0
    4 -6.2051343362283958e+04   1  0  1  1  1  0  0
    4  8.4023760906764213e+05   0  1  1  1  1  0  0
    4 -3.3177516678365020e+04   1  0  0  2  1  0  0
    4  2.0851291999843025e+06   0  1  0  2  1  0  0
    4 -3.2252763626416604e+03   2  0  0  0  2  0  0
    4  2.1246295979252420e+04   1  1  0  0  2  0  0
    4  3.5859015350550879e+05   0  2  0  0  2  0  0
    4  1.1119240092396649e+03   0  0  2  0  2  0  0
    4 -8.8913791349009716e+03   0  0  1  1  2  0  0
    4  7.2350933385484488e+04   0  0  0  2  2  0  0
    4  1.0659410342537014e+03   1  0  0  0  3  0  0
    4 -5.6107722279957252e+03   0  1  0  0  3  0  0
    4 -8.7285799238673462e+01   0  0  0  0  4  0  0
    5 -1.7888406017020336e+05   5  0  0  0  0  0  0
    5 -8.4036832297286647e+05   4  1  0  0  0  0  0
    5 -9.6209494757488936e+07   3  2  0  0  0  0  0
    5  1.8497242164826512e+07   2  3  0  0  0  0  0
    5 -6.6596174304989605e+09   1  4  0  0  0  0  0
    5  9.3989273921480591e+10   0  5  0  0  0  0  0
    5  3.4337944905498566e+05   3  0  2  0  0  0  0
    5  1.2407705875961585e+07   2  1  2  0  0  0  0
    5 -1.4053437394340020e+08   1  2  2  0  0  0  0
    5  3.7565865992533779e+08   0  3  2  0  0  0  0
    5 -1.6781801307713927e+06   1  0  4  0  0  0  0
    5  4.9722953528808393e+06   0  1  4  0  0  0  0
    5  7.1335605902920235e+06   3  0  1  1  0  0  0
    5  7.8918292811898977e+07   2  1  1  1  0  0  0
    5  2.0924467505712798e+09   1  2  1  1  0  0  0
    5  1.7266634858658268e+10   0  3  1  1  0  0  0
    5  1.1181246663269855e+07   1  0  3  1  0  0  0
    5  3.1231959576294750e+07   0  1  3  1  0  0  0
    5 -1.1795615005821904e+07   3  0  0  2  0  0  0
    5  1.7421979730859759e+08   2  1  0  2  0  0  0
    5 -5.6874285756185446e+09   1  2  0  2  0  0  0
    5  7.4941200145841217e+08   0  3  0  2  0  0  0
    5  7.6567560369177461e+06   1  0  2  2  0  0  0
    5 -1.6323259359475436e+09   0  1  2  2  0  0  0
    5  3.1272531268498009e+08   1  0  1  3  0  0  0
    5 -1.9904941068517351e+09   0  1  1  3  0  0  0
    5 -4.2387346000976540e+07   1  0  0  4  0  0  0
    5  6.8098532688649216e+09   0  1  0  4  0  0  0
    5  2.7541516675316571e+05   4  0  0  0  1  0  0
    5 -2.0485235346224797e+06   3  1  0  0  1  0  0
    5 -5.0422273150347490e+06   2  2  0  0  1  0  0
    5 -2.6540252121591073e+08   1  3  0  0  1  0  0
    5 -4.1306451414278278e+09   0  4  0  0  1  0  0
    5 -5.2976132932353637e+05   2  0  2  0  1  0  0
    5 -3.4736982722555343e+06   1  1  2  0  1  0  0
    5 -1.3977032901462930e+08   0  2  2  0  1  0  0
    5 -1.9680216833866859e+05   0  0  4  0  1  0  0
    5  2.6166416967008301e+05   2  0  1  1  1  0  0
    5  4.5935958781203441e+06   1  1  1  1  1  0  0
    5  4.9955586822890282e+08   0  2  1  1  1  0  0
    5  4.5069798783834558e+06   0  0  3  1  1  0  0
    5  1.9220336032256673e+06   2  0  0  2  1  0  0
    5 -7.2878701513237521e+07   1  1  0  2  1  0  0
    5 -3.8492454297882146e+08   0  2  0  2  1  0  0
    5 -1.3108644322030339e+05   0  0  2  2  1  0  0
    5  2.5718713929273237e+07   0  0  1  3  1  0  0
    5 -1.0263307638703145e+08   0  0  0  4  1  0  0
    5 -2.2659237714130490e+05   3  0  0  0  2  0  0
    5 -3.3938558347216062e+05   2  1  0  0  2  0  0
    5  8.4057087260337621e+06   1  2  0  0  2  0  0
    5 -3.0155478685186148e+07   0  3  0  0  2  0  0
    5  6.1955365887092812e+03   1  0  2  0  2  0  0
    5  2.2728595993531127e+06   0  1  2  0  2  0  0
    5 -4.2118697675299208e+05   1  0  1  1  2  0  0
    5  9.2608515611176379e+05   0  1  1  1  2  0  0
    5 -3.4465730742717655e+06   1  0  0  2  2  0  0
    5 -2.9714412640705187e+07   0  1  0  2  2  0  0
    5  7.6502706598807606e+04   2  0  0  0  3  0  0
    5 -6.4915440734881442e+04   1  1  0  0  3  0  0
    5 -3.1230854912000354e+06   0  2  0  0  3  0  0
    5 -1.7836551618224286e+04   0  0  2  0  3  0  0
    5  2.0651561294421999e+05   0  0  1  1  3  0  0
    5  6.6203166567415232e+05   0  0  0  2  3  0  0
    5 -1.2999626207818339e+04   1  0  0  0  4  0  0
    5  7.9615340072272404e+04   0  1  0  0  4  0  0
    5  7.0822447991736840e+02   0  0  0  0  5  0  0
    6 -5.1360181971391002e+06   6  0  0  0  0  0  0
    6 -1.2982700413533486e+05   5  1  0  0  0  0  0
    6 -6.7547902370163155e+08   4  2  0  0  0  0  0
    6 -2.1458447942303158e+10   3  3  0  0  0  0  0
    6 -2.7083339063739731e+11   2  4  0  0  0  0  0
    6 -4.4621022306589951e+12   1  5  0  0  0  0  0
    6 -4.5318660330207188e+13   0  6  0  0  0  0  0
    6  1.2925587395269409e+07   4  0  2  0  0  0  0
    6 -2.9995628785476148e+08   3  1  2  0  0  0  0
    6  7.1961046848954124e+09   2  2  2  0  0  0  0
    6 -1.0761904894457512e+10   1  3  2  0  0  0  0
    6  9.7511890997577100e+11   0  4  2  0  0  0  0
    6  6.0371554815218039e+07   2  0  4  0  0  0  0
    6 -3.2497637415757102e+08   1  1  4  0  0  0  0
    6  3.4941890894342833e+09   0  2  4  0  0  0  0
    6  2.3061345846891005e+07   0  0  6  0  0  0  0
    6 -1.6483390362343758e+08   4  0  1  1  0  0  0
    6 -1.2494539863872843e+09   3  1  1  1  0  0  0
    6 -1.0933175673600421e+11   2  2  1  1  0  0  0
    6 -1.8270191562024414e+10   1  3  1  1  0  0  0
    6  8.5585839669867383e+11   0  4  1  1  0  0  0
    6 -2.0013709086090413e+08   2  0  3  1  0  0  0
    6 -1.3940140272092099e+09   1  1  3  1  0  0  0
    6  3.9224527940065453e+10   0  2  3  1  0  0  0
    6 -7.5874210481134683e+07   0  0  5  1  0  0  0
    6 -7.7135733212710881e+08   4  0  0  2  0  0  0
    6  4.5248218598932047e+09   3  1  0  2  0  0  0
    6 -4.1016352079557724e+09   2  2  0  2  0  0  0
    6  2.3946079680354741e+12   1  3  0  2  0  0  0
    6  8.7026704452228750e+12   0  4  0  2  0  0  0
    6  3.3731704465437527e+09   2  0  2  2  0  0  0
    6  1.0466029676410477e+10   1  1  2  2  0  0  0
    6  1.2207639724581602e+12   0  2  2  2  0  0  0
