
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1  2.6665999986940264e-01   0  0  0  0  1  0  0
    2 -1.2851053342451368e+02   1  1  0  0  0  0  0
    2 -7.0173876843388456e+01   0  0  1  1  0  0  0
    2 -1.9633532660160766e+00   0  0  0  0  2  0  0
    3 -2.5221802906685418e+04   1  1  0  0  1  0  0
    3 -5.3853498389778169e+03   0  0  1  1  1  0  0
    3 -9.3840087979265860e+01   0  0  0  0  3  0  0
    4  1.7512299761662830e+07   2  2  0  0  0  0  0
    4  1.6765303473169535e+07   1  1  1  1  0  0  0
    4  5.3553800695716674e+06   0  0  2  2  0  0  0
    4  1.9687201449346330e+05   1  1  0  0  2  0  0
    4  3.1908388997071397e+04   0  0  1  1  2  0  0
    4  4.1329359970211326e+03   0  0  0  0  4  0  0
    5  5.9289836545249578e-09   4  0  0  0  1  0  0
    5 -1.0167649572836670e+08   2  2  0  0  1  0  0
    5  1.1857967309049915e-09   0  4  0  0  1  0  0
    5 -2.8645118069195700e+08   1  1  1  1  1  0  0
    5 -1.2362623968457139e+08   0  0  2  2  1  0  0
    5 -4.9980939017224461e+06   1  1  0  0  3  0  0
    5 -1.4551152733392999e+05   0  0  1  1  3  0  0
    5 -1.2639505737045271e+05   0  0  0  0  5  0  0
    6 -4.5534594466751672e-07   5  1  0  0  0  0  0
    6 -1.9801331662215504e+10   3  3  0  0  0  0  0
    6 -1.5178198155583891e-07   1  5  0  0  0  0  0
    6  2.7106500563079663e+11   2  2  1  1  0  0  0
    6  7.2855351146802675e-06   2  0  2  2  0  0  0
    6  3.6980396954059839e+11   1  1  2  2  0  0  0
    6  2.4285117048934226e-06   0  2  2  2  0  0  0
    6  5.4024119576182343e+10   0  0  3  3  0  0  0
    6 -1.6498467239786141e+09   2  2  0  0  2  0  0
    6 -6.6784824320591497e+08   1  1  1  1  2  0  0
    6  1.0136169301062306e+09   0  0  2  2  2  0  0
    6  1.5895072513435858e+08   1  1  0  0  4  0  0
    6  9.6247803931999892e+07   0  0  1  1  4  0  0
    6  2.3898985551567194e+06   0  0  0  0  6  0  0
  -36  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50241
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1  7.9997999960820798e-03   0  0  0  0  1  0  0
    2 -2.6822513597532789e-03   1  1  0  0  0  0  0
    2 -1.2308294042851279e-03   0  0  1  1  0  0  0
    2 -1.7670179394144688e-03   0  0  0  0  2  0  0
    3 -1.5792763442607004e-02   1  1  0  0  1  0  0
    3 -2.8337241288389436e-03   0  0  1  1  1  0  0
    3 -2.5336823754401783e-03   0  0  0  0  3  0  0
    4  7.6289484136820226e-03   2  2  0  0  0  0  0
    4  6.1375431655696939e-03   1  1  1  1  0  0  0
    4  1.6475366453085210e-03   0  0  2  2  0  0  0
    4  3.6981731617694576e-03   1  1  0  0  2  0  0
    4  5.0369748215211196e-04   0  0  1  1  2  0  0
    4  3.3476781575871172e-03   0  0  0  0  4  0  0
    5  7.7485957403986245e-20   4  0  0  0  1  0  0
    5 -1.3288113235026371e-03   2  2  0  0  1  0  0
    5  1.5497191480797246e-20   0  4  0  0  1  0  0
    5 -3.1459731506898532e-03   1  1  1  1  1  0  0
    5 -1.1409764996472968e-03   0  0  2  2  1  0  0
    5 -2.8166243091854869e-03   1  1  0  0  3  0  0
    5 -6.8910207233216104e-05   0  0  1  1  3  0  0
    5 -3.0713998941020006e-03   0  0  0  0  5  0  0
    6 -4.1402228379249132e-21   5  1  0  0  0  0  0
    6 -1.8004316614501017e-04   3  3  0  0  0  0  0
    6 -1.3800742793083045e-21   1  5  0  0  0  0  0
    6  2.0711776083820834e-03   2  2  1  1  0  0  0
    6  4.6780729373911508e-20   2  0  2  2  0  0  0
    6  2.3745269425190551e-03   1  1  2  2  0  0  0
    6  1.5593576457970504e-20   0  2  2  2  0  0  0
    6  2.9151095198136899e-04   0  0  3  3  0  0  0
    6 -6.4685598962520297e-04   2  2  0  0  2  0  0
    6 -2.2004091274323610e-04   1  1  1  1  2  0  0
    6  2.8064748224486657e-04   0  0  2  2  2  0  0
    6  2.6872512912680976e-03   1  1  0  0  4  0  0
    6  1.3674083908435876e-03   0  0  1  1  4  0  0
    6  1.7422360467092483e-03   0  0  0  0  6  0  0
  -36  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1  2.6665999817775665e-01   0  0  0  0  1  0  0
    2 -7.0173876843388456e+01   1  1  0  0  0  0  0
    2 -1.6892074657143110e+02   0  0  1  1  0  0  0
    2 -3.6008988730277993e+00   0  0  0  0  2  0  0
    3 -5.3853498389778169e+03   1  1  0  0  1  0  0
    3  4.4648167558326641e+03   0  0  1  1  1  0  0
    3  3.2641476484723860e+01   0  0  0  0  3  0  0
    4  8.3826517365847677e+06   2  2  0  0  0  0  0
    4  1.0710760139143335e+07   1  1  1  1  0  0  0
    4 -3.7056147840780985e-11   0  0  3  1  0  0  0
    4  9.5312318287387339e+05   0  0  2  2  0  0  0
    4 -1.8528073920390492e-11   0  0  1  3  0  0  0
    4  3.1908388997071397e+04   1  1  0  0  2  0  0
    4 -1.6131984751374541e+04   0  0  1  1  2  0  0
    4 -1.0768221921945615e+03   0  0  0  0  4  0  0
    5 -1.4322559034597850e+08   2  2  0  0  1  0  0
    5  4.7431869236199661e-09   2  0  1  1  1  0  0
    5 -2.4725247936914277e+08   1  1  1  1  1  0  0
    5  4.7431869236199661e-09   0  2  1  1  1  0  0
    5  1.1857967309049915e-09   0  0  3  1  1  0  0
    5 -2.7799791204958059e+07   0  0  2  2  1  0  0
    5  5.9289836545249576e-10   0  0  1  3  1  0  0
    5 -1.4551152733392999e+05   1  1  0  0  3  0  0
    5  8.7744889424578520e+05   0  0  1  1  3  0  0
    5  9.3398442997737002e+03   0  0  0  0  5  0  0
    6 -3.0356396311167783e-07   6  0  0  0  0  0  0
    6  9.0355001876932205e+10   3  3  0  0  0  0  0
    6 -3.0356396311167783e-07   0  6  0  0  0  0  0
    6 -1.2142558524467113e-06   4  0  1  1  0  0  0
    6  4.8570234097868453e-06   3  1  1  1  0  0  0
    6  3.6980396954059839e+11   2  2  1  1  0  0  0
    6  4.8570234097868453e-06   1  3  1  1  0  0  0
    6 -1.2142558524467113e-06   0  4  1  1  0  0  0
    6  1.6207235872854703e+11   1  1  2  2  0  0  0
    6  2.3294545277826351e+10   0  0  3  3  0  0  0
    6 -3.3392412160295749e+08   2  2  0  0  2  0  0
    6  1.1857967309049916e-08   0  0  4  0  2  0  0
    6  2.0272338602124612e+09   1  1  1  1  2  0  0
    6 -1.8308324006483999e+08   0  0  2  2  2  0  0
    6  2.3715934618099830e-09   0  0  0  4  2  0  0
    6  9.6247803931999892e+07   1  1  0  0  4  0  0
    6 -2.6695833220834300e+07   0  0  1  1  4  0  0
    6  6.4436409989228632e+04   0  0  0  0  6  0  0
  -44  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50242
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1  7.9997999453326994e-03   0  0  0  0  1  0  0
    2 -1.4646579666786571e-03   1  1  0  0  0  0  0
    2 -2.9628207992259789e-03   0  0  1  1  0  0  0
    2 -3.2408089857250194e-03   0  0  0  0  2  0  0
    3 -3.3720648907344651e-03   1  1  0  0  1  0  0
    3  2.3493476468835861e-03   0  0  1  1  1  0  0
    3  8.8131986508754423e-04   0  0  0  0  3  0  0
    4  3.6517658182316855e-03   2  2  0  0  0  0  0
    4  3.9210595140886850e-03   1  1  1  1  0  0  0
    4 -1.1400005360691403e-20   0  0  3  1  0  0  0
    4  2.9322015447605707e-04   0  0  2  2  0  0  0
    4 -5.7000026803457013e-21   0  0  1  3  0  0  0
    4  5.9938812597555514e-04   1  1  0  0  2  0  0
    4 -2.5465529150122258e-04   0  0  1  1  2  0  0
    4 -8.7222597567759472e-04   0  0  0  0  4  0  0
    5 -1.8718169317669445e-03   2  2  0  0  1  0  0
    5  5.2092432205606184e-20   2  0  1  1  1  0  0
    5 -2.7154702579959048e-03   1  1  1  1  1  0  0
    5  5.2092432205606184e-20   0  2  1  1  1  0  0
    5  1.0944005146263746e-20   0  0  3  1  1  0  0
    5 -2.5657100418882423e-04   0  0  2  2  1  0  0
    5  5.4720025731318729e-21   0  0  1  3  1  0  0
    5 -8.2001521622915573e-05   1  1  0  0  3  0  0
    5  4.1553536167807282e-04   0  0  1  1  3  0  0
    5  2.2695821648450090e-04   0  0  0  0  5  0  0
    6 -2.7601485586166089e-21   6  0  0  0  0  0  0
    6  8.2155083771477319e-04   3  3  0  0  0  0  0
    6 -2.7601485586166089e-21   0  6  0  0  0  0  0
    6 -9.2779941349566694e-21   4  0  1  1  0  0  0
    6  3.7111976539826678e-20   3  1  1  1  0  0  0
    6  2.8256310674293749e-03   2  2  1  1  0  0  0
    6  3.7111976539826678e-20   1  3  1  1  0  0  0
    6 -9.2779941349566694e-21   0  4  1  1  0  0  0
    6  1.0406734760490411e-03   1  1  2  2  0  0  0
    6  1.2569598770298233e-04   0  0  3  3  0  0  0
    6 -1.3092174866906458e-04   2  2  0  0  2  0  0
    6  3.2832015438791240e-21   0  0  4  0  2  0  0
    6  6.6792777174021483e-04   1  1  1  1  2  0  0
    6 -5.0691586574076684e-05   0  0  2  2  2  0  0
    6  6.5664030877582478e-22   0  0  0  4  2  0  0
    6  1.6271837399883472e-03   1  1  0  0  4  0  0
