
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3825415166261782e-05   1  1  0  0  0  0  0
    2 -4.0772194708693144e-06   0  0  1  1  0  0  0
    2  8.6189624646016180e-06   0  0  0  0  2  0  0
    3 -6.5803962423718219e-07   3  0  0  0  0  0  0
    3 -1.1659032174575289e-06   2  1  0  0  0  0  0
    3 -1.1659032174575289e-06   1  2  0  0  0  0  0
    3 -6.5803962423718219e-07   0  3  0  0  0  0  0
    3  2.2678580581940688e-06   1  0  2  0  0  0  0
    3 -1.3423567618083015e-07   0  1  2  0  0  0  0
    3 -4.6467325208543638e-07   1  0  1  1  0  0  0
    3 -4.6467325208543638e-07   0  1  1  1  0  0  0
    3 -1.3423567618083015e-07   1  0  0  2  0  0  0
    3  2.2678580581940688e-06   0  1  0  2  0  0  0
    3 -1.2311367910425404e-06   2  0  0  0  1  0  0
    3 -5.2455344302564500e-07   1  1  0  0  1  0  0
    3 -1.2311367910425404e-06   0  2  0  0  1  0  0
    3  3.9802854356542195e-07   0  0  2  0  1  0  0
    3 -4.4080994536596021e-07   0  0  1  1  1  0  0
    3  3.9802854356542195e-07   0  0  0  2  1  0  0
    3 -1.1886045695612087e-21   1  0  0  0  2  0  0
    3 -1.1886045695612087e-21   0  1  0  0  2  0  0
    3 -1.3362138580462912e-07   0  0  0  0  3  0  0
    4 -3.7245776950412092e-07   4  0  0  0  0  0  0
    4 -2.0570742307829544e-07   3  1  0  0  0  0  0
    4 -3.0523934316108714e-07   2  2  0  0  0  0  0
    4 -2.0570742307829544e-07   1  3  0  0  0  0  0
    4 -3.7245776950412092e-07   0  4  0  0  0  0  0
    4 -1.7034987600186867e-07   2  0  2  0  0  0  0
    4  1.9717476604539127e-07   1  1  2  0  0  0  0
    4 -1.7632782719897669e-08   0  2  2  0  0  0  0
    4  7.4757391336589825e-08   0  0  4  0  0  0  0
    4 -4.9803814912470245e-07   2  0  1  1  0  0  0
    4 -9.4872990364977524e-07   1  1  1  1  0  0  0
    4 -4.9803814912470245e-07   0  2  1  1  0  0  0
    4 -1.0659401930048899e-07   0  0  3  1  0  0  0
    4 -1.7632782719897669e-08   2  0  0  2  0  0  0
    4  1.9717476604539127e-07   1  1  0  2  0  0  0
    4 -1.7034987600186867e-07   0  2  0  2  0  0  0
    4 -9.5821398485538776e-08   0  0  2  2  0  0  0
    4 -1.0659401930048899e-07   0  0  1  3  0  0  0
    4  7.4757391336589825e-08   0  0  0  4  0  0  0
    4  1.4531924773912426e-07   3  0  0  0  1  0  0
    4 -7.5988841932091468e-07   2  1  0  0  1  0  0
    4 -7.5988841932091468e-07   1  2  0  0  1  0  0
    4  1.4531924773912426e-07   0  3  0  0  1  0  0
    4  5.8370293980583563e-09   1  0  2  0  1  0  0
    4  1.5015537771891882e-07   0  1  2  0  1  0  0
    4 -3.9813059039563887e-07   1  0  1  1  1  0  0
    4 -3.9813059039563887e-07   0  1  1  1  1  0  0
    4  1.5015537771891882e-07   1  0  0  2  1  0  0
    4  5.8370293980583563e-09   0  1  0  2  1  0  0
    4 -4.2482614393035167e-07   2  0  0  0  2  0  0
    4 -7.5130031341426558e-08   1  1  0  0  2  0  0
    4 -4.2482614393035167e-07   0  2  0  0  2  0  0
    4  2.8831719724350463e-07   0  0  2  0  2  0  0
    4 -4.8716637560298006e-08   0  0  1  1  2  0  0
    4  2.8831719724350463e-07   0  0  0  2  2  0  0
    4  3.5288199716171078e-22   1  0  0  0  3  0  0
    4  3.5288199716171078e-22   0  1  0  0  3  0  0
    4  2.4286484216429896e-07   0  0  0  0  4  0  0
    5  3.0779440722187459e-07   5  0  0  0  0  0  0
    5 -1.0709840365794257e-07   4  1  0  0  0  0  0
    5 -2.9563345405974731e-08   3  2  0  0  0  0  0
    5 -2.9563345405974731e-08   2  3  0  0  0  0  0
    5 -1.0709840365794257e-07   1  4  0  0  0  0  0
    5  3.0779440722187459e-07   0  5  0  0  0  0  0
    5  2.8807582287785298e-08   3  0  2  0  0  0  0
    5  4.3611431694797073e-08   2  1  2  0  0  0  0
    5  4.7494187166487864e-08   1  2  2  0  0  0  0
    5  4.4342785068280824e-08   0  3  2  0  0  0  0
    5 -6.7116190662108586e-08   1  0  4  0  0  0  0
    5 -1.0805415854543009e-08   0  1  4  0  0  0  0
    5 -2.0604112362707998e-08   3  0  1  1  0  0  0
    5  1.7561778776592311e-07   2  1  1  1  0  0  0
    5  1.7561778776592311e-07   1  2  1  1  0  0  0
    5 -2.0604112362707998e-08   0  3  1  1  0  0  0
    5  2.1983575607137441e-09   1  0  3  1  0  0  0
    5  3.7143032568997717e-09   0  1  3  1  0  0  0
    5  4.4342785068280824e-08   3  0  0  2  0  0  0
    5  4.7494187166487864e-08   2  1  0  2  0  0  0
    5  4.3611431694797073e-08   1  2  0  2  0  0  0
    5  2.8807582287785298e-08   0  3  0  2  0  0  0
    5  1.2397318389102191e-07   1  0  2  2  0  0  0
    5  1.2397318389102191e-07   0  1  2  2  0  0  0
    5  3.7143032568997717e-09   1  0  1  3  0  0  0
    5  2.1983575607137441e-09   0  1  1  3  0  0  0
    5 -1.0805415854543009e-08   1  0  0  4  0  0  0
    5 -6.7116190662108586e-08   0  1  0  4  0  0  0
    5 -2.8654590596799831e-07   4  0  0  0  1  0  0
    5 -9.2937205530105256e-08   3  1  0  0  1  0  0
    5  2.8121880596737164e-07   2  2  0  0  1  0  0
    5 -9.2937205530105256e-08   1  3  0  0  1  0  0
    5 -2.8654590596799831e-07   0  4  0  0  1  0  0
    5  4.9122953243325101e-08   2  0  2  0  1  0  0
    5 -2.2954683540894135e-08   1  1  2  0  1  0  0
    5 -5.0324564317630588e-08   0  2  2  0  1  0  0
    5 -2.2179521237900000e-08   0  0  4  0  1  0  0
    5 -2.0055719487452890e-08   2  0  1  1  1  0  0
    5 -8.6856915324921935e-08   1  1  1  1  1  0  0
    5 -2.0055719487452890e-08   0  2  1  1  1  0  0
    5  8.6248485007652603e-09   0  0  3  1  1  0  0
    5 -5.0324564317630588e-08   2  0  0  2  1  0  0
    5 -2.2954683540894135e-08   1  1  0  2  1  0  0
    5  4.9122953243325101e-08   0  2  0  2  1  0  0
    5  4.7723271088819974e-08   0  0  2  2  1  0  0
    5  8.6248485007652603e-09   0  0  1  3  1  0  0
    5 -2.2179521237900000e-08   0  0  0  4  1  0  0
    5  8.8966114024847110e-08   3  0  0  0  2  0  0
    5 -3.8724738534762430e-07   2  1  0  0  2  0  0
    5 -3.8724738534762430e-07   1  2  0  0  2  0  0
    5  8.8966114024847110e-08   0  3  0  0  2  0  0
    5 -1.3630507508993374e-08   1  0  2  0  2  0  0
    5  3.0087930958893106e-08   0  1  2  0  2  0  0
    5 -1.7960788634188522e-07   1  0  1  1  2  0  0
    5 -1.7960788634188522e-07   0  1  1  1  2  0  0
    5  3.0087930958893106e-08   1  0  0  2  2  0  0
    5 -1.3630507508993374e-08   0  1  0  2  2  0  0
    5  7.4718084850477468e-09   2  0  0  0  3  0  0
    5  2.7530957869088692e-08   1  1  0  0  3  0  0
    5  7.4718084850477468e-09   0  2  0  0  3  0  0
    5 -6.5953565895131349e-08   0  0  2  0  3  0  0
    5 -5.8292098838513333e-08   0  0  1  1  3  0  0
    5 -6.5953565895131349e-08   0  0  0  2  3  0  0
    5 -5.9118922086975564e-22   1  0  0  0  4  0  0
    5 -5.9118922086975564e-22   0  1  0  0  4  0  0
    5 -5.9635402164369860e-08   0  0  0  0  5  0  0
    6 -1.1221778092070862e-07   6  0  0  0  0  0  0
    6  3.1594770625930522e-07   5  1  0  0  0  0  0
    6  4.4072066255482753e-08   4  2  0  0  0  0  0
    6 -1.6961868659962214e-07   3  3  0  0  0  0  0
    6  4.4072066255482753e-08   2  4  0  0  0  0  0
    6  3.1594770625930522e-07   1  5  0  0  0  0  0
    6 -1.1221778092070862e-07   0  6  0  0  0  0  0
    6 -1.1294073515701091e-06   4  0  2  0  0  0  0
    6 -6.5143447602678788e-08   3  1  2  0  0  0  0
    6  1.1371835844362531e-08   2  2  2  0  0  0  0
    6  2.7079794409684580e-08   1  3  2  0  0  0  0
    6 -1.8808738629120085e-07   0  4  2  0  0  0  0
    6  3.2942332643712553e-08   2  0  4  0  0  0  0
    6 -3.3577149280541021e-09   1  1  4  0  0  0  0
    6 -5.1753356157368889e-09   0  2  4  0  0  0  0
    6 -3.5202530408499877e-09   0  0  6  0  0  0  0
    6  5.9493825967872749e-08   4  0  1  1  0  0  0
    6 -7.0969974029477770e-08   3  1  1  1  0  0  0
    6 -1.1645949388367219e-07   2  2  1  1  0  0  0
    6 -7.0969974029477770e-08   1  3  1  1  0  0  0
    6  5.9493825967872749e-08   0  4  1  1  0  0  0
    6 -2.2025784684157556e-08   2  0  3  1  0  0  0
    6  2.3000114272990342e-08   1  1  3  1  0  0  0
    6  1.6308770357343318e-08   0  2  3  1  0  0  0
    6  2.7853341684586913e-09   0  0  5  1  0  0  0
    6 -1.8808738629120085e-07   4  0  0  2  0  0  0
    6  2.7079794409684580e-08   3  1  0  2  0  0  0
    6  1.1371835844362531e-08   2  2  0  2  0  0  0
    6 -6.5143447602678788e-08   1  3  0  2  0  0  0
    6 -1.1294073515701091e-06   0  4  0  2  0  0  0
    6 -2.8016781376047091e-08   2  0  2  2  0  0  0
    6 -9.5396611668690725e-08   1  1  2  2  0  0  0
    6 -2.8016781376047091e-08   0  2  2  2  0  0  0
    6  8.1193252046482778e-09   0  0  4  2  0  0  0
    6  1.6308770357343318e-08   2  0  1  3  0  0  0
    6  2.3000114272990342e-08   1  1  1  3  0  0  0
    6 -2.2025784684157556e-08   0  2  1  3  0  0  0
    6 -2.1038597283576292e-08   0  0  3  3  0  0  0
    6 -5.1753356157368889e-09   2  0  0  4  0  0  0
    6 -3.3577149280541021e-09   1  1  0  4  0  0  0
    6  3.2942332643712553e-08   0  2  0  4  0  0  0
    6  8.1193252046482778e-09   0  0  2  4  0  0  0
