
tpsa, NO = 8, NV = 7, INA = 48019
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  2.4353132827981347e-01   1  0  0  0  0  0  0
    1  1.8587589915861045e+01   0  1  0  0  0  0  0
    1 -1.9437879664638334e-04   0  0  0  0  1  0  0
    2 -8.5248771006852131e+00   2  0  0  0  0  0  0
    2 -2.6390548423288027e+02   1  1  0  0  0  0  0
    2 -9.4600945655111082e+02   0  2  0  0  0  0  0
    2 -5.1788039702984516e+00   0  0  2  0  0  0  0
    2  3.2133452163229026e+02   0  0  1  1  0  0  0
    2 -2.1345630848844428e+02   0  0  0  2  0  0  0
    2 -1.7387492510703202e+00   1  0  0  0  1  0  0
    2 -1.0259493381301074e+02   0  1  0  0  1  0  0
    2  2.5058014938291153e+00   0  0  0  0  2  0  0
    3  1.2680590073656997e+01   3  0  0  0  0  0  0
    3 -2.0193862608820498e+03   2  1  0  0  0  0  0
    3 -5.8058762186602144e+04   1  2  0  0  0  0  0
    3 -5.3410431425952651e+04   0  3  0  0  0  0  0
    3 -4.3732721389211139e+02   1  0  2  0  0  0  0
    3 -8.7454457648220305e+03   0  1  2  0  0  0  0
    3 -4.2635256164795264e+03   1  0  1  1  0  0  0
    3 -1.5844515475285612e+05   0  1  1  1  0  0  0
    3 -1.0665075011720701e+03   1  0  0  2  0  0  0
    3  1.2604748610442196e+05   0  1  0  2  0  0  0
    3 -1.6704359129806042e+02   2  0  0  0  1  0  0
    3  1.5808426984583436e+03   1  1  0  0  1  0  0
    3  9.9471761977460665e+03   0  2  0  0  1  0  0
    3 -5.5792530238967331e+01   0  0  2  0  1  0  0
    3  1.1459000922331964e+02   0  0  1  1  1  0  0
    3 -3.0354450518183812e+03   0  0  0  2  1  0  0
    3  5.6453013124012955e+01   1  0  0  0  2  0  0
    3 -1.8522985994916897e+02   0  1  0  0  2  0  0
    3 -1.5820319113334381e+01   0  0  0  0  3  0  0
    4  3.5043164589692938e+03   4  0  0  0  0  0  0
    4  1.2078661998359062e+05   3  1  0  0  0  0  0
    4  3.4851008369007679e+06   2  2  0  0  0  0  0
    4  2.5752077331744909e+07   1  3  0  0  0  0  0
    4 -5.9829161134520508e+06   0  4  0  0  0  0  0
    4  1.1015191062816908e+04   2  0  2  0  0  0  0
    4 -3.2430119554914965e+05   1  1  2  0  0  0  0
    4  2.5463729846825525e+06   0  2  2  0  0  0  0
    4 -7.8315466558596781e+03   0  0  4  0  0  0  0
    4  1.7041089532319517e+05   2  0  1  1  0  0  0
    4 -1.1159536924510906e+06   1  1  1  1  0  0  0
    4 -3.5494410579166830e+07   0  2  1  1  0  0  0
    4 -5.3270969134791545e+05   0  0  3  1  0  0  0
    4  5.9545952062641724e+05   2  0  0  2  0  0  0
    4  1.0302404441791423e+07   1  1  0  2  0  0  0
    4 -1.4455348965823483e+08   0  2  0  2  0  0  0
    4 -6.2723807429108373e+05   0  0  2  2  0  0  0
    4  8.0532312730344562e+06   0  0  1  3  0  0  0
    4 -5.0965009569565980e+06   0  0  0  4  0  0  0
    4  6.0545299121417074e+03   3  0  0  0  1  0  0
    4 -2.5261681143569207e+04   2  1  0  0  1  0  0
    4 -1.3405767254771618e+05   1  2  0  0  1  0  0
    4 -6.7532109446920566e+06   0  3  0  0  1  0  0
    4  1.0196720928797085e+04   1  0  2  0  1  0  0
    4  4.0532279594569103e+04   0  1  2  0  1  0  0
    4 -4.0606683272224502e+04   1  0  1  1  1  0  0
    4  8.4027258203662036e+05   0  1  1  1  1  0  0
    4  3.0487814855042729e+04   1  0  0  2  1  0  0
    4  1.3450513872152281e+06   0  1  0  2  1  0  0
    4 -3.2616836199933778e+03   2  0  0  0  2  0  0
    4  2.2275765594407341e+04   1  1  0  0  2  0  0
    4  4.1158549709480943e+05   0  2  0  0  2  0  0
    4  9.0751965926312823e+02   0  0  2  0  2  0  0
    4 -1.0753685993972702e+04   0  0  1  1  2  0  0
    4  5.3291227959060889e+04   0  0  0  2  2  0  0
    4  1.0946326605057536e+03   1  0  0  0  3  0  0
    4 -5.8873235539547841e+03   0  1  0  0  3  0  0
    4 -9.0934829731589332e+01   0  0  0  0  4  0  0
    5 -1.8651363265679346e+05   5  0  0  0  0  0  0
    5 -1.1085469521957114e+06   4  1  0  0  0  0  0
    5 -9.2846752435326532e+07   3  2  0  0  0  0  0
    5 -1.7263145653773361e+08   2  3  0  0  0  0  0
    5 -7.4561992976529942e+09   1  4  0  0  0  0  0
    5  7.6709255073472565e+10   0  5  0  0  0  0  0
    5  3.5467243300719373e+05   3  0  2  0  0  0  0
    5  1.0273751514535472e+07   2  1  2  0  0  0  0
    5 -1.3823260399767023e+08   1  2  2  0  0  0  0
    5  1.5402774084494859e+08   0  3  2  0  0  0  0
    5 -1.5491876394248665e+06   1  0  4  0  0  0  0
    5  3.8203320572057934e+06   0  1  4  0  0  0  0
    5  5.4863156260020081e+06   3  0  1  1  0  0  0
    5  1.0288522909287712e+08   2  1  1  1  0  0  0
    5  2.3263164688305254e+09   1  2  1  1  0  0  0
    5  1.5512729132292709e+10   0  3  1  1  0  0  0
    5  1.0093886371323870e+07   1  0  3  1  0  0  0
    5  1.0255327454260221e+08   0  1  3  1  0  0  0
    5 -1.4418200883784985e+07   3  0  0  2  0  0  0
    5  2.0082183955889267e+08   2  1  0  2  0  0  0
    5 -6.5947007468648634e+09   1  2  0  2  0  0  0
    5  1.3303480476633327e+10   0  3  0  2  0  0  0
    5  2.6787950934680790e+07   1  0  2  2  0  0  0
    5 -1.5549800059931338e+09   0  1  2  2  0  0  0
    5  2.2991436995997036e+08   1  0  1  3  0  0  0
    5 -3.5267664875670838e+09   0  1  1  3  0  0  0
    5 -2.9179193455342442e+08   1  0  0  4  0  0  0
    5  1.4701774952650305e+10   0  1  0  4  0  0  0
    5  2.7820494202754233e+05   4  0  0  0  1  0  0
    5 -1.8636393199699693e+06   3  1  0  0  1  0  0
    5 -2.9413446613242421e+06   2  2  0  0  1  0  0
    5 -1.6132952295122215e+08   1  3  0  0  1  0  0
    5 -3.7184659994365273e+09   0  4  0  0  1  0  0
    5 -4.7680387830288481e+05   2  0  2  0  1  0  0
    5 -3.6096229806813197e+06   1  1  2  0  1  0  0
    5 -1.3308015818088433e+08   0  2  2  0  1  0  0
    5 -2.0644737756480742e+05   0  0  4  0  1  0  0
    5  1.1872572636957618e+06   2  0  1  1  1  0  0
    5 -4.2487719870451242e+06   1  1  1  1  1  0  0
    5  3.8347183492585486e+08   0  2  1  1  1  0  0
    5  3.9778220162091283e+06   0  0  3  1  1  0  0
    5  1.8237557944277539e+06   2  0  0  2  1  0  0
    5 -4.3129825125907414e+07   1  1  0  2  1  0  0
    5 -4.6431922692025673e+08   0  2  0  2  1  0  0
    5  3.7544784494286031e+06   0  0  2  2  1  0  0
    5  2.4324785410018660e+07   0  0  1  3  1  0  0
    5 -1.0009705443402107e+08   0  0  0  4  1  0  0
    5 -2.3096879292217141e+05   3  0  0  0  2  0  0
    5 -2.2726859021575097e+05   2  1  0  0  2  0  0
    5  5.8728783814142123e+06   1  2  0  0  2  0  0
    5 -3.6482089643694401e+07   0  3  0  0  2  0  0
    5  1.5016659499683963e+04   1  0  2  0  2  0  0
    5  2.2066048094857447e+06   0  1  2  0  2  0  0
    5 -7.1532470144965698e+05   1  0  1  1  2  0  0
    5  4.0456855284771998e+06   0  1  1  1  2  0  0
    5 -3.0560231012687613e+06   1  0  0  2  2  0  0
    5 -3.2654466764713231e+07   0  1  0  2  2  0  0
    5  7.8153503664708012e+04   2  0  0  0  3  0  0
    5 -1.1034975284514384e+05   1  1  0  0  3  0  0
    5 -3.0803560721823908e+06   0  2  0  0  3  0  0
    5 -1.9083066664239228e+04   0  0  2  0  3  0  0
    5  1.8418114958260604e+05   0  0  1  1  3  0  0
    5  6.8496718018913083e+05   0  0  0  2  3  0  0
    5 -1.3299303659646768e+04   1  0  0  0  4  0  0
    5  8.7092371526934789e+04   0  1  0  0  4  0  0
    5  7.2564775202790599e+02   0  0  0  0  5  0  0
    6 -5.0162748948071804e+06   6  0  0  0  0  0  0
    6  6.4934937439466855e+06   5  1  0  0  0  0  0
    6 -2.4193842245585006e+08   4  2  0  0  0  0  0
    6 -1.2066433040722294e+10   3  3  0  0  0  0  0
    6 -1.2633713142088721e+11   2  4  0  0  0  0  0
    6 -4.0357830636014956e+12   1  5  0  0  0  0  0
    6 -4.1002362258226367e+13   0  6  0  0  0  0  0
    6  8.1398194806194622e+06   4  0  2  0  0  0  0
    6 -2.2138377754509449e+08   3  1  2  0  0  0  0
    6  8.3810143106501408e+09   2  2  2  0  0  0  0
    6 -1.2991477111302673e+10   1  3  2  0  0  0  0
    6  8.3895365940890991e+11   0  4  2  0  0  0  0
    6  5.7858515956113391e+07   2  0  4  0  0  0  0
    6 -1.1771694237062761e+08   1  1  4  0  0  0  0
    6  2.4146712846595478e+09   0  2  4  0  0  0  0
    6  2.2091693593078356e+07   0  0  6  0  0  0  0
    6 -1.7896241430240539e+08   4  0  1  1  0  0  0
    6 -1.9512543076038132e+09   3  1  1  1  0  0  0
    6 -1.1449060600080688e+11   2  2  1  1  0  0  0
    6 -1.2223607224973413e+11   1  3  1  1  0  0  0
    6  8.0618127629834961e+10   0  4  1  1  0  0  0
    6 -1.5338962850100714e+08   2  0  3  1  0  0  0
    6 -2.8796784647200499e+09   1  1  3  1  0  0  0
    6  1.5995894551324703e+10   0  2  3  1  0  0  0
    6 -6.2003730378862381e+07   0  0  5  1  0  0  0
    6 -7.6434260376005089e+08   4  0  0  2  0  0  0
    6  3.1494407664599714e+09   3  1  0  2  0  0  0
    6 -2.7703811508951607e+10   2  2  0  2  0  0  0
    6  2.1534906142710129e+12   1  3  0  2  0  0  0
    6  5.4263912580388203e+12   0  4  0  2  0  0  0
    6  2.6575124473769913e+09   2  0  2  2  0  0  0
    6  4.6861186106583252e+09   1  1  2  2  0  0  0
    6  1.4099181185409873e+12   0  2  2  2  0  0  0
