
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1  2.6665999503974885e-01   0  0  0  0  1  0  0
    2 -1.4137067010083794e+02   1  1  0  0  0  0  0
    2 -5.7545167670123007e+01   0  0  1  1  0  0  0
    2 -2.4436948502652789e+00   0  0  0  0  2  0  0
    3 -2.4095487039804793e+04   1  1  0  0  1  0  0
    3 -7.1199683213225089e+03   0  0  1  1  1  0  0
    3 -9.6452423749841444e+01   0  0  0  0  3  0  0
    4 -5.9289836545249576e-10   3  1  0  0  0  0  0
    4  1.5607150672442427e+07   2  2  0  0  0  0  0
    4 -2.9644918272624788e-10   1  3  0  0  0  0  0
    4  1.4269053739696404e+07   1  1  1  1  0  0  0
    4  1.7824353033874626e+06   0  0  2  2  0  0  0
    4  2.5250105393950382e+05   1  1  0  0  2  0  0
    4  9.9017479077512151e+04   0  0  1  1  2  0  0
    4  4.1350817980446809e+03   0  0  0  0  4  0  0
    5 -1.0073276373556262e+08   2  2  0  0  1  0  0
    5 -2.9857388277424604e+08   1  1  1  1  1  0  0
    5 -3.8334759920284800e+07   0  0  2  2  1  0  0
    5 -5.8283403523671702e+06   1  1  0  0  3  0  0
    5 -2.6840990224451339e+05   0  0  1  1  3  0  0
    5 -1.2681990196542215e+05   0  0  0  0  5  0  0
    6 -1.6040241980804317e+09   3  3  0  0  0  0  0
    6 -9.7140468195736905e-06   3  1  1  1  0  0  0
    6  2.6320515781828305e+11   2  2  1  1  0  0  0
    6 -4.8570234097868453e-06   1  3  1  1  0  0  0
    6  3.5257262538226532e+11   1  1  2  2  0  0  0
    6  5.3602307452792953e+10   0  0  3  3  0  0  0
    6  7.5890990777919457e-08   3  1  0  0  2  0  0
    6 -1.8740336844097564e+09   2  2  0  0  2  0  0
    6  3.7945495388959729e-08   1  3  0  0  2  0  0
    6 -2.3024370211472144e+09   1  1  1  1  2  0  0
    6  1.0115820963252320e+09   0  0  2  2  2  0  0
    6  1.7176680072840816e+08   1  1  0  0  4  0  0
    6  7.0592078733644322e+07   0  0  1  1  4  0  0
    6  2.4278871164355390e+06   0  0  0  0  6  0  0
  -36  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50241
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1  7.9997998511924656e-03   0  0  0  0  1  0  0
    2 -2.9506660816246608e-03   1  1  0  0  0  0  0
    2 -1.0093255158322993e-03   0  0  1  1  0  0  0
    2 -2.1993253652387509e-03   0  0  0  0  2  0  0
    3 -1.5087514887889860e-02   1  1  0  0  1  0  0
    3 -3.7464652496057853e-03   0  0  1  1  1  0  0
    3 -2.6042154412457188e-03   0  0  0  0  3  0  0
    4 -2.5828652467995412e-19   3  1  0  0  0  0  0
    4  6.7990012154360464e-03   2  2  0  0  0  0  0
    4 -1.2914326233997706e-19   1  3  0  0  0  0  0
    4  5.2237010442056520e-03   1  1  1  1  0  0  0
    4  5.4835089985636311e-04   0  0  2  2  0  0  0
    4  4.7431455577886597e-03   1  1  0  0  2  0  0
    4  1.5630640238518433e-03   0  0  1  1  2  0  0
    4  3.3494162564161913e-03   0  0  0  0  4  0  0
    5 -1.3164776789429348e-03   2  2  0  0  1  0  0
    5 -3.2791117021615810e-03   1  1  1  1  1  0  0
    5 -3.5380078129258746e-04   0  0  2  2  1  0  0
    5 -3.2845011401299805e-03   1  1  0  0  3  0  0
    5 -1.2711145519536996e-04   0  0  1  1  3  0  0
    5 -3.0817236177597580e-03   0  0  0  0  5  0  0
    6 -1.4584554216961169e-05   3  3  0  0  0  0  0
    6 -7.4223953079653356e-20   3  1  1  1  0  0  0
    6  2.0111213840211199e-03   2  2  1  1  0  0  0
    6 -3.7111976539826678e-20   1  3  1  1  0  0  0
    6  2.2638837522617685e-03   1  1  2  2  0  0  0
    6  2.8923487872721575e-04   0  0  3  3  0  0  0
    6  2.9754607643130712e-20   3  1  0  0  2  0  0
    6 -7.3475305063281239e-04   2  2  0  0  2  0  0
    6  1.4877303821565356e-20   1  3  0  0  2  0  0
    6 -7.5860099778812080e-04   1  1  1  1  2  0  0
    6  2.8008408303510380e-04   0  0  2  2  2  0  0
    6  2.9039223109189214e-03   1  1  0  0  4  0  0
    6  1.0029132805531296e-03   0  0  1  1  4  0  0
    6  1.7699297078815079e-03   0  0  0  0  6  0  0
  -36  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1  2.6665999358446318e-01   0  0  0  0  1  0  0
    2 -5.7545167670123007e+01   1  1  0  0  0  0  0
    2 -3.7366600106796125e+02   0  0  1  1  0  0  0
    2 -3.0910400573779588e+00   0  0  0  0  2  0  0
    3 -7.1199683213225089e+03   1  1  0  0  1  0  0
    3  6.6599692248163128e+03   0  0  1  1  1  0  0
    3  8.3928001717912704e+00   0  0  0  0  3  0  0
    4  7.1345268698482020e+06   2  2  0  0  0  0  0
    4  3.5648706067749253e+06   1  1  1  1  0  0  0
    4  2.5599507971375805e+05   0  0  2  2  0  0  0
    4  9.9017479077512151e+04   1  1  0  0  2  0  0
    4 -1.9108174680549826e+04   0  0  1  1  2  0  0
    4 -6.0451646693859743e+02   0  0  0  0  4  0  0
    5 -1.4928694138712302e+08   2  2  0  0  1  0  0
    5  3.7056147840780986e-10   0  0  4  0  1  0  0
    5  3.5573901927149744e-09   2  0  1  1  1  0  0
    5 -7.6669519840569600e+07   1  1  1  1  1  0  0
    5  3.5573901927149744e-09   0  2  1  1  1  0  0
    5 -8.9911314315018468e+06   0  0  2  2  1  0  0
    5  7.4112295681561970e-11   0  0  0  4  1  0  0
    5 -2.6840990224451339e+05   1  1  0  0  3  0  0
    5 -5.8987283740120579e+05   0  0  1  1  3  0  0
    5  2.9290333464146338e+03   0  0  0  0  5  0  0
    6  3.0356396311167783e-07   6  0  0  0  0  0  0
    6 -2.4285117048934226e-06   4  2  0  0  0  0  0
    6  8.7735052606094360e+10   3  3  0  0  0  0  0
    6 -2.4285117048934226e-06   2  4  0  0  0  0  0
    6  3.0356396311167783e-07   0  6  0  0  0  0  0
    6  3.5257262538226532e+11   2  2  1  1  0  0  0
    6  1.6080692235837888e+11   1  1  2  2  0  0  0
    6  1.8209788481806264e+09   0  0  3  3  0  0  0
    6 -1.1512185105736072e+09   2  2  0  0  2  0  0
    6  4.7431869236199662e-08   0  0  4  0  2  0  0
    6  2.0231641926504641e+09   1  1  1  1  2  0  0
    6 -3.7945495388959729e-08   0  0  3  1  2  0  0
    6  9.1916988462934923e+08   0  0  2  2  2  0  0
    6 -1.8972747694479864e-08   0  0  1  3  2  0  0
    6  9.4863738472399322e-09   0  0  0  4  2  0  0
    6  7.0592078733644322e+07   1  1  0  0  4  0  0
    6  1.6805282175171492e+06   0  0  1  1  4  0  0
    6  1.2488177605310999e+05   0  0  0  0  6  0  0
  -42  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50242
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1  7.9997998075338958e-03   0  0  0  0  1  0  0
    2 -1.2010735627448195e-03   1  1  0  0  0  0  0
    2 -6.5539930553148102e-03   0  0  1  1  0  0  0
    2 -2.7819360516401627e-03   0  0  0  0  2  0  0
    3 -4.4582053009262516e-03   1  1  0  0  1  0  0
    3  3.5044177358901046e-03   0  0  1  1  1  0  0
    3  2.2660560463836428e-04   0  0  0  0  3  0  0
    4  3.1080405307619095e-03   2  2  0  0  0  0  0
    4  1.3050492801258749e-03   1  1  1  1  0  0  0
    4  7.8754685823974690e-05   0  0  2  2  0  0  0
    4  1.8600093294757368e-03   1  1  0  0  2  0  0
    4 -3.0163664721522161e-04   0  0  1  1  2  0  0
    4 -4.8965833822026388e-04   0  0  0  0  4  0  0
    5 -1.9510328001099587e-03   2  2  0  0  1  0  0
    5  3.4200016082074208e-21   0  0  4  0  1  0  0
    5  3.9069324154204636e-20   2  0  1  1  1  0  0
    5 -8.4202917339026840e-04   1  1  1  1  1  0  0
    5  3.9069324154204636e-20   0  2  1  1  1  0  0
    5 -8.2981329002309307e-05   0  0  2  2  1  0  0
    5  6.8400032164148412e-22   0  0  0  4  1  0  0
    5 -1.5125963424325822e-04   1  1  0  0  3  0  0
    5 -2.7934734939095111e-04   0  0  1  1  3  0  0
    5  7.1175510317875599e-05   0  0  0  0  5  0  0
    6  2.7601485586166089e-21   6  0  0  0  0  0  0
    6 -2.2081188468932872e-20   4  2  0  0  0  0  0
    6  7.9772900745064747e-04   3  3  0  0  0  0  0
    6 -2.2081188468932872e-20   2  4  0  0  0  0  0
    6  2.7601485586166089e-21   0  6  0  0  0  0  0
    6  2.6939682801211703e-03   2  2  1  1  0  0  0
    6  1.0325480555492541e-03   1  1  2  2  0  0  0
    6  9.8258940957383219e-06   0  0  3  3  0  0  0
    6 -4.5135864932723023e-04   2  2  0  0  2  0  0
    6  1.3132806175516496e-20   0  0  4  0  2  0  0
    6  6.6658690819222568e-04   1  1  1  1  2  0  0
    6 -1.0506244940413196e-20   0  0  3  1  2  0  0
    6  2.5449724271031654e-04   0  0  2  2  2  0  0
    6 -5.2531224702065982e-21   0  0  1  3  2  0  0
    6  2.6265612351032991e-21   0  0  0  4  2  0  0
    6  1.1934431539707389e-03   1  1  0  0  4  0  0
    6  2.3875540966170064e-05   0  0  1  1  4  0  0
    6  9.1038814742717186e-05   0  0  0  0  6  0  0
  -42  0.0000000000000000e+00   0  0  0  0  0  0  0
