# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.21085 1.07399
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2842854751322248e-04  5.0988399571967837e-19  4.1880436192778458e-03  2.1778519425320298e-17  0.0000000000000000e+00  0.0000000000000000e+00
   1 -2.4191529467103904e-05  5.9046032440581103e-04  3.7711331131556071e-03 -1.9575154540855365e-03  0.0000000000000000e+00 -6.2035654085738105e-03
   2 -4.7248694948471645e-05  9.9807454755107051e-04  2.7634254570362473e-03 -3.4318622358517638e-03  0.0000000000000000e+00 -4.6036232381927764e-02
   3  8.2143185368206722e-05  4.7079878393316402e-04  1.3146788817418528e-03 -4.1691367214327932e-03  0.0000000000000000e+00 -1.0336935734353751e-01
   4 -2.4079173009590153e-04 -5.7433509802919092e-04 -4.0456020964828245e-04 -4.3800228112552218e-03  0.0000000000000000e+00 -1.5480352300909536e-01
   5 -8.2793049440487538e-04 -9.6024655996482732e-04 -1.8756851660731968e-03 -3.9855848223177212e-03  0.0000000000000000e+00 -1.7642133143394406e-01
   6 -8.2238523790599126e-04 -3.2920443504213170e-04 -3.0022419760597613e-03 -2.6505982886096979e-03  0.0000000000000000e+00 -1.6515040605759254e-01
   7 -6.6907957268302090e-05  5.5083038829861059e-04 -3.8774375350518584e-03 -7.2446036574058627e-04  0.0000000000000000e+00 -1.4056219186107499e-01
   8  6.1579940441965867e-04  8.0360787421850316e-04 -4.1203536417077956e-03  1.1239777384933654e-03  0.0000000000000000e+00 -1.3490736106108320e-01
   9  4.7882546881593979e-04  4.6418643745967911e-04 -3.3316692009538553e-03  2.6808514544519493e-03  0.0000000000000000e+00 -1.6493273700392699e-01
  10 -2.3636087909492052e-04  1.5335060541836086e-04 -1.8797394419499272e-03  3.9437915284914471e-03  0.0000000000000000e+00 -2.1879919045465343e-01
  11 -7.7347129474144639e-04  1.0916214422169437e-06 -3.8987590675740330e-04  4.6498579718603199e-03  0.0000000000000000e+00 -2.7726532195443926e-01
  12 -7.1711526830640243e-04 -2.0251357937364813e-04  1.0821775965505070e-03  4.4356584900789361e-03  0.0000000000000000e+00 -3.1597460428840246e-01
