
tpsa, NO = 4, NV = 7, INA = 48076
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -2.6675823902030837e-06   1  1  0  0  0  0  0
    2 -4.3296198210631063e-06   0  0  1  1  0  0  0
    2  1.2940600386249427e-04   0  0  0  0  2  0  0
    3 -2.0418896924677136e-06   1  1  0  0  1  0  0
    3 -1.4425839841785597e-06   0  0  1  1  1  0  0
    3 -9.4517454023578024e-07   0  0  0  0  3  0  0
    4  9.7157921495414371e-08   2  2  0  0  0  0  0
    4 -4.6980420090807606e-08   1  1  1  1  0  0  0
    4  1.0658940307774325e-07   0  0  2  2  0  0  0
    4  8.5009935746320517e-07   1  1  0  0  2  0  0
    4  8.4608853661344700e-08   0  0  1  1  2  0  0
    4  3.1863880626561386e-06   0  0  0  0  4  0  0
  -12  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 4, NV = 7, INA = 48077
------------------------------------------------------------------
   ALL COMPONENTS ZERO 
   -1  0.0000000000000000e+00   0  0  0  0  0  0  0
