
tpsa, NO = 5, NV = 7, INA = 48021
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  3.9104145860449707e-19   1  0  0  0  0  0  0
    1  4.6228067521393141e-20   0  1  0  0  0  0  0
    1  2.4761280265767074e-19   0  0  0  0  1  0  0
    1  1.0000000000000000e+00   0  0  0  0  0  1  0
    2  8.1664233525772387e-13   2  0  0  0  0  0  0
    2  4.7082344238803899e-22   1  1  0  0  0  0  0
    2  8.1634009330737425e-13   0  2  0  0  0  0  0
    2  1.4141541224367605e-12   0  0  2  0  0  0  0
    2  1.2352519007663432e-20   0  0  1  1  0  0  0
    2  1.4151304955904786e-12   0  0  0  2  0  0  0
    2  1.3141021091907525e-12   1  0  0  0  1  0  0
    2 -1.7340890088050169e-21   0  1  0  0  1  0  0
    2 -1.1838090593402148e-11   0  0  0  0  2  0  0
    3 -6.9256277375612176e-12   3  0  0  0  0  0  0
    3 -1.8809788505689261e-23   2  1  0  0  0  0  0
    3 -6.9609008454553034e-12   1  2  0  0  0  0  0
    3  9.3164613337540342e-23   0  3  0  0  0  0  0
    3 -6.4975735467108330e-13   1  0  2  0  0  0  0
    3 -1.6464061642071535e-21   0  1  2  0  0  0  0
    3 -2.2229000810891656e-21   1  0  1  1  0  0  0
    3 -8.9745399897956433e-13   0  1  1  1  0  0  0
    3 -3.5307111404312302e-13   1  0  0  2  0  0  0
    3 -4.2176852177979880e-21   0  1  0  2  0  0  0
    3  3.0118870516115368e-12   2  0  0  0  1  0  0
    3 -5.3532865207724991e-23   1  1  0  0  1  0  0
    3  8.5354749117885118e-12   0  2  0  0  1  0  0
    3  4.5153281511846063e-12   0  0  2  0  1  0  0
    3 -5.6929309266706701e-22   0  0  1  1  1  0  0
    3  4.8839341613924627e-12   0  0  0  2  1  0  0
    3  1.0356438785969730e-11   1  0  0  0  2  0  0
    3 -7.1515501013821904e-19   0  1  0  0  2  0  0
    3  3.4454519733153093e-12   0  0  0  0  3  0  0
    4  3.3446540960909276e-12   4  0  0  0  0  0  0
    4 -8.5785621759834273e-25   3  1  0  0  0  0  0
    4  7.2116234005303806e-12   2  2  0  0  0  0  0
    4 -2.1426542277155270e-23   1  3  0  0  0  0  0
    4  3.5518627359307311e-12   0  4  0  0  0  0  0
    4 -6.3795032801301046e-12   2  0  2  0  0  0  0
    4  6.5309698950094613e-22   1  1  2  0  0  0  0
    4 -5.2195931581530994e-12   0  2  2  0  0  0  0
    4  1.2609723112942437e-11   0  0  4  0  0  0  0
    4  6.0199999435278372e-22   2  0  1  1  0  0  0
    4 -9.6798824496846753e-13   1  1  1  1  0  0  0
    4  1.2402510448576570e-21   0  2  1  1  0  0  0
    4 -2.0067825809984851e-21   0  0  3  1  0  0  0
    4 -2.8436104601104409e-12   2  0  0  2  0  0  0
    4  8.1928622849161412e-22   1  1  0  2  0  0  0
    4 -4.0568864780276257e-12   0  2  0  2  0  0  0
    4  1.1713518411485984e-11   0  0  2  2  0  0  0
    4 -1.5630162197930931e-21   0  0  1  3  0  0  0
    4 -8.7991215030664486e-13   0  0  0  4  0  0  0
    4  1.0677608950032153e-11   3  0  0  0  1  0  0
    4  1.5071092913514429e-17   2  1  0  0  1  0  0
    4  1.0643426093684087e-11   1  2  0  0  1  0  0
    4  1.5065512453594818e-17   0  3  0  0  1  0  0
    4 -8.0305962013868640e-12   1  0  2  0  1  0  0
    4  1.0618345486474109e-18   0  1  2  0  1  0  0
    4  1.8613716016688581e-22   1  0  1  1  1  0  0
    4 -1.6575659978227894e-12   0  1  1  1  1  0  0
    4 -7.4565932831693905e-12   1  0  0  2  1  0  0
    4  1.0622712516328613e-18   0  1  0  2  1  0  0
    4  1.0839844842504248e-11   2  0  0  0  2  0  0
    4  1.2113859065430371e-17   1  1  0  0  2  0  0
    4  4.0346482070174475e-12   0  2  0  0  2  0  0
    4 -3.5673381483591941e-12   0  0  2  0  2  0  0
    4  1.0822191554470920e-18   0  0  1  1  2  0  0
    4 -4.0179970417214051e-12   0  0  0  2  2  0  0
    4  4.6884000557043669e-12   1  0  0  0  3  0  0
    4 -7.5149948603236054e-18   0  1  0  0  3  0  0
    4  7.3116840541484242e-13   0  0  0  0  4  0  0
    5 -6.0873602723275693e-09   5  0  0  0  0  0  0
    5 -7.9391628853488034e-17   4  1  0  0  0  0  0
    5 -1.2170486054095998e-08   3  2  0  0  0  0  0
    5 -1.5872457535731914e-16   2  3  0  0  0  0  0
    5 -6.0831842018944460e-09   1  4  0  0  0  0  0
    5 -7.9332963698692951e-17   0  5  0  0  0  0  0
    5 -1.8912803746952942e-07   3  0  2  0  0  0  0
    5 -1.0939565457302507e-17   2  1  2  0  0  0  0
    5 -1.8905832388822112e-07   1  2  2  0  0  0  0
    5 -1.0936617695076144e-17   0  3  2  0  0  0  0
    5  1.6089925543643308e-07   1  0  4  0  0  0  0
    5 -6.0212892818096685e-19   0  1  4  0  0  0  0
    5  1.9682467550543794e-21   3  0  1  1  0  0  0
    5  6.0714583023113412e-12   2  1  1  1  0  0  0
    5  1.2238877700865842e-21   1  2  1  1  0  0  0
    5  5.3275002682948092e-12   0  3  1  1  0  0  0
    5 -1.9759293509629469e-21   1  0  3  1  0  0  0
    5 -1.8266732694885035e-11   0  1  3  1  0  0  0
    5 -1.0943311478542939e-17   0  3  0  2  0  0  0
    5  3.2203771548547891e-07   1  0  2  2  0  0  0
    5 -1.2033246954283205e-18   0  1  2  2  0  0  0
    5 -1.1978738039736715e-08   4  0  0  0  1  0  0
    5 -1.2754667679240230e-16   3  1  0  0  1  0  0
    5 -1.4157638773414595e-08   2  2  0  0  1  0  0
    5 -1.2819776358335940e-16   1  3  0  0  1  0  0
    5 -2.1819818589704045e-09   0  4  0  0  1  0  0
    5 -2.3110195288706689e-07   2  0  2  0  1  0  0
    5 -6.4125798071362312e-18   1  1  2  0  1  0  0
    5 -7.8905588443154661e-08   0  2  2  0  1  0  0
    5  6.4630282780570700e-08   0  0  4  0  1  0  0
    5  6.2481442469183625e-19   2  0  1  1  1  0  0
    5  8.4094854213437205e-12   1  1  1  1  1  0  0
    5  3.0474757530938740e-18   0  2  1  1  1  0  0
    5 -1.0217837610792370e-16   0  0  3  1  1  0  0
    5 -2.3127348456858605e-07   2  0  0  2  1  0  0
    5 -1.1675171193562589e-17   1  1  0  2  1  0  0
    5 -7.8964882644472060e-08   0  2  0  2  1  0  0
    5  1.2936036540666101e-07   0  0  2  2  1  0  0
    5 -1.0224902041546050e-16   0  0  1  3  1  0  0
    5 -9.2103812352586118e-09   3  0  0  0  2  0  0
    5  1.6347226416767880e-17   2  1  0  0  2  0  0
    5 -5.2684866109736105e-09   1  2  0  0  2  0  0
    5  6.7107730524130362e-17   0  3  0  0  2  0  0
    5 -9.5263148352414680e-08   1  0  2  0  2  0  0
    5  1.4790340072367628e-17   0  1  2  0  2  0  0
    5  3.1194542510633995e-19   1  0  1  1  2  0  0
    5  3.5138344686052136e-12   0  1  1  1  2  0  0
    5 -9.5337015247930279e-08   1  0  0  2  2  0  0
    5  1.2656196740847870e-17   0  1  0  2  2  0  0
    5 -3.4267785037140819e-09   2  0  0  0  3  0  0
    5  5.4207832642499451e-17   1  1  0  0  3  0  0
    5 -6.0007239439633062e-10   0  2  0  0  3  0  0
    5 -1.3129864770579349e-08   0  0  2  0  3  0  0
    5  3.0042255332887181e-18   0  0  1  1  3  0  0
    5 -1.3140825285773268e-08   0  0  0  2  3  0  0
    5 -6.0358836539605908e-10   1  0  0  0  4  0  0
    5 -2.2292777210422868e-17   0  1  0  0  4  0  0
    5 -3.8340262464897382e-11   0  0  0  0  5  0  0
 -128  0.0000000000000000e+00   0  0  0  0  0  0  0
