
n = 1
    s1(1) =     -87.5848486714065189 3
    s1(2) =     -87.5848486714065189 3
    s2(1) =     267.8565644957124050 3
    s2(2) =     267.8565644957124050 3
    s3(1) =    -223.3211058080196949 3
    s3(2) =    -223.3211058080196949 3
    s4(1) =      61.8941061316058097 3
    s4(2) =      61.8941061316058097 3
    s5(1) =      23.2909802779555299 3
    s5(2) =      23.2909802779555299 3
    s1(1) = -207698.7798583984258585 4
    s1(2) = -207698.7798583984258585 4
    s2(1) =  324646.7918701170710847 4
    s2(2) =  324646.7918701170710847 4
    s3(1) =  243311.9734954833402298 4
    s3(2) =  243311.9734954833402298 4
    s4(1) =  -83779.3040234565414721 4
    s4(2) =  -83779.3040234565414721 4
    s5(1) =  249567.7721145629766397 4
    s5(2) =  249567.7721145629766397 4
    s1(1) = -516348131.7757813334465027 5
    s1(2) = -516348131.7757813334465027 5
    s2(1) = -1904766736.1375005245208740 5
    s2(2) = -1904766736.1375005245208740 5
    s3(1) = -5323178192.9312515258789062 5
    s3(2) = -5323178192.9312515258789062 5
    s4(1) = -3420467.8343750000931323 5
    s4(2) = -3420467.8343750000931323 5
    s5(1) = -485680713.0468750596046448 5
    s5(2) = -485680713.0468750596046448 5

n = 2
    s1(1) =     -87.5605123922228898 3
    s1(2) =     -87.5605123922228898 3
    s2(1) =     267.8084060765801837 3
    s2(2) =     267.8084060765801837 3
    s3(1) =    -223.4108950257301842 3
    s3(2) =    -223.4108950257301842 3
    s4(1) =      61.8847620373591809 3
    s4(2) =      61.8847620373591809 3
    s5(1) =      23.3127722628414595 3
    s5(2) =      23.3127722628414595 3
    s1(1) = -208493.8404296874941792 4
    s1(2) = -208493.8404296874941792 4
    s2(1) =  325089.6897583006648347 4
    s2(2) =  325089.6897583006648347 4
    s3(1) =  243652.3515106200648006 4
    s3(2) =  243652.3515106200648006 4
    s4(1) =  -83911.6155682563403388 4
    s4(2) =  -83911.6155682563403388 4
    s5(1) =  250399.7748733520274982 4
    s5(2) =  250399.7748733520274982 4
    s1(1) = -516356143.4123047590255737 5
    s1(2) = -516356143.4123047590255737 5
    s2(1) = -1904904064.3812506198883057 5
    s2(2) = -1904904064.3812506198883057 5
    s3(1) = -5323420551.1187515258789062 5
    s3(2) = -5323420551.1187515258789062 5
    s4(1) = -3434557.4222656250931323 5
    s4(2) = -3434557.4222656250931323 5
    s5(1) = -485704290.8601562976837158 5
    s5(2) = -485704290.8601562976837158 5

n = 3
    s1(1) =     -87.5370483249426030 3
    s1(2) =     -87.5370483249426030 3
    s2(1) =     267.7597784005104700 3
    s2(2) =     267.7597784005104700 3
    s3(1) =    -223.4570046216250034 3
    s3(2) =    -223.4570046216250034 3
    s4(1) =      61.8755352852866096 3
    s4(2) =      61.8755352852866096 3
    s5(1) =      23.3269404675811494 3
    s5(2) =      23.3269404675811494 3
    s1(1) = -209006.6647583007870708 4
    s1(2) = -209006.6647583007870708 4
    s2(1) =  325360.3020446776063181 4
    s2(2) =  325360.3020446776063181 4
    s3(1) =  243835.2926239013031591 4
    s3(2) =  243835.2926239013031591 4
    s4(1) =  -83988.9759716987173306 4
    s4(2) =  -83988.9759716987173306 4
    s5(1) =  250926.8787551879649982 4
    s5(2) =  250926.8787551879649982 4
    s1(1) = -516369975.7583985328674316 5
    s1(2) = -516369975.7583985328674316 5
    s2(1) = -1905014973.4062507152557373 5
    s2(2) = -1905014973.4062507152557373 5
    s3(1) = -5323623913.4875011444091797 5
    s3(2) = -5323623913.4875011444091797 5
    s4(1) = -3444893.6152343750000000 5
    s4(2) = -3444893.6152343750000000 5
    s5(1) = -485723485.6289063096046448 5
    s5(2) = -485723485.6289063096046448 5

n = 4
    s1(1) =     -87.5156563580036249 3
    s1(2) =     -87.5156563580036249 3
    s2(1) =     267.7147441826759859 3
    s2(2) =     267.7147441826759859 3
    s3(1) =    -223.4786695815623432 3
    s3(2) =    -223.4786695815623432 3
    s4(1) =      61.8670451896265163 3
    s4(2) =      61.8670451896265163 3
    s5(1) =      23.3366724248975466 3
    s5(2) =      23.3366724248975466 3
    s1(1) = -209339.0770263671875000 4
    s1(2) = -209339.0770263671875000 4
    s2(1) =  325526.0852233885671012 4
    s2(2) =  325526.0852233885671012 4
    s3(1) =  243929.1028656005219091 4
    s3(2) =  243929.1028656005219091 4
    s4(1) =  -84033.7568036079028388 4
    s4(2) =  -84033.7568036079028388 4
    s5(1) =  251263.4013015746895690 4
    s5(2) =  251263.4013015746895690 4
    s1(1) = -516386514.2064453959465027 5
    s1(2) = -516386514.2064453959465027 5
    s2(1) = -1905107210.6937506198883057 5
    s2(2) = -1905107210.6937506198883057 5
    s3(1) = -5323800891.4562511444091797 5
    s3(2) = -5323800891.4562511444091797 5
    s4(1) = -3452940.2082031248137355 5
    s4(2) = -3452940.2082031248137355 5
    s5(1) = -485740219.4367188215255737 5
    s5(2) = -485740219.4367188215255737 5

n = 5
    s1(1) =     -87.4976011037826567 3
    s1(2) =     -87.4976011037826567 3
    s2(1) =     267.6766997747122332 3
    s2(2) =     267.6766997747122332 3
    s3(1) =    -223.4872223531828013 3
    s3(2) =    -223.4872223531828013 3
    s4(1) =      61.8598647110164208 3
    s4(2) =      61.8598647110164208 3
    s5(1) =      23.3435558868572066 3
    s5(2) =      23.3435558868572066 3
    s1(1) = -209554.6337280273437500 4
    s1(2) = -209554.6337280273437500 4
    s2(1) =  325627.4213378904969431 4
    s2(2) =  325627.4213378904969431 4
    s3(1) =  243972.2301956176233944 4
    s3(2) =  243972.2301956176233944 4
    s4(1) =  -84059.1652600288070971 4
    s4(2) =  -84059.1652600288070971 4
    s5(1) =  251478.6919876098399982 4
    s5(2) =  251478.6919876098399982 4
    s1(1) = -516399917.3123047947883606 5
    s1(2) = -516399917.3123047947883606 5
    s2(1) = -1905152331.6031255722045898 5
    s2(2) = -1905152331.6031255722045898 5
    s3(1) = -5323869040.5062513351440430 5
    s3(2) = -5323869040.5062513351440430 5
    s4(1) = -3458848.6917968746274710 5
    s4(2) = -3458848.6917968746274710 5
    s5(1) = -485741672.4884766340255737 5
    s5(2) = -485741672.4884766340255737 5

n = 6
    s1(1) =     -87.4821623880416155 3
    s1(2) =     -87.4821623880416155 3
    s2(1) =     267.6442299760877290 3
    s2(2) =     267.6442299760877290 3
    s3(1) =    -223.4881774005015131 3
    s3(2) =    -223.4881774005015131 3
    s4(1) =      61.8537218846380767 3
    s4(2) =      61.8537218846380767 3
    s5(1) =      23.3486276786774347 3
    s5(2) =      23.3486276786774347 3
    s1(1) = -209693.2493377685605083 4
    s1(2) = -209693.2493377685605083 4
    s2(1) =  325687.5075073241023347 4
    s2(2) =  325687.5075073241023347 4
    s3(1) =  243986.1783611297141761 4
    s3(2) =  243986.1783611297141761 4
    s4(1) =  -84072.6082764625170967 4
