
tpsa, NO = 4, NV = 7, INA = 48074
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -1.2131755768410459e-08   3  0  0  0  0  0  0
    3  5.3002083180295100e-07   2  1  0  0  0  0  0
    3  5.3002083180295100e-07   1  2  0  0  0  0  0
    3 -1.2131755768410459e-08   0  3  0  0  0  0  0
    3 -2.8889749146146934e-08   2  0  1  0  0  0  0
    3  1.7613459566804448e-07   1  1  1  0  0  0  0
    3 -4.4122425654024699e-07   0  2  1  0  0  0  0
    3 -1.8758067830439092e-08   1  0  2  0  0  0  0
    3  1.5972875263930896e-07   0  1  2  0  0  0  0
    3 -3.0788643097164937e-08   0  0  3  0  0  0  0
    3 -4.4122425654024699e-07   2  0  0  1  0  0  0
    3  1.7613459566804448e-07   1  1  0  1  0  0  0
    3 -2.8889749146146934e-08   0  2  0  1  0  0  0
    3 -2.8364847753569139e-07   1  0  1  1  0  0  0
    3 -2.8364847753569139e-07   0  1  1  1  0  0  0
    3  1.0742187113321195e-07   0  0  2  1  0  0  0
    3  1.5972875263930896e-07   1  0  0  2  0  0  0
    3 -1.8758067830439092e-08   0  1  0  2  0  0  0
    3  1.0742187113321195e-07   0  0  1  2  0  0  0
    3 -3.0788643097164937e-08   0  0  0  3  0  0  0
    3  4.9583725567804848e-08   2  0  0  0  1  0  0
    3  4.9583725567804848e-08   0  2  0  0  1  0  0
    3  3.1774876546725084e-08   1  0  1  0  1  0  0
    3 -1.2545591844754193e-07   0  1  1  0  1  0  0
    3  1.9751756941156564e-07   0  0  2  0  1  0  0
    3 -1.2545591844754193e-07   1  0  0  1  1  0  0
    3  3.1774876546725084e-08   0  1  0  1  1  0  0
    3  1.9751756941156564e-07   0  0  0  2  1  0  0
    3  3.4988087536434265e-07   1  0  0  0  2  0  0
    3  3.4988087536434265e-07   0  1  0  0  2  0  0
    3  1.5386603598800494e-07   0  0  1  0  2  0  0
    3  1.5386603598800494e-07   0  0  0  1  2  0  0
    4  3.8530397961679982e-09   4  0  0  0  0  0  0
    4 -1.6439717336406427e-08   3  1  0  0  0  0  0
    4 -3.1734698922760183e-24   2  2  0  0  0  0  0
    4 -1.6439717336406427e-08   1  3  0  0  0  0  0
    4  3.8530397961679982e-09   0  4  0  0  0  0  0
    4  2.4250739388902518e-08   3  0  1  0  0  0  0
    4  2.7700196039321813e-08   2  1  1  0  0  0  0
    4  3.4637329162436054e-08   1  2  1  0  0  0  0
    4  8.4162124016889711e-09   0  3  1  0  0  0  0
    4 -9.9428228591174253e-09   2  0  2  0  0  0  0
    4 -5.1560689312519534e-08   1  1  2  0  0  0  0
    4  7.8032559548641079e-10   0  2  2  0  0  0  0
    4  2.3765698263976947e-09   1  0  3  0  0  0  0
    4  2.1773263785618910e-08   0  1  3  0  0  0  0
    4 -6.2508633884293392e-09   0  0  4  0  0  0  0
    4  8.4162124016889711e-09   3  0  0  1  0  0  0
    4  3.4637329162436054e-08   2  1  0  1  0  0  0
    4  2.7700196039321813e-08   1  2  0  1  0  0  0
    4  2.4250739388902518e-08   0  3  0  1  0  0  0
    4 -8.0613987452567906e-08   2  0  1  1  0  0  0
    4 -8.0613987452567906e-08   0  2  1  1  0  0  0
    4  6.6920693126312814e-10   1  0  2  1  0  0  0
    4  2.0520948633165667e-08   0  1  2  1  0  0  0
    4 -1.0104579633246326e-08   0  0  3  1  0  0  0
    4  7.8032559548641079e-10   2  0  0  2  0  0  0
    4 -5.1560689312519534e-08   1  1  0  2  0  0  0
    4 -9.9428228591174253e-09   0  2  0  2  0  0  0
    4  2.0520948633165667e-08   1  0  1  2  0  0  0
    4  6.6920693126312814e-10   0  1  1  2  0  0  0
    4  7.6821240000568242e-25   0  0  2  2  0  0  0
    4  2.1773263785618910e-08   1  0  0  3  0  0  0
    4  2.3765698263976947e-09   0  1  0  3  0  0  0
    4 -1.0104579633246326e-08   0  0  1  3  0  0  0
    4 -6.2508633884293392e-09   0  0  0  4  0  0  0
    4  5.1491433832462402e-08   3  0  0  0  1  0  0
    4 -4.4099858977903183e-07   2  1  0  0  1  0  0
    4 -4.4099858977903183e-07   1  2  0  0  1  0  0
    4  5.1491433832462402e-08   0  3  0  0  1  0  0
    4  5.5844458322675640e-08   2  0  1  0  1  0  0
    4  8.9377608303851843e-08   1  1  1  0  1  0  0
    4 -8.1926634259068427e-07   0  2  1  0  1  0  0
    4  4.3436301085827988e-08   1  0  2  0  1  0  0
    4 -1.4576434224824624e-08   0  1  2  0  1  0  0
    4  1.1379436018697766e-08   0  0  3  0  1  0  0
    4 -8.1926634259068427e-07   2  0  0  1  1  0  0
    4  8.9377608303851843e-08   1  1  0  1  1  0  0
    4  5.5844458322675640e-08   0  2  0  1  1  0  0
    4 -4.9001666255017490e-08   1  0  1  1  1  0  0
    4 -4.9001666255017490e-08   0  1  1  1  1  0  0
    4 -5.0516510168951261e-08   0  0  2  1  1  0  0
    4 -1.4576434224824624e-08   1  0  0  2  1  0  0
    4  4.3436301085827988e-08   0  1  0  2  1  0  0
    4 -5.0516510168951261e-08   0  0  1  2  1  0  0
    4  1.1379436018697766e-08   0  0  0  3  1  0  0
    4 -2.2855815255653092e-08   2  0  0  0  2  0  0
    4 -2.2855815255653092e-08   0  2  0  0  2  0  0
    4 -1.3164238631529668e-08   1  0  1  0  2  0  0
    4  1.4476009652140790e-07   0  1  1  0  2  0  0
    4  3.7071592234482773e-08   0  0  2  0  2  0  0
    4  1.4476009652140790e-07   1  0  0  1  2  0  0
    4 -1.3164238631529668e-08   0  1  0  1  2  0  0
    4  3.7071592234482773e-08   0  0  0  2  2  0  0
    4 -4.2833302641779756e-07   1  0  0  0  3  0  0
    4 -4.2833302641779756e-07   0  1  0  0  3  0  0
    4 -1.6752956587225936e-08   0  0  1  0  3  0  0
    4 -1.6752956587225936e-08   0  0  0  1  3  0  0
  -98  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 4, NV = 7, INA = 48075
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -5.1852762219977340e-08   3  0  0  0  0  0  0
    3 -7.5176877162143152e-08   2  1  0  0  0  0  0
    3  7.5176877162143152e-08   1  2  0  0  0  0  0
    3  5.1852762219977340e-08   0  3  0  0  0  0  0
    3 -8.0480218987456094e-09   2  0  1  0  0  0  0
    3 -1.9612989814336074e-08   1  1  1  0  0  0  0
    3 -8.8308606276173108e-08   0  2  1  0  0  0  0
    3  1.0372632501638845e-07   1  0  2  0  0  0  0
    3 -1.2170834811774308e-08   0  1  2  0  0  0  0
    3  6.1656547438228952e-09   0  0  3  0  0  0  0
    3  8.8308606276173108e-08   2  0  0  1  0  0  0
    3  1.9612989814336074e-08   1  1  0  1  0  0  0
    3  8.0480218987456094e-09   0  2  0  1  0  0  0
    3 -2.3917731907299615e-07   1  0  1  1  0  0  0
    3  2.3917731907299615e-07   0  1  1  1  0  0  0
    3 -2.7093709731858527e-08   0  0  2  1  0  0  0
    3  1.2170834811774308e-08   1  0  0  2  0  0  0
    3 -1.0372632501638845e-07   0  1  0  2  0  0  0
    3  2.7093709731858527e-08   0  0  1  2  0  0  0
    3 -6.1656547438228952e-09   0  0  0  3  0  0  0
    3 -2.6519508558297189e-07   2  0  0  0  1  0  0
    3  2.6519508558297189e-07   0  2  0  0  1  0  0
    3  1.4243743726565681e-07   1  0  1  0  1  0  0
    3  4.6335737123748380e-09   0  1  1  0  1  0  0
    3  1.1475427276569864e-07   0  0  2  0  1  0  0
    3 -4.6335737123748380e-09   1  0  0  1  1  0  0
    3 -1.4243743726565681e-07   0  1  0  1  1  0  0
    3 -1.1475427276569864e-07   0  0  0  2  1  0  0
    3  1.1724453702579381e-06   1  0  0  0  2  0  0
    3 -1.1724453702579381e-06   0  1  0  0  2  0  0
    3  1.2094640147974764e-08   0  0  1  0  2  0  0
    3 -1.2094640147974764e-08   0  0  0  1  2  0  0
    4  1.4143374479778556e-09   4  0  0  0  0  0  0
    4 -5.0488611703183103e-08   3  1  0  0  0  0  0
    4  5.0488611703183103e-08   1  3  0  0  0  0  0
    4 -1.4143374479778556e-09   0  4  0  0  0  0  0
    4  4.4133714121093878e-09   3  0  1  0  0  0  0
    4 -6.9852067459789085e-08   2  1  1  0  0  0  0
    4 -1.7577004569169497e-08   1  2  1  0  0  0  0
    4 -1.2121335050898306e-07   0  3  1  0  0  0  0
    4  1.1504725081830340e-08   2  0  2  0  0  0  0
    4 -1.0231786996484369e-07   1  1  2  0  0  0  0
    4 -1.7227179973936469e-08   0  2  2  0  0  0  0
    4  9.9883160884526262e-09   1  0  3  0  0  0  0
    4 -1.3164806526981343e-08   0  1  3  0  0  0  0
    4  2.1975940828165823e-09   0  0  4  0  0  0  0
    4  1.2121335050898306e-07   3  0  0  1  0  0  0
    4  1.7577004569169497e-08   2  1  0  1  0  0  0
    4  6.9852067459789085e-08   1  2  0  1  0  0  0
    4 -4.4133714121093878e-09   0  3  0  1  0  0  0
    4 -6.9105500027103290e-08   2  0  1  1  0  0  0
    4  6.9105500027103290e-08   0  2  1  1  0  0  0
    4 -3.1353169393122113e-08   1  0  2  1  0  0  0
    4  1.3710640974211375e-08   0  1  2  1  0  0  0
    4 -1.6261581429366059e-08   0  0  3  1  0  0  0
    4  1.7227179973936469e-08   2  0  0  2  0  0  0
    4  1.0231786996484369e-07   1  1  0  2  0  0  0
    4 -1.1504725081830340e-08   0  2  0  2  0  0  0
    4 -1.3710640974211375e-08   1  0  1  2  0  0  0
    4  3.1353169393122113e-08   0  1  1  2  0  0  0
    4  1.3164806526981343e-08   1  0  0  3  0  0  0
    4 -9.9883160884526262e-09   0  1  0  3  0  0  0
    4  1.6261581429366059e-08   0  0  1  3  0  0  0
    4 -2.1975940828165823e-09   0  0  0  4  0  0  0
    4  5.7747020246327260e-08   3  0  0  0  1  0  0
    4 -1.5391928401227485e-07   2  1  0  0  1  0  0
    4  1.5391928401227485e-07   1  2  0  0  1  0  0
