
tpsa, NO = 10, NV = 7, INA = 48091
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  9.7658612306393050e-07   3  0  0  0  0  0  0
    3  5.1495929027506479e-06   2  1  0  0  0  0  0
    3  5.1495929027506479e-06   1  2  0  0  0  0  0
    3  9.7658612306393050e-07   0  3  0  0  0  0  0
    3 -1.7462143783268213e-07   1  0  2  0  0  0  0
    3 -1.9372664054321863e-06   0  1  2  0  0  0  0
    3  2.4294992905510004e-06   1  0  1  1  0  0  0
    3  2.4294992905510004e-06   0  1  1  1  0  0  0
    3 -1.9372664054321863e-06   1  0  0  2  0  0  0
    3 -1.7462143783268213e-07   0  1  0  2  0  0  0
    3 -2.4085248976809357e-07   2  0  0  0  1  0  0
    3 -3.5040621942675888e-07   1  1  0  0  1  0  0
    3 -2.4085248976809357e-07   0  2  0  0  1  0  0
    3  3.5584589710205375e-07   0  0  2  0  1  0  0
    3 -2.0374646857853135e-07   0  0  1  1  1  0  0
    3  3.5584589710205375e-07   0  0  0  2  1  0  0
    3  1.4345821999580888e-06   1  0  0  0  2  0  0
    3  1.4345821999580888e-06   0  1  0  0  2  0  0
    3 -7.8008368694295084e-08   0  0  0  0  3  0  0
    4 -1.6651380879980000e-06   4  0  0  0  0  0  0
    4  1.5126994416282870e-08   3  1  0  0  0  0  0
    4  1.4170426256159224e-06   2  2  0  0  0  0  0
    4  1.5126994416282870e-08   1  3  0  0  0  0  0
    4 -1.6651380879980000e-06   0  4  0  0  0  0  0
    4  1.0056767382503718e-07   2  0  2  0  0  0  0
    4 -1.0604438881753295e-06   1  1  2  0  0  0  0
    4 -1.4791219452606831e-08   0  2  2  0  0  0  0
    4  4.2949877291731952e-08   0  0  4  0  0  0  0
    4  1.3391593144157911e-07   2  0  1  1  0  0  0
    4  3.0855830753801919e-06   1  1  1  1  0  0  0
    4  1.3391593144157911e-07   0  2  1  1  0  0  0
    4 -2.1094629013694488e-07   0  0  3  1  0  0  0
    4 -1.4791219452606831e-08   2  0  0  2  0  0  0
    4 -1.0604438881753295e-06   1  1  0  2  0  0  0
    4  1.0056767382503718e-07   0  2  0  2  0  0  0
    4  3.5021001271070591e-07   0  0  2  2  0  0  0
    4 -2.1094629013694488e-07   0  0  1  3  0  0  0
    4  4.2949877291731952e-08   0  0  0  4  0  0  0
    4 -8.8895776968609822e-08   3  0  0  0  1  0  0
    4 -1.6133576668475582e-06   2  1  0  0  1  0  0
    4 -1.6133576668475582e-06   1  2  0  0  1  0  0
    4 -8.8895776968609822e-08   0  3  0  0  1  0  0
    4  5.9852393724488874e-08   1  0  2  0  1  0  0
    4  3.8019275476669341e-07   0  1  2  0  1  0  0
    4 -5.7508671752073743e-07   1  0  1  1  1  0  0
    4 -5.7508671752073743e-07   0  1  1  1  1  0  0
    4  3.8019275476669341e-07   1  0  0  2  1  0  0
    4  5.9852393724488874e-08   0  1  0  2  1  0  0
    4 -6.1964253760065986e-09   2  0  0  0  2  0  0
    4  2.1500639037097382e-06   1  1  0  0  2  0  0
    4 -6.1964253760065986e-09   0  2  0  0  2  0  0
    4 -8.5424275443001821e-08   0  0  2  0  2  0  0
    4  2.4034479971690051e-07   0  0  1  1  2  0  0
    4 -8.5424275443001821e-08   0  0  0  2  2  0  0
    4 -1.5840172820979175e-07   1  0  0  0  3  0  0
    4 -1.5840172820979175e-07   0  1  0  0  3  0  0
    4  5.6934608019640604e-08   0  0  0  0  4  0  0
    5  1.1429292299097624e-06   5  0  0  0  0  0  0
    5 -4.2441940655868599e-06   4  1  0  0  0  0  0
    5  1.8238040338447272e-06   3  2  0  0  0  0  0
    5  1.8238040338447272e-06   2  3  0  0  0  0  0
    5 -4.2441940655868599e-06   1  4  0  0  0  0  0
    5  1.1429292299097624e-06   0  5  0  0  0  0  0
    5  8.6721175211141744e-07   3  0  2  0  0  0  0
    5  4.2525605118308348e-07   2  1  2  0  0  0  0
    5 -2.7852457492198473e-07   1  2  2  0  0  0  0
    5  4.9017841865566686e-07   0  3  2  0  0  0  0
    5 -1.0744720689858504e-07   1  0  4  0  0  0  0
    5  3.3184506031388047e-09   0  1  4  0  0  0  0
    5 -2.0818606231480837e-06   3  0  1  1  0  0  0
    5  3.6520315177104272e-07   2  1  1  1  0  0  0
    5  3.6520315177104272e-07   1  2  1  1  0  0  0
    5 -2.0818606231480837e-06   0  3  1  1  0  0  0
    5  4.0476821241379533e-08   1  0  3  1  0  0  0
    5 -1.7963102066849423e-07   0  1  3  1  0  0  0
    5  4.9017841865566686e-07   3  0  0  2  0  0  0
    5 -2.7852457492198473e-07   2  1  0  2  0  0  0
    5  4.2525605118308348e-07   1  2  0  2  0  0  0
    5  8.6721175211141744e-07   0  3  0  2  0  0  0
    5  3.1853901896251041e-07   1  0  2  2  0  0  0
    5  3.1853901896251041e-07   0  1  2  2  0  0  0
    5 -1.7963102066849423e-07   1  0  1  3  0  0  0
    5  4.0476821241379533e-08   0  1  1  3  0  0  0
    5  3.3184506031388047e-09   1  0  0  4  0  0  0
    5 -1.0744720689858504e-07   0  1  0  4  0  0  0
    5  8.6560427767422232e-07   4  0  0  0  1  0  0
    5  8.7025174761051979e-07   3  1  0  0  1  0  0
    5 -5.3978976549137563e-08   2  2  0  0  1  0  0
    5  8.7025174761051979e-07   1  3  0  0  1  0  0
    5  8.6560427767422232e-07   0  4  0  0  1  0  0
    5 -7.3755104834015184e-08   2  0  2  0  1  0  0
    5  2.8685184601204023e-07   1  1  2  0  1  0  0
    5  5.2704378158035888e-08   0  2  2  0  1  0  0
    5 -9.1640186999054760e-09   0  0  4  0  1  0  0
    5 -8.8278073110241383e-08   2  0  1  1  1  0  0
    5 -9.8340459138690857e-07   1  1  1  1  1  0  0
    5 -8.8278073110241383e-08   0  2  1  1  1  0  0
    5  3.7206620668907207e-08   0  0  3  1  1  0  0
    5  5.2704378158035888e-08   2  0  0  2  1  0  0
    5  2.8685184601204023e-07   1  1  0  2  1  0  0
    5 -7.3755104834015184e-08   0  2  0  2  1  0  0
    5 -6.7734492110404512e-08   0  0  2  2  1  0  0
    5  3.7206620668907207e-08   0  0  1  3  1  0  0
    5 -9.1640186999054760e-09   0  0  0  4  1  0  0
    5 -9.8474391482645462e-07   3  0  0  0  2  0  0
    5  6.0765276650899723e-07   2  1  0  0  2  0  0
    5  6.0765276650899723e-07   1  2  0  0  2  0  0
    5 -9.8474391482645462e-07   0  3  0  0  2  0  0
    5 -1.1998591737252714e-07   1  0  2  0  2  0  0
    5 -6.2315146810137661e-08   0  1  2  0  2  0  0
    5  4.0526359963092657e-07   1  0  1  1  2  0  0
    5  4.0526359963092657e-07   0  1  1  1  2  0  0
    5 -6.2315146810137661e-08   1  0  0  2  2  0  0
    5 -1.1998591737252714e-07   0  1  0  2  2  0  0
    5 -2.6575707096850079e-07   2  0  0  0  3  0  0
    5  1.3740216932760892e-08   1  1  0  0  3  0  0
    5 -2.6575707096850079e-07   0  2  0  0  3  0  0
    5  1.0059959691827632e-08   0  0  2  0  3  0  0
    5 -2.8763708909777513e-08   0  0  1  1  3  0  0
    5  1.0059959691827632e-08   0  0  0  2  3  0  0
    5  9.6857420204746888e-08   1  0  0  0  4  0  0
    5  9.6857420204746888e-08   0  1  0  0  4  0  0
    5  3.3709116866712112e-09   0  0  0  0  5  0  0
    6  3.5899255647353236e-07   6  0  0  0  0  0  0
    6  3.6508514011349225e-06   5  1  0  0  0  0  0
    6 -3.8343529996484439e-06   4  2  0  0  0  0  0
    6  7.5899850029140584e-06   3  3  0  0  0  0  0
    6 -3.8343529996484439e-06   2  4  0  0  0  0  0
    6  3.6508514011349225e-06   1  5  0  0  0  0  0
    6  3.5899255647353236e-07   0  6  0  0  0  0  0
    6 -1.1705033540812378e-06   4  0  2  0  0  0  0
    6  1.4723503172714429e-07   3  1  2  0  0  0  0
    6 -5.7933001496004539e-07   2  2  2  0  0  0  0
    6  5.8960072186120106e-07   1  3  2  0  0  0  0
    6 -1.1188737043962351e-07   0  4  2  0  0  0  0
    6  1.0288187862709760e-07   2  0  4  0  0  0  0
    6 -9.4186275609862808e-08   1  1  4  0  0  0  0
    6  3.3674334937067820e-08   0  2  4  0  0  0  0
    6  3.1606771134515658e-09   0  0  6  0  0  0  0
    6  1.5150538040113869e-06   4  0  1  1  0  0  0
    6 -2.0349950851900220e-06   3  1  1  1  0  0  0
    6  2.8330307438154082e-06   2  2  1  1  0  0  0
    6 -2.0349950851900220e-06   1  3  1  1  0  0  0
    6  1.5150538040113869e-06   0  4  1  1  0  0  0
    6  1.1155065887400869e-07   2  0  3  1  0  0  0
    6  1.9012820344714066e-07   1  1  3  1  0  0  0
    6  1.5358560818516748e-07   0  2  3  1  0  0  0
    6 -1.1448623005814315e-08   0  0  5  1  0  0  0
    6 -1.1188737043962351e-07   4  0  0  2  0  0  0
    6  5.8960072186120106e-07   3  1  0  2  0  0  0
    6 -5.7933001496004539e-07   2  2  0  2  0  0  0
    6  1.4723503172714429e-07   1  3  0  2  0  0  0
    6 -1.1705033540812378e-06   0  4  0  2  0  0  0
    6 -4.8267036122163105e-07   2  0  2  2  0  0  0
    6 -6.7628694729743823e-08   1  1  2  2  0  0  0
    6 -4.8267036122163105e-07   0  2  2  2  0  0  0
    6 -2.1251679490852901e-08   0  0  4  2  0  0  0
    6  1.5358560818516748e-07   2  0  1  3  0  0  0
    6  1.9012820344714066e-07   1  1  1  3  0  0  0
    6  1.1155065887400869e-07   0  2  1  3  0  0  0
    6  6.3831749974964027e-08   0  0  3  3  0  0  0
    6  3.3674334937067820e-08   2  0  0  4  0  0  0
    6 -9.4186275609862808e-08   1  1  0  4  0  0  0
    6  1.0288187862709760e-07   0  2  0  4  0  0  0
    6 -2.1251679490852901e-08   0  0  2  4  0  0  0
    6 -1.1448623005814315e-08   0  0  1  5  0  0  0
    6  3.1606771134515658e-09   0  0  0  6  0  0  0
    6 -8.5011559182922962e-07   5  0  0  0  1  0  0
    6  7.4522387109715009e-07   4  1  0  0  1  0  0
