
tpsa, NO = 10, NV = 7, INA = 48021
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  2.2427167991471203e-01   1  0  0  0  0  0  0
    1  2.1842469807759308e+01   0  1  0  0  0  0  0
    1  8.3082310286018821e-04   0  0  0  0  1  0  0
    2  5.2473621189260506e+01   2  0  0  0  0  0  0
    2 -2.7638909642967059e+02   1  1  0  0  0  0  0
    2 -2.7817517840648152e+03   0  2  0  0  0  0  0
    2  2.0420360400765345e+00   0  0  2  0  0  0  0
    2  1.0450268598113328e+02   0  0  1  1  0  0  0
    2  1.4771197076090168e+03   0  0  0  2  0  0  0
    2 -9.6095181305921740e-01   1  0  0  0  1  0  0
    2 -1.0745520195631313e+02   0  1  0  0  1  0  0
    2  2.2557155569280702e+00   0  0  0  0  2  0  0
    3 -5.7413028456313577e+02   3  0  0  0  0  0  0
    3 -9.7738235185356716e+03   2  1  0  0  0  0  0
    3  6.3468828835939988e+04   1  2  0  0  0  0  0
    3  6.2372477226028789e+05   0  3  0  0  0  0  0
    3 -2.7565829732761731e+01   1  0  2  0  0  0  0
    3 -2.6914459934044057e+03   0  1  2  0  0  0  0
    3  2.4812585278832394e+03   1  0  1  1  0  0  0
    3 -1.1768095884907550e+04   0  1  1  1  0  0  0
    3  3.1280098712299568e+03   1  0  0  2  0  0  0
    3 -4.9074551739803504e+05   0  1  0  2  0  0  0
    3 -3.1916381641158279e+02   2  0  0  0  1  0  0
    3 -1.3528476666415277e+03   1  1  0  0  1  0  0
    3  5.8326554056944224e+03   0  2  0  0  1  0  0
    3 -7.4205341328073303e+01   0  0  2  0  1  0  0
    3  3.3674677841613465e+02   0  0  1  1  1  0  0
    3 -1.3151370149195973e+04   0  0  0  2  1  0  0
    3  3.0169307334658182e+01   1  0  0  0  2  0  0
    3 -8.7215830059778364e+02   0  1  0  0  2  0  0
    3 -1.4275198359484781e+01   0  0  0  0  3  0  0
    4 -1.4775879614397083e+04   4  0  0  0  0  0  0
    4  3.1195700373338978e+05   3  1  0  0  0  0  0
    4  3.0602030270683141e+06   2  2  0  0  0  0  0
    4 -1.9081008867756844e+07   1  3  0  0  0  0  0
    4 -2.7949488480255872e+07   0  4  0  0  0  0  0
    4 -5.4896183881179550e+03   2  0  2  0  0  0  0
    4  6.1346155845942194e+04   1  1  2  0  0  0  0
    4  7.9411395910982066e+05   0  2  2  0  0  0  0
    4 -3.7793620414881246e+02   0  0  4  0  0  0  0
    4 -2.8367129881261288e+04   2  0  1  1  0  0  0
    4  3.8511212394405156e+03   1  1  1  1  0  0  0
    4  2.1603504394015954e+06   0  2  1  1  0  0  0
    4 -8.7983798087953528e+03   0  0  3  1  0  0  0
    4 -1.4720555633690970e+06   2  0  0  2  0  0  0
    4  3.4602910414512511e+06   1  1  0  2  0  0  0
    4  1.6541148459477669e+08   0  2  0  2  0  0  0
    4 -1.3116314122322874e+05   0  0  2  2  0  0  0
    4 -7.2374421577362251e+05   0  0  1  3  0  0  0
    4 -1.8466117957674783e+07   0  0  0  4  0  0  0
    4  1.0390123205827098e+04   3  0  0  0  1  0  0
    4 -5.9087135476178955e+03   2  1  0  0  1  0  0
    4  4.0160873833827692e+05   1  2  0  0  1  0  0
    4 -1.1917654601453025e+07   0  3  0  0  1  0  0
    4  1.8599049581847867e+03   1  0  2  0  1  0  0
    4 -1.2841406268932478e+03   0  1  2  0  1  0  0
    4  2.5158513332545899e+03   1  0  1  1  1  0  0
    4 -2.2779142511355408e+05   0  1  1  1  1  0  0
    4  3.6472109552611335e+04   1  0  0  2  1  0  0
    4  1.5756353818615135e+06   0  1  0  2  1  0  0
    4 -4.7214238112998173e+03   2  0  0  0  2  0  0
    4  4.1629632892707254e+04   1  1  0  0  2  0  0
    4  6.2632359670511773e+05   0  2  0  0  2  0  0
    4 -2.9296101060485967e+01   0  0  2  0  2  0  0
    4 -9.4356783194748386e+03   0  0  1  1  2  0  0
    4 -4.0425373692549372e+04   0  0  0  2  2  0  0
    4  1.1661273868334679e+03   1  0  0  0  3  0  0
    4 -7.9261773503899321e+03   0  1  0  0  3  0  0
    4 -1.4730504489799233e+02   0  0  0  0  4  0  0
    5  3.6974036407207290e+05   5  0  0  0  0  0  0
    5  5.9819052446115911e+06   4  1  0  0  0  0  0
    5 -1.2474921795816159e+08   3  2  0  0  0  0  0
    5  2.2304757832886940e+08   2  3  0  0  0  0  0
    5  4.6536234344370437e+08   1  4  0  0  0  0  0
    5 -1.8390383037434449e+09   0  5  0  0  0  0  0
    5  1.3875584846063054e+05   3  0  2  0  0  0  0
    5  3.0632829228060767e+06   2  1  2  0  0  0  0
    5 -2.5661729266586758e+07   1  2  2  0  0  0  0
    5 -1.0357909261586688e+07   0  3  2  0  0  0  0
    5  8.5267697022825450e+03   1  0  4  0  0  0  0
    5  4.2130115089233394e+05   0  1  4  0  0  0  0
    5 -3.8247691173156770e+05   3  0  1  1  0  0  0
    5  1.3458334917543933e+07   2  1  1  1  0  0  0
    5 -1.4007742668411963e+07   1  2  1  1  0  0  0
    5 -5.2991843890304744e+08   0  3  1  1  0  0  0
    5 -4.9430376785239365e+04   1  0  3  1  0  0  0
    5  1.2849239082479188e+06   0  1  3  1  0  0  0
    5  1.4788480777762430e+06   3  0  0  2  0  0  0
    5  7.8477188132441807e+08   2  1  0  2  0  0  0
    5 -2.1057403985903258e+09   1  2  0  2  0  0  0
    5 -1.5774634283539993e+10   0  3  0  2  0  0  0
    5  2.1874233480615178e+06   1  0  2  2  0  0  0
    5  1.3955262946018326e+08   0  1  2  2  0  0  0
    5 -4.2153013099534780e+07   1  0  1  3  0  0  0
    5  4.0679179452045488e+08   0  1  1  3  0  0  0
    5 -3.2278623328707331e+08   1  0  0  4  0  0  0
    5  1.3574427615395302e+10   0  1  0  4  0  0  0
    5 -1.7147205156983400e+04   4  0  0  0  1  0  0
    5 -1.3451451491731778e+06   3  1  0  0  1  0  0
    5 -8.7914912203258216e+07   2  2  0  0  1  0  0
    5  1.6825592031655061e+08   1  3  0  0  1  0  0
    5  1.8463413935667691e+09   0  4  0  0  1  0  0
    5  2.7341788437553769e+03   2  0  2  0  1  0  0
    5 -2.0508461580288550e+05   1  1  2  0  1  0  0
    5 -1.6141275924913183e+07   0  2  2  0  1  0  0
    5  1.0166649358713976e+03   0  0  4  0  1  0  0
    5 -1.6886995465225802e+05   2  0  1  1  1  0  0
    5  3.9739223468420980e+05   1  1  1  1  1  0  0
    5 -1.1192649802795798e+06   0  2  1  1  1  0  0
    5 -2.6002428923883112e+04   0  0  3  1  1  0  0
    5  9.3558882318604439e+06   2  0  0  2  1  0  0
    5 -1.4977606478046924e+07   1  1  0  2  1  0  0
    5 -2.7670004088185768e+09   0  2  0  2  1  0  0
    5  6.2804430043474073e+05   0  0  2  2  1  0  0
    5 -5.5468770570152923e+06   0  0  1  3  1  0  0
    5  1.4416776963136339e+08   0  0  0  4  1  0  0
    5 -2.9866615772464920e+04   3  0  0  0  2  0  0
    5  3.3072006637751767e+06   2  1  0  0  2  0  0
    5 -1.2323241633607574e+07   1  2  0  0  2  0  0
    5 -3.5023187399879873e+07   0  3  0  0  2  0  0
    5 -7.4940416422590852e+03   1  0  2  0  2  0  0
    5  4.8495330546577548e+05   0  1  2  0  2  0  0
    5 -1.7052581905631293e+05   1  0  1  1  2  0  0
    5  2.8979966913162936e+06   0  1  1  1  2  0  0
    5 -1.2294687433005972e+06   1  0  0  2  2  0  0
    5  1.0596237592329988e+08   0  1  0  2  2  0  0
    5  2.5085385329087418e+04   2  0  0  0  3  0  0
    5 -2.7851257649001479e+05   1  1  0  0  3  0  0
    5 -4.1508462987167891e+06   0  2  0  0  3  0  0
    5 -1.4679779038690740e+03   0  0  2  0  3  0  0
    5  1.0949820050850198e+04   0  0  1  1  3  0  0
    5  2.3279889932357590e+05   0  0  0  2  3  0  0
    5 -6.9363785526256197e+03   1  0  0  0  4  0  0
    5  1.1179642786512757e+05   0  1  0  0  4  0  0
    5  2.5317148135285370e+02   0  0  0  0  5  0  0
    6  5.5835917014206732e+06   6  0  0  0  0  0  0
    6 -2.9648123761633611e+08   5  1  0  0  0  0  0
    6  1.8536640339706922e+09   4  2  0  0  0  0  0
    6 -3.1833545758158684e+07   3  3  0  0  0  0  0
    6 -4.3717685905611954e+10   2  4  0  0  0  0  0
    6  1.7072615833501102e+11   1  5  0  0  0  0  0
    6  1.0213824613973085e+11   0  6  0  0  0  0  0
    6  3.6379140131183425e+06   4  0  2  0  0  0  0
    6 -1.1694078102587268e+08   3  1  2  0  0  0  0
    6  4.1705675500295877e+08   2  2  2  0  0  0  0
    6 -2.4880598241215873e+08   1  3  2  0  0  0  0
    6 -6.6588953556216068e+09   0  4  2  0  0  0  0
    6  9.1793645630175271e+05   2  0  4  0  0  0  0
    6 -1.3246297727615688e+07   1  1  4  0  0  0  0
    6  1.0499510626660798e+07   0  2  4  0  0  0  0
    6  6.8308441328128480e+04   0  0  6  0  0  0  0
    6  1.7038068684749402e+07   4  0  1  1  0  0  0
    6 -7.8549135601660520e+07   3  1  1  1  0  0  0
    6 -3.8310661352146883e+09   2  2  1  1  0  0  0
    6  7.1425720953444500e+09   1  3  1  1  0  0  0
    6  5.4315091636405731e+10   0  4  1  1  0  0  0
    6  6.2735616905459855e+06   2  0  3  1  0  0  0
    6 -1.4778632638693739e+07   1  1  3  1  0  0  0
    6 -4.1281770677538776e+08   0  2  3  1  0  0  0
    6  4.7956438749020139e+05   0  0  5  1  0  0  0
    6  1.0586338757699642e+09   4  0  0  2  0  0  0
    6 -9.7016230888330269e+09   3  1  0  2  0  0  0
    6 -7.6857121726054779e+10   2  2  0  2  0  0  0
    6  3.0723403963748846e+11   1  3  0  2  0  0  0
    6 -6.7417827079501526e+11   0  4  0  2  0  0  0
    6  3.6240593637177098e+08   2  0  2  2  0  0  0
    6 -1.3270216441883554e+09   1  1  2  2  0  0  0
    6 -1.4229759956395201e+10   0  2  2  2  0  0  0
