
n = 1:
   sl1(1) =  -2.6941971 3
   sl1(2) =  -2.6941971 3
   sl1(3) =  -2.6941971 3
   sl1(4) =  -2.6941971 3
   sl1(5) =  -2.6941971 3
   sl1(6) =  -2.6941971 3
   sl1(7) =  -2.6941971 3
   sl1(8) =  -2.6941971 3
   sl1(9) =  -2.6941971 3
   sl1(10) =  -2.6941971 3
   sl2(1) =   4.1958293 3
   sl2(2) =   4.1958293 3
   sl2(3) =   4.1958293 3
   sl2(4) =   4.1958293 3
   sl2(5) =   4.1958293 3
   sl2(6) =   4.1958293 3
   sl2(7) =   4.1958293 3
   sl2(8) =   4.1958293 3
   sl2(9) =   4.1958293 3
   sl2(10) =   4.1958293 3
   sl3(1) =  -2.8425413 3
   sl3(2) =  -2.8425413 3
   sl3(3) =  -2.8425413 3
   sl3(4) =  -2.8425413 3
   sl3(5) =  -2.8425413 3
   sl3(6) =  -2.8425413 3
   sl3(7) =  -2.8425413 3
   sl3(8) =  -2.8425413 3
   sl3(9) =  -2.8425413 3
   sl3(10) =  -2.8425413 3
   sm1(1) =  -2.4474026 3
   sm1(2) =  -2.4474026 3
   sm1(3) =  -2.4474026 3
   sm1(4) =  -2.4474026 3
   sm1(5) =  -2.4474026 3
   sm1(6) =  -2.4474026 3
   sm1(7) =  -2.4474026 3
   sm1(8) =  -2.4474026 3
   sm1(9) =  -2.4474026 3
   sm1(10) =  -2.4474026 3
   sm1(11) =  -2.4474026 3
   sm1(12) =  -2.4474026 3
   sm1(13) =  -2.4474026 3
   sm1(14) =  -2.4474026 3
   sm1(15) =  -2.4474026 3
   sm1(16) =  -2.4474026 3
   sm1(17) =  -2.4474026 3
   sm1(18) =  -2.4474026 3
   sm1(19) =  -2.4474026 3
   sm1(20) =  -2.4474026 3
   sm2(1) =   3.1727148 3
   sm2(2) =   3.1727148 3
   sm2(3) =   3.1727148 3
   sm2(4) =   3.1727148 3
   sm2(5) =   3.1727148 3
   sm2(6) =   3.1727148 3
   sm2(7) =   3.1727148 3
   sm2(8) =   3.1727148 3
   sm2(9) =   3.1727148 3
   sm2(10) =   3.1727148 3
   sh2(1) =   0.4626690 3
   sh2(2) =   0.4626690 3
   sh2(3) =   0.4626690 3
   sh2(4) =   0.4626690 3
   sh2(5) =   0.4626690 3
   sh2(6) =   0.4626690 3
   sh2(7) =   0.4626690 3
   sh2(8) =   0.4626690 3
   sh3(1) =   1.4216307 3
   sh3(2) =   1.4216307 3
   sh3(3) =   1.4216307 3
   sh3(4) =   1.4216307 3
   sh3(5) =   1.4216307 3
   sh3(6) =   1.4216307 3
   sh3(7) =   1.4216307 3
   sh3(8) =   1.4216307 3
   sh4(1) =  -2.5715449 3
   sh4(2) =  -2.5715449 3
   sh4(3) =  -2.5715449 3
   sh4(4) =  -2.5715449 3
   sh4(5) =  -2.5715449 3
   sh4(6) =  -2.5715449 3
   sh4(7) =  -2.5715449 3
   sh4(8) =  -2.5715449 3
   om1(1) = 605.0668191 5
   om1(2) = 605.0668191 5
   om1(3) = 605.0668191 5
   om1(4) = 605.0668191 5
   om1(5) = 605.0668191 5
   om1(6) = 605.0668191 5
   om1(7) = 605.0668191 5
   om1(8) = 605.0668191 5
   om1(9) = 605.0668191 5
   om1(10) = 605.0668191 5
   om2(1) = -948.7065527 5
   om2(2) = -948.7065527 5
   om2(3) = -948.7065527 5
   om2(4) = -948.7065527 5
   om2(5) = -948.7065527 5
   om2(6) = -948.7065527 5
   om2(7) = -948.7065527 5
   om2(8) = -948.7065527 5
   om2(9) = -948.7065527 5
   om2(10) = -948.7065527 5
sh2_dw(1) =   1.4318373 3
sh2_dw(2) =   1.4318373 3
sh3_dw(1) =  -1.0351856 3
sh3_dw(2) =  -1.0351856 3
