
tpsa, NO = 5, NV = 7, INA = 48081
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -2.1216199482439504e+00   1  1  0  0  0  0  0
    2 -1.0932729023794578e+00   0  0  1  1  0  0  0
    2  9.5719449158036696e-03   0  0  0  0  2  0  0
    3  4.9341683361708277e-01   3  0  0  0  0  0  0
    3  4.4083891471412990e+01   2  1  0  0  0  0  0
    3  4.4083891471412990e+01   1  2  0  0  0  0  0
    3  4.9341683361708277e-01   0  3  0  0  0  0  0
    3 -2.1709758662546594e+02   1  0  2  0  0  0  0
    3 -6.9704281416638025e-01   0  1  2  0  0  0  0
    3  6.2872380390130900e+00   1  0  1  1  0  0  0
    3  6.2872380390130900e+00   0  1  1  1  0  0  0
    3 -6.9704281416638025e-01   1  0  0  2  0  0  0
    3 -2.1709758662546594e+02   0  1  0  2  0  0  0
    3  2.3717143059788011e+01   2  0  0  0  1  0  0
    3  2.6312591216992587e-08   1  1  0  0  1  0  0
    3  2.3717143059788011e+01   0  2  0  0  1  0  0
    3  9.3313528101210630e-01   0  0  2  0  1  0  0
    3  2.3603290055795867e-07   0  0  1  1  1  0  0
    3  9.3313528101210630e-01   0  0  0  2  1  0  0
    3 -2.0717003891077637e-15   1  0  0  0  2  0  0
    3 -2.0717003891077637e-15   0  1  0  0  2  0  0
    3 -9.6026165540749331e-03   0  0  0  0  3  0  0
    4  4.6631516787943816e+04   4  0  0  0  0  0  0
    4  1.2055851447695568e+03   3  1  0  0  0  0  0
    4 -2.8813774029935448e+03   2  2  0  0  0  0  0
    4  1.2055851447695568e+03   1  3  0  0  0  0  0
    4  4.6631516787943816e+04   0  4  0  0  0  0  0
    4 -2.8189418623118789e+04   2  0  2  0  0  0  0
    4  3.7011590818943787e+03   1  1  2  0  0  0  0
    4  1.6342723663602486e+04   0  2  2  0  0  0  0
    4 -6.8902850479657118e+03   0  0  4  0  0  0  0
    4 -2.5081311071107324e+04   2  0  1  1  0  0  0
    4 -4.7998814681007061e+04   1  1  1  1  0  0  0
    4 -2.5081311071107324e+04   0  2  1  1  0  0  0
    4  1.7954889215475938e+04   0  0  3  1  0  0  0
    4  1.6342723663602486e+04   2  0  0  2  0  0  0
    4  3.7011590818943787e+03   1  1  0  2  0  0  0
    4 -2.8189418623118789e+04   0  2  0  2  0  0  0
    4 -1.9936891020192848e+04   0  0  2  2  0  0  0
    4  1.7954889215475938e+04   0  0  1  3  0  0  0
    4 -6.8902850479657118e+03   0  0  0  4  0  0  0
    4 -9.9366833582528867e+04   3  0  0  0  1  0  0
    4  9.4026301571282966e+02   2  1  0  0  1  0  0
    4  9.4026301571282966e+02   1  2  0  0  1  0  0
    4 -9.9366833582528867e+04   0  3  0  0  1  0  0
    4 -9.9236207468547525e+02   1  0  2  0  1  0  0
    4  1.7179226436629542e+03   0  1  2  0  1  0  0
    4  1.4325112678536468e+03   1  0  1  1  1  0  0
    4  1.4325112678536468e+03   0  1  1  1  1  0  0
    4  1.7179226436629542e+03   1  0  0  2  1  0  0
    4 -9.9236207468547525e+02   0  1  0  2  1  0  0
    4 -1.3039941313904583e+02   2  0  0  0  2  0  0
    4 -5.4435804978564283e+02   1  1  0  0  2  0  0
    4 -1.3039941313904583e+02   0  2  0  0  2  0  0
    4  8.6728451487545328e+01   0  0  2  0  2  0  0
    4 -1.4037220252487987e+02   0  0  1  1  2  0  0
    4  8.6728451487545328e+01   0  0  0  2  2  0  0
    4  3.5334120603061874e-14   1  0  0  0  3  0  0
    4  3.5334120603061874e-14   0  1  0  0  3  0  0
    4  1.7358340074684345e-02   0  0  0  0  4  0  0
    5 -1.4774506406091426e+07   5  0  0  0  0  0  0
    5 -1.6729887725421301e+08   4  1  0  0  0  0  0
    5  1.6624975346501246e+06   3  2  0  0  0  0  0
    5  1.6624975346501246e+06   2  3  0  0  0  0  0
    5 -1.6729887725421301e+08   1  4  0  0  0  0  0
    5 -1.4774506406091426e+07   0  5  0  0  0  0  0
    5  5.7741825671802703e+06   3  0  2  0  0  0  0
    5 -1.2715212918716092e+06   2  1  2  0  0  0  0
    5 -5.7137060594137590e+06   1  2  2  0  0  0  0
    5 -1.1354144115874972e+06   0  3  2  0  0  0  0
    5 -4.5225591036752230e+06   1  0  4  0  0  0  0
    5  3.4129834696770897e+06   0  1  4  0  0  0  0
    5  6.6953266846499257e+07   3  0  1  1  0  0  0
    5 -2.9611022349055856e+06   2  1  1  1  0  0  0
    5 -2.9611022349055856e+06   1  2  1  1  0  0  0
    5  6.6953266846499257e+07   0  3  1  1  0  0  0
    5  6.2585082396348333e+06   1  0  3  1  0  0  0
    5 -3.3833583818658153e+06   0  1  3  1  0  0  0
    5 -1.1354144115874972e+06   3  0  0  2  0  0  0
    5 -5.7137060594137590e+06   2  1  0  2  0  0  0
    5 -1.2715212918716092e+06   1  2  0  2  0  0  0
    5  5.7741825671802703e+06   0  3  0  2  0  0  0
    5  6.4006565758169163e+06   1  0  2  2  0  0  0
    5  6.4006565758169163e+06   0  1  2  2  0  0  0
    5 -3.3833583818658153e+06   1  0  1  3  0  0  0
    5  6.2585082396348333e+06   0  1  1  3  0  0  0
    5  3.4129834696770897e+06   1  0  0  4  0  0  0
    5 -4.5225591036752230e+06   0  1  0  4  0  0  0
    5 -8.5689213283483684e+06   4  0  0  0  1  0  0
    5  8.2367556729601920e+06   3  1  0  0  1  0  0
    5 -7.7118960021414049e+05   2  2  0  0  1  0  0
    5  8.2367556729601920e+06   1  3  0  0  1  0  0
    5 -8.5689213283483684e+06   0  4  0  0  1  0  0
    5  5.1574853202813724e+05   2  0  2  0  1  0  0
    5  5.8271332852971600e+05   1  1  2  0  1  0  0
    5 -1.5228338342044983e+07   0  2  2  0  1  0  0
    5 -2.2523904262820777e+05   0  0  4  0  1  0  0
    5  1.1767305890281079e+06   2  0  1  1  1  0  0
    5  5.9812181771126203e+05   1  1  1  1  1  0  0
    5  1.1767305890281079e+06   0  2  1  1  1  0  0
    5 -1.3979430085696699e+05   0  0  3  1  1  0  0
    5 -1.5228338342044983e+07   2  0  0  2  1  0  0
    5  5.8271332852971600e+05   1  1  0  2  1  0  0
    5  5.1574853202813724e+05   0  2  0  2  1  0  0
    5  4.0426936174223694e+04   0  0  2  2  1  0  0
    5 -1.3979430085696699e+05   0  0  1  3  1  0  0
    5 -2.2523904262820777e+05   0  0  0  4  1  0  0
    5 -7.7874537838347885e+05   3  0  0  0  2  0  0
    5  3.3490583331877580e+06   2  1  0  0  2  0  0
    5  3.3490583331877580e+06   1  2  0  0  2  0  0
    5 -7.7874537838347885e+05   0  3  0  0  2  0  0
    5  6.8033262035268208e+03   1  0  2  0  2  0  0
    5  1.3402371155180048e+04   0  1  2  0  2  0  0
    5  3.5975345931773900e+03   1  0  1  1  2  0  0
    5  3.5975345931773900e+03   0  1  1  1  2  0  0
    5  1.3402371155180048e+04   1  0  0  2  2  0  0
    5  6.8033262035268208e+03   0  1  0  2  2  0  0
    5  2.3891328623701261e+03   2  0  0  0  3  0  0
    5  5.9946774819130178e+03   1  1  0  0  3  0  0
    5  2.3891328623701261e+03   0  2  0  0  3  0  0
    5 -2.9001380413603251e+03   0  0  2  0  3  0  0
    5  1.5916859790225890e+03   0  0  1  1  3  0  0
    5 -2.9001380413603251e+03   0  0  0  2  3  0  0
    5 -6.0315516179374534e-13   1  0  0  0  4  0  0
    5 -6.0315516179374534e-13   0  1  0  0  4  0  0
    5  2.8021960312300748e-01   0  0  0  0  5  0  0
 -126  0.0000000000000000e+00   0  0  0  0  0  0  0
