
tpsa, NO = 5, NV = 7, INA = 48086
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  3.8761013255105947e-02   3  0  0  0  0  0  0
    3  1.0389205547369809e+01   2  1  0  0  0  0  0
    3 -1.0389205547369809e+01   1  2  0  0  0  0  0
    3 -3.8761013255105947e-02   0  3  0  0  0  0  0
    3 -2.5196057797235998e+01   1  0  2  0  0  0  0
    3 -5.3679909020970582e+00   0  1  2  0  0  0  0
    3  1.4817069485552725e+00   1  0  1  1  0  0  0
    3 -1.4817069485552725e+00   0  1  1  1  0  0  0
    3  5.3679909020970582e+00   1  0  0  2  0  0  0
    3  2.5196057797235998e+01   0  1  0  2  0  0  0
    3  2.7946974055624949e+00   2  0  0  0  1  0  0
    3 -2.7946974055624949e+00   0  2  0  0  1  0  0
    3  2.1338114184051862e-01   0  0  2  0  1  0  0
    3 -2.1338114184051862e-01   0  0  0  2  1  0  0
    3 -4.8823550863162249e-16   1  0  0  0  2  0  0
    3  4.8823550863162249e-16   0  1  0  0  2  0  0
    4  2.7467964048368995e+03   4  0  0  0  0  0  0
    4  1.4689186169290042e+02   3  1  0  0  0  0  0
    4 -1.4689186169290042e+02   1  3  0  0  0  0  0
    4 -2.7467964048368995e+03   0  4  0  0  0  0  0
    4 -2.0770754263180934e+03   2  0  2  0  0  0  0
    4 -8.2277609535420106e+02   1  1  2  0  0  0  0
    4 -4.0002304754930419e+03   0  2  2  0  0  0  0
    4 -9.1904091024654099e+02   0  0  4  0  0  0  0
    4 -2.3975340503045804e+03   2  0  1  1  0  0  0
    4  2.3975340503045804e+03   0  2  1  1  0  0  0
    4  4.0034646393296907e+03   0  0  3  1  0  0  0
    4  4.0002304754930419e+03   2  0  0  2  0  0  0
    4  8.2277609535420106e+02   1  1  0  2  0  0  0
    4  2.0770754263180934e+03   0  2  0  2  0  0  0
    4 -4.0034646393296907e+03   0  0  1  3  0  0  0
    4  9.1904091024654099e+02   0  0  0  4  0  0  0
    4 -7.8252497530810851e+03   3  0  0  0  1  0  0
    4  5.7325681048287697e+02   2  1  0  0  1  0  0
    4 -5.7325681048287697e+02   1  2  0  0  1  0  0
    4  7.8252497530810851e+03   0  3  0  0  1  0  0
    4 -8.6082277641032078e+01   1  0  2  0  1  0  0
    4 -5.2770199317516344e+03   0  1  2  0  1  0  0
    4  2.9174928347017385e+02   1  0  1  1  1  0  0
    4 -2.9174928347017385e+02   0  1  1  1  1  0  0
    4  5.2770199317516344e+03   1  0  0  2  1  0  0
    4  8.6082277641032078e+01   0  1  0  2  1  0  0
    4 -1.5365548027679695e+01   2  0  0  0  2  0  0
    4  1.5365548027679695e+01   0  2  0  0  2  0  0
    4  1.9832297018485708e+01   0  0  2  0  2  0  0
    4 -1.9832297018485708e+01   0  0  0  2  2  0  0
    4  1.4033294761571043e-16   1  0  0  0  3  0  0
    4 -1.4033294761571043e-16   0  1  0  0  3  0  0
    5 -8.7901543869675638e+05   5  0  0  0  0  0  0
    5 -1.2535601169133447e+07   4  1  0  0  0  0  0
    5  4.2213552716677357e+05   3  2  0  0  0  0  0
    5 -4.2213552716677357e+05   2  3  0  0  0  0  0
    5  1.2535601169133447e+07   1  4  0  0  0  0  0
    5  8.7901543869675638e+05   0  5  0  0  0  0  0
    5  6.5576483304156829e+05   3  0  2  0  0  0  0
    5 -1.4240148072376428e+05   2  1  2  0  0  0  0
    5 -1.6119943605602916e+07   1  2  2  0  0  0  0
    5  1.2726054812822612e+06   0  3  2  0  0  0  0
    5 -5.1863172995865275e+05   1  0  4  0  0  0  0
    5  2.8337212744105095e+05   0  1  4  0  0  0  0
    5  5.2063556642319821e+06   3  0  1  1  0  0  0
    5 -2.5723538072112948e+04   2  1  1  1  0  0  0
    5  2.5723538072112948e+04   1  2  1  1  0  0  0
    5 -5.2063556642319821e+06   0  3  1  1  0  0  0
    5  1.1203214019925343e+06   1  0  3  1  0  0  0
    5  1.8910191045466583e+07   0  1  3  1  0  0  0
    5 -1.2726054812822612e+06   3  0  0  2  0  0  0
    5  1.6119943605602916e+07   2  1  0  2  0  0  0
    5  1.4240148072376428e+05   1  2  0  2  0  0  0
    5 -6.5576483304156829e+05   0  3  0  2  0  0  0
    5  6.7884249288423546e+05   1  0  2  2  0  0  0
    5 -6.7884249288423546e+05   0  1  2  2  0  0  0
    5 -1.8910191045466583e+07   1  0  1  3  0  0  0
    5 -1.1203214019925343e+06   0  1  1  3  0  0  0
    5 -2.8337212744105095e+05   1  0  0  4  0  0  0
    5  5.1863172995865275e+05   0  1  0  4  0  0  0
    5 -1.3847875082819545e+05   4  0  0  0  1  0  0
    5 -2.4857890256088442e+05   3  1  0  0  1  0  0
    5  2.4857890256088442e+05   1  3  0  0  1  0  0
    5  1.3847875082819545e+05   0  4  0  0  1  0  0
    5 -2.2772372953594962e+05   2  0  2  0  1  0  0
    5 -5.0313043539729842e+03   1  1  2  0  1  0  0
    5  5.4076540898684776e+04   0  2  2  0  1  0  0
    5 -2.5710087069662863e+04   0  0  4  0  1  0  0
    5  6.8574271287935553e+03   2  0  1  1  1  0  0
    5 -6.8574271287935553e+03   0  2  1  1  1  0  0
    5 -5.5171092710465469e+04   0  0  3  1  1  0  0
    5 -5.4076540898684776e+04   2  0  0  2  1  0  0
    5  5.0313043539729842e+03   1  1  0  2  1  0  0
    5  2.2772372953594962e+05   0  2  0  2  1  0  0
    5  5.5171092710465469e+04   0  0  1  3  1  0  0
    5  2.5710087069662863e+04   0  0  0  4  1  0  0
    5 -5.9053860788921753e+04   3  0  0  0  2  0  0
    5  9.3196996805789822e+03   2  1  0  0  2  0  0
    5 -9.3196996805789822e+03   1  2  0  0  2  0  0
    5  5.9053860788921753e+04   0  3  0  0  2  0  0
    5  3.4299796704183973e+03   1  0  2  0  2  0  0
    5  1.5315477033970467e+05   0  1  2  0  2  0  0
    5 -1.3183957785473904e+03   1  0  1  1  2  0  0
    5  1.3183957785473904e+03   0  1  1  1  2  0  0
    5 -1.5315477033970467e+05   1  0  0  2  2  0  0
    5 -3.4299796704183973e+03   0  1  0  2  2  0  0
    5  3.0122005356394432e+01   2  0  0  0  3  0  0
    5 -3.0122005356394432e+01   0  2  0  0  3  0  0
    5 -6.9036805652149542e+02   0  0  2  0  3  0  0
    5  6.9036805652149542e+02   0  0  0  2  3  0  0
    5 -6.1341091583446866e-15   1  0  0  0  4  0  0
    5  6.1341091583446866e-15   0  1  0  0  4  0  0
 -108  0.0000000000000000e+00   0  0  0  0  0  0  0
