
n = 1:
      ss1(1) =   1.5678226 3
      ss1(2) =   1.5678226 3
      ss2(1) =   0.0441080 3
      ss2(2) =   0.0441080 3
      ss3(1) =  -0.9320147 3
      ss3(2) =  -0.9320147 3
      ls1(1) =  -1.5138062 3
      ls1(2) =  -1.5138062 3
      ls2(1) =   2.3262761 3
      ls2(2) =   2.3262761 3
      ls3(1) =   0.3531061 3
      ls3(2) =   0.3531061 3
      sm1(1) =  10.8276580 3
      sm1(2) =  10.8276580 3
      sm1(3) =  10.8276580 3
      sm1(4) =  10.8276580 3
     sm2h(1) = -11.2520454 3
     sm2h(2) = -11.2520454 3
     sm2h(3) = -11.2520454 3
     sm2h(4) = -11.2520454 3

n = 2:
      ss1(1) =   2.8932057 3
      ss1(2) =   2.8932057 3
      ss2(1) =  -0.0037848 3
      ss2(2) =  -0.0037848 3
      ss3(1) =  -1.6778982 3
      ss3(2) =  -1.6778982 3
      ls1(1) =  -3.0978728 3
      ls1(2) =  -3.0978728 3
      ls2(1) =   4.3485285 3
      ls2(2) =   4.3485285 3
      ls3(1) =   0.9426172 3
      ls3(2) =   0.9426172 3
      sm1(1) =  10.8276625 3
      sm1(2) =  10.8276625 3
      sm1(3) =  10.8276625 3
      sm1(4) =  10.8276625 3
     sm2h(1) = -11.2520466 3
     sm2h(2) = -11.2520466 3
     sm2h(3) = -11.2520466 3
     sm2h(4) = -11.2520466 3

n = 3:
      ss1(1) =   3.6146448 3
      ss1(2) =   3.6146448 3
      ss2(1) =  -0.0017845 3
      ss2(2) =  -0.0017845 3
      ss3(1) =  -2.1100129 3
      ss3(2) =  -2.1100129 3
      ls1(1) =  -4.4584567 3
      ls1(2) =  -4.4584567 3
      ls2(1) =   5.9849854 3
      ls2(2) =   5.9849854 3
      ls3(1) =   1.6231483 3
      ls3(2) =   1.6231483 3
      sm1(1) =  10.8276659 3
      sm1(2) =  10.8276659 3
      sm1(3) =  10.8276659 3
      sm1(4) =  10.8276659 3
     sm2h(1) = -11.2520474 3
     sm2h(2) = -11.2520474 3
     sm2h(3) = -11.2520474 3
     sm2h(4) = -11.2520474 3

n = 4:
      ss1(1) =   3.8879004 3
      ss1(2) =   3.8879004 3
      ss2(1) =   0.0142034 3
      ss2(2) =   0.0142034 3
      ss3(1) =  -2.2815554 3
      ss3(2) =  -2.2815554 3
      ls1(1) =  -4.7677074 3
      ls1(2) =  -4.7677074 3
      ls2(1) =   6.7668545 3
      ls2(2) =   6.7668545 3
      ls3(1) =   1.5664343 3
      ls3(2) =   1.5664343 3
      sm1(1) =  10.8276678 3
      sm1(2) =  10.8276678 3
      sm1(3) =  10.8276678 3
      sm1(4) =  10.8276678 3
     sm2h(1) = -11.2520481 3
     sm2h(2) = -11.2520481 3
     sm2h(3) = -11.2520481 3
     sm2h(4) = -11.2520481 3

n = 5:
      ss1(1) =   4.1558451 3
      ss1(2) =   4.1558451 3
      ss2(1) =  -0.0444928 3
      ss2(2) =  -0.0444928 3
      ss3(1) =  -2.4116545 3
      ss3(2) =  -2.4116545 3
      ls1(1) =  -4.4293335 3
      ls1(2) =  -4.4293335 3
