
tpsa, NO = 5, NV = 7, INA = 48118
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  6.7533260425079178e-01   0  0  0  0  0  0  0
    1 -1.6440140513134269e-08   0  0  0  0  1  0  0
    2  3.7338103839859458e+00   1  1  0  0  0  0  0
    2  4.6891624923004729e+00   0  0  1  1  0  0  0
    2 -2.3190137186271551e+00   0  0  0  0  2  0  0
    3  6.8152572355724405e+04   1  1  0  0  1  0  0
    3  6.6243890839006272e+04   0  0  1  1  1  0  0
    3 -5.5141824534981914e+01   0  0  0  0  3  0  0
   -8  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 5, NV = 7, INA = 48119
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.4799957312422775e-01   0  0  0  0  0  0  0
    1 -2.1950468591306267e-08   0  0  0  0  1  0  0
    2  4.6891624923004729e+00   1  1  0  0  0  0  0
    2 -3.8660951957653573e+00   0  0  1  1  0  0  0
    2  4.0127916370540426e+01   0  0  0  0  2  0  0
    3  6.6243890839006272e+04   1  1  0  0  1  0  0
    3  4.9265743545441248e+04   0  0  1  1  1  0  0
    3 -5.0637699456843461e+02   0  0  0  0  3  0  0
   -8  0.0000000000000000e+00   0  0  0  0  0  0  0
