# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.67533 1.34800
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.8004056167422521e-04  9.4113689892635044e-19  1.9739113844525692e-03  1.3422591814628590e-18  0.0000000000000000e+00  0.0000000000000000e+00
   1  8.2572480817197385e-05  2.3734273854608841e-04 -1.2691068933186997e-03 -1.5951620602760331e-03  0.0000000000000000e+00 -4.4639769988268907e-03
   2  8.2734857212652475e-05 -2.2953384380685571e-04 -7.8406084032841942e-04  1.8250791914305967e-03  0.0000000000000000e+00  9.7280403546976077e-04
   3  3.2054166959061546e-04 -3.3602493405468963e-05  1.9263857235900963e-03 -5.3982258581739993e-04  0.0000000000000000e+00 -1.7236939966398450e-03
   4  4.4243889165880867e-05  2.8522890334631306e-04 -1.6491916167629085e-03 -1.2577228102315264e-03  0.0000000000000000e+00 -6.7791257287882749e-03
   5  6.0090864138104642e-05 -2.6819744268625557e-04 -2.4376390941834779e-04  1.9390621787051738e-03  0.0000000000000000e+00 -3.5680409439963448e-03
   6  4.1729516849014250e-04 -5.6284444651869021e-05  1.7714638831601355e-03 -1.0245863565673549e-03  0.0000000000000000e+00 -3.7198273139893560e-03
   7 -2.0564949986482703e-05  3.4490234332442267e-04 -1.8888614952679199e-03 -8.2793362180132982e-04  0.0000000000000000e+00 -8.0275304876422700e-03
   8  3.1114769672726764e-05 -3.2596932819469257e-04  3.0389084421776299e-04  1.9301030382024022e-03  0.0000000000000000e+00 -8.7033145813669843e-03
   9  5.1680678709464616e-04 -6.8708464649218183e-05  1.4862304024752329e-03 -1.4154139625928918e-03  0.0000000000000000e+00 -6.2349403878375733e-03
  10 -7.1408824566785949e-05  3.9120947862762945e-04 -1.9780518706052218e-03 -3.2597794043296043e-04  0.0000000000000000e+00 -8.7421754902400409e-03
  11 -1.0180547464283817e-05 -3.5769908939673400e-04  8.2023853067007238e-04  1.7846269802001928e-03  0.0000000000000000e+00 -1.3694486698070052e-02
  12  5.7366985123821909e-04 -8.6630057422175239e-05  1.0629828515327413e-03 -1.6910739087889685e-03  0.0000000000000000e+00 -9.2457186781889199e-03
  13 -6.0108740380295546e-05  4.1723212120558259e-04 -1.9309553646570071e-03  2.1792511900905077e-04  0.0000000000000000e+00 -9.8263827650473673e-03
  14 -8.1858405485863732e-05 -3.3263644216761072e-04  1.2712947583553885e-03  1.4938428857796508e-03  0.0000000000000000e+00 -1.7856420000390772e-02
  15  5.7425298955229127e-04 -1.3011360142745776e-04  5.2646450278122988e-04 -1.8463926116263371e-03  0.0000000000000000e+00 -1.2567088584068601e-02
  16  3.2305545903323607e-05  4.2698531796342518e-04 -1.7683919102469228e-03  7.5696990927055731e-04  0.0000000000000000e+00 -1.1994407790004385e-02
