
tpsa, NO = 5, NV = 7, INA = 48083
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -2.1216199482439504e+00   1  1  0  0  0  0  0
    2 -1.0932729023794578e+00   0  0  1  1  0  0  0
    2  9.5719449158036696e-03   0  0  0  0  2  0  0
    3  5.1750271475488788e-08   1  1  0  0  1  0  0
    3  6.9247400091843048e-08   0  0  1  1  1  0  0
    3 -9.6025796624364321e-03   0  0  0  0  3  0  0
    4  3.3573416541853476e+00   2  2  0  0  0  0  0
    4  1.2499048024828880e+00   1  1  1  1  0  0  0
    4 -1.6134611177545253e+00   0  0  2  2  0  0  0
    4  7.3216770854031505e+00   1  1  0  0  2  0  0
    4 -1.2607214924590713e+02   0  0  1  1  2  0  0
    4  1.7358167197044971e-02   0  0  0  0  4  0  0
    5 -1.0668042649110730e+05   2  2  0  0  1  0  0
    5 -2.0799167006463886e+05   1  1  1  1  1  0  0
    5 -7.7096668858400633e+04   0  0  2  2  1  0  0
    5  1.7327321080581191e+02   1  1  0  0  3  0  0
    5  1.5910415964084377e+03   0  0  1  1  3  0  0
    5  2.8021896362236248e-01   0  0  0  0  5  0  0
  -18  0.0000000000000000e+00   0  0  0  0  0  0  0
