
tpsa, NO = 5, NV = 7, INA = 48076
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  1.6613091719917885e+00   3  0  0  0  0  0  0
    3 -1.1705297761328223e+01   2  1  0  0  0  0  0
    3 -1.1705297761328223e+01   1  2  0  0  0  0  0
    3  1.6613091719917885e+00   0  3  0  0  0  0  0
    3 -3.9835770019574261e+00   1  0  2  0  0  0  0
    3  9.5002315721577846e-01   0  1  2  0  0  0  0
    3 -1.5421168047037629e+01   1  0  1  1  0  0  0
    3 -1.5421168047037629e+01   0  1  1  1  0  0  0
    3  9.5002315721577846e-01   1  0  0  2  0  0  0
    3 -3.9835770019574261e+00   0  1  0  2  0  0  0
    3  2.2540687627993163e+00   2  0  0  0  1  0  0
    3  5.1750270291250899e-08   1  1  0  0  1  0  0
    3  2.2540687627993163e+00   0  2  0  0  1  0  0
    3 -2.0121856258176946e-01   0  0  2  0  1  0  0
    3  6.9247400091843048e-08   0  0  1  1  1  0  0
    3 -2.0121856258176946e-01   0  0  0  2  1  0  0
    3 -2.3870597656038356e-02   1  0  0  0  2  0  0
    3 -2.3870597656038356e-02   0  1  0  0  2  0  0
    3 -9.6025796624364286e-03   0  0  0  0  3  0  0
    4 -2.3380823209617679e+03   4  0  0  0  0  0  0
    4 -8.0065761317006172e+02   3  1  0  0  0  0  0
    4  6.1953939643666149e+02   2  2  0  0  0  0  0
    4 -8.0065761317006172e+02   1  3  0  0  0  0  0
    4 -2.3380823209617679e+03   0  4  0  0  0  0  0
    4 -8.0241221143156872e+02   2  0  2  0  0  0  0
    4  1.1617945772159280e+03   1  1  2  0  0  0  0
    4 -4.9252127802105258e+02   0  2  2  0  0  0  0
    4 -4.2737922211656388e+02   0  0  4  0  0  0  0
    4 -3.7313702555846899e+03   2  0  1  1  0  0  0
    4  1.3889544025174464e+03   1  1  1  1  0  0  0
    4 -3.7313702555846899e+03   0  2  1  1  0  0  0
    4 -7.0023633428291487e+02   0  0  3  1  0  0  0
    4 -4.9252127802105258e+02   2  0  0  2  0  0  0
    4  1.1617945772159280e+03   1  1  0  2  0  0  0
    4 -8.0241221143156872e+02   0  2  0  2  0  0  0
    4  5.0168216602271235e+02   0  0  2  2  0  0  0
    4 -7.0023633428291487e+02   0  0  1  3  0  0  0
    4 -4.2737922211656388e+02   0  0  0  4  0  0  0
    4 -4.1520508617428038e+02   3  0  0  0  1  0  0
    4 -1.4539280835215590e+02   2  1  0  0  1  0  0
    4 -1.4539280835215590e+02   1  2  0  0  1  0  0
    4 -4.1520508617428038e+02   0  3  0  0  1  0  0
    4 -2.7982869959550078e+02   1  0  2  0  1  0  0
    4 -2.6313171322438237e+01   0  1  2  0  1  0  0
    4  1.8717789654246201e+02   1  0  1  1  1  0  0
    4  1.8717789654246201e+02   0  1  1  1  1  0  0
    4 -2.6313171322438237e+01   1  0  0  2  1  0  0
    4 -2.7982869959550078e+02   0  1  0  2  1  0  0
    4 -9.4993195679843936e+00   2  0  0  0  2  0  0
    4 -4.0567695402462064e+01   1  1  0  0  2  0  0
    4 -9.4993195679843936e+00   0  2  0  0  2  0  0
    4 -1.4762772319672983e+01   0  0  2  0  2  0  0
    4 -1.2407783987128114e+02   0  0  1  1  2  0  0
    4 -1.4762772319672983e+01   0  0  0  2  2  0  0
    4  4.7497596678722614e-01   1  0  0  0  3  0  0
    4  4.7497596678722614e-01   0  1  0  0  3  0  0
    4  1.8635824695450904e-02   0  0  0  0  4  0  0
    5 -9.6399899907143554e+03   5  0  0  0  0  0  0
    5 -8.2625935232068412e+05   4  1  0  0  0  0  0
    5 -4.5907609102538205e+05   3  2  0  0  0  0  0
    5 -4.5907609102538205e+05   2  3  0  0  0  0  0
    5 -8.2625935232068412e+05   1  4  0  0  0  0  0
    5 -9.6399899907143554e+03   0  5  0  0  0  0  0
    5  5.0727804009576648e+05   3  0  2  0  0  0  0
    5 -5.4580224317621393e+05   2  1  2  0  0  0  0
    5 -6.8547714262290089e+05   1  2  2  0  0  0  0
    5  2.1176552494466599e+05   0  3  2  0  0  0  0
    5 -5.1066291049363260e+05   1  0  4  0  0  0  0
    5 -2.6968735078893648e+05   0  1  4  0  0  0  0
    5  2.1763525612578113e+06   3  0  1  1  0  0  0
    5 -5.8060057479880983e+05   2  1  1  1  0  0  0
    5 -5.8060057479880983e+05   1  2  1  1  0  0  0
    5  2.1763525612578113e+06   0  3  1  1  0  0  0
    5  4.2452296770911489e+03   1  0  3  1  0  0  0
    5  2.9155805554680247e+05   0  1  3  1  0  0  0
    5  2.1176552494466599e+05   3  0  0  2  0  0  0
    5 -6.8547714262290089e+05   2  1  0  2  0  0  0
    5 -5.4580224317621393e+05   1  2  0  2  0  0  0
    5  5.0727804009576648e+05   0  3  0  2  0  0  0
    5 -8.2973423294843454e+05   1  0  2  2  0  0  0
    5 -8.2973423294843454e+05   0  1  2  2  0  0  0
    5  2.9155805554680247e+05   1  0  1  3  0  0  0
    5  4.2452296770911489e+03   0  1  1  3  0  0  0
    5 -2.6968735078893648e+05   1  0  0  4  0  0  0
    5 -5.1066291049363260e+05   0  1  0  4  0  0  0
    5  4.3006830907182659e+04   4  0  0  0  1  0  0
    5 -1.9803628799090022e+05   3  1  0  0  1  0  0
    5  1.6327934532587248e+05   2  2  0  0  1  0  0
    5 -1.9803628799090022e+05   1  3  0  0  1  0  0
    5  4.3006830907182659e+04   0  4  0  0  1  0  0
    5 -1.2876918164178554e+05   2  0  2  0  1  0  0
    5 -1.5351660094727541e+05   1  1  2  0  1  0  0
    5 -4.5363804626431956e+03   0  2  2  0  1  0  0
    5 -6.3254512193641176e+03   0  0  4  0  1  0  0
    5 -5.5876709016408568e+04   2  0  1  1  1  0  0
    5 -6.0736140381274621e+04   1  1  1  1  1  0  0
    5 -5.5876709016408568e+04   0  2  1  1  1  0  0
    5 -7.6501168153380640e+04   0  0  3  1  1  0  0
    5 -4.5363804626431956e+03   2  0  0  2  1  0  0
    5 -1.5351660094727541e+05   1  1  0  2  1  0  0
    5 -1.2876918164178554e+05   0  2  0  2  1  0  0
    5 -9.4910952224430715e+04   0  0  2  2  1  0  0
    5 -7.6501168153380640e+04   0  0  1  3  1  0  0
    5 -6.3254512193641176e+03   0  0  0  4  1  0  0
    5 -2.8597461721863956e+03   3  0  0  0  2  0  0
    5 -1.9741125867462426e+04   2  1  0  0  2  0  0
    5 -1.9741125867462426e+04   1  2  0  0  2  0  0
    5 -2.8597461721863956e+03   0  3  0  0  2  0  0
    5  5.6444021732861174e+03   1  0  2  0  2  0  0
    5  1.1408214202559648e+04   0  1  2  0  2  0  0
    5 -3.1248312755665415e+03   1  0  1  1  2  0  0
    5 -3.1248312755665415e+03   0  1  1  1  2  0  0
    5  1.1408214202559648e+04   1  0  0  2  2  0  0
    5  5.6444021732861174e+03   0  1  0  2  2  0  0
    5 -3.9134078849392290e+02   2  0  0  0  3  0  0
    5  5.7611675291896677e+02   1  1  0  0  3  0  0
    5 -3.9134078849392290e+02   0  2  0  0  3  0  0
    5  4.9153762493360131e+02   0  0  2  0  3  0  0
    5  1.5895134565887595e+03   0  0  1  1  3  0  0
    5  4.9153762493360131e+02   0  0  0  2  3  0  0
    5  5.6046690497908243e+00   1  0  0  0  4  0  0
    5  5.6046690497908243e+00   0  1  0  0  4  0  0
    5  2.3028509426166455e-01   0  0  0  0  5  0  0
 -123  0.0000000000000000e+00   0  0  0  0  0  0  0
