
tpsa, NO = 5, NV = 7, INA = 48016
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1 -4.5212747169907569e-01   1  0  0  0  0  0  0
    1 -1.1373660299256095e+01   0  1  0  0  0  0  0
    1 -2.4210071212321181e-07   0  0  0  0  1  0  0
    2  1.9981883289918599e+01   2  0  0  0  0  0  0
    2 -3.5576460093695437e+02   1  1  0  0  0  0  0
    2  3.6927802623229377e+03   0  2  0  0  0  0  0
    2  2.6239285604134754e+01   0  0  2  0  0  0  0
    2  1.4971506367767495e+02   0  0  1  1  0  0  0
    2  1.2206883182025617e+03   0  0  0  2  0  0  0
    2  6.5704971774493970e-06   1  0  0  0  1  0  0
    2 -2.5428718614628309e+02   0  1  0  0  1  0  0
    2  2.7754598996751806e-01   0  0  0  0  2  0  0
    3  2.2815002662858051e+03   3  0  0  0  0  0  0
    3 -2.6953029949765139e+04   2  1  0  0  0  0  0
    3 -1.2610452795975127e+06   1  2  0  0  0  0  0
    3  4.3748050398190795e+06   0  3  0  0  0  0  0
    3 -1.1531146994282471e+02   1  0  2  0  0  0  0
    3  6.9097884446875512e+04   0  1  2  0  0  0  0
    3  1.9176568827204865e+04   1  0  1  1  0  0  0
    3 -1.2135136406577556e+05   0  1  1  1  0  0  0
    3 -5.8029544771057233e+04   1  0  0  2  0  0  0
    3  2.6439317826532684e+06   0  1  0  2  0  0  0
    3  5.6136246257372727e+02   2  0  0  0  1  0  0
    3  7.5248438214162588e+03   1  1  0  0  1  0  0
    3  4.4545114142345192e+03   0  2  0  0  1  0  0
    3 -1.9800699947702594e+02   0  0  2  0  1  0  0
    3  1.1021820352165763e+04   0  0  1  1  1  0  0
    3 -6.2975997683615806e+03   0  0  0  2  1  0  0
    3 -2.0699299933526618e+01   1  0  0  0  2  0  0
    3 -1.6576556928695773e+03   0  1  0  0  2  0  0
    3 -3.8227575611017586e+00   0  0  0  0  3  0  0
    4  1.6694433319684153e+05   4  0  0  0  0  0  0
    4  9.9674533498796932e+06   3  1  0  0  0  0  0
    4 -6.5558541573581398e+06   2  2  0  0  0  0  0
    4 -9.9121817294417620e+08   1  3  0  0  0  0  0
    4 -5.1370555248581684e+08   0  4  0  0  0  0  0
    4 -4.3311765564583801e+05   2  0  2  0  0  0  0
    4 -4.6071168122051228e+06   1  1  2  0  0  0  0
    4  8.7112863929710805e+07   0  2  2  0  0  0  0
    4  1.2560247300736679e+05   0  0  4  0  0  0  0
    4  3.4210281508601974e+06   2  0  1  1  0  0  0
    4  4.7170027889158197e+07   1  1  1  1  0  0  0
    4 -2.9724684446844089e+08   0  2  1  1  0  0  0
    4 -3.1645004244276468e+05   0  0  3  1  0  0  0
    4 -2.5659187364966091e+07   2  0  0  2  0  0  0
    4 -2.8547590870353466e+08   1  1  0  2  0  0  0
    4  2.6514111243209519e+09   0  2  0  2  0  0  0
    4 -2.0698462990938880e+07   0  0  2  2  0  0  0
    4 -1.0538809145761095e+07   0  0  1  3  0  0  0
    4  5.2157503905525225e+08   0  0  0  4  0  0  0
    4 -1.2543240514665512e+05   3  0  0  0  1  0  0
    4  3.6676925154995406e+04   2  1  0  0  1  0  0
    4 -1.4090059087896809e+07   1  2  0  0  1  0  0
    4  1.6121443021857119e+08   0  3  0  0  1  0  0
    4  1.9721450193726114e+05   1  0  2  0  1  0  0
    4  1.0961945547161300e+06   0  1  2  0  1  0  0
    4  1.4141196520953774e+05   1  0  1  1  1  0  0
    4 -6.6114032992922766e+06   0  1  1  1  1  0  0
    4 -5.1800749854417667e+06   1  0  0  2  1  0  0
    4  5.0916552874544375e+07   0  1  0  2  1  0  0
    4  1.0379068204948919e+04   2  0  0  0  2  0  0
    4  3.8353298506384162e+04   1  1  0  0  2  0  0
    4 -1.1480927027055563e+06   0  2  0  0  2  0  0
    4 -9.4778349361419278e+03   0  0  2  0  2  0  0
    4  7.8102288110996917e+04   0  0  1  1  2  0  0
    4  6.4082195802911418e+05   0  0  0  2  2  0  0
    4 -4.1848102153502305e+02   1  0  0  0  3  0  0
    4  2.8432815380031921e+03   0  1  0  0  3  0  0
    4 -4.2049833209763960e+01   0  0  0  0  4  0  0
  -69  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 5, NV = 7, INA = 48017
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  6.9949403129882542e-02   1  0  0  0  0  0  0
    1 -4.5212747169907330e-01   0  1  0  0  0  0  0
    1  1.1662061712120377e-08   0  0  0  0  1  0  0
    2 -1.6418373476032813e-01   2  0  0  0  0  0  0
    2  6.8168047469662252e+00   1  1  0  0  0  0  0
    2 -3.0769262744975140e+02   0  2  0  0  0  0  0
    2 -4.9654856865186714e-01   0  0  2  0  0  0  0
    2 -2.4438048179426347e-01   0  0  1  1  0  0  0
    2 -9.0394161005477798e+01   0  0  0  2  0  0  0
    2 -1.5638970202815214e+00   1  0  0  0  1  0  0
    2  1.0441894289870048e-06   0  1  0  0  1  0  0
    2 -1.3369731885273987e-02   0  0  0  0  2  0  0
    3 -4.5123282933413144e+01   3  0  0  0  0  0  0
    3 -5.7357396952641993e+03   2  1  0  0  0  0  0
    3  5.3248805104780302e+04   1  2  0  0  0  0  0
    3  3.1431283049223461e+05   0  3  0  0  0  0  0
    3  3.4820687761010834e+02   1  0  2  0  0  0  0
    3 -1.5150078941753097e+03   0  1  2  0  0  0  0
    3  8.1379274513107907e+02   1  0  1  1  0  0  0
    3  4.4478948683924136e+03   0  1  1  1  0  0  0
    3  1.8352768687839714e+04   1  0  0  2  0  0  0
    3  5.2116602034422962e+04   0  1  0  2  0  0  0
    3  4.1974579717385602e+01   2  0  0  0  1  0  0
    3 -1.5903538086429037e+03   1  1  0  0  1  0  0
    3 -9.7647634668549108e+03   0  2  0  0  1  0  0
    3  9.3491677259373049e+01   0  0  2  0  1  0  0
    3  1.4787210372912440e+02   0  0  1  1  1  0  0
    3 -7.8274842805738524e+02   0  0  0  2  1  0  0
    3  2.3376265718361658e+01   1  0  0  0  2  0  0
    3 -1.4364353671710777e+01   0  1  0  0  2  0  0
    3  4.8305563673415497e-01   0  0  0  0  3  0  0
    4  2.6618747880274816e+04   4  0  0  0  0  0  0
    4 -6.1270200934011838e+04   3  1  0  0  0  0  0
    4 -1.8470209045213345e+07   2  2  0  0  0  0  0
    4 -4.1782228775359780e+07   1  3  0  0  0  0  0
    4  4.1193782742839597e+07   0  4  0  0  0  0  0
    4 -3.1038129352356468e+03   2  0  2  0  0  0  0
    4  1.5174741068547287e+06   1  1  2  0  0  0  0
    4  5.8116828438589368e+06   0  2  2  0  0  0  0
    4 -4.3747311430833111e+02   0  0  4  0  0  0  0
    4  2.4953817670511105e+05   2  0  1  1  0  0  0
    4 -1.3362973335586663e+04   1  1  1  1  0  0  0
    4 -5.8901978721610690e+06   0  2  1  1  0  0  0
    4 -1.4876963926417026e+05   0  0  3  1  0  0  0
    4 -1.6381073104491790e+06   2  0  0  2  0  0  0
    4  3.3191403902515825e+07   1  1  0  2  0  0  0
    4  3.0111076957757894e+07   0  2  0  2  0  0  0
    4 -2.6098412399588372e+06   0  0  2  2  0  0  0
    4  2.7946159883097117e+05   0  0  1  3  0  0  0
    4 -2.2665513167048808e+07   0  0  0  4  0  0  0
    4  1.0915127633959389e+03   3  0  0  0  1  0  0
    4  2.3150899234641198e+05   2  1  0  0  1  0  0
    4 -1.9304080708800605e+06   1  2  0  0  1  0  0
    4 -9.9380180972238374e+05   0  3  0  0  1  0  0
    4 -4.7729577990759083e+02   1  0  2  0  1  0  0
    4  3.5702479587262314e+04   0  1  2  0  1  0  0
    4 -4.3227868878605550e+04   1  0  1  1  1  0  0
    4 -1.2287263045834645e+06   0  1  1  1  1  0  0
    4 -2.1147676406587503e+05   1  0  0  2  1  0  0
    4  5.7192580568944998e+06   0  1  0  2  1  0  0
    4 -1.0525830652739528e+03   2  0  0  0  2  0  0
    4  9.2024477804967319e+03   1  1  0  0  2  0  0
    4 -3.1631646272429056e+05   0  2  0  0  2  0  0
    4 -2.1254807358504040e+03   0  0  2  0  2  0  0
    4 -6.2920788919558890e+03   0  0  1  1  2  0  0
    4  2.4258432100937225e+03   0  0  0  2  2  0  0
    4 -2.9334547008388273e+02   1  0  0  0  3  0  0
    4  1.2808578141342734e+01   0  1  0  0  3  0  0
    4 -6.3979940725714428e+00   0  0  0  0  4  0  0
  -69  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 5, NV = 7, INA = 48018
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1 -5.7757051388437308e-01   0  0  1  0  0  0  0
    1  5.2378879978747355e+00   0  0  0  1  0  0  0
    2 -2.2860406681579978e+01   1  0  1  0  0  0  0
    2  2.2414339093792233e+02   0  1  1  0  0  0  0
    2 -1.0569804164066754e+02   1  0  0  1  0  0  0
    2  2.1942578936121258e+03   0  1  0  1  0  0  0
    2 -3.6982598394796895e-06   0  0  1  0  1  0  0
    2  8.9414282119919459e+00   0  0  0  1  1  0  0
    3 -1.2716030471391321e+03   2  0  1  0  0  0  0
    3 -4.5025715413545739e+04   1  1  1  0  0  0  0
    3  3.4541841345136228e+05   0  2  1  0  0  0  0
    3 -1.3884283508804426e+03   0  0  3  0  0  0  0
    3 -9.1465918797977283e+03   2  0  0  1  0  0  0
    3 -1.8705915708808511e+05   1  1  0  1  0  0  0
    3  7.9885587320239632e+04   0  2  0  1  0  0  0
    3 -8.1431219890513003e+03   0  0  2  1  0  0  0
    3  2.2137383718788635e+05   0  0  1  2  0  0  0
    3  5.9289401968571660e+05   0  0  0  3  0  0  0
    3 -2.4531932750029620e+02   1  0  1  0  1  0  0
    3 -8.4985995087493920e+03   0  1  1  0  1  0  0
    3 -1.3183969575212541e+02   1  0  0  1  1  0  0
    3  5.1795076767517974e+04   0  1  0  1  1  0  0
    3 -2.0146639604010500e+02   0  0  1  0  2  0  0
