# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.21400 1.08800
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.1122532671401809e-04 -1.7566504663471059e-18  4.0266707587895351e-03  1.8727397749395797e-17  0.0000000000000000e+00  0.0000000000000000e+00
   1 -1.0765418677147326e-04 -1.3259887323324298e-04  3.3586359124624346e-03 -2.2113255910519536e-03  0.0000000000000000e+00  1.2432374209332839e-02
   2 -6.1467016720491224e-04  1.6707965743578672e-05  1.7948264883216353e-03 -3.7634921156199539e-03  0.0000000000000000e+00  8.3677440895572330e-03
   3 -6.2219101410212314e-04  1.8879742435383917e-04 -6.8726274039979489e-05 -4.2663813927682689e-03  0.0000000000000000e+00 -1.5206738172185675e-02
   4 -1.7019391067599196e-04  7.7898738793267115e-05 -1.9894955915929625e-03 -3.6285278430318807e-03  0.0000000000000000e+00 -4.2529933365077960e-02
   5  1.9504628446798125e-04 -2.4407047212383844e-04 -3.5262230968385738e-03 -2.0249653847532380e-03  0.0000000000000000e+00 -5.4119926242755419e-02
   6 -1.3060497688306742e-05 -3.6391871896283395e-04 -3.9856858596428396e-03  1.8600765247928785e-04  0.0000000000000000e+00 -4.4843115993317251e-02
   7 -5.2243538344452854e-04  1.0283145687544495e-05 -3.2409412588051195e-03  2.3593107846805782e-03  0.0000000000000000e+00 -3.2492599264812669e-02
   8 -5.5197633568906837e-04  4.2917079731603214e-04 -1.7221736449431850e-03  3.8166957096029607e-03  0.0000000000000000e+00 -3.7859892231200454e-02
   9 -1.6949767941559372e-04  2.3500455459062058e-04  2.2088621184760066e-04  4.1972605111047128e-03  0.0000000000000000e+00 -6.3542275421210201e-02
  10  3.6260207450489121e-05 -3.3830754328792022e-04  2.2074148765096266e-03  3.5059122932551154e-03  0.0000000000000000e+00 -9.2314344880183211e-02
  11 -1.1333252770132034e-04 -4.8334116202219870e-04  3.6041119645322996e-03  1.8710074202635501e-03  0.0000000000000000e+00 -1.0128187144916995e-01
  12 -3.4587996658028651e-04 -6.3739542852911461e-05  3.9613239700727471e-03 -3.7091125887786768e-04  0.0000000000000000e+00 -9.0079779388458861e-02
  13 -3.2390901644089627e-04  4.1847724995554281e-04  3.2070625803503451e-03 -2.5068128139911212e-03  0.0000000000000000e+00 -7.8465069179920743e-02
  14 -1.2987213744217131e-04  3.5168108997964083e-04  1.5793407666055701e-03 -3.8670375770594005e-03  0.0000000000000000e+00 -8.6566776214478905e-02
  15 -1.4932807724323476e-04 -2.1461137075087398e-04 -4.6610455141541339e-04 -4.1908782775272810e-03  0.0000000000000000e+00 -1.1515576699420797e-01
  16 -3.6340673803618282e-04 -4.3559435048745485e-04 -2.3474880481891012e-03 -3.4391655311606460e-03  0.0000000000000000e+00 -1.4120368435163885e-01
  17 -3.3198639530741852e-04 -8.3410042733154827e-05 -3.6481807393021100e-03 -1.6994980283490434e-03  0.0000000000000000e+00 -1.4700829301168516e-01
  18 -4.5000884940269754e-05  2.5552637391128226e-04 -3.9782036444892003e-03  5.8405300683074155e-04  0.0000000000000000e+00 -1.3480128706935518e-01
  19 -6.9193164556251951e-06  2.1055624351116152e-04 -3.0881721505937060e-03  2.6748822976200444e-03  0.0000000000000000e+00 -1.2478556716417460e-01
  20 -3.0681404832746798e-04 -6.1867537034188762e-05 -1.3313068303282989e-03  3.9798825101885907e-03  0.0000000000000000e+00 -1.3583846078041384e-01
  21 -5.8833851298476935e-04 -1.8105537803619413e-04  6.2887477186034546e-04  4.2239348226783980e-03  0.0000000000000000e+00 -1.6318958051130894e-01
  22 -4.3683645831689232e-04 -1.9545287788269652e-05  2.4300030840443774e-03  3.3326109361638801e-03  0.0000000000000000e+00 -1.8689147177472193e-01
  23  6.2187546186945206e-05  7.6587884222058410e-05  3.7403726384163906e-03  1.5011584133623602e-03  0.0000000000000000e+00 -1.9127322345986741e-01
  24  1.6982617001885607e-04 -9.0550630092862941e-05  3.9399780025815437e-03 -7.9126275335058389e-04  0.0000000000000000e+00 -1.7914573613009821e-01
  25 -3.2731144538828365e-04 -1.1172861426933166e-04  2.8865978969829743e-03 -2.8396845359451887e-03  0.0000000000000000e+00 -1.7045318864612435e-01
  26 -6.9333796921245306e-04  1.1513890525428216e-04  1.1804521143541353e-03 -4.0632334980356156e-03  0.0000000000000000e+00 -1.8199369054444869e-01
  27 -4.7654946043176958e-04  1.9900452026606403e-04 -7.2682687741829793e-04 -4.1694274113413679e-03  0.0000000000000000e+00 -2.0916964503083180e-01
  28  1.2768565200145340e-05 -4.1295035254908514e-05 -2.5964987135811937e-03 -3.1754170262388130e-03  0.0000000000000000e+00 -2.3309592415632471e-01
  29  1.8630199966511299e-04 -3.5260174859073456e-04 -3.8280002230063493e-03 -1.3139681336868537e-03  0.0000000000000000e+00 -2.3698534742041436e-01
  30 -2.1722793982764381e-04 -2.7861010763274434e-04 -3.8491131572666050e-03  9.6806188656647538e-04  0.0000000000000000e+00 -2.2373002633805350e-01
  31 -6.0352756422291630e-04  2.1197845419290487e-04 -2.7914550649871792e-03  2.9617367978685754e-03  0.0000000000000000e+00 -2.1588828542875346e-01
  32 -4.1192847728783430e-04  4.4931866892418344e-04 -1.0969138056759653e-03  4.0703117944544511e-03  0.0000000000000000e+00 -2.2888526970205256e-01
  33 -4.9188221095943790e-05  1.7303339568677318e-05  9.2673642032190982e-04  4.0750998367364158e-03  0.0000000000000000e+00 -2.5858894853431930e-01
  34  3.2978735701921064e-07 -4.7513664110931134e-04  2.7804570605943469e-03  3.0471798093530400e-03  0.0000000000000000e+00 -2.8243095268560070e-01
  35 -2.2169460924104141e-04 -3.6965260447656189e-04  3.8525167659280084e-03  1.1457703814098060e-03  0.0000000000000000e+00 -2.8305022038375988e-01
  36 -3.6422886751009189e-04  1.4833146267198886e-04  3.8250573585518139e-03 -1.1518059195905887e-03  0.0000000000000000e+00 -2.6912586048929188e-01
  37 -2.3434112581714462e-04  4.7431419250524020e-04  2.7330386229568395e-03 -3.0793706875236345e-03  0.0000000000000000e+00 -2.6247082353044238e-01
  38 -1.0139594175627865e-04  1.5463912926003002e-04  8.9525050765089592e-04 -4.0984176588488123e-03  0.0000000000000000e+00 -2.7910808080861577e-01
  39 -2.4274176581997380e-04 -3.7016706808066499e-04 -1.1517363037459802e-03 -4.0592650229514474e-03  0.0000000000000000e+00 -3.0973515532296220e-01
  40 -4.1177065806535524e-04 -3.3617586855383581e-04 -2.8705480016520670e-03 -2.9443607532652787e-03  0.0000000000000000e+00 -3.2978850328647707e-01
  41 -2.2152069453074643e-04  8.0366290117092035e-05 -3.8915650554591525e-03 -9.4730802757112995e-04  0.0000000000000000e+00 -3.2821756294661297e-01
  42  3.1923005877575925e-05  2.7104087585509852e-04 -3.8088508028400513e-03  1.3568730526060510e-03  0.0000000000000000e+00 -3.1391452205058512e-01
  43 -9.3940869464545431e-05  1.0273004387958492e-04 -2.5468896413164814e-03  3.2284970804896578e-03  0.0000000000000000e+00 -3.0999222823712247e-01
